,Key,Count,Mean Score
0,TTR,300,0.12690042836647925
1,sentiment,300,0.082329780480837
2,mean_sen_len,300,0.05822262810920727
3,this,300,0.03698901024893567
4,PRP$,300,0.028764103384683933
5,and,299,0.025406425881316717
6,as,236,0.019845693272618262
11,you,188,0.018461083988970072
7,with,173,0.018284688150245254
12,for,150,0.01848829960860833
16,to,99,0.017524875351839466
13,their,86,0.017875235885525677
8,which,79,0.017976172966265254
10,has,62,0.01766951699506407
9,that,34,0.016787811372093123
14,VBG,32,0.01698354196830454
17,such,14,0.0164329758346082
15,RBR,10,0.016850188984360696
18,on,9,0.01608078178468568
23,JJ,7,0.015633178040079018
20,we,6,0.016267496224169543
19,more,5,0.016276353301030413
22,a,3,0.0155040446173493
21,or,2,0.017865000406610716
25,VBZ,2,0.015325133996244984
26,PRP,2,0.01646438165437693
24,RB,1,0.017586879764130203
27,VB,1,0.014558771260661603
