,Key,Count,Mean Score
0,mean_sen_len,300,0.10452322687264189
1,or,300,0.06796796763416735
4,which,299,0.03796569764582753
6,such,298,0.03459170676299334
5,said,285,0.03131499306681741
8,as,282,0.033352379684734604
2,from,274,0.03467253732884812
9,by,258,0.034273476025184914
10,through,187,0.028369626154187172
3,on,168,0.028951398598474017
7,when,162,0.029007711592209322
11,is,47,0.026205920249722486
12,DT,29,0.025094449841405384
14,this,29,0.027475101016208543
15,because,26,0.02522057554488733
16,with,25,0.025463956469077797
13,at,16,0.024053259763341238
17,a,6,0.02624815582724295
19,and,4,0.025572392996521427
18,before,2,0.021951916130314914
21,for,2,0.028124023516306558
20,about,1,0.022666158085827455
