,Key,Count,Mean Score
0,or,300,0.05688767726806366
1,mean_sen_len,300,0.04353687755176864
2,TTR,300,0.042315455286928504
3,this,300,0.04162440781875757
4,we,294,0.02907005931289651
7,on,265,0.028370425660352937
5,PRP$,237,0.026120105004995432
6,an,221,0.025708259156400355
14,which,135,0.023559063587998502
8,by,94,0.023340738479320916
10,from,94,0.02326148615710362
9,PRP,92,0.02258260457097461
18,you,76,0.02241849685164085
11,with,68,0.02314869269701016
12,is,68,0.021871121374714118
15,a,43,0.02169940840203647
17,for,42,0.02219314883463167
16,as,35,0.021772576092679248
13,the,27,0.021668267756482555
19,in,3,0.02093418723475153
23,that,2,0.02107752423950615
22,said,2,0.020781611303964036
21,and,1,0.020657162352019025
20,at,1,0.02233705329740808
