,Key,Count,Mean Score
0,sentiment,300,0.07510656699173583
1,mean_sen_len,300,0.040188891070030826
2,VBP,300,0.033919235509918176
3,VBZ,300,0.03339422403018408
5,i,286,0.0259090852206609
8,is,253,0.026483823791241867
7,and,224,0.02410947173921396
4,to,209,0.022916820781498145
12,my,203,0.023047143992575115
6,me,182,0.022330931200643167
10,RB,128,0.022544197983101127
9,TTR,75,0.020568660518672875
15,now,48,0.02241849408978096
13,male_pronouns,45,0.02188052606282305
14,do,39,0.02178983948874519
11,so,34,0.020702096279528397
18,that,27,0.020639001865803648
16,but,20,0.020086474152708738
17,had,17,0.020162771015621913
20,are,4,0.022041496759539023
19,VBD,3,0.019249495419512798
21,here,2,0.01797988592540395
22,we,1,0.021027252998126765
