,Key,Count,Mean Score
0,TTR,300,0.1362929666608241
1,a,300,0.056789545619595455
3,DT,300,0.04751609647204804
4,RB,300,0.04533743600803483
5,the,298,0.038151569495536296
7,any,293,0.03663146409903771
2,because,285,0.03532837999656724
8,which,221,0.026995812534038502
11,these,178,0.02731464861072109
6,where,148,0.027391551982084855
14,or,74,0.025693339430154078
10,VBG,71,0.025909284052367768
13,until,58,0.025583839772439953
12,i,51,0.025982474163469698
9,while,40,0.024821958115428446
15,mean_sen_len,31,0.026421424079928667
16,each,18,0.024823916119119976
19,might,18,0.026045737424587753
17,those,15,0.023585701646540554
18,being,1,0.021745992043705597
