,Key,Count,Mean Score
0,TTR,300,0.16376313715118812
1,a,300,0.03624706941562337
2,RB,300,0.03728801995295192
3,the,300,0.032988381684410935
4,DT,300,0.03159145511099274
10,because,288,0.024802567359702713
5,IN,268,0.022438138772054434
7,mean_sen_len,263,0.021016981017691585
8,until,167,0.02014275899959034
9,while,166,0.019959752932371594
13,or,132,0.020173444020723803
6,where,79,0.019910283615264483
22,any,36,0.018610751976455564
15,about,21,0.018046776900062116
14,when,18,0.01810259394795474
11,i,18,0.017843165169355954
17,NN,13,0.0174153666291796
21,might,8,0.017581660542046428
20,during,6,0.017222451517729723
12,each,5,0.017223669613730175
23,who,4,0.01839257335309667
18,VBG,3,0.01685759853414086
19,was,2,0.01697938142909486
16,which,1,0.015195259121951443
24,after,1,0.02084333381704473
25,and,1,0.016466123943677274
