accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.91,0.9099949372152184,0.9100922707609211,0.91,0.90932,1,0.9025,0.9106699751861043,0.9039408866995073,0.9175,"[1094249, 1194337, 1195557, 1094515, 838398, 1195473, 1099312, 1098484, 1098216, 1196821, 1252740, 1195188, 1098745, 837925, 1253465, 1252699, 1252683, 1251032, 1252216, 1096315, 1195471, 1094155, 1095729, 1097068, 837831, 1098120, 1094114, 1253904, 1095090, 1096383, 1194669, 1195462, 1095287, 1197019, 1195345, 1096920, 1096686, 1094432, 1095889]","[934668, 945537, 938704, 938920, 945774, 938602, 938839, 945950, 934246, 934691, 934361, 938855, 934253, 939070, 938446, 1167822, 1224607, 934728, 938422, 1224682, 934799, 945258, 945666, 938922, 934549, 938946, 945992, 938381, 938789, 934209, 938347, 945575, 934510]","{'sentiment': 0.06897273418222931, 'mean_sen_len': 0.04922322205953627, 'VBP': 0.03396024784660645, 'VBZ': 0.029415975157146466, 'to': 0.02720369577237268, 'i': 0.026173712597750004, 'me': 0.024094040210135233, 'and': 0.023587445551061518, 'is': 0.023133240759673695, 'TTR': 0.020400350033009367}"
0.9125,0.9124863259884357,0.9127579737335836,0.9125,0.91139,1,0.9,0.9135802469135802,0.9024390243902439,0.925,"[1194969, 1098923, 1252861, 1251833, 1094873, 1195803, 838179, 1196397, 1095526, 1196396, 837969, 1096656, 1253212, 1098745, 1196464, 1099034, 1094600, 1097475, 1096090, 1098708, 1094941, 1194485, 1195956, 1096105, 1195290, 1253815, 1194521, 1098091, 1095204, 1094009, 1253253, 1251176, 1095943, 1251810, 1093893, 1195113, 1250969, 1154571, 1095681, 1095406]","[934609, 938647, 938622, 945732, 939117, 945653, 934748, 945578, 946000, 1167773, 1224655, 1223794, 934335, 1223280, 934792, 945875, 945889, 1166898, 1223781, 945442, 939110, 938684, 945475, 934347, 938830, 938408, 934675, 945736, 939019, 1166963]","{'sentiment': 0.07299151132679164, 'mean_sen_len': 0.040030813394011246, 'VBP': 0.03092438705988854, 'VBZ': 0.029006742440811296, 'i': 0.02799370449864252, 'to': 0.025753890813737385, 'RB': 0.02400477447031053, 'is': 0.023738635686241186, 'and': 0.02162141926468415, 'so': 0.020881637941196293}"
0.90125,0.9012498457028839,0.901252507828174,0.90125,0.90113,1,0.9,0.9013732833957553,0.9002493765586035,0.9025,"[1095542, 1194216, 1251123, 1194698, 1095928, 1253255, 1094654, 1251608, 1253098, 1252342, 1195202, 1195810, 1095782, 1196174, 1251582, 1252466, 1095399, 1095699, 1096312, 1098983, 1197084, 1097098, 1098523, 1099035, 1098108, 1252559, 1253720, 1252636, 1251896, 1097978, 1194123, 1194621, 1252258, 1095097, 1252867, 1253819, 1097107, 1097651, 1196527, 1098086]","[1224607, 938708, 938793, 938800, 934502, 1167775, 934405, 939095, 934481, 938698, 938538, 934728, 934792, 939042, 945305, 934401, 934734, 934330, 939117, 938501, 945537, 945774, 1166923, 1223735, 938806, 945818, 938392, 934799, 938565, 1223779, 1166938, 938381, 938691, 934605, 938594, 938920, 938621, 938898, 945378]","{'sentiment': 0.07255327627517014, 'mean_sen_len': 0.050696401806287456, 'VBP': 0.03133638419062009, 'VBZ': 0.02937022010419179, 'and': 0.02630570615264536, 'my': 0.024681289468157, 'is': 0.023069812771736725, 'i': 0.02261058980214715, 'me': 0.021335066972833036, 'to': 0.020944676917527973}"
0.91625,0.9162488222490629,0.9162734153796152,0.91625,0.91593,1,0.9125,0.9165628891656289,0.913151364764268,0.92,"[1096138, 1095892, 1251839, 1097929, 1194464, 1196620, 1094989, 1095627, 1094102, 1194475, 1094544, 1096378, 1096769, 1097421, 1096700, 1195411, 1252216, 1097475, 1097864, 1252681, 1211346, 1251402, 837925, 1096961, 1095547, 1094409, 1098480, 1194812, 1095226, 1252624, 1196172, 1195169, 1098487, 1096697, 1252783]","[945736, 939070, 934281, 934791, 934361, 1167799, 945578, 1166396, 945575, 945636, 934727, 945774, 1223753, 938994, 1223831, 945757, 938381, 1224607, 938666, 938750, 938602, 934549, 939138, 934662, 945329, 1166967, 938886, 945941, 938968, 945500, 934502, 945646]","{'sentiment': 0.07011021318833624, 'VBZ': 0.043047398205563296, 'VBP': 0.03485554405643999, 'mean_sen_len': 0.033727143623096034, 'i': 0.0274333443685534, 'is': 0.02591279469234378, 'and': 0.0243793793085312, 'my': 0.023657365606474627, 'male_pronouns': 0.023298767175878192, 'so': 0.022546498548382105}"
0.91875,0.9187346357670748,0.9190669193577642,0.91875,0.91762,1,0.905,0.9198520345252774,0.9075425790754258,0.9325,"[1099149, 838308, 1251730, 1099123, 1252688, 1098645, 1250969, 837966, 838341, 1253640, 1253450, 1097637, 837988, 1094365, 1253005, 1251830, 838228, 1094896, 1196029, 1098769, 1253253, 1096423, 1098036, 1195756, 837831, 1196592, 1195774, 1097212, 1098383, 1194387, 1196075, 1211293, 1252043, 1098420, 1095053, 1094762, 1195123, 1098182]","[938432, 1166374, 945774, 934410, 934792, 934691, 945442, 934382, 934510, 938464, 934501, 1166431, 938400, 945977, 938830, 938630, 938356, 938392, 945575, 945913, 1224615, 945258, 1223753, 934668, 945702, 945740, 945758]","{'sentiment': 0.07711885905768884, 'mean_sen_len': 0.04160175882437964, 'VBP': 0.03480862648877895, 'VBZ': 0.03409035836458643, 'and': 0.026272327765747838, 'i': 0.023732696784666444, 'is': 0.02067010316093788, 'to': 0.019960473284886066, 'TTR': 0.019648711093741156, 'my': 0.01885211781021779}"
0.8925,0.892483200500078,0.8927454659161976,0.8925,0.89383,1,0.905,0.8911392405063291,0.9025641025641026,0.88,"[1098046, 1251107, 1094376, 1154545, 1194832, 1252301, 1099086, 1096898, 837756, 1253833, 1098706, 1195352, 1097545, 1097477, 1252409, 1195118, 1094580, 1195184, 1253757, 1096535, 1095469, 1251625, 1253182, 1098637, 1252444, 1099354, 838015, 1195473, 1195428, 1194988, 1096553, 1251201, 1095933, 1099146, 1098554, 1194521, 1099395, 1195810]","[945578, 938347, 938704, 945523, 945736, 934625, 938765, 938408, 1223779, 938789, 945713, 934544, 938607, 1223831, 938565, 939089, 938793, 938874, 934291, 938442, 945570, 934661, 1223804, 934549, 938886, 1166885, 945992, 938869, 1166905, 1224682, 934567, 1166889, 934253, 934713, 945875, 945646, 934502, 934795, 945648, 945824, 1167784, 938449, 938663, 939042, 1223743, 934432, 945305, 938933]","{'sentiment': 0.08247998208968126, 'mean_sen_len': 0.04104711232546547, 'VBZ': 0.03360391936683638, 'VBP': 0.03040292337100294, 'is': 0.02571510084694958, 'i': 0.02498644587591619, 'do': 0.022271845456982176, 'me': 0.022147126003732854, 'to': 0.021233948929991964, 'and': 0.02021899318626143}"
0.9125,0.912497812445311,0.9125412541254124,0.9125,0.91206,1,0.9075,0.9129353233830846,0.9084158415841584,0.9175,"[1097641, 1252213, 1098025, 838083, 1195720, 1251683, 1252559, 1251561, 1196198, 1098060, 1253793, 1094249, 1194736, 1197034, 1094720, 1095140, 1194666, 1094877, 1097773, 1094494, 1251349, 1252072, 1195514, 1251002, 1097929, 1252179, 1095681, 1251908, 1253225, 1251896, 1251087, 1095090, 1196978, 1211347, 1098404, 1096095, 1097107]","[938666, 1167773, 934221, 1166905, 934691, 934189, 945378, 1223779, 938408, 938976, 938401, 945429, 939138, 934347, 945301, 1223753, 939027, 939019, 938630, 934291, 934605, 934800, 938538, 938576, 945875, 934638, 945636, 945898, 938672, 938920, 934281, 934481, 945702]","{'sentiment': 0.07976991032580037, 'mean_sen_len': 0.040749797318423917, 'VBZ': 0.03839958102868878, 'VBP': 0.03389590354939908, 'to': 0.024145781740488315, 'is': 0.022589205608979816, 'now': 0.02180469587213141, 'i': 0.020573951484367727, 'RB': 0.017757355095266235, 'me': 0.017707060419591837}"
0.9175,0.9174256831148034,0.9190084303492574,0.9175,0.91495,1,0.8875,0.9199029126213593,0.8938679245283019,0.9475,"[1194890, 1098309, 1095645, 1252696, 1096929, 1253825, 1096166, 1197078, 838293, 1096078, 838051, 838408, 1096588, 1253230, 1098065, 1195803, 1195122, 1096230, 1096875, 1095271, 1251676, 1096818, 1194621, 838406, 1095943, 1196351, 1099208, 1097905, 1098582, 1095730, 1099118, 1195892, 1095173, 1097500, 1252306, 1196012, 1098654, 1099272, 1095448, 1196516, 1252475, 1196493, 1197035, 1195833, 1196832]","[945329, 938408, 934237, 945255, 934659, 938768, 939070, 945885, 938872, 938440, 938886, 1223233, 939027, 934661, 938576, 1166420, 934589, 938722, 945500, 945774, 1166887]","{'sentiment': 0.07240200773464783, 'mean_sen_len': 0.047085742669028284, 'VBZ': 0.03869984207833212, 'VBP': 0.03419353647267163, 'is': 0.02558282066150383, 'to': 0.023187647158672196, 'my': 0.02295041054241636, 'RB': 0.020358423967182175, 'me': 0.019543181998409116, 'male_pronouns': 0.01937617017926173}"
0.91375,0.9137498652341646,0.9137525859536622,0.91375,0.91364,1,0.9125,0.9138576779026217,0.912718204488778,0.915,"[1097518, 1195914, 1251915, 1251141, 1196656, 1251753, 1251645, 838083, 1094751, 1098319, 1253397, 1195202, 1154572, 1194497, 1096255, 1094187, 1211347, 1095168, 1098086, 1194521, 1251676, 1253402, 1094987, 1097858, 1195356, 1096596, 1195307, 1194085, 1099146, 1096582, 1097229, 1195091, 1196940, 1095875, 1194324]","[1166431, 939032, 939029, 945492, 938405, 1166387, 934644, 934314, 938946, 934727, 938501, 939078, 939060, 939070, 945653, 945255, 938647, 934358, 938381, 945329, 934697, 938920, 934291, 938678, 938918, 938730, 1167762, 938666, 938565, 938994, 934401, 934331, 938550, 938504]","{'sentiment': 0.0676146717834703, 'mean_sen_len': 0.044042504287920364, 'VBP': 0.03453364684973372, 'and': 0.0340439217967917, 'VBZ': 0.03353038164544578, 'is': 0.029609421653023545, 'i': 0.021396004725586976, 'RB': 0.02034993711692634, 'my': 0.02021402997880814, 'to': 0.020197156869992593}"
0.905,0.905,0.905,0.905,0.905,1,0.905,0.905,0.905,0.905,"[1196966, 1197004, 1251233, 837986, 1093888, 1194653, 1253174, 1195184, 1195514, 1097171, 1095431, 1251069, 1196172, 1196109, 1252642, 1196232, 838157, 1097953, 838394, 837977, 1098088, 1154553, 1096851, 837987, 1099036, 1252366, 1095826, 1194472, 1195411, 1098745, 838033, 1194640, 1094125, 1098309, 1195781, 1195775, 1194979, 1196656]","[934361, 1224675, 938744, 934291, 1223734, 945575, 934471, 938933, 1224671, 934455, 934644, 938392, 945461, 1223778, 938765, 938869, 1223241, 934199, 945674, 1167762, 939084, 945496, 1223215, 1223207, 934358, 934544, 934221, 938789, 938666, 1167799, 934549, 934253, 945440, 945359, 945930, 945917, 939029, 1223764]","{'sentiment': 0.08011927766074343, 'mean_sen_len': 0.03753546571140119, 'VBP': 0.03732828914395844, 'VBZ': 0.03197348441912042, 'i': 0.029279991579800477, 'my': 0.02597259699178128, 'me': 0.02456999736303052, 'now': 0.022443827717530854, 'do': 0.02186115046240805, 'TTR': 0.020107118456792406}"
