accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.87625,0.8762265990913908,0.8765347544080211,0.87625,0.87793,1,0.89,0.8745247148288974,0.8868894601542416,0.8625,"[1253211, 1094518, 1211343, 1154498, 1095015, 1253722, 1196413, 1095423, 1253236, 1253484, 1098800, 1251082, 1253033, 1195450, 1097976, 1194467, 1195528, 837772, 1097118, 1098827, 1098390, 1252580, 1094154, 1095747, 1196461, 1196109, 1253466, 1093995, 1095987, 838195, 838348, 1097557, 1196924, 1251233, 1195511, 1251038, 1251608, 1094893, 838369, 1094337, 1253674, 1096894, 1196075, 1099274]","[955433, 955150, 955216, 1225911, 1169059, 955819, 955289, 955312, 955192, 955685, 955175, 955616, 955302, 955411, 955751, 1225868, 1225407, 950212, 955464, 955420, 955494, 955720, 955601, 955875, 955322, 955318, 955418, 1168976, 1225215, 955235, 955584, 1225922, 1169053, 955834, 955351, 1169008, 955535, 950178, 955581, 950382, 955664, 955795, 955368, 955787, 955589, 1225892, 955760, 955837, 955396, 955626, 955452, 1225876, 955432, 951595, 955904]","{'i': 0.04254338980239771, 'sentiment': 0.03254398633919647, 'but': 0.029227140037368465, 'VBD': 0.02851519048951027, 'this': 0.02489714442559226, 'male_pronouns': 0.02448759843100758, 'my': 0.02407940370659431, 'me': 0.02365511150545603, 'from': 0.022778688106921293, 'was': 0.01850965573002795}"
0.89625,0.8962459471073089,0.896311923738084,0.89625,0.8956,1,0.89,0.8968944099378882,0.891358024691358,0.9025,"[1096904, 1095832, 1096993, 1095096, 1099018, 1250943, 1094181, 1195785, 1097917, 1095289, 1251908, 837862, 1194470, 1095358, 1252128, 1094550, 1096082, 1094751, 1194327, 1253402, 1196489, 1094021, 1099373, 1094553, 1093887, 1096326, 1094201, 1252188, 1098523, 1095043, 1253303, 1253346, 1098934, 1196491, 838369, 1095884, 1196578, 1196493, 1095775, 1195428, 1251003, 1097898, 1094848, 1095306]","[1169029, 955810, 955291, 955611, 955749, 955474, 955723, 1225853, 955428, 1225407, 955164, 955843, 955351, 950406, 950536, 955751, 955594, 955890, 1169036, 955383, 955833, 1225863, 1225946, 955676, 955169, 955347, 955178, 955202, 955710, 955681, 1225868, 955502, 955269, 1168969, 955647, 951538, 955904, 955432, 955392]","{'i': 0.0405897728365673, 'sentiment': 0.038189624106237524, 'but': 0.0312817703787438, 'VBD': 0.026094794164388316, 'me': 0.023011594989666824, 'an': 0.02110442857416808, 'this': 0.0207874927399075, 'VBZ': 0.019584070275353516, 'male_pronouns': 0.01917961812720962, 'with': 0.019145229420441563}"
0.86,0.85998599859986,0.8601440576230494,0.86,0.85859,1,0.85,0.8613861386138614,0.8529411764705882,0.87,"[1098599, 838057, 1097568, 1098362, 1094782, 1253292, 1096320, 1096780, 1251514, 838157, 1096629, 1094724, 1253225, 1095502, 1095074, 1196187, 1253808, 1094847, 1098969, 1197004, 1098913, 1095271, 1252876, 1094353, 1195636, 1095851, 1253465, 1194324, 1098523, 838048, 1195131, 1095799, 1195065, 1253269, 1194965, 1096715, 1097612, 1253305, 1251617, 1094655, 1196274, 1094416, 1251032, 1251002, 1097177, 837811, 1096373, 1196069, 837911, 1251406, 1095406, 1098654, 1196238, 1097349, 1194989, 1251340, 838394, 1196413, 1094365, 838327]","[955921, 955474, 955464, 955728, 955717, 951538, 1225861, 955368, 955452, 955707, 1169033, 955626, 1225911, 955741, 955922, 955417, 955353, 955206, 950536, 955466, 955385, 955312, 955890, 955504, 955446, 955867, 1225898, 955852, 955837, 1168971, 1225892, 955713, 955903, 955819, 955393, 955800, 1225881, 955685, 955599, 955443, 955352, 950178, 1225221, 950377, 1225917, 955768, 955269, 950012, 955618, 955654, 1169004, 955820]","{'i': 0.03996688106335954, 'sentiment': 0.0368060804249812, 'but': 0.033267085753547566, 'VBD': 0.03002275819646862, 'male_pronouns': 0.02925429002083231, 'an': 0.028091482490053346, 'me': 0.022585822286892595, 'this': 0.021778070229068903, 'VBZ': 0.019195822356299918, 'not': 0.01757785564831203}"
0.86125,0.8612324372303369,0.8614329754438185,0.86125,0.85967,1,0.85,0.8627935723114957,0.8533007334963325,0.8725,"[1195022, 1094766, 1252308, 1195956, 1252845, 1098934, 1098613, 1099137, 1196914, 1094654, 1094946, 838045, 1251434, 1251555, 1195652, 1095391, 837772, 1253554, 1099171, 1252818, 1253210, 1098125, 1096436, 1098544, 1197075, 1095780, 1098834, 1252270, 1253038, 1251836, 1095900, 1253090, 1251578, 1252826, 1097881, 1096686, 1253011, 1196037, 1195816, 1095746, 1195914, 1099369, 1252570, 1097858, 1253795, 1096045, 838187, 1196592, 1194994, 1251870, 1098912, 1196194, 1251425, 1251504, 1094000, 1253481, 1195356, 1252009, 1097829, 1196429]","[955464, 955669, 955213, 949880, 1225939, 955336, 955446, 955801, 955897, 955174, 955322, 955164, 1169043, 955265, 955852, 955828, 955261, 955524, 955607, 1169002, 955760, 1168971, 955182, 955466, 955202, 955494, 955509, 1225863, 955589, 955450, 1168990, 955927, 955233, 955469, 955163, 955349, 955215, 955710, 955302, 955151, 951442, 955189, 1168999, 1225924, 955176, 955206, 1225937, 955867, 1169004, 955179, 955609]","{'i': 0.04444015974333789, 'this': 0.0289373502691313, 'but': 0.02885182083256096, 'VBD': 0.027191744101921995, 'sentiment': 0.02629090217302547, 'me': 0.02317002188717161, 'an': 0.02267888843620538, 'not': 0.02181639501691202, 'with': 0.020441651965387615, 'from': 0.01992941212269277}"
0.87125,0.8711612220295547,0.8722760859619325,0.87125,0.86778,1,0.845,0.8745432399512789,0.8527315914489311,0.8975,"[1252634, 838339, 1196721, 1098214, 1211354, 838186, 1252546, 838314, 1096780, 1096392, 837830, 1097926, 838228, 1195330, 1196687, 838330, 1211304, 1195335, 1096629, 1098376, 838232, 1195463, 1095433, 1253640, 1096472, 1095967, 1196545, 1251951, 1251402, 837763, 1094557, 1195638, 1098079, 1253279, 1096686, 1096124, 1253139, 1094736, 1194207, 1251994, 1094518, 1194182, 1154579, 1196699, 1195516, 1094998, 1252167, 1251224, 1195021, 1093957, 1094429, 1197008, 1196235, 1195041, 1094223, 837755, 1196489, 1098205, 1097098, 1194085, 1099093, 1251312]","[955781, 955269, 955921, 955163, 955654, 951411, 955699, 1225863, 1225234, 955487, 955672, 955876, 955290, 955318, 955226, 955473, 1168979, 955739, 1168990, 955428, 955480, 1225852, 955289, 1225921, 955351, 955656, 955852, 955204, 955164, 955248, 1225407, 955302, 955768, 955291, 955780, 955922, 955681, 955663, 955181, 955432, 955806]","{'i': 0.0413796820753789, 'sentiment': 0.03183836861775256, 'but': 0.03155109885665983, 'male_pronouns': 0.027727225961085213, 'VBD': 0.024642741330053397, 'this': 0.021726585964107575, 'an': 0.020563014619919197, 'my': 0.01940821813685449, 'NNS': 0.019253066566358976, 'VBZ': 0.019075105779377696}"
0.885,0.8849417517618295,0.8857812069440618,0.885,0.88235,1,0.8625,0.8875305623471883,0.868421052631579,0.9075,"[1099312, 1252128, 1194216, 1094698, 1252826, 1252119, 1251082, 1094553, 1251425, 1097030, 1197093, 1095275, 1194207, 1096615, 1195294, 1195230, 1095164, 1250952, 1096783, 838248, 1095484, 1252290, 838273, 837848, 1093980, 1097140, 1097651, 1094896, 1251489, 1195347, 1251418, 1097371, 1095732, 1094168, 1251202, 1194247, 1096436, 1094280, 838094, 1253781, 1094806, 1094201, 1251233, 838126, 1252801, 1097158, 1251042, 1098957, 838457, 1251406, 838472, 1095154, 1099478, 1098592, 1098229]","[955450, 955191, 955792, 1169029, 955761, 1225880, 955189, 955626, 955471, 950158, 955690, 1225868, 955331, 955420, 955322, 955810, 1225911, 955421, 1225898, 955752, 955356, 955883, 955418, 955599, 955491, 955716, 950210, 955514, 955828, 955374, 955150, 955432, 955178, 955795, 955717, 955635, 1168971]","{'i': 0.04489227045922673, 'but': 0.03331833889610895, 'VBD': 0.03096795540020407, 'sentiment': 0.030029163149641675, 'this': 0.02758292266391092, 'me': 0.027296989956207284, 'VBZ': 0.02569793808612944, 'JJR': 0.0206581454870584, 'male_pronouns': 0.01855989775770829, 'my': 0.01724165861249451}"
0.88,0.8799992499953124,0.8800095002375059,0.88,0.8797,1,0.8775,0.8802992518703242,0.8781094527363185,0.8825,"[1211279, 1253268, 1097637, 1195022, 1194466, 1097922, 1099354, 1096262, 1253628, 1252123, 1196754, 1097736, 838099, 1094893, 1197004, 1194256, 1251532, 1095391, 1194874, 1195077, 1194107, 838314, 1096596, 1096608, 1194650, 1196594, 838203, 1098035, 1195462, 1098641, 1098863, 1099405, 1095667, 1251774, 1095730, 1195581, 1252560, 1098029, 1250996, 1195646, 1098344, 1098654, 1250945, 1098582, 1098830, 1194997, 1098999, 1195428, 1096178]","[1225924, 950379, 955910, 955473, 955681, 1225875, 955713, 1225250, 955561, 955826, 1168999, 955217, 1169050, 955901, 955585, 950106, 955751, 1168366, 955375, 955626, 955781, 1225917, 950377, 955924, 955707, 1225407, 955396, 955834, 955471, 955856, 1168978, 955247, 955206, 955466, 1225946, 955384, 951800, 955363, 955645, 1168983, 955615, 955425, 1168298, 955234, 955303, 955818, 955405]","{'i': 0.0468102465961544, 'this': 0.031701443529458244, 'VBD': 0.026197361336745825, 'male_pronouns': 0.0258307064516395, 'but': 0.02576148629280994, 'me': 0.022734393549056164, 'sentiment': 0.021295040376298754, 'was': 0.020693629236137535, 'to': 0.020322187317096264, 'my': 0.01934343765874175}"
0.87,0.8699869986998701,0.8701480592236895,0.87,0.87129,1,0.88,0.8686868686868687,0.8775510204081632,0.86,"[1098980, 1197027, 1096260, 1194806, 1098004, 1252700, 1253122, 1094827, 1253690, 1095846, 1196699, 1195817, 1195785, 1251863, 1253303, 1253239, 1195293, 1094448, 1094201, 1095684, 1252002, 838035, 1094935, 1253305, 1097890, 1094045, 1094292, 837848, 1253614, 1195948, 1096694, 1253657, 1194461, 1098960, 1253538, 1196803, 1095039, 1253145, 1252131, 1094326, 1253819, 838320, 1253137, 1194989, 1195610, 1094676, 1194179, 1097648]","[955633, 955605, 1225911, 955233, 955452, 1169057, 955521, 955374, 955618, 1225851, 951955, 955453, 1168999, 955594, 955645, 955681, 955416, 955599, 1169051, 955789, 955347, 1225928, 955792, 955481, 955834, 955396, 955723, 955904, 1225244, 955213, 955386, 1225941, 955491, 955547, 955635, 955806, 1225861, 1169053, 1225930, 955788, 955800, 951442, 1225407, 955215, 1168978, 955351, 955497, 1169004, 955388, 955930, 955331, 1225863, 955772, 955504, 955543, 955309]","{'i': 0.04051847602919272, 'this': 0.03214018487314439, 'VBD': 0.02991968636441936, 'sentiment': 0.028833188550476632, 'but': 0.028181409163796235, 'male_pronouns': 0.02811183750996836, 'not': 0.022197275141562188, 'VBZ': 0.020846403231969922, 'me': 0.019085655720851847, 'an': 0.01892292922405475}"
0.875,0.8749366866976408,0.8757609158546056,0.875,0.87212,1,0.8525,0.8777506112469438,0.8588516746411483,0.8975,"[1195475, 1195614, 1195039, 1096686, 1252634, 1094339, 1253658, 1251267, 1252234, 1096082, 1095560, 1196593, 1196764, 1195914, 1194464, 838210, 1194909, 1195113, 1195310, 1253477, 1094137, 1094956, 1095183, 1195292, 1251117, 1253820, 1251523, 1097922, 1253554, 1252064, 838017, 1094641, 838241, 1097720, 1251608, 1252846, 1194621, 1196103, 1098362, 1097434, 1253167, 1195711, 1251284, 1098119, 838312, 1197016, 1098725, 1196391, 1098485, 1097166, 1194609, 838240, 1098980, 1252842, 1252959, 1095728, 1095939, 1196529, 1098641]","[955681, 955566, 955543, 955213, 955741, 955511, 1168989, 955332, 955261, 955671, 955768, 955237, 955365, 955819, 1169051, 955766, 955392, 955616, 955306, 1169019, 955331, 1169012, 955589, 955417, 955720, 955347, 1225879, 1225853, 949968, 955336, 955713, 955492, 955440, 951411, 955773, 1168990, 955586, 955730, 955307, 955649, 955664]","{'i': 0.040072725524576455, 'VBD': 0.030477029589209333, 'but': 0.026035835469401924, 'male_pronouns': 0.024622238831600606, 'me': 0.024575859617720595, 'sentiment': 0.024556130804721056, 'this': 0.02183834729049123, 'was': 0.020336484745239428, 'JJR': 0.02032421409346755, 'not': 0.020173567658892028}"
0.87875,0.8787346523544386,0.8789418393061488,0.87875,0.87737,1,0.8675,0.8800988875154512,0.8704156479217604,0.89,"[1251780, 1253527, 1250991, 1253268, 1251730, 1251890, 1194157, 1095312, 1094895, 1252442, 1196109, 1252560, 1096615, 1253746, 1194516, 1252864, 1194967, 1253755, 1197085, 1251766, 1095321, 1096462, 838330, 1096355, 1095274, 1094824, 1253628, 1094593, 1194357, 1093970, 1195347, 1251119, 1095695, 1253112, 838157, 1098861, 1098613, 1196421, 838129, 1095694, 1251519, 1097715, 1195152, 1251516, 1195019, 1195817, 1094610, 1097929, 1195625, 1253344, 1195614, 1096729, 1095004]","[1168979, 955491, 1225939, 1225852, 955936, 955252, 1225221, 955908, 955607, 955707, 955167, 955375, 955856, 955852, 955818, 955386, 955233, 955844, 955564, 955291, 955777, 1225861, 955586, 950012, 955837, 955443, 955384, 955826, 955383, 1168969, 955492, 955182, 955781, 955553, 1225865, 955351, 1169063, 955929, 955890, 955584, 1169015, 955782, 1225266, 955772]","{'i': 0.037656719574207784, 'but': 0.031280224667732934, 'sentiment': 0.029450142019429623, 'this': 0.029196162716655847, 'VBD': 0.02689011965553047, 'male_pronouns': 0.02521903242528396, 'VBZ': 0.023370520831515303, 'my': 0.02132307491401044, 'was': 0.019387928636749617, 'you': 0.01846184618240382}"
