,Key,Count,Mean Score
0,TTR,300,0.25000713521865925
1,the,300,0.07801295837286477
2,mean_sen_len,300,0.06808794977796004
3,to,300,0.06396077466938682
4,DT,300,0.0427573978290619
5,and,300,0.03654810734672028
6,of,300,0.02704561368993133
7,RB,212,0.018261358777547327
8,a,184,0.017672221860939932
9,VBG,161,0.016840305531764823
11,or,130,0.017366867389235936
12,said,89,0.017683851678801227
13,in,64,0.016675190613181602
14,lex_density,37,0.015955574498756835
16,have,7,0.015575864801818527
10,more,6,0.014994661465492743
20,an,3,0.01555505397812879
19,IN,3,0.015020666296692598
17,RBR,1,0.013016025337872817
15,be,1,0.015541377116412926
18,JJS,1,0.017057275673304916
21,VBZ,1,0.01735783999649786
