,Key,Count,Mean Score
0,TTR,300,0.044875308537578984
1,that,300,0.028008822779031543
3,sentiment,300,0.03375946440046319
4,to,299,0.02816725846941469
2,said,293,0.026292329876472967
5,lex_density,293,0.025506887040481048
8,VBD,269,0.023208518602526765
7,NN,228,0.021079351616889955
6,because,192,0.021145633171885368
12,mean_sen_len,129,0.02024156261165528
14,but,84,0.02036212926513465
10,an,78,0.020520292967220997
16,there,68,0.0197575062843953
11,DT,66,0.01957488517295505
9,has,37,0.02028574758984726
13,on,17,0.019702612616579806
15,their,11,0.01878858454519241
17,at,8,0.018758071144476147
20,this,6,0.019716764815825905
18,VBG,5,0.018729998668162266
19,would,5,0.019391078975453207
21,VB,4,0.017441663418072836
24,not,3,0.018589936039032435
23,you,2,0.019697520960599773
22,the,1,0.017967880260611958
25,with,1,0.019262095278430924
26,VBN,1,0.016300939794612057
