,Key,Count,Mean Score
0,TTR,300,0.09789744493499272
1,mean_sen_len,300,0.042709514489309916
2,sentiment,300,0.032254138859857964
3,very,298,0.025734783863984933
4,IN,284,0.02028699913485789
6,the,265,0.01949303827917123
7,and,246,0.019453988223578474
11,DT,226,0.01917166647937763
12,VBG,194,0.019032816767108707
5,a,191,0.018863440089227575
8,i,113,0.017901555693168085
10,is,111,0.0179913793327983
9,have,69,0.018453825192313048
17,was,38,0.017601826929100117
15,VBN,21,0.01740904165441271
13,RB,13,0.017045000313324163
14,to,12,0.017142992646854895
18,had,7,0.016891797398502224
20,PRP,4,0.016011907199190538
16,PRP$,3,0.017619200346862016
21,NNS,3,0.01687284806592114
19,JJ,1,0.01629630186248449
22,been,1,0.017765572232426374
