,Key,Count,Mean Score
0,TTR,300,0.16710755996088664
1,have,300,0.03405671166248985
2,very,300,0.029883507949178767
3,mean_sen_len,300,0.02401707051249487
4,DT,293,0.020820271790022625
7,IN,292,0.01979017462305097
10,sentiment,231,0.017764943929279648
8,a,220,0.01754143945135302
9,i,141,0.016544220044417364
12,the,135,0.016676523221576055
5,been,124,0.01728858159341645
13,VBN,101,0.016667069225091816
11,would,82,0.016730135379164117
6,had,46,0.016248569070407122
16,to,42,0.016104642058770907
14,go,36,0.016344951179613765
15,was,18,0.015317746721906368
21,of,7,0.015667335426282663
19,PRP$,6,0.015975497882200092
18,are,5,0.01563643504711254
22,JJS,3,0.01472364379939879
26,NNS,3,0.015449521420530687
24,up,3,0.015123367451892843
29,not,2,0.014395999050169118
28,is,2,0.016725172143464976
25,for,2,0.01466558302678901
27,with,2,0.0146285560675294
20,there,1,0.014571783235328229
17,this,1,0.013917679537085587
23,so,1,0.014612081712788525
30,it,1,0.014054442455861915
