,Key,Count,Mean Score
0,TTR,300,0.08700359699983902
1,and,300,0.06691268635810382
2,DT,300,0.028258812495406575
3,mean_sen_len,300,0.030029669981381263
9,IN,296,0.02286949251157818
6,the,294,0.022970034087261625
5,sentiment,287,0.021330660141027948
7,a,276,0.020247638108364278
8,VBG,265,0.02093422310269578
4,was,193,0.018642019289575523
10,PRP,136,0.0179971477488913
11,you,9,0.01807155974436997
17,i,8,0.017201676054880388
12,JJ,7,0.016023091350234924
16,it,6,0.017587922181770282
18,but,6,0.01778524267594998
13,NNS,4,0.017351142451345492
21,too,4,0.018927634160172943
15,VBD,4,0.017634269469262526
20,is,2,0.018032126485925764
14,to,1,0.01627723885212928
19,not,1,0.016883277643305102
22,lex_density,1,0.016220261016825773
