,Key,Count,Mean Score
0,TTR,300,0.13914012873184034
1,the,300,0.0490153146037985
2,and,300,0.05300745571257452
3,a,300,0.03940952629779357
4,DT,300,0.031249583058539258
5,IN,300,0.02455074999465832
6,mean_sen_len,300,0.025967038579539022
7,i,300,0.020664173523375486
8,or,269,0.01983757478081058
9,was,70,0.015665351065830998
14,to,64,0.01563356967133279
10,RB,38,0.015713318789394446
12,on,31,0.01588403403641471
20,for,30,0.015548412185601988
16,that,15,0.015451112734835454
21,this,13,0.015234557472083361
13,there,11,0.014856548533659208
25,NN,9,0.014556495572108129
19,with,8,0.01584934907710873
11,in,7,0.014483844914185886
28,PRP$,7,0.015548095062785523
17,is,6,0.015265696217081813
18,you,5,0.015327100893451392
22,an,3,0.014234004262919422
15,it,3,0.014981325881034983
29,they,3,0.01618914853494247
23,as,2,0.01680183752973653
26,PRP,2,0.015024203928308548
24,VBG,2,0.01492422669071568
27,lex_density,1,0.015282901473891466
30,VBZ,1,0.013440982610608363
