,Key,Count,Mean Score
0,TTR,300,0.08555834035122979
1,NNS,300,0.04737348165445439
12,and,255,0.02609711004215268
2,RB,242,0.025433077094407026
11,VBG,194,0.024600713218439405
7,not,175,0.025418306992476266
4,this,162,0.024468356230147054
3,of,112,0.022860842175532563
13,VBP,102,0.022844462538189586
16,a,100,0.022083325427143995
19,VBN,97,0.022728993910289066
9,the,92,0.022489790056138766
10,VBZ,83,0.022474957894103056
28,to,72,0.021815175613672994
18,for,67,0.022389994907756543
14,it,66,0.022508624355343437
27,sentiment,63,0.021392184539332542
20,PRP,60,0.021988135042496488
21,i,60,0.022121827937876853
6,mean_sen_len,45,0.021079167001291373
26,that,39,0.02190114449814528
15,in,35,0.021631580795220595
22,JJ,34,0.02084771964604804
25,but,33,0.02151796685869768
8,PRP$,32,0.02255971008654477
5,IN,28,0.021290487732790304
24,VB,27,0.02132440520014911
35,is,25,0.022213353685777208
31,they,19,0.022311107024813193
34,was,17,0.022183391755213073
23,with,15,0.02067945295946465
17,have,13,0.023670272638888597
30,on,11,0.022000618729153435
33,JJR,6,0.02099474897783396
29,had,5,0.02010354385339826
37,my,4,0.020510204638411817
36,you,3,0.021911715913548693
32,DT,2,0.0209253279686573
38,be,2,0.021355879588827384
39,lex_density,1,0.020701673874996423
40,if,1,0.019478192726347432
41,so,1,0.021496786442632986
