,Key,Count,Mean Score
0,TTR,100,0.0957470292637421
2,a,100,0.026210164937413523
4,through,100,0.02394918488182382
3,DT,96,0.021506517550085896
1,see,93,0.02292734809460864
7,yourself,87,0.020430545035452368
10,sentiment,72,0.01971867792297666
12,of,63,0.019042617071987514
6,RBR,60,0.02053563827862589
5,the,55,0.018153476510807332
13,i,40,0.018313115093971804
11,any,31,0.020087245897869085
16,our,27,0.017941465196084437
15,do,16,0.017871109461525567
19,just,13,0.017632498084863737
14,is,11,0.01740050955426327
18,to,8,0.017274727061701314
9,mean_sen_len,6,0.01687033180831651
8,RB,5,0.017080275521956418
17,PRP$,5,0.018274579370016916
22,and,4,0.016939835918664322
23,VBP,3,0.01632104910697793
20,if,1,0.016171686894520473
21,VBN,1,0.019602654149868518
24,have,1,0.017393201157807518
25,one,1,0.016613071769864363
26,my,1,0.018745984641464687
