accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.86,0.8582852515436784,0.8783102143757882,0.86,0.87387,1,0.97,0.8426966292134831,0.9615384615384616,0.75,"[1101549, 838569, 1099735, 1198256, 838488, 838508]","[1171465, 981845, 981090, 976681, 968363, 971794, 959913, 1170988, 980003, 959485, 982263, 975448, 1228060, 966648, 975771, 980888, 959747, 975958, 962202, 981554, 978864, 975907, 980614, 975482, 982745, 982310, 977843, 978216, 981565, 981100, 975305, 975660, 982051, 975770, 979956, 980673, 960248, 981768, 980821, 1226638, 982777, 980618, 977871, 966368, 959803, 1228014, 1171301, 959834, 1229171, 962265]","{'mean_sen_len': 0.07618032501071538, 'TTR': 0.055920115708622015, 'this': 0.026224438451507206, 'with': 0.02305914642930608, 'you': 0.020640952773081422, 'about': 0.02013089906591478, 'of': 0.019696266438662176, 'VBD': 0.01963277534284044, 'have': 0.018746301061028883, 'that': 0.018555128735941662}"
0.8625,0.8607374584586168,0.881830151415405,0.8625,0.8764,1,0.975,0.8450704225352113,0.967741935483871,0.75,"[1255487, 1197955, 1154650, 1255319, 1255466]","[971790, 966295, 981898, 1228454, 975620, 1229150, 971741, 1172218, 982390, 1227968, 969374, 975845, 1170309, 976016, 1172211, 959711, 974049, 975903, 981922, 1226611, 1229055, 964504, 975656, 983431, 981771, 1226425, 978264, 981607, 1171562, 980407, 975699, 1229137, 981788, 979850, 980619, 960056, 971619, 980457, 1227246, 978094, 969881, 963796, 962428, 1172132, 960792, 960303, 962072, 963650, 965082, 981933]","{'mean_sen_len': 0.08704075541572054, 'TTR': 0.05273698707864903, 'VBD': 0.03453901031227442, 'with': 0.031076647516868703, 'this': 0.023543500177892737, 'VBP': 0.023520674719848547, 'what': 0.021611742914202658, 'you': 0.02033934703239796, 'have': 0.018150825955141007, 'that': 0.018007262635080953}"
0.8575,0.8564005668398678,0.8687943262411347,0.8575,0.86897,1,0.945,0.8438356164383561,0.9333333333333333,0.77,"[1254320, 1256580, 838507, 1101732, 1199538, 1100615, 1255558, 1099963, 1256547, 1101834, 1199675]","[962210, 982013, 975307, 1229056, 964706, 975370, 975606, 981951, 1172191, 975810, 1169568, 1171527, 1227894, 974313, 982159, 971770, 975662, 965214, 981716, 980825, 1226450, 1170388, 1229238, 974791, 977816, 1170044, 977598, 1172293, 980765, 1228402, 1171501, 981456, 965817, 981283, 1226521, 961334, 981639, 966361, 981106, 978021, 962521, 966019, 959801, 971578, 960119, 981800]","{'mean_sen_len': 0.0869163352606541, 'TTR': 0.06225641176828563, 'VBP': 0.030230129845529908, 'VBD': 0.02904749631160379, 'this': 0.023422240967608733, 'that': 0.022030643881914967, 'is': 0.020888661932019062, 'of': 0.019531243234841265, 'with': 0.018116997902532055, 'have': 0.017772444012404395}"
0.8625,0.8613133624575272,0.8753462245347001,0.8625,0.87414,1,0.955,0.8484848484848485,0.9447852760736196,0.77,"[1100667, 1255483, 839009, 1101549, 838569, 1101254, 838841, 1256708, 1254527]","[961256, 1227224, 981106, 971776, 975780, 975376, 982123, 1169543, 981754, 980583, 980239, 1171331, 1228452, 975667, 960389, 972652, 975964, 981580, 981163, 975101, 971968, 966105, 975415, 963929, 977917, 977594, 981836, 980755, 1171548, 1229225, 980305, 981490, 979843, 966429, 1172158, 978241, 975215, 1172135, 976702, 1169538, 973604, 983889, 981666, 1169808, 961529, 982096]","{'mean_sen_len': 0.08608899431632089, 'TTR': 0.07415180658768736, 'this': 0.03010904971866892, 'what': 0.028382798972802985, 'that': 0.023218553701034556, 'is': 0.021749121720985226, 'you': 0.020290970513096248, 'VBZ': 0.017560174968583087, 'so': 0.017364919716328246, 'from': 0.017284686708142944}"
0.8725,0.871399663369707,0.885700603142554,0.8725,0.8833,1,0.965,0.859504132231405,0.9570552147239264,0.78,"[1255482, 1199108, 1198864, 1254876, 1100711, 1256547, 1154643]","[975379, 1229181, 973246, 971458, 960049, 969576, 971491, 980765, 1171487, 961007, 981065, 1169603, 972491, 975662, 981602, 972306, 980926, 1228412, 975720, 977651, 975085, 965993, 981645, 975620, 981916, 979889, 1227986, 959780, 982009, 980735, 980061, 1228567, 962491, 980631, 977963, 1227773, 980661, 960813, 1226520, 973662, 980506, 960315, 974050, 981381]","{'mean_sen_len': 0.0924429199688352, 'TTR': 0.05754854583137857, 'this': 0.03069150681631292, 'with': 0.02629179981427478, 'VBD': 0.023081404116636707, 'you': 0.020727403622128934, 'is': 0.019963485540048346, 'that': 0.018101835251099464, 'not': 0.017216390536290684, 'what': 0.0169468662824138}"
0.84,0.8380402874784898,0.8572929802438,0.84,0.85586,1,0.95,0.8202247191011236,0.9358974358974359,0.73,"[1197108, 1198119, 1255040, 1100702, 1256822, 1198390, 1198331, 1255084, 1211438, 1101243]","[960122, 965220, 971789, 974171, 980739, 1228436, 976247, 973599, 1170321, 971816, 975557, 981223, 959863, 961101, 975630, 1229326, 962312, 981440, 981321, 965069, 1227965, 968622, 965950, 973036, 975565, 981850, 964368, 978084, 978220, 981000, 975880, 966095, 981966, 981929, 980290, 980609, 960190, 981459, 1229076, 980813, 968517, 977947, 960083, 972996, 1226629, 1226529, 1172284, 975479, 971749, 1229161, 1228398, 975702, 979804, 981554]","{'mean_sen_len': 0.0860235616915594, 'TTR': 0.059780451436791025, 'VBD': 0.03249046066954433, 'VBZ': 0.026152538712784616, 'with': 0.026043667204576543, 'what': 0.024199093558205837, 'have': 0.02243034396630436, 'this': 0.02120292374379399, 'that': 0.01680841229438074, 'VBP': 0.015862823557828868}"
0.865,0.8637705290244456,0.8786699865131237,0.865,0.87671,1,0.96,0.850828729281768,0.9506172839506173,0.77,"[1197996, 1197244, 839112, 1197617, 838598, 838872, 1100820, 839099]","[966617, 981431, 975782, 981448, 981022, 976621, 1169525, 1227937, 975608, 975278, 1171065, 959727, 1169626, 975536, 1227231, 1172282, 1172162, 964764, 980625, 1229238, 959853, 1172315, 976530, 978056, 981708, 980827, 1228375, 980331, 975579, 1170327, 981771, 981564, 975555, 982037, 970253, 961687, 964566, 1227236, 980636, 1228696, 1228145, 959683, 962185, 971417, 980943, 1172267]","{'mean_sen_len': 0.07534332409772522, 'TTR': 0.06301755687811544, 'that': 0.030190521447234442, 'this': 0.02509319901920377, 'VBD': 0.024922542275011495, 'have': 0.024248112627836438, 'with': 0.02038222591175717, 'or': 0.019690438270320115, 'VBZ': 0.01929559883039518, 'what': 0.019189586390513734}"
0.8525,0.8513619902377578,0.8636363636363636,0.8525,0.86437,1,0.94,0.8383561643835616,0.9272727272727272,0.765,"[1198591, 1197888, 1256154, 1255581, 1100158, 1211396, 1197768, 1100970, 1100117, 1100036, 1101298, 1255137]","[960642, 971562, 982328, 982092, 975473, 975537, 1171557, 981754, 980839, 1172193, 981667, 971839, 980827, 1171478, 975847, 966646, 975690, 1226456, 965751, 971668, 969372, 960396, 984192, 964397, 978193, 978152, 981645, 975631, 1172311, 975668, 981598, 960288, 981800, 1172314, 980921, 1172351, 974408, 966600, 981237, 977917, 959818, 962447, 960696, 979889, 974676, 964768, 981665]","{'mean_sen_len': 0.08803627953332864, 'TTR': 0.0626175866631617, 'have': 0.030110737325154572, 'you': 0.02524725640128073, 'VBD': 0.022351207818971437, 'this': 0.02217929625472118, 'VBP': 0.02102759150672886, 'what': 0.016245868286036528, 'a': 0.016065637856970714, 'or': 0.015861010629178808}"
0.88,0.879321181646763,0.8887468030690536,0.88,0.88837,1,0.955,0.8702702702702703,0.9470588235294117,0.805,"[1099735, 1255955, 1256190, 1256678, 1198652, 839185, 1198972, 839181, 1101122]","[975971, 981495, 971882, 964793, 981016, 971421, 960208, 982609, 971578, 980741, 1226438, 975726, 1172202, 973836, 1228003, 1171091, 975910, 974638, 981619, 1227097, 964154, 1171816, 977699, 981484, 1172134, 966385, 982022, 962532, 975574, 981490, 978156, 1169831, 981257, 966347, 959652, 982126, 971423, 959860, 1172227]","{'mean_sen_len': 0.07945071306064859, 'TTR': 0.05886516502280609, 'VBD': 0.02640322297350818, 'that': 0.02586726227142941, 'VBP': 0.023351107999286774, 'with': 0.022229349304025935, 'and': 0.018058605395346188, 'is': 0.016367976131997336, 'a': 0.016175492239356003, 'was': 0.01598449421725929}"
0.855,0.8532240105273813,0.8730559058427911,0.855,0.86937,1,0.965,0.8370786516853933,0.9551282051282052,0.745,"[1101557, 838504, 1197454, 1197799, 1198426, 1198940, 1255840]","[1170346, 977059, 981796, 962214, 975848, 975204, 1228409, 981629, 980919, 959661, 972985, 980680, 972614, 1170366, 975609, 980880, 960226, 960535, 975523, 962054, 981804, 971601, 971711, 969422, 980753, 1170127, 978012, 978227, 981419, 981072, 975823, 981501, 1171473, 1229228, 978611, 960740, 975751, 1226442, 981319, 964894, 966687, 980593, 977807, 966093, 959946, 973266, 963820, 960218, 981517, 982009, 959146]","{'mean_sen_len': 0.08375161901853888, 'TTR': 0.06031576790390474, 'have': 0.02946486735170061, 'of': 0.028111229602559244, 'this': 0.02749243708639034, 'is': 0.023899646885472636, 'what': 0.020983608510247036, 'with': 0.020806202204866852, 'you': 0.02007904774179855, 'VBD': 0.01964710309906955}"
