accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.815,0.8149259703881552,0.8155048076923077,0.815,0.81122,1,0.795,0.8186274509803921,0.8028846153846154,0.835,"[1248784, 1191912, 1248816, 1250828, 1090078, 1191127, 1191645, 1193825, 1090841, 1090027, 1093318, 1250307, 1092303, 1191825, 1250020, 1250122, 1092566, 1249054, 837217, 1248168, 1092300, 1250706, 837417, 1191562, 1193724, 1249918, 1091619, 1249161, 1249391, 1093191, 1249661, 837080, 1191919, 837671, 1250250, 1250550, 1248184, 837189, 1191110, 1249341, 1191606]","[927194, 926020, 930451, 921262, 918158, 1222061, 925347, 925375, 920665, 926500, 920415, 925088, 925255, 917437, 1164609, 920326, 1221683, 924687, 1222228, 929708, 915822, 1222770, 1220816, 1165011, 918241, 928725, 925898, 925047, 924652, 1220619, 1165801, 1165322, 908956]","{'TTR': 0.09784212536550425, 'mean_sen_len': 0.04603281093595725, 'DT': 0.030324377031892714, 'the': 0.028912747759923182, 'VBG': 0.02770458339193862, 'in': 0.021316172362111113, 'RB': 0.019863515809625983, 'and': 0.019003441760909998, 'said': 0.018486309362581985, 'IN': 0.01632156377567859}"
0.83,0.8297914945808617,0.8316249623153452,0.83,0.83575,1,0.865,0.8238341968911918,0.8548387096774194,0.795,"[1248366, 1211249, 1190903, 1193907, 836985, 1093696, 1091465, 1247762, 1248064, 1191282, 1090312, 1092564, 1193214, 1249467, 1092918, 1192449, 1191346, 1211261, 1092757, 1249382, 837521, 1193126, 1193509, 1249634, 1092767, 837012, 1091125]","[1222705, 1164626, 1221542, 1222209, 914829, 925786, 920347, 924989, 1166148, 1221109, 917973, 1165251, 925293, 925130, 925859, 920323, 908832, 925155, 1165211, 928018, 925380, 912377, 915816, 917972, 919708, 1222704, 924896, 926231, 929528, 929247, 929779, 925431, 918589, 921266, 913506, 925918, 1222051, 1222095, 920070, 920609, 1220635]","{'TTR': 0.0925424156108775, 'mean_sen_len': 0.053504173355981274, 'the': 0.031102818125066614, 'DT': 0.029081987764809587, 'and': 0.028446868687670296, 'a': 0.023315294555572977, 'said': 0.02053833182431331, 'VBG': 0.01650235218062918, 'in': 0.015944485476439892, 'RB': 0.015170203050481865}"
0.855,0.8549963749093727,0.855035503550355,0.855,0.85572,1,0.86,0.8542713567839196,0.8585858585858586,0.85,"[1191971, 1090519, 837102, 1193572, 1193303, 1090032, 1192813, 1191492, 1093004, 1092631, 1248540, 1090410, 1192516, 1193203, 1191346, 1092885, 1090313, 1193040, 837030, 1193721, 1092269, 1193087, 836992, 1192169, 1191668, 1248100, 1193274, 1191618]","[926576, 924738, 917565, 1221586, 924992, 919938, 1165869, 924936, 926279, 928797, 920071, 925974, 925193, 925036, 927113, 928748, 925623, 929724, 925296, 918006, 920082, 927617, 929387, 929365, 921063, 1163840, 920973, 918554, 926380, 931483]","{'TTR': 0.11240926616831928, 'mean_sen_len': 0.047983888174972573, 'DT': 0.03124503826246273, 'the': 0.028641350673147516, 'VBG': 0.02235428570717597, 'said': 0.018270916923751417, 'a': 0.017035933385077463, 'in': 0.016686006968061867, 'IN': 0.01593380707296705, 'NN': 0.014366508559770657}"
0.82,0.8199819981998201,0.8201280512204883,0.82,0.82178,1,0.83,0.8181818181818182,0.826530612244898,0.81,"[1191038, 1092767, 1154432, 1191537, 1091034, 1193004, 1191862, 1093638, 1193203, 1192813, 1250005, 1092373, 1191861, 1193443, 1250125, 1250355, 1192790, 1192029, 1211200, 837383, 1090717, 1091691, 1193968, 1250044, 1093790, 1249161, 1091512, 1192942, 837671, 1090506, 1192856, 1093337, 1193322, 1191881]","[1222276, 919870, 1164683, 918181, 1165888, 1165940, 930494, 1164131, 917978, 926395, 930765, 925963, 925136, 914083, 919897, 920205, 1222050, 924956, 915284, 927352, 918529, 913455, 931626, 1165262, 920018, 925380, 926538, 919781, 927421, 930841, 925214, 916369, 924825, 914195, 925585, 925258, 925004, 1164722]","{'TTR': 0.10767065086877046, 'mean_sen_len': 0.03634162030311092, 'the': 0.0329585539684161, 'DT': 0.03194353437371663, 'RB': 0.020116776819998225, 'and': 0.01932307739261129, 'a': 0.0187706173629661, 'said': 0.018690128161812414, 'VBG': 0.017808471613901693, 'VBP': 0.015546434515579598}"
0.795,0.7949538646195394,0.7952657391652487,0.795,0.79188,1,0.78,0.7980295566502463,0.7864077669902912,0.81,"[1093163, 1192548, 1092240, 1191222, 1191418, 1092135, 1191616, 1249404, 1193160, 1191866, 1193988, 1192619, 1249341, 837629, 1250383, 1248939, 1192395, 1249735, 1193648, 1092937, 837199, 1247817, 1248632, 1250302, 1191741, 1091238, 1090563, 1191107, 1093220, 1154465, 1247762, 1191220, 1193551, 1248502, 1093093, 1191517, 1250615, 1193533, 1193331, 1249980, 1250563, 1093437, 1250229, 1090765]","[925515, 929600, 930315, 919303, 917622, 1222385, 927163, 930446, 928817, 925297, 915300, 925170, 924863, 916471, 1164639, 925935, 924693, 926646, 930629, 930083, 909607, 920327, 929204, 1220513, 916026, 919880, 1220881, 926070, 926061, 924670, 925084, 921050, 925165, 1222742, 1222355, 921272, 920816, 1164632]","{'TTR': 0.09515667816051093, 'mean_sen_len': 0.04533930771390875, 'the': 0.031882992772447875, 'and': 0.03118919858322843, 'DT': 0.02336068249783212, 'said': 0.02232620301450582, 'in': 0.01773298598790833, 'a': 0.01654116669863354, 'RB': 0.01616954050433678, 'VBP': 0.015910806342164865}"
0.7975,0.7974987343670898,0.7975074376859422,0.7975,0.79699,1,0.795,0.7980049875311721,0.7960199004975125,0.8,"[1093281, 1093713, 1248982, 1248944, 1090692, 1249673, 1192681, 1250207, 1091748, 1090405, 1092827, 1090116, 1192535, 1191435, 1090824, 1192617, 837468, 1191805, 1247817, 1093267, 1191899, 1091578, 1092908, 1248755, 1093805, 1250132, 1090704, 1092894, 1249320, 1090818, 1093628, 1191964, 1248494, 1092170, 1191025, 1092239, 1092885, 1093100, 1192303, 1093278, 1091347]","[921484, 1221547, 1164374, 921203, 926782, 913581, 924877, 924999, 1163615, 1221167, 929502, 925431, 930214, 926500, 929714, 1164595, 1165286, 925213, 1222347, 929159, 1222197, 917531, 1164635, 920145, 927500, 1220674, 1165777, 911615, 926226, 913711, 1222198, 925326, 924792, 911299, 920382, 921753, 924645, 1164684, 924648, 921134]","{'TTR': 0.07902311741172047, 'mean_sen_len': 0.04170727836186164, 'the': 0.03867260784903209, 'and': 0.031598629650974625, 'DT': 0.027595560157106073, 'said': 0.024467396088347998, 'a': 0.022624392701293218, 'VBP': 0.021717271040754063, 'was': 0.018393941882702724, 'RB': 0.01834438569914375}"
0.8275,0.8274730426629161,0.8277048155096935,0.8275,0.82963,1,0.84,0.8253164556962025,0.8358974358974359,0.815,"[1191648, 1249752, 1193522, 837363, 1192389, 1090633, 1192847, 1192602, 1191437, 1193615, 1191110, 1091460, 1248074, 837486, 1090435, 1091989, 1154427, 1091413, 1249038, 1090292, 1192137, 1250536, 1250337, 1250491, 1091779, 1090396, 1248234, 1250866, 1092837, 1249859, 1250058, 1250706]","[913857, 930387, 929566, 918462, 928911, 913990, 912285, 1164034, 924616, 924903, 924622, 921231, 910634, 927338, 924695, 924890, 930538, 912492, 1165238, 1220653, 1165757, 909661, 925399, 920342, 915859, 920092, 916400, 1221585, 1222238, 925510, 924766, 924796, 925974, 926443, 916476, 930205, 925695]","{'TTR': 0.08955331330665914, 'mean_sen_len': 0.050669443459039176, 'DT': 0.04030076941766837, 'the': 0.038251658227029445, 'a': 0.02292475286447082, 'IN': 0.018777682679085948, 'RB': 0.01840006784649412, 'VBG': 0.018003518871863525, 'and': 0.01622195920895935, 'said': 0.015891078563622284}"
0.81,0.8097669645315512,0.8115264797507789,0.81,0.80311,1,0.775,0.8164251207729468,0.7897196261682243,0.845,"[1250333, 1090998, 1091060, 1090514, 1091095, 1193018, 1154471, 1091019, 1249980, 1192442, 1191923, 1250489, 1090818, 1090147, 1092246, 1249063, 1250792, 1193876, 1191473, 1091340, 1193818, 1250669, 1092517, 837258, 836947, 1090354, 1093163, 1193960, 1193380, 1249522, 1191959, 1249551, 1191116, 1191184, 1090260, 1091263, 837237, 1090399, 1250822, 1250912, 1250268, 1092493, 1192914, 1193830, 1193002]","[930342, 926074, 925317, 1222095, 1164719, 925043, 914140, 1165504, 924040, 920469, 916184, 928748, 930443, 919822, 926397, 920529, 1164108, 914079, 929496, 931470, 921210, 929590, 920769, 922202, 925181, 920143, 924560, 916115, 925663, 925628, 924851]","{'TTR': 0.09274830059974803, 'mean_sen_len': 0.042429866761592105, 'the': 0.033921887645175966, 'DT': 0.03253392197576009, 'said': 0.02163925289474982, 'to': 0.021492975620257298, 'a': 0.018877899004248088, 'in': 0.018533594255740922, 'VBP': 0.01810198812505626, 'VB': 0.017009835095075337}"
0.83,0.8299957498937474,0.83003300330033,0.83,0.82915,1,0.825,0.8308457711442786,0.8267326732673267,0.835,"[1193566, 1248689, 1191767, 1192209, 837386, 1091918, 1092948, 1249695, 1250355, 1250322, 1248649, 837442, 1249580, 1250563, 1250604, 1093107, 1090923, 1091812, 837435, 1247992, 1193461, 1093853, 1249790, 1090884, 1092022, 1093526, 1249903, 1091782, 1192995, 1192262, 1154490, 1249220, 1250307, 1249426, 1192583]","[915905, 912508, 930464, 925659, 925278, 917992, 918702, 930615, 1222249, 924902, 914129, 920418, 924835, 1222048, 926719, 925603, 1220963, 925503, 913946, 919456, 925267, 926620, 1223156, 1165751, 913569, 925581, 1222038, 924796, 924962, 1164742, 1165192, 920803, 920707]","{'TTR': 0.09392090549024724, 'mean_sen_len': 0.043796934158965135, 'and': 0.03174250294649661, 'the': 0.030739215444075638, 'VBG': 0.025064284090178926, 'DT': 0.024546702117748485, 'said': 0.019701657779195886, 'in': 0.018509195161709225, 'to': 0.017969984774975533, 'IN': 0.01750977342064959}"
0.815,0.8149259703881552,0.8155048076923077,0.815,0.81122,1,0.795,0.8186274509803921,0.8028846153846154,0.835,"[1191220, 1192327, 836978, 837575, 1247859, 1089972, 1192043, 1090028, 1191670, 1249584, 1250161, 1248228, 1250303, 1091917, 1248831, 1191806, 1248278, 1247885, 1250223, 1092203, 1090841, 1092037, 1090561, 1092156, 1092371, 1192186, 1093151, 1248459, 1193532, 1249309, 1090042, 1091546, 1193770, 1090449, 1091737, 1093485, 1250792, 1093643, 837050, 1192537, 837485]","[920967, 1165289, 924804, 1165508, 1164326, 918323, 929660, 925217, 926118, 1165177, 919968, 912215, 925270, 930347, 912102, 929693, 930689, 919895, 1165941, 1165213, 925638, 1166304, 931657, 926572, 921119, 913633, 925574, 924770, 920424, 1222091, 920837, 920586, 930897]","{'TTR': 0.09981932345469229, 'mean_sen_len': 0.044247826837218236, 'the': 0.033295515143862725, 'DT': 0.030255189111986658, 'said': 0.026608409362061023, 'a': 0.024474831028601263, 'in': 0.019061777656973634, 'and': 0.01843038363655588, 'JJS': 0.016940926320173376, 'VBG': 0.01640556417557061}"
