,Key,Count,Mean Score
0,TTR,100,0.09031704555810886
1,DT,100,0.02853518251799357
2,the,100,0.025390824190386428
3,mean_sen_len,100,0.023452664523718848
4,sentiment,100,0.03210776801998149
5,VBZ,100,0.0246802646896846
6,a,100,0.02360050024236511
7,RB,84,0.019298527307000043
8,VBP,81,0.018911342899573483
9,i,66,0.018406018254307776
11,PRP$,29,0.017947560193475296
17,VBG,9,0.01774620107659791
14,on,8,0.016582719605969718
16,this,6,0.01846231688595638
12,me,6,0.017684291644175912
10,VBN,3,0.016210495393008482
15,to,3,0.016287771748899123
13,my,3,0.018609591660411203
18,VBD,1,0.015695113814060586
19,in,1,0.017765820638391935
