,Key,Count,Mean Score
0,TTR,100,0.0677645604085279
1,and,100,0.024946704696648236
2,the,100,0.026602014662139576
3,DT,100,0.02359554437550867
4,sentiment,100,0.02573754746423483
5,mean_sen_len,100,0.02201534091954092
7,IN,99,0.018845357817123896
6,a,98,0.0190600006483098
10,JJ,52,0.01690344869085174
11,RB,40,0.017181701710360035
8,lex_density,33,0.016674667146966988
16,NN,30,0.016861972798029822
14,NNS,22,0.017043793645923552
9,i,14,0.01678684567962002
12,VBG,4,0.016591055723771772
13,VBD,3,0.017070496373340186
15,VB,3,0.01676898847634734
17,was,1,0.016193580147338685
18,to,1,0.01590470029730902
