accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.5954773869346733,0.5645508341954747,0.6310904070856663,0.5954773869346733,0.68119,1,0.86,0.44673539518900346,0.6989247311827957,0.3282828282828283,"[1454718, 1467354, 1454553, 1473511, 1454694, 1454472, 1473536, 1454556, 1473538, 1454599, 1454270, 1473696, 1473537, 1473671, 1467293, 1473577, 1473627, 1454408, 1454467, 1473501, 1467373, 1467315, 1454440, 1460756, 1460973, 1473733, 1467150, 1473590]","[1506447, 1506675, 1506531, 1501558, 1492032, 1501504, 1492060, 1501692, 1502215, 1496351, 1497096, 1506470, 1492090, 1506370, 1485706, 1489079, 1477197, 1488963, 1473386, 1476703, 1483643, 1460158, 1488987, 1466710, 1486605, 1489478, 1489147, 1502353, 1488827, 1488890, 1492792, 1493704, 1506900, 1495454, 1495670, 1500777, 1495905, 1508937, 1496016, 1500985, 1505701, 1495790, 1494410, 1508073, 1507975, 1494738, 1508448, 1502341, 1498517, 1507776, 1504143, 1488113, 1507451, 1498750, 1497420, 1497779, 1506822, 1497347, 1493212, 1506943, 1507068, 1492886, 1507133, 1494277, 1465099, 1482530, 1485375, 1469801, 1475054, 1510910, 1469844, 1463621, 1456984, 1512370, 1515669, 1463125, 1463593, 1513784, 1515132, 1474783, 1509144, 1510146, 1455734, 1515563, 1511564, 1509882, 1509924, 1509720, 1477391, 1473982, 1455297, 1479692, 1478697, 1461464, 1480063, 1477696, 1473882, 1468585, 1488323, 1514487, 1514809, 1472183, 1482334, 1485330, 1482475, 1482560, 1484876, 1490424, 1490459, 1485051, 1465343, 1488306, 1506101, 1481864, 1464552, 1512087, 1484007, 1481051, 1480982, 1483815, 1480981, 1490029, 1483995, 1475978, 1470691, 1487454, 1484451, 1471221, 1486797, 1481702, 1514123, 1470847, 1500395]","{'PRP': 0.07726297584648455, 'of': 0.06597818993410061, 'sentiment': 0.06551807314661037, 'NN': 0.0566139907928813, 'VB': 0.05391838810800729, 'to': 0.039937528338222054, 'NNS': 0.036419174983632424, 'DT': 0.035738419193669865, 'which': 0.031178057166291663, 'have': 0.03087865193133406}"
0.6331658291457286,0.6056871659886736,0.6822339581445862,0.6331658291457286,0.71032,1,0.895,0.5,0.776595744680851,0.3686868686868687,"[1473671, 1473478, 1460828, 1473582, 1467051, 1473501, 1454406, 1460593, 1460903, 1467417, 1460598, 1454635, 1467413, 1467090, 1467282, 1454248, 1467187, 1454719, 1467236, 1467257, 1467206]","[1501583, 1497179, 1506320, 1501775, 1506499, 1496875, 1501577, 1506353, 1501662, 1491564, 1496488, 1501627, 1501361, 1460573, 1476878, 1466543, 1473130, 1483043, 1482816, 1472678, 1486543, 1459650, 1460278, 1501788, 1460131, 1488424, 1484838, 1496601, 1491957, 1507008, 1498230, 1505903, 1500971, 1500503, 1495444, 1501128, 1500632, 1508636, 1500914, 1495093, 1499490, 1494519, 1507511, 1503712, 1507100, 1503963, 1504169, 1497508, 1507327, 1502552, 1482300, 1498146, 1497621, 1497440, 1497315, 1492466, 1502753, 1492474, 1492917, 1494071, 1484897, 1471710, 1490531, 1463361, 1514663, 1512779, 1457361, 1457025, 1513003, 1515367, 1455728, 1509468, 1509839, 1469375, 1509880, 1511669, 1456743, 1462200, 1455704, 1513486, 1462519, 1462690, 1469149, 1513674, 1513201, 1461878, 1455178, 1461874, 1467959, 1467922, 1478874, 1456385, 1465189, 1469873, 1512149, 1485355, 1465518, 1459220, 1471470, 1476593, 1482483, 1485053, 1476409, 1505790, 1481621, 1470708, 1457801, 1487405, 1514890, 1481754, 1487565, 1457744, 1483867, 1484679, 1457860, 1486742, 1464804, 1489903, 1483919, 1514719, 1475336, 1515691, 1469926, 1480983, 1495626]","{'of': 0.09086029192149153, 'sentiment': 0.06252430961877498, 'PRP': 0.05469282009178115, 'NN': 0.051179145408115405, 'IN': 0.04722136306392543, 'VB': 0.040912130465592604, 'to': 0.03956334774356969, 'DT': 0.03788287233083468, 'mean_sen_len': 0.02885639636527252, 'have': 0.028480462926623165}"
0.6005025125628141,0.557483063838935,0.6612399458593275,0.6005025125628141,0.69598,1,0.91,0.4175824175824176,0.76,0.2878787878787879,"[1454628, 1460937, 1454635, 1454350, 1460647, 1473681, 1467030, 1467187, 1473577, 1461047, 1467425, 1454702, 1473706, 1473612, 1473685, 1467174, 1467154, 1467069]","[1497051, 1491790, 1506252, 1497023, 1496433, 1506354, 1493017, 1496678, 1491517, 1492745, 1502534, 1502981, 1496658, 1496380, 1502116, 1490911, 1496883, 1482703, 1459281, 1484865, 1485103, 1490881, 1486580, 1497067, 1466703, 1485970, 1460364, 1489480, 1473395, 1466973, 1496466, 1506991, 1503127, 1499237, 1497302, 1495108, 1505655, 1495436, 1500468, 1496186, 1505590, 1498950, 1500320, 1501211, 1500999, 1500548, 1500326, 1505510, 1505225, 1500676, 1498044, 1507933, 1493513, 1507309, 1497446, 1502843, 1497314, 1507135, 1503119, 1493787, 1488310, 1504064, 1503586, 1503980, 1507472, 1507457, 1499130, 1493544, 1487689, 1476318, 1485340, 1462675, 1462596, 1511782, 1474495, 1509194, 1513330, 1511179, 1462644, 1462215, 1514943, 1514580, 1470190, 1469652, 1516069, 1474778, 1510952, 1515323, 1462343, 1479978, 1477557, 1461761, 1468103, 1479626, 1477388, 1468598, 1461878, 1455400, 1477790, 1461461, 1513347, 1474801, 1513112, 1462060, 1485509, 1514809, 1512405, 1484020, 1458324, 1458415, 1487570, 1487027, 1485300, 1480873, 1458764, 1465056, 1487737, 1490803, 1482388, 1485000, 1481893, 1495725, 1513049, 1464330, 1484596, 1463745, 1475487, 1475342, 1470228, 1463895, 1463266, 1475656, 1458515, 1489692, 1457819, 1481279, 1487596, 1487630, 1475592, 1484355, 1500936]","{'PRP': 0.06943495094360158, 'of': 0.06618177496031707, 'VB': 0.06384326704089542, 'sentiment': 0.057804917661240005, 'NN': 0.05276749122654085, 'IN': 0.041623204937860175, 'DT': 0.03790457954113918, 'to': 0.03630391253278908, 'the': 0.031076911963344504, 'have': 0.030626035906336998}"
0.6206030150753769,0.5927620174301236,0.6636948857541136,0.6206030150753769,0.6998,1,0.88,0.48464163822525597,0.7473684210526316,0.35858585858585856,"[1454506, 1467031, 1467426, 1454646, 1460647, 1473547, 1467291, 1467013, 1467236, 1473592, 1467373, 1460802, 1454459, 1454350, 1473669, 1467267, 1473541, 1467176, 1460823, 1454373, 1467187, 1454472, 1473574, 1473679]","[1496738, 1496499, 1497138, 1491549, 1506447, 1501783, 1491934, 1506764, 1501617, 1491808, 1491979, 1506784, 1497229, 1506728, 1460196, 1491005, 1460422, 1459763, 1477034, 1472638, 1491242, 1473074, 1466454, 1460063, 1460000, 1492321, 1459217, 1482470, 1492007, 1502139, 1502726, 1502377, 1505827, 1500703, 1506172, 1500404, 1505899, 1494868, 1493768, 1493753, 1499053, 1504185, 1499024, 1494326, 1498970, 1502265, 1507933, 1502998, 1493297, 1493032, 1482695, 1506829, 1493327, 1492673, 1507161, 1497696, 1502701, 1507132, 1497959, 1507352, 1494245, 1485516, 1476044, 1481993, 1475232, 1510829, 1463426, 1515742, 1512014, 1510035, 1513950, 1513688, 1509257, 1474546, 1469465, 1511571, 1455877, 1514418, 1469125, 1468785, 1513275, 1513905, 1511636, 1509795, 1473843, 1477886, 1477999, 1461099, 1479171, 1478369, 1474286, 1454898, 1511562, 1510905, 1514441, 1510657, 1488154, 1471515, 1484774, 1484945, 1482430, 1459528, 1476545, 1484899, 1458272, 1500443, 1489965, 1458498, 1486928, 1480937, 1490183, 1487600, 1471014, 1458203, 1464764, 1480993, 1475591, 1470617, 1464225, 1464545, 1457730, 1510816, 1512741, 1463635, 1515973, 1488341, 1495575]","{'PRP': 0.07134040825456772, 'of': 0.06938854021321451, 'sentiment': 0.05490472413662548, 'NN': 0.053652394040817064, 'VB': 0.05150009840523806, 'IN': 0.040827126063227456, 'NNS': 0.03950396718287897, 'DT': 0.03642808521586693, 'mean_sen_len': 0.033357103254346446, 'RB': 0.03213461041185694}"
0.6105527638190955,0.5729615193958185,0.667716430029573,0.6105527638190955,0.70019,1,0.905,0.4444444444444444,0.7654320987654321,0.31313131313131315,"[1467133, 1460619, 1467462, 1454356, 1460860, 1460973, 1467092, 1467137, 1473586, 1460930, 1460802, 1454599, 1467205, 1460844, 1454337, 1460914, 1467315, 1467032, 1473671]","[1477033, 1496459, 1506737, 1492302, 1492215, 1492295, 1501464, 1506314, 1492365, 1492297, 1506408, 1501312, 1466594, 1501979, 1473356, 1465981, 1466675, 1460536, 1482932, 1483109, 1489385, 1466483, 1489387, 1492110, 1485602, 1484849, 1482240, 1490635, 1465392, 1471822, 1491351, 1491840, 1493108, 1491938, 1505499, 1505235, 1500422, 1508601, 1496229, 1508848, 1508677, 1505515, 1505444, 1500502, 1494763, 1499497, 1493686, 1493995, 1503702, 1499143, 1493516, 1502555, 1497428, 1493315, 1498008, 1493263, 1502243, 1496890, 1492739, 1507248, 1507038, 1492540, 1492719, 1498050, 1499135, 1487846, 1458896, 1459422, 1465856, 1514775, 1510014, 1456636, 1513136, 1511404, 1474803, 1474727, 1515307, 1456567, 1474614, 1513858, 1515350, 1513915, 1515528, 1469839, 1513225, 1509698, 1456575, 1455218, 1461704, 1477573, 1474083, 1477368, 1455208, 1461284, 1467839, 1477702, 1480060, 1454939, 1478787, 1462367, 1512916, 1470031, 1470338, 1488298, 1465670, 1458980, 1472076, 1482094, 1465114, 1508883, 1484642, 1480875, 1481413, 1457928, 1487611, 1471161, 1484626, 1481055, 1457704, 1480812, 1470209, 1510888, 1463182, 1464019, 1512933, 1512645, 1465551, 1469482, 1484228, 1487196, 1486691, 1487088, 1475910, 1475807, 1514781, 1509008]","{'PRP': 0.07701075346201094, 'sentiment': 0.05777894080312747, 'of': 0.05690925665275042, 'NN': 0.05545601304295038, 'VB': 0.051999802510289246, 'DT': 0.04297215447639728, 'IN': 0.04047789031234893, 'to': 0.03190803092148089, 'the': 0.03069074149948417, 'i': 0.028957766226810403}"
0.6005025125628141,0.561941171509259,0.652262363341418,0.6005025125628141,0.69246,1,0.895,0.43010752688172044,0.7407407407407407,0.30303030303030304,"[1467414, 1461062, 1473627, 1460602, 1467107, 1461076, 1467078, 1460904, 1467088, 1454694, 1473674, 1467291, 1454557, 1467187, 1467461, 1460712, 1467413, 1460688, 1460638, 1473592, 1460903]","[1501648, 1496764, 1501795, 1501869, 1506679, 1491844, 1501303, 1496729, 1491766, 1506673, 1491725, 1496888, 1506570, 1502014, 1506351, 1459656, 1496454, 1466786, 1459755, 1489040, 1466842, 1459711, 1502956, 1496347, 1486001, 1486224, 1489154, 1489111, 1477200, 1482943, 1492384, 1466431, 1502998, 1492805, 1502768, 1495647, 1508673, 1500754, 1505792, 1496196, 1495661, 1500415, 1508692, 1505578, 1509060, 1504673, 1499678, 1500243, 1498414, 1494179, 1498610, 1507390, 1507053, 1498010, 1498047, 1498085, 1502957, 1503075, 1497492, 1507341, 1492856, 1503317, 1507699, 1499014, 1498813, 1494332, 1489513, 1459554, 1459365, 1476129, 1512674, 1457267, 1514749, 1509982, 1456041, 1515565, 1513158, 1511948, 1509946, 1509225, 1509960, 1456485, 1515590, 1515492, 1515085, 1509849, 1509249, 1461407, 1454731, 1455336, 1462043, 1461825, 1467901, 1475222, 1478915, 1467891, 1479825, 1479033, 1461313, 1511207, 1468902, 1468340, 1485516, 1470182, 1514168, 1471580, 1458972, 1458704, 1476182, 1465195, 1484869, 1482053, 1509106, 1490560, 1476193, 1485593, 1471627, 1470812, 1471435, 1484559, 1481067, 1471176, 1514107, 1516156, 1457173, 1469483, 1463330, 1481297, 1470340, 1481661, 1470767, 1464930, 1490129, 1458532, 1480804, 1458303, 1489890, 1501156]","{'sentiment': 0.07702646900182682, 'PRP': 0.06906756502608725, 'NN': 0.06050038620819929, 'of': 0.05813187861253362, 'VB': 0.05187965283553925, 'DT': 0.03904655774904349, 'have': 0.03841115541689438, 'to': 0.03663009761742587, 'IN': 0.03193495899655443, 'RB': 0.031222806305815955}"
0.6030150753768844,0.5694839203559274,0.6471065002431513,0.6030150753768844,0.6902,1,0.88,0.44755244755244755,0.7272727272727273,0.32323232323232326,"[1467311, 1460991, 1454694, 1460715, 1467413, 1473733, 1460825, 1454526, 1467130, 1467016, 1467108, 1467235, 1467315, 1473630, 1467350, 1460822, 1473478, 1460749, 1454401, 1460802, 1460620, 1460910, 1473577, 1461063]","[1491828, 1491721, 1501529, 1492047, 1501881, 1506402, 1506432, 1496481, 1496550, 1501319, 1502099, 1493347, 1501272, 1496326, 1496694, 1483087, 1486033, 1483084, 1490961, 1473071, 1483107, 1466024, 1459665, 1489089, 1466256, 1473290, 1503179, 1472890, 1459938, 1490927, 1490971, 1497769, 1498953, 1493055, 1506126, 1500956, 1505975, 1495663, 1500320, 1500599, 1495439, 1496021, 1495691, 1495809, 1494936, 1504834, 1508003, 1507957, 1503159, 1499255, 1503862, 1499244, 1503526, 1493772, 1465738, 1492829, 1502527, 1497884, 1502588, 1497907, 1497665, 1492653, 1507036, 1502580, 1498440, 1490472, 1485652, 1472354, 1463594, 1510400, 1464034, 1512579, 1512995, 1512244, 1475486, 1514222, 1514525, 1474716, 1474404, 1456578, 1462575, 1474574, 1470009, 1513175, 1509327, 1462322, 1509249, 1509370, 1509413, 1515304, 1478216, 1468042, 1478325, 1478777, 1480054, 1478646, 1461580, 1467643, 1456131, 1481924, 1456854, 1456930, 1490684, 1458988, 1488189, 1488224, 1465168, 1485194, 1471906, 1476654, 1490302, 1495576, 1482215, 1482114, 1488022, 1481519, 1475321, 1471432, 1487198, 1458055, 1487288, 1483761, 1464436, 1475638, 1464832, 1464709, 1464806, 1490138, 1465001, 1470550, 1480900, 1512861, 1481419, 1505348]","{'PRP': 0.0796470525716044, 'of': 0.0630781968928573, 'VB': 0.05118946508248153, 'NN': 0.04630766925033441, 'sentiment': 0.045984772385367544, 'to': 0.04064841398178368, 'IN': 0.03962300481616224, 'DT': 0.03554763904453989, 'NNS': 0.03484734280565086, 'have': 0.02999191460705865}"
0.6206030150753769,0.5927620174301236,0.6636948857541136,0.6206030150753769,0.6998,1,0.88,0.48464163822525597,0.7473684210526316,0.35858585858585856,"[1473612, 1473456, 1473582, 1473679, 1460798, 1473569, 1460991, 1454373, 1473512, 1473478, 1473538, 1467236, 1467240, 1454392, 1467262, 1454471, 1460843, 1467154, 1454672, 1460939, 1467263, 1473627, 1473547, 1454513]","[1496874, 1506537, 1506412, 1501448, 1492362, 1491932, 1492986, 1501252, 1502980, 1493102, 1502275, 1501577, 1496947, 1501687, 1483006, 1506720, 1491622, 1473013, 1459668, 1472958, 1466847, 1486575, 1491271, 1472650, 1482830, 1497393, 1473032, 1486103, 1502054, 1507044, 1507935, 1493001, 1500544, 1500697, 1496192, 1500443, 1496188, 1500339, 1500623, 1495696, 1495766, 1509124, 1500007, 1504641, 1500109, 1497884, 1503961, 1503648, 1493984, 1498975, 1465955, 1503520, 1498718, 1503967, 1498151, 1493043, 1493215, 1502362, 1493079, 1502297, 1493481, 1488396, 1459233, 1458918, 1463910, 1457022, 1512713, 1514966, 1514719, 1475078, 1463186, 1463064, 1456182, 1462098, 1511741, 1513819, 1455911, 1514130, 1514012, 1456535, 1511734, 1511418, 1462326, 1514039, 1461764, 1480016, 1477370, 1461627, 1479537, 1478954, 1468225, 1467903, 1509310, 1515691, 1515043, 1469592, 1459422, 1465487, 1482556, 1459612, 1485045, 1465422, 1485630, 1488035, 1482100, 1505637, 1482446, 1471624, 1487344, 1470507, 1476029, 1458004, 1480898, 1490036, 1480946, 1471219, 1471291, 1475906, 1458212, 1480956, 1481483, 1458391, 1464087, 1483827, 1510986, 1459146, 1501080]","{'PRP': 0.07567522688338096, 'of': 0.06793887656824274, 'sentiment': 0.0661782642495956, 'VB': 0.04782484386996849, 'IN': 0.04596271950321779, 'DT': 0.04323162848589056, 'NN': 0.037254293008087365, 'have': 0.03451935555702716, 'which': 0.03263738964668531, 'mean_sen_len': 0.03168894627568176}"
0.6030150753768844,0.5756553035447508,0.6367039278022766,0.6030150753768844,0.684,1,0.855,0.46621621621621623,0.7040816326530612,0.3484848484848485,"[1467108, 1467350, 1454516, 1460619, 1467088, 1467206, 1473610, 1461062, 1460903, 1467291, 1473669, 1454467, 1473512, 1473654, 1467078, 1467311, 1473671, 1467032, 1467210, 1461063, 1460612, 1460593, 1454477, 1467143, 1460909, 1454635, 1467387, 1473674, 1473656]","[1483121, 1459983, 1483719, 1486623, 1506502, 1491435, 1496652, 1496801, 1496957, 1502002, 1496908, 1491651, 1506765, 1488833, 1484955, 1489476, 1460070, 1460274, 1486467, 1466200, 1459711, 1482875, 1490547, 1459375, 1465785, 1465403, 1459062, 1496532, 1466141, 1491488, 1493952, 1506216, 1508741, 1501079, 1495522, 1505656, 1505693, 1500697, 1505920, 1508707, 1508552, 1501157, 1494192, 1493445, 1493616, 1498723, 1503368, 1503803, 1458706, 1502928, 1493181, 1502491, 1492443, 1492943, 1503179, 1503084, 1506986, 1502331, 1498077, 1502620, 1506923, 1497136, 1471564, 1481222, 1471834, 1514308, 1455901, 1509224, 1513934, 1468621, 1511943, 1511932, 1509345, 1511454, 1509324, 1513081, 1456408, 1462446, 1456427, 1513182, 1468042, 1461329, 1480530, 1478803, 1477273, 1480087, 1473991, 1480217, 1454894, 1480321, 1461201, 1454951, 1468230, 1478354, 1514961, 1471938, 1515733, 1514817, 1465749, 1472011, 1487806, 1465991, 1487683, 1483986, 1475862, 1458282, 1481329, 1481399, 1464910, 1490057, 1500900, 1471173, 1486698, 1476001, 1487093, 1483965, 1481671, 1470633, 1471340, 1463400, 1469632, 1512423, 1475349, 1510667, 1514905, 1510296, 1510515, 1457211, 1500802]","{'of': 0.06585586220359566, 'PRP': 0.06575716391310243, 'NN': 0.062815346673773, 'sentiment': 0.05337239563673985, 'VB': 0.04774920539311661, 'DT': 0.04090356825313975, 'IN': 0.03760143564278546, 'have': 0.03644147856552631, 'RB': 0.029139398094126197, 'NNS': 0.02702307397262895}"
0.5753768844221105,0.5296518099923271,0.6202952844718951,0.5753768844221105,0.67686,1,0.885,0.38095238095238093,0.6933333333333334,0.26262626262626265,"[1467125, 1467133, 1460683, 1467417, 1467009, 1473506, 1454718, 1467051, 1454366, 1467092, 1454350, 1473627, 1467472, 1460805, 1460604, 1473681, 1460628, 1454477, 1473733, 1460802, 1460785, 1460909, 1467052]","[1501981, 1496933, 1501644, 1491447, 1501379, 1501572, 1506462, 1498162, 1497292, 1502526, 1502742, 1492963, 1497556, 1501366, 1501972, 1491964, 1486331, 1501384, 1489461, 1483260, 1460574, 1486652, 1476944, 1497375, 1486228, 1473041, 1477229, 1488938, 1459902, 1459775, 1492369, 1501823, 1506599, 1496531, 1492564, 1507570, 1502741, 1504339, 1495669, 1500290, 1500316, 1495941, 1508643, 1504956, 1509029, 1496085, 1508950, 1496148, 1509076, 1500796, 1508998, 1506102, 1508398, 1494142, 1498796, 1502397, 1497913, 1493260, 1497570, 1497712, 1502467, 1498780, 1498455, 1483569, 1493481, 1503952, 1507903, 1503905, 1498926, 1503601, 1502484, 1485957, 1459092, 1471815, 1462562, 1462176, 1509519, 1511610, 1462289, 1456662, 1474676, 1474904, 1468845, 1463637, 1512372, 1457042, 1514947, 1516054, 1462881, 1456208, 1462219, 1511501, 1461924, 1455330, 1478007, 1455532, 1479831, 1467723, 1461809, 1477292, 1454759, 1480068, 1480072, 1513191, 1510068, 1509737, 1513998, 1516084, 1482077, 1511032, 1515713, 1482694, 1476398, 1488314, 1472274, 1481787, 1505884, 1476210, 1466002, 1484742, 1482177, 1488414, 1484851, 1465500, 1476545, 1465238, 1481249, 1481143, 1486944, 1514734, 1514246, 1470097, 1463822, 1481210, 1464495, 1480988, 1481624, 1489989, 1471180, 1470655, 1480871, 1464996, 1457671, 1487253, 1469769, 1506016]","{'PRP': 0.07983932421111666, 'of': 0.07456098938921586, 'sentiment': 0.06063824131066979, 'NN': 0.05028925792318999, 'IN': 0.04651823201800684, 'VB': 0.04504158408332699, 'DT': 0.03829283470394978, 'i': 0.03464270961251704, 'RB': 0.031207748226833313, 'to': 0.031051557933392246}"
