accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.6025,0.5953966830162032,0.6102417251485575,0.6025,0.54179,1,0.47,0.6490066225165563,0.5810276679841897,0.735,"[1268160, 1268271, 1280613, 1280715, 1274244, 1280853, 1274439, 1280636, 1267812, 1287015, 1280752, 1280766, 1286996, 1274500, 1281045, 1274452, 1274444, 1287024, 1267810, 1268196, 1274267, 1280978, 1280698, 1287056, 1280911, 1274570, 1280822, 1267854, 1268025, 1267993, 1268270, 1274648, 1267925, 1286970, 1268195, 1280926, 1274450, 1280573, 1280805, 1274627, 1274451, 1280634, 1274263, 1268139, 1274668, 1280591, 1280987, 1274583, 1274416, 1274225, 1268166, 1274431, 1280988, 1268164, 1280905, 1287230, 1280922, 1287224, 1287197, 1274499, 1267979, 1286976, 1274432, 1287070, 1286966, 1287244, 1274525, 1267811, 1267822, 1274299, 1268151, 1267938, 1268210, 1268192, 1268237, 1280707, 1267940, 1287249, 1280908, 1274386, 1274252, 1274472, 1287216, 1274672, 1287036, 1274387, 1281054, 1268093, 1274680, 1274646, 1280605, 1268124, 1280999, 1281038, 1274469, 1280668, 1280944, 1287004, 1274487, 1274633, 1280759, 1280917, 1268037, 1274629, 1280732, 1280881]","[1293750, 1281060, 1281585, 1269243, 1287369, 1294155, 1293387, 1293732, 1275111, 1287557, 1275087, 1275250, 1294037, 1287448, 1275096, 1291495, 1269165, 1281437, 1291955, 1281226, 1282029, 1268582, 1281352, 1293368, 1293866, 1293529, 1294013, 1291795, 1291326, 1291587, 1292542, 1275548, 1274971, 1291525, 1292652, 1291735, 1268444, 1281599, 1292827, 1293367, 1292366, 1292653, 1291215, 1290980, 1291328, 1292978, 1292410, 1291947, 1268505, 1268455, 1281073, 1274793, 1294018]","{'PRP': 0.07705694874427821, 'VB': 0.06194438972397261, 'of': 0.05991529877572386, 'NN': 0.04805954133763489, 'sentiment': 0.04498711044707271, 'IN': 0.04452845921407693, 'to': 0.04248571853408528, 'DT': 0.040307919691454544, 'NNS': 0.03426895476354992, 'mean_sen_len': 0.02865649977540133}"
0.6225,0.6172151770379807,0.629660501177529,0.6225,0.57224,1,0.505,0.6621923937360179,0.5991902834008097,0.74,"[1274263, 1280747, 1287126, 1287215, 1268265, 1280922, 1280972, 1280573, 1280647, 1267954, 1280666, 1268098, 1274286, 1274374, 1268086, 1286970, 1274670, 1281053, 1280760, 1267953, 1268092, 1274527, 1280960, 1268222, 1280830, 1274381, 1286973, 1280886, 1268067, 1274426, 1274307, 1287140, 1280874, 1268047, 1281054, 1287122, 1280881, 1287150, 1287080, 1280921, 1274356, 1281017, 1274342, 1280937, 1287130, 1267865, 1274672, 1280690, 1268236, 1267812, 1287208, 1267933, 1280587, 1274642, 1268239, 1287037, 1274627, 1286975, 1274510, 1287166, 1268179, 1280858, 1274456, 1268033, 1274649, 1280655, 1280718, 1274248, 1287232, 1287246, 1274524, 1268103, 1274389, 1280778, 1280802, 1287017, 1280714, 1268280, 1274486, 1267981, 1274515, 1268078, 1280715, 1267949, 1287241, 1268248, 1274680, 1287047, 1280605, 1268099, 1274309, 1281011, 1280750, 1280759, 1274278, 1280709, 1274604, 1286995, 1274482]","[1281567, 1275121, 1292288, 1275028, 1287304, 1275288, 1275127, 1274913, 1281244, 1268539, 1293429, 1269006, 1275370, 1292951, 1268624, 1281140, 1268516, 1281308, 1294155, 1275116, 1274990, 1281352, 1287518, 1293259, 1292244, 1281559, 1293214, 1275622, 1287447, 1290880, 1268299, 1292613, 1281082, 1294059, 1293811, 1268300, 1281280, 1269166, 1293632, 1275564, 1268794, 1294023, 1292829, 1281194, 1281120, 1268425, 1292827, 1281083, 1291606, 1293809, 1287255, 1281765]","{'PRP': 0.06796140317558352, 'of': 0.060285356978992954, 'VB': 0.05635775718017487, 'sentiment': 0.05612464617108029, 'NN': 0.05071145784605466, 'IN': 0.04325074460231178, 'DT': 0.043063500692203355, 'have': 0.03373736446888412, 'i': 0.03197777543893752, 'mean_sen_len': 0.0299424221717368}"
0.71,0.7033248081841432,0.7307692307692306,0.71,0.65882,1,0.56,0.7478260869565218,0.6615384615384615,0.86,"[1274476, 1268139, 1280908, 1268125, 1274684, 1287041, 1281033, 1274637, 1280605, 1267826, 1280681, 1287174, 1280955, 1268148, 1280982, 1287057, 1280881, 1268151, 1268071, 1274654, 1287191, 1280726, 1268018, 1274482, 1280657, 1280865, 1268251, 1268225, 1280601, 1287117, 1274607, 1268159, 1287151, 1268016, 1274603, 1280761, 1274243, 1268040, 1268205, 1280592, 1268180, 1274316, 1287251, 1280715, 1268240, 1267885, 1274400, 1274527, 1287091, 1280772, 1268143, 1274387, 1268025, 1268003, 1281006, 1274576, 1280913, 1274241, 1267999, 1281038, 1274398, 1287079, 1274660, 1274673, 1280671, 1268175, 1268178, 1274226, 1280704, 1274367, 1287123, 1268216, 1274475, 1274254, 1281020, 1267973, 1274540, 1268024, 1268128, 1268168, 1274408, 1287085, 1280992, 1280796, 1268066, 1281017, 1268088, 1280853]","[1291827, 1281072, 1292764, 1293840, 1281662, 1268326, 1287350, 1287794, 1268770, 1281887, 1291135, 1275022, 1287620, 1287531, 1287797, 1290954, 1275061, 1294002, 1291015, 1281213, 1275083, 1268721, 1274792, 1294004, 1291070, 1274871, 1294018, 1274848]","{'PRP': 0.08250089220335667, 'NN': 0.06587616171124146, 'sentiment': 0.05901982826337757, 'of': 0.05890297389660788, 'VB': 0.050833828999554395, 'IN': 0.04313021274875567, 'mean_sen_len': 0.036165410545323386, 'NNS': 0.03237384403319996, 'DT': 0.030357081812572257, 'i': 0.03006987586882082}"
0.6325,0.6264271056359951,0.6417150191181582,0.6325,0.5788,1,0.505,0.6740576496674058,0.6055776892430279,0.76,"[1280838, 1268237, 1281048, 1274605, 1274550, 1280822, 1280690, 1280660, 1268180, 1267817, 1280807, 1268199, 1280960, 1280623, 1281053, 1268260, 1274286, 1286975, 1280829, 1268197, 1280823, 1268147, 1280641, 1268206, 1267860, 1287216, 1267878, 1280846, 1280600, 1287182, 1286972, 1268066, 1280777, 1280791, 1268273, 1287190, 1268055, 1267949, 1287191, 1268192, 1274604, 1287036, 1267789, 1274527, 1267881, 1286971, 1274326, 1268236, 1280917, 1274431, 1274438, 1268194, 1280587, 1274571, 1287116, 1280805, 1268095, 1280814, 1267814, 1267976, 1267792, 1267799, 1274504, 1280662, 1280654, 1281051, 1281024, 1280977, 1268029, 1287254, 1274640, 1287157, 1268183, 1268239, 1281029, 1268028, 1274315, 1274629, 1280585, 1287123, 1287230, 1280666, 1280941, 1268184, 1274278, 1274620, 1280957, 1268016, 1274386, 1268122, 1267986, 1280987, 1280892, 1280638, 1287233, 1287174, 1280594, 1274634, 1268209]","[1287591, 1294278, 1290897, 1274843, 1269110, 1281193, 1275288, 1291406, 1281083, 1293936, 1293864, 1268449, 1281748, 1291022, 1291292, 1268427, 1294004, 1294148, 1287638, 1287333, 1292839, 1293160, 1275554, 1291136, 1269042, 1291755, 1293191, 1281404, 1291084, 1281364, 1293800, 1292153, 1290891, 1291023, 1275160, 1290975, 1291392, 1268566, 1269119, 1274864, 1287564, 1294137, 1292951, 1292682, 1281253, 1291114, 1281946, 1293839]","{'PRP': 0.07060142047011815, 'of': 0.06641946578362143, 'VB': 0.05747017529821979, 'NN': 0.053275079647990414, 'sentiment': 0.04989548775174242, 'IN': 0.044433948593598914, 'have': 0.042830789687849605, 'to': 0.041675012122192205, 'DT': 0.03426690414795252, 'the': 0.03205896472768912}"
0.7,0.6940024479804161,0.7170138888888888,0.7,0.65116,1,0.56,0.7368421052631579,0.65625,0.84,"[1267816, 1274540, 1274445, 1274347, 1268104, 1268209, 1287243, 1274476, 1280784, 1280657, 1267970, 1274562, 1268124, 1267936, 1280645, 1274351, 1287186, 1286986, 1268100, 1274479, 1274578, 1267870, 1274302, 1280774, 1287015, 1281009, 1268210, 1274524, 1268132, 1268196, 1274422, 1280726, 1268106, 1268147, 1280791, 1267962, 1268270, 1280733, 1280939, 1274205, 1274211, 1274245, 1268266, 1281054, 1287197, 1274680, 1268280, 1280575, 1274586, 1287076, 1274482, 1268051, 1280654, 1274300, 1281036, 1274486, 1280753, 1267822, 1267997, 1280714, 1280999, 1274515, 1268055, 1267814, 1268236, 1280840, 1280718, 1281017, 1274684, 1280902, 1280914, 1274652, 1268164, 1268010, 1280747, 1274463, 1268133, 1274398, 1267881, 1280762, 1287247, 1280732, 1274427, 1268159, 1274404, 1280917, 1280892, 1267993]","[1292843, 1275555, 1281662, 1287518, 1291136, 1269081, 1293123, 1281258, 1287298, 1275086, 1292607, 1274759, 1281401, 1287532, 1274766, 1290875, 1281351, 1291074, 1292177, 1292841, 1287327, 1268326, 1281271, 1290929, 1293237, 1268365, 1281382, 1287460, 1268602, 1291081, 1275116, 1290830]","{'PRP': 0.08093511513333038, 'of': 0.0661862520384799, 'sentiment': 0.06577560641502717, 'VB': 0.060345828792799094, 'IN': 0.05248507814724772, 'NN': 0.04278986884748687, 'have': 0.03603599640421562, 'mean_sen_len': 0.03322631118434628, 'DT': 0.03127040574723158, 'i': 0.030329360822680722}"
0.665,0.6561986863711001,0.6838235294117646,0.665,0.60119,1,0.505,0.7112068965517241,0.625,0.825,"[1287136, 1268236, 1281039, 1268243, 1287026, 1280679, 1280988, 1267918, 1281057, 1280636, 1274262, 1274616, 1274217, 1268187, 1267935, 1268270, 1267789, 1274208, 1267933, 1274301, 1274450, 1267804, 1274492, 1281048, 1287243, 1287248, 1286979, 1280662, 1280886, 1268127, 1281028, 1287170, 1267802, 1274491, 1287154, 1287113, 1274226, 1268147, 1267963, 1287254, 1274674, 1267962, 1274258, 1281029, 1280800, 1274499, 1280849, 1267928, 1280720, 1274488, 1274227, 1274573, 1280790, 1267828, 1287182, 1287148, 1268111, 1287190, 1274425, 1268178, 1280887, 1268036, 1267977, 1267979, 1281049, 1268011, 1280854, 1267848, 1268003, 1267942, 1280686, 1280986, 1281032, 1268095, 1274524, 1268037, 1268076, 1287125, 1274479, 1287047, 1280937, 1268216, 1281024, 1268100, 1280807, 1274414, 1274427, 1274557, 1287002, 1274476, 1280794, 1268237, 1287054, 1280657, 1274678, 1267811, 1280718, 1268139, 1287068]","[1293746, 1281664, 1293910, 1287742, 1275506, 1291289, 1293898, 1268296, 1268690, 1275191, 1281722, 1287304, 1274885, 1292007, 1292808, 1292190, 1291911, 1275512, 1292939, 1292135, 1274821, 1291908, 1281280, 1292923, 1287530, 1291054, 1269121, 1269041, 1281437, 1293908, 1291466, 1292799, 1287791, 1274766, 1274935]","{'PRP': 0.08099203845725922, 'of': 0.06972113606090227, 'NN': 0.055322094828055064, 'VB': 0.05471114105140391, 'sentiment': 0.05375775874317156, 'IN': 0.046106069720627356, 'DT': 0.03756151596566048, 'i': 0.034718291975748765, 'mean_sen_len': 0.029595043662246273, 'to': 0.02788201735443556}"
0.655,0.6495238095238096,0.6653333333333333,0.655,0.60571,1,0.53,0.6933333333333334,0.624,0.78,"[1268197, 1268213, 1274540, 1268045, 1280936, 1280693, 1280655, 1268004, 1267890, 1267912, 1274503, 1280783, 1274318, 1280906, 1280823, 1280913, 1267917, 1274488, 1286986, 1287047, 1280851, 1268068, 1287212, 1280692, 1281042, 1267998, 1274424, 1274487, 1274461, 1268090, 1268107, 1274392, 1268007, 1281044, 1287114, 1280802, 1268142, 1287167, 1280933, 1280690, 1280951, 1280684, 1267813, 1268071, 1274493, 1274564, 1274595, 1286964, 1280871, 1287218, 1268017, 1280973, 1274552, 1280944, 1274258, 1268094, 1280931, 1274208, 1280651, 1287172, 1274263, 1268173, 1274532, 1267826, 1287233, 1280989, 1268080, 1280835, 1274373, 1268220, 1287237, 1268273, 1267899, 1287015, 1280945, 1267925, 1280774, 1287024, 1287251, 1274223, 1274471, 1274299, 1268150, 1287177, 1280953, 1281007, 1280975, 1267811, 1274636, 1280698, 1287025, 1280702, 1267936, 1274562]","[1268742, 1290829, 1294168, 1275186, 1268678, 1287350, 1293584, 1291901, 1292014, 1281720, 1275050, 1281323, 1287722, 1275383, 1292727, 1287697, 1268304, 1293123, 1287668, 1268733, 1269120, 1291998, 1291022, 1274798, 1292962, 1293811, 1269043, 1293009, 1268675, 1290765, 1291911, 1292840, 1269247, 1294082, 1287529, 1268491, 1281658, 1291551, 1269263, 1274747, 1292944, 1287489, 1292015, 1290985]","{'PRP': 0.07540024740244046, 'VB': 0.0694903899890146, 'of': 0.06763206876458183, 'NN': 0.04909791744871067, 'IN': 0.047819190387899405, 'sentiment': 0.047727314466373336, 'have': 0.03486691452098151, 'mean_sen_len': 0.03462335608289372, 'the': 0.03334844648573361, 'DT': 0.032462071539098414}"
0.7125,0.708814685868017,0.7238314680710993,0.7125,0.67606,1,0.6,0.7415730337078652,0.673469387755102,0.825,"[1274404, 1274685, 1274649, 1280591, 1280913, 1286982, 1287243, 1274570, 1280829, 1287234, 1274674, 1274627, 1268231, 1281051, 1280800, 1280636, 1268090, 1287048, 1274550, 1268043, 1268138, 1280791, 1280743, 1274315, 1280918, 1268169, 1287251, 1267804, 1280943, 1274591, 1274386, 1274353, 1268122, 1286979, 1274258, 1280592, 1280693, 1274629, 1274354, 1274652, 1274322, 1267938, 1280865, 1274647, 1274618, 1274345, 1280885, 1280975, 1274337, 1267890, 1268174, 1274458, 1280937, 1268266, 1267993, 1268070, 1268004, 1280986, 1267829, 1274588, 1274482, 1274641, 1268194, 1274522, 1274471, 1274541, 1280932, 1274395, 1287123, 1268149, 1274347, 1274289, 1280926, 1274461, 1274299, 1280965, 1287233, 1268107, 1267977, 1287134]","[1275414, 1281120, 1275362, 1293252, 1293094, 1294081, 1291998, 1291208, 1274793, 1287341, 1281130, 1287307, 1291144, 1287628, 1291154, 1269067, 1275436, 1275597, 1293945, 1292539, 1293249, 1292152, 1293772, 1293260, 1291869, 1275075, 1268517, 1291033, 1292840, 1291827, 1281108, 1268539, 1291985, 1287482, 1290900]","{'PRP': 0.07935999656952533, 'sentiment': 0.06932812200529825, 'of': 0.05917451356415053, 'NN': 0.05372883769563213, 'VB': 0.046061420466891295, 'NNS': 0.03654123594225624, 'mean_sen_len': 0.034904202170940944, 'IN': 0.03416389372681859, 'DT': 0.03357188677133415, 'have': 0.029977951466232736}"
0.6625,0.6589164913876414,0.6696286437537513,0.6625,0.62396,1,0.56,0.6938775510204082,0.6348547717842323,0.765,"[1274627, 1274205, 1280949, 1274278, 1274426, 1274469, 1287139, 1268148, 1287221, 1280595, 1268243, 1274668, 1280766, 1281039, 1268084, 1268086, 1268137, 1268256, 1274374, 1287181, 1274391, 1274297, 1274543, 1268107, 1280934, 1274335, 1280999, 1287235, 1267819, 1287140, 1280851, 1274421, 1274345, 1267882, 1267865, 1274390, 1267811, 1274649, 1280648, 1287070, 1280679, 1280763, 1280868, 1274299, 1287126, 1274550, 1280742, 1274279, 1268093, 1280938, 1280945, 1268171, 1274211, 1274292, 1280718, 1281028, 1287249, 1274413, 1274629, 1267825, 1268108, 1281017, 1274620, 1268030, 1274296, 1267909, 1268033, 1280717, 1267854, 1268028, 1274647, 1280830, 1268270, 1267896, 1268280, 1274217, 1286997, 1280914, 1280810, 1274301, 1280874, 1287044, 1286971, 1274461, 1287048, 1280751, 1274680, 1280948]","[1275061, 1282015, 1293798, 1294111, 1293582, 1292995, 1292116, 1281953, 1269043, 1292166, 1274703, 1292573, 1275303, 1293936, 1275472, 1293996, 1268384, 1275554, 1292629, 1292252, 1275098, 1292048, 1290771, 1275068, 1287389, 1275549, 1281140, 1293366, 1281060, 1291070, 1281137, 1293539, 1294002, 1291333, 1292727, 1291277, 1292031, 1292539, 1287518, 1292659, 1293324, 1275126, 1292341, 1292834, 1292009, 1269042, 1291217]","{'of': 0.07282639526751547, 'PRP': 0.07136523497391968, 'sentiment': 0.06455900612366891, 'NN': 0.05343572393097295, 'VB': 0.04863634217769567, 'IN': 0.04606819733674437, 'have': 0.03660880527889747, 'RB': 0.034470347308882265, 'DT': 0.03246360387390445, 'the': 0.03002304703459484}"
0.6925,0.6881951442097457,0.703752216136117,0.6925,0.65156,1,0.575,0.7248322147651006,0.6558704453441295,0.81,"[1287242, 1274224, 1268096, 1287145, 1287224, 1268017, 1274332, 1274263, 1280858, 1281056, 1287022, 1268130, 1280760, 1286996, 1274568, 1268120, 1280960, 1268271, 1281007, 1280926, 1280715, 1274476, 1268025, 1268185, 1286970, 1274588, 1287140, 1268094, 1280966, 1287164, 1274297, 1280943, 1274450, 1287070, 1287091, 1274235, 1280949, 1274675, 1267879, 1268145, 1287035, 1274509, 1267814, 1287153, 1280633, 1281029, 1280896, 1280635, 1267976, 1274407, 1267828, 1274683, 1274523, 1268179, 1280684, 1280598, 1274395, 1280799, 1287207, 1268043, 1267918, 1274605, 1286981, 1274427, 1287245, 1274679, 1280982, 1280573, 1268278, 1274525, 1280613, 1274336, 1280968, 1274226, 1280764, 1268169, 1268004, 1268206, 1280655, 1281053, 1287048, 1268047, 1287006, 1267883, 1268166]","[1290857, 1275056, 1275592, 1293046, 1294195, 1268289, 1287389, 1275250, 1291684, 1292190, 1290834, 1291881, 1292854, 1274773, 1269229, 1292735, 1292834, 1275116, 1275155, 1293089, 1281120, 1287440, 1291767, 1292440, 1293115, 1293917, 1291148, 1268675, 1269120, 1291782, 1290829, 1290796, 1293419, 1294117, 1291033, 1292950, 1293706, 1281352]","{'PRP': 0.07801624192962736, 'of': 0.06867325053935888, 'sentiment': 0.060819297900034736, 'VB': 0.05660321331031436, 'NN': 0.04879062822908513, 'DT': 0.04193852064541161, 'to': 0.03613409427985649, 'IN': 0.033449473906238106, 'the': 0.030413832135593195, 'i': 0.02990328848501168}"
