,Key,Count,Mean Score
0,PRP,100,0.07645439555429308
1,of,100,0.06644512799380205
2,VB,100,0.052371163258240996
3,sentiment,100,0.0604403871577919
4,NN,100,0.0542835035546341
5,IN,95,0.03854819616355823
6,DT,94,0.03843712405085685
11,to,63,0.035957105653692936
8,have,61,0.03500772313189663
14,RB,40,0.03222897470422161
7,NNS,39,0.03391937763140767
10,the,34,0.03182501962996033
9,mean_sen_len,25,0.03263662616020872
12,which,24,0.030943404574899205
13,i,24,0.03288254395116924
15,VBD,1,0.02781416441404809
