accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.7975,0.7953498948325849,0.8105509016414834,0.7975,0.77437,1,0.695,0.8163265306122449,0.7468879668049793,0.9,"[1342731, 1342828, 1336075, 1342689, 1336143, 1329953, 1330014, 1336326, 1336348, 1342514, 1349094, 1342526, 1342856, 1329805, 1329943, 1342862, 1336319, 1342508, 1349017, 1336068, 1342857, 1336316, 1336096, 1342649, 1329832, 1348881, 1336424, 1336443, 1348889, 1336278, 1342524, 1336067, 1336089, 1329863, 1342849, 1348934, 1336048, 1330040, 1342960, 1336128, 1342836, 1336351, 1349055, 1342693, 1336542, 1342598, 1342505, 1329971, 1329798, 1336516, 1336507, 1348968, 1342928, 1336502, 1336093, 1349015, 1342936, 1336194, 1348936, 1336490, 1329653]","[1384058, 1375438, 1383648, 1380434, 1375310, 1383763, 1370023, 1370010, 1370947, 1375280, 1370450, 1375054, 1380846, 1375796, 1375108, 1370828, 1370747, 1383962, 1370078, 1383988]","{'PRP': 0.0780190626395177, 'of': 0.07665512768314636, 'IN': 0.053177145130788236, 'VB': 0.05088292280294968, 'NN': 0.04749922449144488, 'sentiment': 0.04276203549064638, 'to': 0.04035792193271027, 'DT': 0.037767636717008495, 'have': 0.03141510413012158, 'which': 0.03030899776726577}"
0.845,0.8442367601246107,0.8518971848225214,0.845,0.83333,1,0.775,0.8551401869158879,0.8026315789473685,0.915,"[1329828, 1336517, 1342827, 1336126, 1336423, 1330076, 1336294, 1342746, 1336317, 1336075, 1336457, 1336089, 1336394, 1336096, 1342838, 1342758, 1329832, 1329936, 1336318, 1342653, 1329906, 1329948, 1348934, 1336050, 1336097, 1349038, 1336128, 1336191, 1342720, 1342952, 1342865, 1342901, 1342905, 1348891, 1336313, 1342750, 1336315, 1329609, 1336443, 1349004, 1329868, 1342840, 1336314, 1336444, 1342908]","[1370640, 1380016, 1380015, 1384112, 1380412, 1374982, 1384134, 1383877, 1380264, 1380493, 1380681, 1370642, 1374940, 1383630, 1380702, 1380466, 1380797]","{'of': 0.07882346871838285, 'PRP': 0.0760987954070116, 'NN': 0.058320599511152385, 'VB': 0.05127561452805846, 'sentiment': 0.05033630352297002, 'IN': 0.038460562612546, 'have': 0.036304674302008406, 'DT': 0.03528803106389307, 'NNS': 0.03349804012875104, 'the': 0.027591498920499627}"
0.8175,0.8162493471188276,0.8263858548996427,0.8175,0.80109,1,0.735,0.8314087759815243,0.7725321888412017,0.9,"[1342853, 1349120, 1329624, 1329828, 1329954, 1329662, 1336192, 1336386, 1336480, 1336231, 1349097, 1342501, 1336279, 1329643, 1342962, 1349170, 1336369, 1330050, 1336333, 1348936, 1336276, 1342855, 1336426, 1349168, 1329773, 1329613, 1336509, 1329696, 1342908, 1342936, 1342503, 1349141, 1349021, 1349060, 1329728, 1329971, 1349157, 1336286, 1336177, 1342636, 1329718, 1336076, 1329936, 1349082, 1342796, 1329737, 1348989, 1342736, 1336481, 1342893, 1330016, 1329667, 1336097]","[1383876, 1375252, 1383646, 1375284, 1380381, 1375482, 1379986, 1370158, 1380846, 1370166, 1370195, 1370768, 1383754, 1370928, 1380244, 1383726, 1384122, 1383995, 1383692, 1375371]","{'PRP': 0.06837057229461638, 'of': 0.06322235346572398, 'sentiment': 0.05672542795807885, 'VB': 0.049674683365430614, 'NN': 0.04688851335800534, 'IN': 0.04463165278427825, 'to': 0.03730039675868314, 'DT': 0.034248852671813296, 'have': 0.032753630907200404, 'NNS': 0.031013034987993824}"
0.81,0.8074535735096653,0.827314961461303,0.81,0.78531,1,0.695,0.8295964125560538,0.7520325203252033,0.925,"[1342693, 1336445, 1336431, 1336081, 1342785, 1336191, 1342935, 1329747, 1329729, 1336315, 1348994, 1330046, 1349051, 1336517, 1330076, 1342817, 1342736, 1342600, 1336215, 1336103, 1329910, 1336177, 1330090, 1342726, 1342796, 1329854, 1329994, 1329863, 1349070, 1329875, 1342932, 1329653, 1342598, 1330050, 1349141, 1349157, 1342517, 1330086, 1329639, 1342588, 1342899, 1342962, 1336051, 1329823, 1348974, 1336057, 1336526, 1336131, 1329904, 1342603, 1336524, 1342934, 1348883, 1336047, 1342920, 1329612, 1330041, 1348944, 1336314, 1336192, 1336336]","[1370933, 1375411, 1370228, 1380352, 1380818, 1375356, 1370125, 1375064, 1370175, 1383822, 1383877, 1370535, 1375457, 1375464, 1380054]","{'PRP': 0.075174949207414, 'of': 0.07258804154569044, 'sentiment': 0.05501527590312689, 'NN': 0.05199944662604397, 'VB': 0.043545626553451185, 'IN': 0.04169490745832926, 'DT': 0.04147851410344203, 'NNS': 0.03488203841696796, 'have': 0.0345905149070558, 'the': 0.03225388505605071}"
0.8175,0.8167843137254903,0.8225396825396826,0.8175,0.80533,1,0.755,0.8282352941176471,0.7822222222222223,0.88,"[1329714, 1336334, 1336276, 1342855, 1336314, 1342783, 1336300, 1329898, 1329704, 1336528, 1348955, 1329718, 1348883, 1336148, 1329847, 1336459, 1348911, 1336108, 1329624, 1342885, 1342835, 1349160, 1342796, 1349072, 1336194, 1336129, 1336144, 1342641, 1342935, 1348937, 1336050, 1336349, 1336094, 1348933, 1329653, 1329667, 1329883, 1342962, 1342703, 1329701, 1336213, 1336406, 1336336, 1342532, 1342853, 1329726, 1336391, 1342624, 1330040]","[1370854, 1383720, 1384118, 1375054, 1375055, 1383843, 1380054, 1375050, 1380434, 1384100, 1375634, 1370174, 1370191, 1380381, 1383995, 1370840, 1380310, 1375592, 1384212, 1375006, 1380144, 1379948, 1375408, 1384022]","{'PRP': 0.06985011613622479, 'of': 0.06710487213889293, 'sentiment': 0.059810915961509684, 'NN': 0.04525962390904095, 'VB': 0.04412288410038111, 'IN': 0.04369512901028269, 'NNS': 0.037205435241126454, 'DT': 0.03666173015885968, 'which': 0.032142392477076724, 'have': 0.030376687466337357}"
0.8425,0.8411407606331676,0.8546374673189925,0.8425,0.82645,1,0.75,0.8558352402745996,0.7890295358649789,0.935,"[1336380, 1329971, 1349017, 1348923, 1329639, 1349141, 1336479, 1329938, 1329887, 1329832, 1329688, 1336334, 1329600, 1330066, 1342829, 1342958, 1348891, 1349072, 1349031, 1336217, 1336310, 1349153, 1336271, 1342805, 1330000, 1348994, 1349147, 1342517, 1342712, 1336457, 1336330, 1342869, 1349146, 1329966, 1342689, 1336067, 1336333, 1342724, 1329888, 1329968, 1336048, 1336404, 1336231, 1329969, 1336076, 1348938, 1336050, 1342798, 1342898, 1348914]","[1383936, 1383890, 1375482, 1380090, 1375284, 1380668, 1370136, 1379886, 1370925, 1380466, 1375654, 1383676, 1370175]","{'PRP': 0.07865997738148511, 'sentiment': 0.07096890588541004, 'of': 0.06679485344214904, 'NN': 0.048672587494220154, 'VB': 0.04743925448617474, 'IN': 0.04262250977330996, 'RB': 0.0361813917301418, 'DT': 0.03583373881136333, 'mean_sen_len': 0.03424802195761098, 'i': 0.03369157761383032}"
0.815,0.8140890362777611,0.821297429620563,0.815,0.80108,1,0.745,0.8271028037383178,0.7763157894736842,0.885,"[1329847, 1329729, 1336542, 1329966, 1329871, 1336068, 1342857, 1336507, 1329861, 1329688, 1336497, 1336215, 1342809, 1336348, 1336128, 1342622, 1336177, 1342587, 1336279, 1336381, 1342761, 1329639, 1342725, 1342689, 1349006, 1329696, 1336231, 1336294, 1329951, 1336517, 1342962, 1342652, 1329653, 1348953, 1329969, 1348930, 1336176, 1336380, 1336500, 1342936, 1336526, 1329609, 1342952, 1336368, 1336081, 1336333, 1342905, 1336462, 1336103, 1342838, 1336356]","[1375674, 1380104, 1375889, 1380435, 1375482, 1380411, 1383726, 1384166, 1383720, 1379897, 1380125, 1380224, 1370856, 1380537, 1384212, 1383822, 1384063, 1384073, 1383736, 1370462, 1375366, 1380748, 1375726]","{'PRP': 0.08857303210142085, 'sentiment': 0.07115602239112812, 'of': 0.05988159305268673, 'NN': 0.046904392678174166, 'IN': 0.04603879228507504, 'have': 0.04090026110952074, 'VB': 0.03732520079411763, 'DT': 0.035754429031530005, 'RB': 0.03315834730844566, 'i': 0.03220154752300189}"
0.81,0.809313528703332,0.8145292207792209,0.81,0.79787,1,0.75,0.8207547169811321,0.7767857142857143,0.87,"[1336286, 1342557, 1329643, 1349006, 1336336, 1342703, 1336394, 1329818, 1336303, 1336522, 1336487, 1342720, 1336242, 1342849, 1342548, 1329912, 1330078, 1342964, 1342862, 1342806, 1329985, 1329835, 1348938, 1336534, 1342736, 1336413, 1336391, 1342805, 1342503, 1342730, 1336148, 1329910, 1342898, 1342973, 1342632, 1336470, 1342827, 1330084, 1329971, 1349173, 1349017, 1349059, 1329746, 1336381, 1342540, 1342910, 1342712, 1336508, 1342907, 1348953]","[1370158, 1375024, 1370576, 1383669, 1380318, 1380276, 1375252, 1370671, 1375514, 1375500, 1380305, 1379961, 1375002, 1383917, 1380826, 1370788, 1380333, 1375712, 1370294, 1370220, 1375742, 1370078, 1370724, 1380648, 1375468, 1370726]","{'PRP': 0.08019080443979924, 'of': 0.06333126891097372, 'sentiment': 0.06270788338284693, 'VB': 0.055161156565370836, 'NN': 0.049493413522245906, 'have': 0.04623871340960183, 'DT': 0.04148176283772299, 'IN': 0.03938445763855447, 'to': 0.03419120819040882, 'the': 0.0279704299433528}"
0.8325,0.8305416974916378,0.8486147152106105,0.8325,0.81232,1,0.725,0.8487584650112867,0.7736625514403292,0.94,"[1342783, 1336419, 1329988, 1336437, 1342703, 1336459, 1336404, 1342935, 1329863, 1329639, 1349149, 1342514, 1330061, 1342806, 1336522, 1330072, 1329902, 1342546, 1349146, 1329798, 1336218, 1342779, 1336378, 1342603, 1329672, 1348974, 1342532, 1342503, 1336391, 1336471, 1342851, 1342857, 1336330, 1348879, 1342910, 1342677, 1336050, 1336315, 1342832, 1342708, 1336507, 1342899, 1329667, 1349104, 1330086, 1342724, 1329714, 1336418, 1329891, 1330046, 1348936, 1348911, 1349165, 1342938, 1330041]","[1370875, 1383936, 1383948, 1380668, 1380713, 1375007, 1380184, 1370726, 1380748, 1380339, 1370865, 1383976]","{'PRP': 0.07771293715577215, 'of': 0.0760132644085531, 'NN': 0.05307100707941051, 'sentiment': 0.052198277938267076, 'VB': 0.051546739829430435, 'NNS': 0.04046340156987689, 'DT': 0.035446474683049164, 'have': 0.0346270210709262, 'IN': 0.033893437479795695, 'i': 0.03231962264058014}"
0.8625,0.8614391434419777,0.8739522888459058,0.8625,0.84932,1,0.775,0.8735632183908046,0.8085106382978723,0.95,"[1330086, 1342532, 1336051, 1342512, 1342881, 1336094, 1330009, 1336093, 1342846, 1336437, 1342953, 1330041, 1336081, 1342901, 1336312, 1342554, 1336176, 1336217, 1336369, 1329986, 1349058, 1336128, 1336298, 1349067, 1348923, 1349096, 1342932, 1349105, 1342560, 1329972, 1342935, 1329883, 1329863, 1336271, 1342758, 1330088, 1342848, 1329870, 1349024, 1336112, 1336307, 1336526, 1342855, 1336234, 1336088]","[1375127, 1379866, 1375733, 1380015, 1380833, 1370040, 1379939, 1380411, 1383665, 1383917]","{'sentiment': 0.07449572337594383, 'PRP': 0.06606531307484716, 'VB': 0.05972382795077351, 'of': 0.05912245224042236, 'NN': 0.04149767385877185, 'DT': 0.0364870986197481, 'have': 0.036213271463457784, 'which': 0.030493794725072552, 'i': 0.029590217073608607, 'IN': 0.028901716627329096}"
