accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.665,0.6375929682217715,0.7365591397849462,0.665,0.73725,1,0.94,0.5379310344827586,0.8666666666666667,0.39,"[1404934, 1392156, 1405092, 1411231, 1398834, 1411239, 1392358, 1404895, 1392291, 1398784, 1392139, 1405032]","[1436694, 1441333, 1441693, 1441311, 1441869, 1436367, 1445871, 1437197, 1431356, 1431651, 1445355, 1431841, 1442005, 1436527, 1431454, 1441412, 1441862, 1441255, 1432118, 1431611, 1441876, 1441772, 1431878, 1432065, 1436609, 1431420, 1431496, 1431399, 1445735, 1436915, 1431671, 1441554, 1441612, 1441484, 1441518, 1445400, 1432231, 1437209, 1431342, 1436890, 1441524, 1442107, 1436412, 1441416, 1431653, 1445419, 1432028, 1441990, 1442166, 1442019, 1431830, 1445727, 1431950, 1436535, 1436844, 1432177, 1441330, 1442031, 1441796, 1436574, 1441852, 1441915, 1436750, 1436552, 1431565, 1441210, 1441849, 1432013, 1431614, 1441960, 1441753, 1431662, 1436875, 1441544, 1431712, 1437184, 1431476, 1431849, 1445610, 1431880, 1442086, 1445422, 1431884, 1441973, 1431439, 1441894, 1441323, 1441486, 1441277, 1431641, 1441350, 1436522, 1445639, 1445676, 1431380, 1437150, 1431634, 1431613, 1441225, 1432246, 1441881, 1431423, 1441738, 1431987, 1436248, 1442069, 1441253, 1431527, 1442028, 1436459, 1441347, 1445729, 1436533, 1436572, 1436769, 1445637, 1431664, 1432158, 1445534, 1441444, 1431334, 1431409]","{'of': 0.07505880030135997, 'PRP': 0.0739236603117718, 'NN': 0.060936731786554225, 'sentiment': 0.05818030819830842, 'VB': 0.047926341657694854, 'IN': 0.04089129054740833, 'DT': 0.03671407696789633, 'to': 0.03639004622656925, 'i': 0.03223356249401909, 'have': 0.030010710497894756}"
0.67,0.6470493863472285,0.7297607784835789,0.67,0.73705,1,0.925,0.5570469798657718,0.8469387755102041,0.415,"[1404849, 1411434, 1405100, 1398670, 1398558, 1398730, 1398577, 1411297, 1405059, 1405256, 1404880, 1405167, 1405232, 1404891, 1411269]","[1431318, 1441401, 1431293, 1445678, 1441658, 1436677, 1436514, 1431560, 1445340, 1436694, 1432074, 1441719, 1436508, 1441258, 1431582, 1437008, 1436897, 1445752, 1436448, 1431729, 1441751, 1445449, 1441570, 1431944, 1431508, 1442063, 1431446, 1431568, 1431470, 1442153, 1436955, 1436415, 1441926, 1431490, 1441418, 1432270, 1441456, 1445826, 1431328, 1436698, 1431513, 1437065, 1441377, 1432087, 1442085, 1441482, 1441243, 1441954, 1436580, 1441241, 1441203, 1431597, 1436928, 1442142, 1445603, 1441449, 1436555, 1436584, 1445649, 1442126, 1445432, 1431676, 1441828, 1441374, 1442152, 1431363, 1445883, 1441991, 1431472, 1431315, 1441907, 1441524, 1436470, 1436638, 1441544, 1436461, 1431735, 1441631, 1436968, 1441792, 1432056, 1441815, 1441260, 1431374, 1431677, 1431687, 1437077, 1441202, 1441217, 1436349, 1431915, 1437120, 1431949, 1436390, 1445837, 1441503, 1441375, 1432000, 1441758, 1441948, 1445415, 1445633, 1436591, 1431653, 1431514, 1442103, 1441959, 1436535, 1432009, 1431934, 1441715, 1436669, 1441791, 1436479, 1441433, 1445528, 1436327]","{'PRP': 0.07575883369265267, 'of': 0.0711059009658394, 'VB': 0.06837930894225594, 'sentiment': 0.06463655187645793, 'NN': 0.055640979235856924, 'IN': 0.043370259975520103, 'DT': 0.03840861579319727, 'RB': 0.032469379054823166, 'have': 0.032396311211604814, 'i': 0.031231010698059124}"
0.665,0.6386581814259519,0.7329192546583851,0.665,0.73622,1,0.935,0.541095890410959,0.8586956521739131,0.395,"[1411304, 1392291, 1405269, 1392139, 1392384, 1398706, 1411397, 1398654, 1404984, 1391989, 1411428, 1398555, 1405020]","[1432073, 1441654, 1436563, 1445707, 1441333, 1432033, 1437149, 1445802, 1442033, 1431868, 1437016, 1441316, 1436911, 1445415, 1432219, 1441821, 1432162, 1436783, 1431349, 1441602, 1441883, 1431498, 1442001, 1431536, 1431656, 1445550, 1437028, 1441666, 1431538, 1441723, 1441425, 1441348, 1445458, 1442148, 1432006, 1445662, 1432084, 1441553, 1431813, 1431521, 1441388, 1431382, 1445578, 1441318, 1441748, 1445651, 1436368, 1441371, 1431660, 1437073, 1431446, 1431307, 1432179, 1436963, 1445518, 1441827, 1432224, 1441638, 1445847, 1437076, 1436355, 1431510, 1445483, 1441224, 1441559, 1436249, 1431630, 1441567, 1436551, 1441953, 1437223, 1436952, 1437040, 1445528, 1437132, 1441415, 1432240, 1441583, 1432072, 1445870, 1431681, 1445567, 1432012, 1442079, 1445630, 1441293, 1442077, 1441368, 1445834, 1436523, 1441892, 1442016, 1441361, 1441948, 1441736, 1436393, 1441199, 1441452, 1436526, 1431517, 1431408, 1431767, 1431502, 1441788, 1441776, 1436348, 1432182, 1441561, 1432159, 1431917, 1436868, 1431424, 1441804, 1431541, 1436448, 1441619, 1436584, 1431641, 1445560, 1431829, 1431715]","{'sentiment': 0.06954261639264296, 'of': 0.06244515284481404, 'PRP': 0.06122353517814419, 'NN': 0.05551252442855336, 'VB': 0.04909324218849501, 'IN': 0.04522517952781418, 'DT': 0.036959432762660095, 'NNS': 0.03432407091843249, 'RB': 0.032367085852072666, 'to': 0.0322281231485603}"
0.68,0.6673510226357234,0.7122891850454063,0.68,0.73222,1,0.875,0.6024844720496895,0.7950819672131147,0.485,"[1411298, 1392028, 1411393, 1398568, 1411434, 1392134, 1404909, 1392289, 1398571, 1398828, 1392151, 1411466, 1392379, 1391998, 1392358, 1411269, 1391970, 1392213, 1404873, 1391996, 1398356, 1398746, 1398840, 1411283, 1398408]","[1436901, 1437104, 1436273, 1436499, 1431634, 1431553, 1431423, 1431674, 1445598, 1441722, 1441260, 1445579, 1437058, 1436584, 1431476, 1442051, 1437003, 1437214, 1437052, 1431424, 1436926, 1436932, 1436381, 1436503, 1437002, 1436851, 1436580, 1437073, 1436955, 1431591, 1441437, 1436811, 1441914, 1431444, 1437032, 1445582, 1445642, 1431507, 1441488, 1436987, 1441315, 1431390, 1431549, 1441380, 1431903, 1445758, 1445782, 1442072, 1441969, 1431357, 1436833, 1431441, 1441838, 1441362, 1436618, 1436852, 1431466, 1445897, 1441723, 1436519, 1432011, 1432125, 1445487, 1445507, 1437216, 1436638, 1442067, 1432097, 1436975, 1437124, 1445678, 1431497, 1445391, 1437065, 1441614, 1431436, 1437093, 1437028, 1436317, 1437081, 1441811, 1436979, 1436461, 1432040, 1445662, 1436813, 1436906, 1445544, 1441211, 1431648, 1436879, 1431520, 1445464, 1442132, 1436251, 1441334, 1431939, 1445702, 1431961, 1431510, 1442046, 1436441, 1441736]","{'PRP': 0.07102991859699839, 'of': 0.06101772949507679, 'NN': 0.05790482064444459, 'VB': 0.05678192673724003, 'sentiment': 0.05357425091403995, 'DT': 0.03841208579238851, 'have': 0.03716270026504092, 'IN': 0.03636442018533908, 'i': 0.03173401626918577, 'the': 0.027356197925454573}"
0.6425,0.6211293260473588,0.6840193704600485,0.6425,0.71111,1,0.88,0.5311475409836065,0.7714285714285715,0.405,"[1392287, 1398678, 1398503, 1392402, 1405140, 1411430, 1392228, 1404917, 1398452, 1405136, 1404822, 1404862, 1392358, 1392155, 1404877, 1392187, 1398848, 1404870, 1392355, 1411249, 1411466, 1391955, 1411425, 1398784]","[1431657, 1431525, 1445428, 1441267, 1431671, 1441780, 1432256, 1432140, 1436830, 1431908, 1445610, 1445753, 1441954, 1445538, 1432023, 1442104, 1431600, 1445847, 1437164, 1445711, 1436955, 1445415, 1445729, 1431578, 1441769, 1431784, 1445370, 1436712, 1442084, 1431566, 1431406, 1437200, 1436329, 1441772, 1436340, 1431807, 1436974, 1437101, 1431952, 1436869, 1445689, 1436554, 1441380, 1441240, 1441510, 1437064, 1442178, 1437070, 1436907, 1445484, 1445640, 1436737, 1436534, 1445906, 1431777, 1431432, 1431818, 1436497, 1445669, 1441452, 1436553, 1441734, 1431504, 1445873, 1431741, 1437104, 1431334, 1441416, 1445659, 1436924, 1441362, 1432084, 1445469, 1431328, 1431307, 1431926, 1441351, 1431447, 1437196, 1441714, 1445351, 1445491, 1431653, 1432042, 1431598, 1431549, 1436459, 1441222, 1436581, 1441282, 1432012, 1436344, 1432114, 1431491, 1441274, 1437025, 1436608, 1431858, 1445564, 1445492, 1442174, 1432146, 1445732, 1445710, 1442132, 1441984, 1436343, 1441867, 1445456, 1432198, 1441751, 1445341, 1436821, 1445915, 1437149, 1431970, 1436852, 1441318, 1432091]","{'PRP': 0.06998031650755947, 'of': 0.06279071040589071, 'NN': 0.054480784209317915, 'sentiment': 0.05236801181285149, 'IN': 0.04474615302432121, 'VB': 0.04301979731511521, 'DT': 0.037349471623789175, 'RB': 0.03672020907143106, 'have': 0.03586982292373966, 'the': 0.03279605977507087}"
0.65,0.6224786970121885,0.7117447769621683,0.65,0.72441,1,0.92,0.5205479452054794,0.8260869565217391,0.38,"[1391986, 1404849, 1392001, 1411444, 1392417, 1405092, 1391997, 1398841, 1392338, 1392160, 1392253, 1398448, 1398408, 1398572, 1405085, 1398738]","[1441584, 1441872, 1431498, 1436890, 1436835, 1445847, 1431861, 1436888, 1436608, 1436928, 1445652, 1445395, 1441329, 1436290, 1441414, 1431467, 1431651, 1436612, 1436942, 1442035, 1431741, 1441759, 1445663, 1436481, 1441523, 1445478, 1431670, 1431522, 1436607, 1445920, 1436825, 1431836, 1442167, 1432177, 1431809, 1437198, 1437139, 1436577, 1436525, 1437060, 1431392, 1442134, 1441508, 1441504, 1432147, 1436372, 1432129, 1432126, 1432009, 1441267, 1445783, 1441994, 1431564, 1436244, 1441796, 1441335, 1441360, 1445374, 1436824, 1445875, 1436965, 1442050, 1445639, 1431603, 1442129, 1436772, 1431918, 1445782, 1436941, 1436530, 1441246, 1436384, 1442101, 1431952, 1431754, 1441436, 1431423, 1442055, 1436249, 1436498, 1431439, 1436989, 1441943, 1445650, 1445372, 1436630, 1445400, 1436584, 1445860, 1436442, 1437086, 1431476, 1432202, 1436875, 1436632, 1436487, 1445798, 1441437, 1437110, 1441372, 1442063, 1445867, 1431871, 1431383, 1441449, 1441846, 1431645, 1441849, 1431980, 1436974, 1441698, 1431580, 1436521, 1445469, 1441382, 1441738, 1437148, 1441513, 1431547, 1436861, 1445842, 1441542, 1441602, 1436807]","{'PRP': 0.07111380181990767, 'VB': 0.058391912300986774, 'sentiment': 0.057339616399236265, 'of': 0.056424938576371535, 'NN': 0.05084348646849672, 'DT': 0.04055437662892298, 'have': 0.03948015679223599, 'which': 0.0329743738994125, 'to': 0.032841907044829866, 'IN': 0.03241882767717509}"
0.695,0.6879795396419438,0.7142857142857143,0.695,0.73478,1,0.845,0.6411764705882353,0.7785714285714286,0.545,"[1398706, 1391988, 1411508, 1411239, 1391997, 1392379, 1392299, 1392358, 1411381, 1392156, 1411349, 1391936, 1405213, 1398600, 1392410, 1391955, 1411297, 1392375, 1405020, 1411263, 1411426, 1404934, 1398755, 1398591, 1405115, 1405269, 1392134, 1392138, 1398565, 1392231, 1404889]","[1442125, 1442122, 1436309, 1431612, 1441222, 1441242, 1431361, 1445535, 1431437, 1432097, 1431443, 1441852, 1441932, 1441972, 1432080, 1432011, 1441246, 1436965, 1431714, 1441924, 1436818, 1437197, 1436967, 1445783, 1436474, 1431526, 1442008, 1436270, 1432091, 1445478, 1441503, 1445483, 1445615, 1441591, 1432222, 1437060, 1441918, 1431681, 1445480, 1445465, 1432137, 1441308, 1441507, 1437235, 1431999, 1442044, 1445835, 1445782, 1436780, 1441811, 1437200, 1445705, 1441726, 1441556, 1437132, 1436540, 1441646, 1431626, 1431536, 1441455, 1445522, 1441826, 1441486, 1431386, 1445731, 1431644, 1436653, 1441974, 1431326, 1436831, 1436372, 1441258, 1436850, 1436638, 1431513, 1437064, 1431771, 1436804, 1441424, 1445843, 1445889, 1431419, 1441656, 1441851, 1436304, 1437180, 1445710, 1441750, 1437035, 1441774, 1441908]","{'PRP': 0.0783944039875177, 'of': 0.06106450920380349, 'sentiment': 0.05826619228885314, 'NN': 0.049266321962455, 'VB': 0.04910113309168438, 'IN': 0.04550925932145535, 'have': 0.04306403578572657, 'DT': 0.04003662762594321, 'to': 0.03538522048568104, 'RB': 0.03185174300751629}"
0.6,0.5589735108464953,0.6592610288262462,0.6,0.69349,1,0.905,0.4244604316546763,0.7564102564102564,0.295,"[1392307, 1404916, 1405119, 1411259, 1392417, 1392156, 1405048, 1405140, 1391936, 1405142, 1411252, 1392299, 1398815, 1398581, 1392170, 1398448, 1411466, 1405264, 1398408]","[1436861, 1436286, 1431593, 1445780, 1441821, 1445412, 1441380, 1445626, 1441867, 1445825, 1441234, 1445418, 1436889, 1432092, 1436611, 1441602, 1432159, 1445486, 1441826, 1431367, 1436541, 1441441, 1431580, 1431626, 1431318, 1437215, 1437127, 1436515, 1441588, 1431961, 1436287, 1445568, 1445604, 1445625, 1431526, 1441776, 1445589, 1441471, 1431918, 1431373, 1431969, 1436736, 1437134, 1436979, 1445534, 1436832, 1441599, 1441504, 1432041, 1445842, 1441751, 1431910, 1437071, 1441730, 1436482, 1441539, 1441279, 1436439, 1431806, 1431314, 1431844, 1445851, 1436399, 1431899, 1436981, 1436455, 1437206, 1437118, 1445786, 1441552, 1436607, 1437229, 1436752, 1431856, 1432240, 1441527, 1436497, 1445461, 1436473, 1441368, 1441282, 1445489, 1436791, 1436465, 1436917, 1441544, 1441756, 1431804, 1436368, 1441601, 1436898, 1441789, 1436484, 1441561, 1441906, 1436986, 1442067, 1431755, 1431417, 1431412, 1441382, 1441735, 1445439, 1436411, 1441520, 1436580, 1445350, 1441304, 1445432, 1431588, 1431996, 1432272, 1441846, 1441456, 1431589, 1441960, 1441957, 1441509, 1441969, 1436316, 1441347, 1441348, 1441802, 1441939, 1431414, 1441787, 1441853, 1442100, 1441840, 1437064, 1441824, 1431454, 1441682, 1441981, 1445702, 1437169, 1445885, 1436435, 1445454, 1431486, 1431653]","{'PRP': 0.0772949110553872, 'of': 0.06351175532126349, 'sentiment': 0.057909342776017524, 'NN': 0.05263503263705552, 'VB': 0.05123603189878046, 'IN': 0.03938029670262125, 'to': 0.03456280240585421, 'DT': 0.030768390240377586, 'i': 0.030050595682165736, 'have': 0.029263995394436627}"
0.6675,0.6448574423060234,0.7248397597234806,0.6675,0.73453,1,0.92,0.5551839464882943,0.8383838383838383,0.415,"[1392099, 1398714, 1398828, 1398738, 1398364, 1405050, 1411231, 1398606, 1398408, 1392402, 1405214, 1405294, 1405069, 1398807, 1398646, 1398568]","[1437008, 1436585, 1436734, 1441540, 1437182, 1432071, 1441825, 1441885, 1432013, 1436269, 1436761, 1436331, 1441716, 1431493, 1441282, 1436394, 1431579, 1436339, 1445663, 1436510, 1436555, 1436620, 1437064, 1445917, 1442009, 1441226, 1436863, 1436949, 1445664, 1436975, 1437168, 1437020, 1436889, 1442117, 1445376, 1441401, 1441601, 1432268, 1432136, 1432254, 1432137, 1432252, 1445750, 1437001, 1431587, 1432091, 1445921, 1441361, 1432100, 1431744, 1432132, 1431594, 1436939, 1441741, 1436465, 1441425, 1437115, 1445507, 1445360, 1436250, 1437102, 1445428, 1445720, 1432007, 1445595, 1437152, 1436862, 1441739, 1436563, 1442124, 1441529, 1432111, 1431795, 1431966, 1436508, 1441224, 1441943, 1431513, 1441924, 1431515, 1437201, 1445554, 1432163, 1431538, 1436399, 1431570, 1445442, 1432116, 1442127, 1436696, 1436409, 1436327, 1432225, 1445456, 1445485, 1441810, 1442141, 1445392, 1432222, 1436286, 1441996, 1431800, 1436920, 1436302, 1436985, 1436688, 1436593, 1445617, 1436882, 1436821, 1445722, 1436473, 1432114, 1442145, 1441211, 1436859, 1436428]","{'of': 0.08216274333021678, 'sentiment': 0.08119886578156305, 'PRP': 0.07291150680918157, 'VB': 0.055585312026002816, 'NN': 0.055276561588104456, 'DT': 0.03954184356674239, 'to': 0.03729239571465526, 'NNS': 0.03169271448658265, 'IN': 0.030847448620509636, 'RB': 0.029428467632020432}"
0.625,0.5791718101223208,0.7214741318214033,0.625,0.71805,1,0.955,0.44029850746268656,0.8676470588235294,0.295,"[1405039, 1391987, 1398761, 1398581, 1404822, 1392375, 1405048, 1398555, 1392203]","[1436249, 1442126, 1431688, 1436964, 1431540, 1437081, 1441804, 1432010, 1441469, 1431439, 1431844, 1431373, 1441427, 1431775, 1436385, 1441520, 1445508, 1441957, 1431883, 1445592, 1436731, 1441224, 1441393, 1445506, 1436796, 1436508, 1431385, 1431327, 1432140, 1441971, 1445753, 1431859, 1441351, 1441991, 1431539, 1431813, 1432051, 1436251, 1436482, 1441528, 1436266, 1441602, 1442178, 1445562, 1432067, 1441254, 1441904, 1445498, 1436447, 1437225, 1436272, 1432277, 1436583, 1441882, 1431640, 1442124, 1441771, 1445717, 1436642, 1431352, 1432100, 1442056, 1442060, 1432195, 1436793, 1432111, 1445602, 1441196, 1441508, 1445869, 1441346, 1445652, 1431400, 1441454, 1441829, 1442006, 1436618, 1445548, 1436956, 1436875, 1441445, 1436469, 1441714, 1442140, 1431836, 1431557, 1445578, 1445899, 1441931, 1431420, 1436954, 1432179, 1445408, 1436993, 1431692, 1436351, 1436746, 1441757, 1432034, 1431956, 1436578, 1436524, 1431596, 1432136, 1436400, 1431436, 1437226, 1445803, 1431911, 1431814, 1445603, 1436924, 1441569, 1441302, 1431464, 1436801, 1441379, 1441983, 1436483, 1431343, 1441810, 1441409, 1442059, 1445726, 1436679, 1436411, 1431369, 1436668, 1441319, 1431798, 1445854, 1442054, 1436325, 1436461, 1441296, 1436965, 1432129, 1436966, 1445709, 1445492, 1431527]","{'PRP': 0.06947285628463393, 'sentiment': 0.06557867230342629, 'of': 0.06256434125193992, 'NN': 0.05187981129538674, 'VB': 0.04744726362581231, 'IN': 0.04571708495846281, 'have': 0.040158703857193424, 'DT': 0.038111133892602296, 'which': 0.036137938551814006, 'the': 0.028772682261003695}"
