accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.485,0.3778502612424874,0.45178399228543875,0.485,0.63604,0,0.9,0.11965811965811966,0.4117647058823529,0.07,"[1404916, 1411304, 1392291, 1405140, 1398604, 1411425, 1398437, 1405267, 1405026, 1411500, 1398571, 1405051, 1398356, 1411446, 1392325, 1398679, 1392156, 1398590, 1398448, 1398371]","[1429422, 1434804, 1429450, 1444713, 1429469, 1434418, 1430277, 1444288, 1444627, 1429614, 1444399, 1430085, 1440042, 1444376, 1439585, 1439693, 1429332, 1439946, 1439896, 1440194, 1429877, 1439754, 1439495, 1430172, 1439399, 1430131, 1430005, 1434756, 1439544, 1439359, 1434491, 1439482, 1444479, 1435073, 1434388, 1435125, 1439324, 1430290, 1444476, 1444574, 1434437, 1434607, 1444214, 1430112, 1429913, 1439986, 1440169, 1439884, 1444468, 1430065, 1429815, 1435067, 1440014, 1434397, 1444414, 1444230, 1439833, 1439610, 1440172, 1435184, 1444370, 1429335, 1430024, 1429752, 1440130, 1439326, 1439509, 1434572, 1439776, 1434863, 1434780, 1429784, 1434542, 1439318, 1439258, 1429772, 1434464, 1435054, 1429677, 1434779, 1439843, 1430206, 1430018, 1444681, 1439510, 1430101, 1435197, 1435152, 1435062, 1429424, 1440122, 1429338, 1444415, 1444386, 1430019, 1434857, 1434659, 1434677, 1435173, 1439836, 1434876, 1444249, 1434576, 1434904, 1439728, 1434352, 1434983, 1444375, 1444542, 1439909, 1429833, 1429367, 1444294, 1429746, 1439390, 1444510, 1435084, 1429856, 1434695, 1444407, 1434916, 1439224, 1435176, 1429610, 1439707, 1444416, 1429956, 1429609, 1430160, 1439263, 1440049, 1444581, 1434644, 1439623, 1439691, 1439516, 1440184, 1434852, 1439920, 1444650, 1430271, 1444270, 1434881, 1429359, 1434730, 1444572, 1429389, 1444726, 1430217, 1444529, 1434451, 1435097, 1435222, 1444546, 1439343, 1429558, 1429444, 1434600, 1434374, 1429785, 1430070, 1434338, 1439475, 1439886, 1434535, 1435008, 1429515, 1444508, 1429423, 1434534, 1439586, 1439996, 1440182, 1444218, 1439834, 1429690, 1429378, 1434910, 1444423, 1439652, 1434456, 1434994, 1444333, 1435055, 1434517, 1434516]","{'PRP': 0.07808399493189597, 'of': 0.07066143126207347, 'NN': 0.0637691914001705, 'sentiment': 0.05860962151799597, 'DT': 0.04302529598967398, 'VB': 0.04290310489944608, 'IN': 0.04122637189028582, 'RB': 0.034213200854303474, 'to': 0.03316454347846733, 'which': 0.03103530340912238}"
0.49,0.3675595238095239,0.4556737588652483,0.49,0.64583,0,0.93,0.08928571428571429,0.4166666666666667,0.05,"[1392410, 1398590, 1392165, 1398646, 1398372, 1392384, 1405059, 1398828, 1411283, 1398408, 1405128, 1405119, 1405264, 1404849]","[1430231, 1429336, 1429691, 1444397, 1439552, 1439693, 1439821, 1439419, 1429762, 1440189, 1439461, 1434584, 1444177, 1440145, 1429428, 1434832, 1434457, 1434812, 1429955, 1439575, 1430026, 1444740, 1430032, 1434506, 1435117, 1434747, 1439603, 1444666, 1434259, 1434617, 1439734, 1440081, 1440112, 1434521, 1444357, 1439598, 1444524, 1444522, 1444343, 1444670, 1439540, 1444410, 1444681, 1439797, 1434534, 1439760, 1430206, 1439972, 1435064, 1429565, 1439375, 1429400, 1439258, 1434318, 1430031, 1429317, 1439804, 1439705, 1444452, 1430148, 1434753, 1430245, 1429873, 1439474, 1439291, 1435113, 1434871, 1444731, 1434394, 1429812, 1429462, 1444630, 1439519, 1435137, 1430009, 1444570, 1435048, 1434814, 1439264, 1429788, 1439403, 1429395, 1440067, 1434562, 1434898, 1444453, 1429698, 1435233, 1434734, 1430024, 1429890, 1439856, 1444428, 1429753, 1444232, 1439664, 1429316, 1434547, 1439251, 1434373, 1434752, 1444526, 1429564, 1439732, 1430172, 1429425, 1444256, 1434897, 1435101, 1430211, 1430251, 1444412, 1429314, 1435152, 1434319, 1435156, 1439875, 1429869, 1429849, 1440010, 1429875, 1439898, 1430167, 1435220, 1439938, 1430301, 1429969, 1435183, 1429751, 1430270, 1434558, 1439370, 1444710, 1429827, 1444280, 1434614, 1444284, 1434417, 1444646, 1430036, 1435185, 1434552, 1439860, 1429393, 1434435, 1439296, 1444166, 1435198, 1444271, 1444705, 1440060, 1434548, 1444577, 1444287, 1439348, 1444207, 1430123, 1434344, 1429547, 1435025, 1444679, 1439647, 1439392, 1430139, 1429981, 1434376, 1439452, 1434774, 1444662, 1429859, 1440003, 1444655, 1444313, 1444607, 1429570, 1444403, 1444617, 1429487, 1439382, 1430161, 1439436, 1439372, 1439369, 1434532, 1440082, 1439794, 1429427, 1439282, 1439828, 1434877]","{'PRP': 0.07702357305543756, 'of': 0.07637533571521278, 'sentiment': 0.06770974434920536, 'NN': 0.04861277852985249, 'VB': 0.04701274360591486, 'DT': 0.03918678471268018, 'have': 0.03350185314582559, 'IN': 0.033031374328050284, 'the': 0.03151729653413397, 'NNS': 0.03090870557244104}"
0.4825,0.38245362808493494,0.45028055969884223,0.4825,0.63102,0,0.885,0.13389121338912133,0.41025641025641024,0.08,"[1391990, 1405016, 1392028, 1405214, 1405129, 1398746, 1398698, 1398834, 1405070, 1398389, 1392144, 1398371, 1398706, 1398585, 1405264, 1411236, 1411434, 1392289, 1392019, 1392278, 1392402, 1392023, 1392417]","[1439918, 1439502, 1429990, 1439799, 1430152, 1429525, 1434821, 1429967, 1439470, 1440167, 1429880, 1434560, 1429586, 1444427, 1434454, 1439814, 1429518, 1430248, 1439844, 1444646, 1439608, 1429452, 1439942, 1429867, 1429740, 1439429, 1435075, 1444708, 1430282, 1439308, 1444667, 1429827, 1439682, 1435072, 1435187, 1439684, 1434526, 1434278, 1434886, 1439951, 1444725, 1434870, 1439675, 1439802, 1434650, 1439274, 1444710, 1434501, 1434490, 1439629, 1444517, 1429321, 1444677, 1444560, 1429837, 1439618, 1444735, 1434887, 1429402, 1434396, 1429543, 1439261, 1439643, 1444657, 1439789, 1434617, 1439510, 1430262, 1444242, 1434649, 1434612, 1440108, 1444522, 1430222, 1435211, 1429591, 1439908, 1444215, 1429804, 1435166, 1429428, 1440102, 1439579, 1439796, 1440110, 1429315, 1439422, 1434551, 1434715, 1439637, 1439994, 1439651, 1439487, 1435179, 1444157, 1444289, 1429589, 1439828, 1429784, 1434569, 1429608, 1439249, 1439456, 1429887, 1439763, 1439281, 1440036, 1444607, 1434702, 1429820, 1434354, 1430267, 1429947, 1439541, 1439866, 1440176, 1435099, 1429316, 1440057, 1439816, 1440009, 1444713, 1434636, 1434700, 1439776, 1439560, 1429978, 1444155, 1444507, 1444312, 1429457, 1429865, 1439780, 1439760, 1430258, 1440025, 1429696, 1434263, 1434487, 1434541, 1444331, 1430239, 1430291, 1444728, 1430247, 1440106, 1439295, 1429548, 1439691, 1439553, 1439970, 1430257, 1434503, 1439917, 1444208, 1434365, 1434608, 1444533, 1439494, 1439315, 1439396, 1434581, 1440117, 1429652, 1429720, 1429466, 1439390, 1429420, 1434659, 1429438, 1440092, 1444722, 1444547, 1429389, 1435053, 1439557, 1435198, 1430150, 1429869, 1439832, 1429781, 1429964, 1440066, 1439967]","{'PRP': 0.07838822002632123, 'of': 0.07342975121905451, 'NN': 0.05316584402049, 'sentiment': 0.0525036367216508, 'VB': 0.04673414336721816, 'IN': 0.04589685587584213, 'DT': 0.04509133616494661, 'have': 0.03751710409050274, 'which': 0.031050459187453444, 'RB': 0.029845002195546293}"
0.5,0.38657833394675495,0.5,0.5,0.65035,0,0.93,0.12280701754385964,0.5,0.07,"[1405092, 1398738, 1391944, 1398714, 1411334, 1398389, 1404934, 1392291, 1392165, 1392375, 1398429, 1398593, 1404916, 1392393]","[1440169, 1444392, 1429994, 1439884, 1440162, 1434598, 1439619, 1434300, 1439755, 1439616, 1434451, 1429888, 1435037, 1439269, 1439297, 1430082, 1429980, 1429849, 1439537, 1444204, 1434569, 1434911, 1434898, 1444341, 1439406, 1444157, 1439447, 1439462, 1444441, 1439856, 1444210, 1434400, 1444475, 1440172, 1434532, 1429892, 1430205, 1434883, 1444330, 1429513, 1444637, 1429442, 1439637, 1429862, 1429820, 1429665, 1439968, 1429408, 1429941, 1429355, 1429554, 1429781, 1439515, 1429463, 1435008, 1444454, 1439923, 1444663, 1435065, 1429444, 1435115, 1429921, 1430229, 1434265, 1429610, 1440116, 1439837, 1429558, 1429802, 1435117, 1439938, 1434644, 1429333, 1434331, 1434902, 1429404, 1430149, 1444388, 1439544, 1440037, 1435152, 1429722, 1434556, 1439686, 1444735, 1439606, 1435006, 1435053, 1440185, 1444496, 1430216, 1429885, 1444456, 1444312, 1434754, 1444241, 1429884, 1434632, 1429347, 1434336, 1439887, 1439796, 1444624, 1434367, 1434312, 1444507, 1440160, 1440132, 1444304, 1444453, 1435090, 1435078, 1439928, 1434676, 1439827, 1429953, 1429603, 1439959, 1434327, 1434796, 1434380, 1435222, 1430108, 1429615, 1444596, 1434677, 1439781, 1444259, 1434920, 1434329, 1429970, 1444417, 1444628, 1434686, 1440000, 1439277, 1429918, 1434706, 1429704, 1429550, 1444648, 1435142, 1439441, 1439334, 1444659, 1439379, 1444739, 1434881, 1439542, 1439831, 1434832, 1439919, 1444354, 1429947, 1439861, 1440047, 1429508, 1429973, 1430080, 1439238, 1444575, 1444618, 1444740, 1430195, 1440161, 1444342, 1435049, 1444573, 1434843, 1439418, 1429804, 1440018, 1439580, 1434771, 1435181, 1435134, 1434291, 1429677, 1444444, 1439396, 1439452, 1440025, 1439272, 1434722, 1439705, 1430263]","{'PRP': 0.07947059087230204, 'sentiment': 0.07020298946179676, 'of': 0.05987423742262285, 'NN': 0.05464456949953821, 'VB': 0.05345591686845212, 'DT': 0.03593694842201135, 'have': 0.034463602736176775, 'mean_sen_len': 0.03398700658574504, 'RB': 0.03253484397880498, 'to': 0.03175203064975042}"
0.4975,0.38512836592509886,0.49070545589738823,0.4975,0.64799,0,0.925,0.1222707423580786,0.4827586206896552,0.07,"[1392156, 1411434, 1398699, 1405264, 1398399, 1404984, 1411425, 1411479, 1405119, 1405214, 1392355, 1398452, 1392151, 1398414, 1404909]","[1434727, 1444742, 1435072, 1439943, 1440091, 1434535, 1429895, 1439684, 1439357, 1444278, 1434926, 1439963, 1439930, 1429730, 1444194, 1434772, 1435227, 1434518, 1429317, 1429836, 1439647, 1430256, 1429585, 1430110, 1429629, 1440204, 1439953, 1429659, 1435014, 1434878, 1439329, 1440136, 1444419, 1439766, 1444580, 1434774, 1444217, 1444520, 1439632, 1439565, 1439458, 1440005, 1429847, 1429822, 1429724, 1444248, 1444215, 1444648, 1434721, 1439710, 1439983, 1434628, 1439514, 1439543, 1429897, 1439927, 1429763, 1444705, 1440107, 1429437, 1439797, 1439399, 1429657, 1429565, 1434402, 1429334, 1434463, 1444267, 1434539, 1439615, 1434982, 1434722, 1435221, 1435177, 1434872, 1429331, 1434483, 1434318, 1429910, 1434553, 1435106, 1430301, 1435051, 1429706, 1429971, 1429864, 1440057, 1439965, 1439855, 1429336, 1439856, 1439226, 1429900, 1430172, 1439775, 1439280, 1439754, 1434693, 1430144, 1440001, 1444670, 1429416, 1444504, 1434988, 1429324, 1429442, 1429526, 1444360, 1429670, 1434425, 1434335, 1444682, 1444209, 1429601, 1434839, 1434507, 1434314, 1434701, 1434991, 1439714, 1429951, 1435095, 1439692, 1439361, 1444220, 1444553, 1444414, 1430265, 1439511, 1429856, 1429768, 1439665, 1439227, 1444291, 1429451, 1444522, 1429810, 1435032, 1429496, 1439771, 1430296, 1429448, 1434595, 1444294, 1429764, 1439257, 1444390, 1429879, 1430135, 1444316, 1434857, 1435238, 1434869, 1434439, 1439355, 1439618, 1430286, 1430201, 1439322, 1429707, 1429886, 1444610, 1439480, 1444243, 1439436, 1444554, 1444625, 1439572, 1429566, 1434278, 1430012, 1434362, 1434257, 1429826, 1439859, 1435113, 1429815, 1435080, 1444296, 1439546, 1444470, 1434531, 1444453, 1439815, 1439969, 1444301]","{'of': 0.0717454359205283, 'PRP': 0.06369204460280693, 'sentiment': 0.058029373382062245, 'NN': 0.05425077658344286, 'VB': 0.04640448619069228, 'DT': 0.04189211056125108, 'IN': 0.038995856802026864, 'NNS': 0.032724982310622125, 'to': 0.03135228911850009, 'RB': 0.030567897507625195}"
0.535,0.45890909090909093,0.58,0.535,0.66182,1,0.91,0.256,0.64,0.16,"[1398491, 1392170, 1392330, 1398679, 1392151, 1404897, 1405214, 1392338, 1398730, 1398598, 1392427, 1398519, 1411444, 1398408, 1391996, 1392376, 1392395, 1398371]","[1434586, 1429531, 1439716, 1439760, 1444220, 1429639, 1429578, 1434863, 1444240, 1444211, 1434557, 1434714, 1439842, 1435026, 1430086, 1439862, 1439662, 1444637, 1429371, 1439267, 1429414, 1444437, 1439440, 1434891, 1439500, 1444175, 1435049, 1444330, 1444163, 1435046, 1429485, 1434932, 1429550, 1434342, 1434539, 1444479, 1444460, 1429350, 1429889, 1430204, 1434437, 1440116, 1444287, 1435163, 1439777, 1430042, 1439422, 1434902, 1429572, 1429863, 1429915, 1444596, 1434365, 1435041, 1444700, 1429860, 1439241, 1439572, 1439452, 1444517, 1439373, 1444409, 1429923, 1430223, 1430246, 1430177, 1444204, 1430181, 1439792, 1430200, 1444584, 1439560, 1444363, 1430087, 1429876, 1434375, 1439374, 1434627, 1430083, 1439619, 1430002, 1434802, 1444716, 1439378, 1440038, 1439445, 1439616, 1439685, 1429830, 1434708, 1434270, 1430055, 1439974, 1439925, 1435197, 1444713, 1434598, 1439460, 1429553, 1435042, 1444709, 1444329, 1429813, 1439409, 1439806, 1444267, 1429680, 1439298, 1440026, 1434568, 1434955, 1430111, 1434596, 1430127, 1429583, 1435198, 1439875, 1430241, 1440134, 1429366, 1429575, 1439960, 1429683, 1434844, 1434262, 1440104, 1444737, 1444197, 1439521, 1430148, 1429973, 1434964, 1439491, 1430169, 1434827, 1429576, 1439756, 1429433, 1434741, 1439579, 1429438, 1429569, 1434409, 1444187, 1434423, 1435237, 1439359, 1429924, 1439347, 1435133, 1434767, 1430191, 1429411, 1444416, 1439621, 1434520, 1444514, 1434597, 1439349, 1444526, 1434516, 1434515, 1434841, 1444327, 1439943, 1440069, 1429375, 1444169]","{'PRP': 0.08870979400517812, 'of': 0.0687293577747195, 'NN': 0.052112043031679905, 'VB': 0.0520687179153544, 'sentiment': 0.0499348632496095, 'IN': 0.04270976581497006, 'have': 0.0345196437131625, 'to': 0.032395460681708045, 'which': 0.03237061810970058, 'DT': 0.030620251835118153}"
0.49,0.38694554633970424,0.4694749694749694,0.49,0.6383,0,0.9,0.13559322033898305,0.4444444444444444,0.08,"[1391996, 1405017, 1398828, 1404873, 1404862, 1392384, 1398399, 1398738, 1392276, 1398519, 1392207, 1392144, 1398452, 1392170, 1411231, 1405162, 1405213, 1391936, 1398722, 1404949]","[1429649, 1434698, 1429324, 1439876, 1439488, 1444182, 1429437, 1439432, 1440092, 1444423, 1434421, 1434785, 1444720, 1440069, 1434936, 1439487, 1439434, 1429682, 1434449, 1434335, 1434608, 1444556, 1439912, 1429697, 1434771, 1434498, 1444654, 1434943, 1429550, 1444311, 1429897, 1434880, 1435143, 1444324, 1444698, 1435240, 1444641, 1429787, 1434948, 1439367, 1435110, 1434673, 1429943, 1439813, 1430167, 1440176, 1444240, 1429634, 1434291, 1429829, 1439819, 1439241, 1429791, 1434806, 1429442, 1435138, 1439513, 1439827, 1444520, 1434393, 1434638, 1444457, 1429410, 1444179, 1434470, 1434567, 1439337, 1429762, 1444385, 1444243, 1429543, 1444155, 1439262, 1440044, 1444665, 1444687, 1435010, 1429529, 1439642, 1435195, 1434474, 1434385, 1434417, 1429820, 1434815, 1429800, 1439645, 1434745, 1439989, 1434558, 1429502, 1439771, 1440121, 1434623, 1434824, 1429975, 1430073, 1444409, 1444408, 1434445, 1429476, 1434751, 1434569, 1429432, 1430062, 1439232, 1444532, 1439286, 1430095, 1429944, 1430110, 1434645, 1440112, 1434828, 1429367, 1440043, 1430199, 1439959, 1439860, 1444719, 1434846, 1435123, 1439699, 1429959, 1429612, 1434518, 1439587, 1439787, 1430235, 1429508, 1434765, 1430254, 1439614, 1439660, 1434542, 1444470, 1429445, 1439544, 1434837, 1429520, 1429333, 1434389, 1439962, 1434647, 1430166, 1430298, 1435236, 1439256, 1429710, 1444679, 1439604, 1429584, 1434754, 1429614, 1434330, 1435082, 1439266, 1429709, 1434383, 1440021, 1439453, 1444482, 1429900, 1435218, 1440035, 1429539, 1434839, 1430005, 1434904, 1440156, 1429817, 1444380, 1439866, 1429927, 1439597, 1429505, 1430101, 1439461, 1439998, 1435203, 1440196, 1444377, 1434487, 1439986]","{'of': 0.07674048433818864, 'PRP': 0.06952563419675455, 'NN': 0.06300822917280761, 'VB': 0.057215908372001294, 'sentiment': 0.055776578869220925, 'IN': 0.050119522204144624, 'DT': 0.03506324414396518, 'which': 0.0342778314906498, 'RB': 0.031391728243728156, 'NNS': 0.030816057904215183}"
0.525,0.43718712047157804,0.5665070497472732,0.525,0.6595,1,0.92,0.21487603305785125,0.6190476190476191,0.13,"[1392002, 1398719, 1411425, 1398558, 1398372, 1398399, 1398631, 1398785, 1404909, 1405200, 1392294, 1398815, 1404984, 1405264, 1404862, 1398574]","[1439795, 1429818, 1429973, 1434701, 1434615, 1429631, 1434661, 1444183, 1429399, 1430068, 1440045, 1435247, 1434397, 1429536, 1434432, 1439816, 1430167, 1444485, 1434482, 1439662, 1435096, 1434625, 1444548, 1429612, 1430095, 1430243, 1444324, 1444738, 1440178, 1430271, 1435162, 1429823, 1429726, 1430299, 1439308, 1444251, 1429852, 1430111, 1430033, 1430103, 1429401, 1429675, 1435160, 1440101, 1440148, 1430145, 1429486, 1439604, 1435144, 1444634, 1430144, 1439806, 1434445, 1444352, 1439714, 1434317, 1434457, 1444418, 1444455, 1434466, 1435164, 1429447, 1444593, 1435169, 1434472, 1434281, 1439338, 1444617, 1444583, 1444227, 1434749, 1439860, 1429867, 1444209, 1439466, 1439915, 1430036, 1434544, 1429748, 1444565, 1444490, 1439317, 1444510, 1444537, 1429972, 1434689, 1440169, 1430284, 1440177, 1439549, 1440043, 1429790, 1439619, 1439734, 1429714, 1430294, 1444526, 1434411, 1429751, 1439241, 1434823, 1444236, 1444417, 1434368, 1439504, 1434319, 1439227, 1439718, 1439956, 1440139, 1429644, 1434605, 1429439, 1435197, 1444282, 1439679, 1434542, 1439386, 1444166, 1440035, 1444394, 1429897, 1430127, 1444559, 1430053, 1434267, 1444182, 1434994, 1439901, 1444660, 1439770, 1429827, 1434323, 1440182, 1444171, 1429872, 1444260, 1439417, 1434698, 1439829, 1434748, 1444253, 1435157, 1444608, 1444597, 1430152, 1434534, 1444232, 1435181, 1434406, 1429505, 1444662, 1434470, 1435141, 1434400, 1440033, 1434639, 1434952, 1435045, 1439559, 1434408, 1429975, 1435009, 1444293, 1444436, 1430018, 1434708, 1434364, 1434787, 1439469, 1435090, 1429978, 1429382, 1429857]","{'PRP': 0.07719962809084024, 'VB': 0.06901399487145528, 'of': 0.05741574822554924, 'sentiment': 0.05602573069971055, 'NN': 0.04183942542549113, 'IN': 0.04026782408114504, 'DT': 0.03751771714077775, 'to': 0.033919645960109865, 'have': 0.031532506660890115, 'the': 0.029419508567099552}"
0.4975,0.3883094058840983,0.4912579770959,0.4975,0.64675,0,0.92,0.12987012987012986,0.4838709677419355,0.075,"[1392338, 1404909, 1405036, 1391955, 1398356, 1392325, 1398558, 1392355, 1392276, 1391944, 1392402, 1405294, 1392160, 1405040, 1392205, 1411481]","[1439517, 1434635, 1444382, 1429905, 1444459, 1439242, 1435061, 1444361, 1439882, 1434730, 1429392, 1439721, 1440071, 1444524, 1444685, 1429727, 1429945, 1444304, 1439923, 1440052, 1435029, 1434279, 1444303, 1430276, 1439264, 1439713, 1439328, 1444576, 1434370, 1439471, 1430256, 1444493, 1444488, 1435223, 1444615, 1434366, 1439426, 1430077, 1434428, 1435007, 1434803, 1434398, 1444528, 1440082, 1440122, 1444526, 1435026, 1439984, 1435122, 1434808, 1434654, 1434562, 1429824, 1434590, 1430113, 1444722, 1434712, 1429785, 1434467, 1444279, 1444282, 1440043, 1439509, 1444294, 1434634, 1434956, 1429421, 1434867, 1444197, 1439513, 1429629, 1434754, 1439767, 1439323, 1444331, 1439445, 1444499, 1434895, 1429653, 1429581, 1439994, 1429815, 1439682, 1444373, 1440096, 1429572, 1439660, 1440184, 1444396, 1444310, 1430173, 1439925, 1439651, 1429854, 1444248, 1429325, 1434633, 1444358, 1444280, 1434983, 1439941, 1439953, 1429868, 1444311, 1430141, 1439717, 1429974, 1444368, 1439480, 1439746, 1444209, 1439958, 1434510, 1439908, 1439628, 1435166, 1440117, 1429382, 1439345, 1434478, 1440056, 1444293, 1439239, 1429890, 1429843, 1434294, 1440161, 1444643, 1434743, 1444216, 1435211, 1429779, 1430038, 1444681, 1434674, 1434908, 1429980, 1429973, 1435074, 1434607, 1434879, 1429848, 1434523, 1434621, 1439396, 1444693, 1429645, 1429860, 1444380, 1444736, 1429962, 1434794, 1434377, 1429752, 1440067, 1434779, 1440190, 1439781, 1429455, 1439760, 1439837, 1429314, 1430059, 1444558, 1439324, 1429859, 1434284, 1444669, 1434460, 1434358, 1429545, 1434630, 1444257, 1440135, 1434813, 1429651, 1439770, 1430019, 1444270, 1444480, 1429641, 1434964, 1439602, 1439375, 1434903]","{'PRP': 0.08349145750654346, 'of': 0.06400059217755373, 'sentiment': 0.05958614916520475, 'VB': 0.05652878019785887, 'NN': 0.05367285571834523, 'the': 0.04075985801615149, 'DT': 0.03817192071755801, 'IN': 0.03531656585563648, 'i': 0.031487920854279684, 'have': 0.03033914685367843}"
0.5,0.3989662219016709,0.5,0.5,0.64539,0,0.91,0.15254237288135594,0.5,0.09,"[1398555, 1398738, 1392099, 1392402, 1398782, 1411239, 1411249, 1392157, 1398448, 1405073, 1392187, 1392165, 1405294, 1405020, 1398598, 1411466, 1404949, 1392001]","[1440196, 1430277, 1434694, 1429601, 1439499, 1434288, 1430071, 1429915, 1429938, 1439994, 1439383, 1429600, 1429829, 1434432, 1439827, 1434478, 1444449, 1444720, 1434904, 1439828, 1430238, 1439645, 1435133, 1444429, 1444542, 1429343, 1444392, 1434721, 1429528, 1435117, 1435145, 1430113, 1444740, 1429331, 1439414, 1444171, 1440032, 1429602, 1434590, 1429620, 1439910, 1430063, 1429967, 1429493, 1444330, 1439310, 1440184, 1439429, 1439778, 1434388, 1434376, 1430189, 1435132, 1434852, 1435235, 1435067, 1439934, 1439283, 1430100, 1434507, 1444362, 1439424, 1435001, 1434598, 1444402, 1430129, 1429461, 1434275, 1440172, 1430065, 1429856, 1439567, 1434342, 1429374, 1439882, 1444210, 1439874, 1429472, 1444407, 1434671, 1434536, 1435169, 1444474, 1434317, 1430286, 1439226, 1434334, 1435000, 1440194, 1429569, 1439636, 1434991, 1439887, 1430230, 1439935, 1435140, 1434636, 1429320, 1439919, 1429583, 1430202, 1440036, 1439516, 1429841, 1435149, 1429848, 1439678, 1435193, 1444694, 1439730, 1435191, 1434374, 1440003, 1439315, 1429431, 1434862, 1429422, 1444329, 1434585, 1439980, 1434865, 1444631, 1440145, 1444373, 1434494, 1439718, 1444728, 1429500, 1439655, 1434639, 1429336, 1434387, 1440209, 1429921, 1444388, 1434832, 1434470, 1434779, 1434539, 1434898, 1434538, 1444397, 1434766, 1444454, 1444464, 1439377, 1439985, 1430041, 1434390, 1429770, 1434378, 1440005, 1430015, 1430255, 1429553, 1440028, 1439534, 1444476, 1439907, 1434563, 1440164, 1435246, 1429408, 1434418, 1430176, 1439266, 1434509, 1429988, 1444732, 1430267, 1430263, 1429805, 1430244, 1434622, 1434299, 1429724, 1434377, 1439512, 1439846, 1434455, 1439774, 1435116]","{'PRP': 0.07302844157026983, 'of': 0.06337842150909162, 'VB': 0.0576367048366239, 'NN': 0.047608595531882895, 'sentiment': 0.04733730141891538, 'to': 0.043064310095173725, 'DT': 0.041483032773613926, 'IN': 0.03408531040650137, 'NNS': 0.03370138056713202, 'have': 0.03133237288402092}"
