accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.5775,0.528456532202373,0.6327111605805044,0.5775,0.68053,1,0.9,0.3763837638376384,0.7183098591549296,0.255,"[1398437, 1398581, 1392170, 1392376, 1411450, 1411304, 1411297, 1392134, 1392358, 1398773, 1411245, 1391936, 1398644, 1411425, 1398399, 1391934, 1405224, 1411437, 1398722, 1398828]","[1392763, 1399143, 1416128, 1406091, 1417751, 1416378, 1392531, 1415322, 1406018, 1392542, 1399341, 1405444, 1418429, 1393057, 1393414, 1392452, 1406204, 1405771, 1405537, 1415377, 1417669, 1416903, 1412081, 1415731, 1417748, 1399335, 1392707, 1417162, 1405460, 1405630, 1411576, 1415813, 1418091, 1415128, 1416154, 1412107, 1399471, 1417533, 1418049, 1405513, 1392808, 1417650, 1415769, 1417020, 1405315, 1405995, 1416618, 1392835, 1393331, 1416314, 1392551, 1417466, 1393041, 1399750, 1392654, 1393132, 1417205, 1405991, 1416867, 1406197, 1406217, 1406216, 1417188, 1392605, 1416514, 1393117, 1415424, 1392539, 1415902, 1393337, 1405389, 1416874, 1416600, 1418548, 1416892, 1415292, 1415146, 1405802, 1398999, 1417866, 1398991, 1411602, 1415966, 1411822, 1417856, 1415590, 1416019, 1399138, 1416731, 1418107, 1415699, 1418353, 1399633, 1417732, 1411877, 1415233, 1415332, 1392739, 1417506, 1415675, 1416292, 1405676, 1411734, 1399507, 1415333, 1405581, 1416963, 1393300, 1418226, 1399073, 1405987, 1415918, 1405920, 1417737, 1392497, 1416824, 1417348, 1411545, 1411903, 1406108, 1415745, 1418322, 1418022, 1399531, 1393408, 1399795, 1417825, 1399057, 1417854, 1415268, 1416601, 1398898, 1418248, 1416046, 1399837, 1411562, 1411582, 1399386, 1398873, 1417843, 1415621, 1418605, 1412001, 1399116, 1392671, 1405438, 1411523, 1418251, 1418357]","{'PRP': 0.07674334955088379, 'sentiment': 0.06054328230843025, 'of': 0.05698859941803275, 'NN': 0.055769436197072426, 'VB': 0.05194673040145484, 'IN': 0.03970408064951264, 'DT': 0.038749872961055414, 'to': 0.03031135113722929, 'which': 0.030070805826370697, 'RB': 0.03002862035420851}"
0.5975,0.534651819843776,0.7120602468598771,0.5975,0.70567,1,0.965,0.36363636363636365,0.8679245283018868,0.23,"[1392170, 1405164, 1405048, 1405264, 1411269, 1398706, 1411402]","[1415310, 1416011, 1406253, 1418285, 1416905, 1406126, 1405681, 1415402, 1393373, 1415175, 1411980, 1398913, 1418246, 1416280, 1417430, 1399528, 1418489, 1399814, 1415569, 1392709, 1399597, 1415680, 1415435, 1405456, 1418265, 1399104, 1398974, 1416255, 1405419, 1417259, 1417531, 1417763, 1416411, 1416294, 1393143, 1417031, 1416041, 1392749, 1399340, 1399495, 1416070, 1415596, 1416018, 1415743, 1417817, 1405553, 1392461, 1415178, 1417623, 1399494, 1392584, 1392958, 1415579, 1415337, 1416664, 1411600, 1416935, 1405981, 1398997, 1398881, 1416773, 1417242, 1415077, 1416549, 1418028, 1416328, 1417281, 1393062, 1399680, 1417203, 1416150, 1399362, 1418128, 1416913, 1399071, 1417164, 1417286, 1418457, 1393037, 1415849, 1415942, 1406108, 1392925, 1416242, 1405368, 1416777, 1418358, 1417584, 1418261, 1416700, 1399347, 1411893, 1415953, 1393117, 1417574, 1417866, 1415848, 1415833, 1405440, 1405762, 1418450, 1411585, 1406230, 1399453, 1416358, 1399822, 1415344, 1417152, 1399510, 1405804, 1398899, 1416993, 1416099, 1415683, 1411847, 1416182, 1399101, 1405882, 1415511, 1392448, 1405333, 1416067, 1399209, 1418104, 1399441, 1415806, 1398936, 1415395, 1411583, 1417273, 1416302, 1418493, 1416594, 1393287, 1405831, 1416854, 1405569, 1405416, 1416630, 1412061, 1416831, 1418521, 1416971, 1418531, 1416435, 1405393, 1405739, 1399763, 1415483, 1418455, 1411698, 1411739, 1405611, 1411885]","{'PRP': 0.0710089289119445, 'of': 0.06697827565890842, 'NN': 0.05716906352801202, 'sentiment': 0.04815792079749204, 'VB': 0.045207663177941323, 'IN': 0.0409901135106509, 'mean_sen_len': 0.03873943466371315, 'DT': 0.03490276063511755, 'to': 0.034652798406694725, 'have': 0.03372939502936072}"
0.595,0.5591956681450845,0.6407198933491334,0.595,0.68482,1,0.88,0.43356643356643354,0.7209302325581395,0.31,"[1405200, 1392136, 1392171, 1411252, 1392002, 1411450, 1398679, 1405277, 1405048, 1398646, 1392410, 1411349, 1411444, 1398722, 1411297, 1392169, 1392325, 1398429, 1411498, 1398670, 1392099, 1398828, 1398558, 1392307]","[1411618, 1417396, 1399485, 1416614, 1399071, 1415704, 1417439, 1418444, 1411733, 1416413, 1417076, 1417390, 1392621, 1417348, 1393177, 1416069, 1405361, 1415973, 1411889, 1417231, 1416828, 1406154, 1415466, 1399715, 1417130, 1417313, 1405918, 1393326, 1405916, 1416625, 1416904, 1393040, 1399587, 1405528, 1399184, 1405378, 1418631, 1415947, 1418194, 1412086, 1415742, 1415610, 1405980, 1416138, 1418183, 1399412, 1415192, 1417035, 1418411, 1398978, 1406196, 1415340, 1417199, 1416070, 1416294, 1415589, 1417214, 1405344, 1416089, 1417438, 1415423, 1392556, 1399348, 1415221, 1406120, 1417414, 1411946, 1405393, 1392507, 1417784, 1411662, 1417665, 1417478, 1392968, 1406135, 1406056, 1415695, 1405881, 1392560, 1405553, 1393238, 1405491, 1418544, 1392862, 1405857, 1393171, 1393234, 1399182, 1405678, 1418583, 1415728, 1418339, 1415829, 1399733, 1416447, 1415186, 1405656, 1416516, 1392574, 1417450, 1417354, 1417170, 1411891, 1399473, 1417329, 1418324, 1418537, 1393075, 1417913, 1416549, 1416334, 1415467, 1418020, 1417905, 1417020, 1405973, 1405408, 1392773, 1416918, 1412041, 1418546, 1416718, 1399464, 1416528, 1417413, 1417509, 1411593, 1411686, 1393065, 1405368, 1399295, 1392804, 1415670, 1416153, 1415734, 1416172, 1392523, 1416408]","{'PRP': 0.07434443236208399, 'sentiment': 0.07159440480916408, 'NN': 0.06884576565463829, 'of': 0.060833794391276425, 'VB': 0.05017542577248077, 'IN': 0.03437092599618865, 'i': 0.034242173718557284, 'mean_sen_len': 0.029667024409334032, 'DT': 0.02924924007207215, 'to': 0.028309326736151413}"
0.5325,0.4819047619047619,0.5533333333333332,0.5325,0.64381,1,0.845,0.32,0.5866666666666667,0.22,"[1405092, 1405186, 1392382, 1411446, 1392170, 1405029, 1391955, 1391934, 1398371, 1405115, 1405269, 1404895, 1405263, 1398568, 1398364, 1392001, 1392276, 1398613, 1398452, 1392417, 1405023, 1398815, 1398714, 1398555, 1392030, 1405069, 1398678, 1404880, 1392150, 1405026, 1398848]","[1405458, 1417989, 1405806, 1399549, 1399106, 1393009, 1415305, 1416303, 1418546, 1392739, 1392707, 1417715, 1416291, 1416218, 1399075, 1416275, 1416085, 1416002, 1411614, 1415088, 1393203, 1416567, 1405547, 1416988, 1406111, 1417518, 1399692, 1417651, 1405546, 1416770, 1416668, 1399642, 1417721, 1416315, 1392509, 1418531, 1405607, 1415910, 1415416, 1415483, 1393005, 1412096, 1417047, 1405706, 1392979, 1418549, 1405748, 1416067, 1405895, 1416593, 1406096, 1405886, 1405696, 1406232, 1417943, 1411730, 1415280, 1417877, 1417623, 1415684, 1417158, 1417012, 1405365, 1416669, 1392797, 1417999, 1399441, 1399520, 1418573, 1405998, 1415498, 1418039, 1416280, 1411699, 1406007, 1418078, 1418114, 1412021, 1405399, 1417981, 1406270, 1417182, 1415953, 1399245, 1405527, 1393410, 1398888, 1411565, 1393050, 1393161, 1398974, 1416287, 1415330, 1418101, 1411628, 1393199, 1417343, 1399070, 1417062, 1399312, 1415361, 1415629, 1411745, 1418399, 1417926, 1415400, 1399598, 1406140, 1392698, 1417720, 1411759, 1393254, 1416240, 1415251, 1417229, 1411762, 1405839, 1415506, 1393052, 1418534, 1415966, 1411853, 1399738, 1393345, 1415739, 1405342, 1411630, 1415162, 1392493, 1416760, 1416378, 1399615, 1412024, 1411818, 1416174, 1418297, 1399166, 1417440, 1418193, 1398967, 1405699, 1418122, 1411829, 1415309, 1399102, 1399584, 1416851, 1392474, 1416691, 1418595, 1416564, 1405384, 1416136, 1417676, 1418230, 1411836]","{'PRP': 0.06959675691365662, 'NN': 0.06290170928766962, 'sentiment': 0.060038508356771964, 'of': 0.05914585842953307, 'VB': 0.05656527012091638, 'IN': 0.03833639264880549, 'have': 0.034766791515061804, 'RB': 0.03413832245819712, 'NNS': 0.033448234291634814, 'the': 0.03212668055699292}"
0.5725,0.5193625229251428,0.6299807269956523,0.5725,0.67917,1,0.905,0.3595505617977528,0.7164179104477612,0.24,"[1411428, 1398746, 1392165, 1405069, 1398429, 1411349, 1405049, 1398364, 1398555, 1398841, 1392299, 1405164, 1405073, 1411309, 1392187, 1392134, 1411500, 1411297, 1392358]","[1416066, 1405818, 1392659, 1411990, 1417577, 1411618, 1411830, 1411754, 1415892, 1417848, 1411937, 1416830, 1416043, 1411682, 1416270, 1416802, 1416737, 1411751, 1418594, 1405784, 1405782, 1411897, 1415875, 1416034, 1412103, 1411835, 1415183, 1392505, 1406254, 1417769, 1416700, 1416140, 1416892, 1399100, 1415427, 1399202, 1417261, 1417161, 1392765, 1399523, 1399834, 1405535, 1416268, 1392490, 1392859, 1416682, 1392452, 1415986, 1417384, 1417366, 1399729, 1399457, 1392504, 1393412, 1415754, 1398897, 1393230, 1415366, 1399672, 1418381, 1416421, 1398934, 1418222, 1399517, 1411741, 1392446, 1405694, 1417337, 1418318, 1412056, 1415153, 1393298, 1416633, 1418396, 1399245, 1392480, 1405311, 1415143, 1405408, 1399745, 1417867, 1399355, 1406159, 1417783, 1416566, 1416867, 1405976, 1417126, 1405316, 1406024, 1417369, 1392586, 1416395, 1415152, 1398987, 1393049, 1416282, 1416381, 1415437, 1399486, 1405426, 1416345, 1416172, 1417982, 1416931, 1406134, 1405676, 1399053, 1392624, 1405971, 1417201, 1399326, 1405630, 1399209, 1416744, 1416760, 1411620, 1412106, 1417902, 1393024, 1406210, 1418632, 1399623, 1418324, 1399582, 1393008, 1417893, 1416908, 1399590, 1418410, 1417665, 1399057, 1393100, 1416068, 1417355, 1405538, 1417961, 1417537, 1417037, 1405803, 1392672, 1417807, 1399773, 1399541, 1415168, 1399466, 1417395, 1417977, 1392711, 1412024, 1416794, 1418196]","{'PRP': 0.07767928291227688, 'NN': 0.058589591144716, 'VB': 0.057907911592057514, 'of': 0.05612862934742429, 'sentiment': 0.052306025249636, 'IN': 0.043702952854610386, 'the': 0.04267299301771334, 'DT': 0.035677416188984325, 'have': 0.033174652716078695, 'RB': 0.032756012630659706}"
0.54,0.46472727272727277,0.5914285714285714,0.54,0.66545,1,0.915,0.264,0.66,0.165,"[1405200, 1405264, 1392294, 1398699, 1392203, 1411239, 1404934, 1405087, 1405214, 1398815, 1392135, 1398577, 1398568, 1392144, 1405256, 1392325, 1398727]","[1399827, 1405686, 1393316, 1416714, 1393410, 1416468, 1416664, 1416047, 1405475, 1405566, 1393128, 1415244, 1415949, 1415440, 1411642, 1406210, 1405685, 1417311, 1417448, 1411823, 1399458, 1392600, 1405637, 1416224, 1415590, 1415432, 1393214, 1417724, 1416861, 1416811, 1418254, 1399781, 1418608, 1393321, 1417847, 1405958, 1406128, 1406236, 1393288, 1415912, 1417053, 1417698, 1392809, 1417202, 1416463, 1405329, 1405574, 1417736, 1405513, 1415450, 1415946, 1417271, 1416855, 1416601, 1392698, 1399743, 1416492, 1398877, 1416589, 1405497, 1415487, 1393001, 1411886, 1405642, 1418115, 1405312, 1415728, 1405406, 1398920, 1418217, 1405553, 1418604, 1415316, 1399003, 1392868, 1415241, 1399141, 1405339, 1392924, 1399552, 1405903, 1392452, 1405780, 1398894, 1415588, 1418098, 1417618, 1417811, 1392990, 1405520, 1405384, 1416780, 1399667, 1405993, 1393221, 1405962, 1411586, 1411792, 1399098, 1406253, 1392760, 1417456, 1416266, 1411683, 1399064, 1418298, 1399717, 1398896, 1416121, 1411890, 1399399, 1415258, 1411545, 1405629, 1405554, 1415356, 1418082, 1393223, 1411895, 1405843, 1416892, 1415362, 1406053, 1416522, 1399670, 1392550, 1415414, 1416328, 1418579, 1399200, 1393337, 1399241, 1415083, 1399796, 1392991, 1417729, 1416076, 1415251, 1418410, 1398875, 1405999, 1406192, 1398952, 1399131, 1417112, 1416496, 1416294, 1411727, 1405672, 1406237, 1399079, 1411848, 1418222, 1416217, 1411804, 1393296, 1416693, 1399107, 1399612, 1417321, 1392636, 1411701, 1416550, 1415344, 1416576, 1405965, 1392562]","{'PRP': 0.08197994651740138, 'of': 0.07475619814873942, 'NN': 0.061094254290970824, 'sentiment': 0.05254293690810931, 'IN': 0.04587762913782501, 'to': 0.04387604314165792, 'VB': 0.04164301221955178, 'the': 0.041368934224269925, 'RB': 0.03467590367454237, 'DT': 0.03152319497150621}"
0.56,0.5080363382250175,0.6038961038961039,0.56,0.66792,1,0.885,0.34814814814814815,0.6714285714285714,0.235,"[1398828, 1392151, 1404867, 1398608, 1398714, 1392338, 1392139, 1392028, 1391987, 1398403, 1398590, 1411283, 1404822, 1392289, 1392207, 1391996, 1405069, 1405277, 1392355, 1398558, 1405032, 1398371, 1392099]","[1405425, 1417325, 1399563, 1393225, 1399481, 1418271, 1417229, 1415413, 1412058, 1411841, 1411586, 1418158, 1406128, 1392910, 1418515, 1406261, 1415341, 1418557, 1392676, 1418380, 1399300, 1392505, 1415833, 1417980, 1406163, 1417740, 1417877, 1417840, 1415122, 1415106, 1405325, 1393099, 1399187, 1405976, 1399751, 1415084, 1415967, 1418255, 1417117, 1405364, 1399385, 1411602, 1392805, 1415298, 1405924, 1418269, 1415374, 1405617, 1405662, 1415930, 1417921, 1416681, 1418465, 1416315, 1405335, 1415596, 1418222, 1418300, 1393239, 1399525, 1415347, 1416322, 1393114, 1399319, 1417153, 1393206, 1399403, 1405696, 1415648, 1418554, 1418427, 1399132, 1417222, 1415338, 1416238, 1417167, 1416931, 1411787, 1411773, 1393362, 1399055, 1411703, 1405474, 1406271, 1392674, 1411982, 1406180, 1416824, 1411760, 1416888, 1417630, 1416743, 1399046, 1405584, 1405656, 1405398, 1417334, 1416773, 1415382, 1416344, 1416428, 1405498, 1415598, 1399582, 1417509, 1416414, 1392540, 1411655, 1399668, 1415204, 1417076, 1415469, 1399572, 1406162, 1416986, 1411742, 1417984, 1417017, 1416567, 1417576, 1399841, 1416309, 1399762, 1417972, 1411634, 1417675, 1411540, 1393073, 1393368, 1416666, 1399542, 1392435, 1417158, 1415098, 1406041, 1417947, 1416174, 1399792, 1411753, 1417551, 1406198, 1415340, 1392705, 1392785, 1416262, 1411969, 1416210, 1406038, 1392949, 1411990, 1399136, 1418433, 1405809]","{'PRP': 0.07897110425749322, 'of': 0.06658272298344803, 'sentiment': 0.0558938407444228, 'NN': 0.05259542023233003, 'VB': 0.05120097605074928, 'IN': 0.042233213091280135, 'to': 0.042023994538705096, 'DT': 0.041114356739026, 'NNS': 0.03350737101021363, 'which': 0.032187632064279964}"
0.5575,0.494715206360308,0.6143197972066206,0.5575,0.67283,1,0.91,0.3166023166023166,0.6949152542372882,0.205,"[1398565, 1392410, 1398571, 1392165, 1392376, 1398399, 1411393, 1405051, 1392379, 1392030, 1392358, 1411481, 1391970, 1392001, 1404984, 1398815, 1398356, 1411239]","[1418149, 1405538, 1405797, 1417342, 1417629, 1393101, 1393042, 1417153, 1399614, 1417717, 1411759, 1399179, 1411750, 1415098, 1418042, 1399312, 1417166, 1418178, 1417835, 1399250, 1417375, 1399117, 1416243, 1393362, 1399050, 1418057, 1411564, 1415887, 1416162, 1418567, 1416157, 1399104, 1399311, 1405561, 1415290, 1416002, 1417719, 1415588, 1411541, 1417813, 1405775, 1411610, 1417115, 1415485, 1417698, 1392647, 1416910, 1418114, 1415909, 1411862, 1416882, 1405795, 1392603, 1399687, 1399575, 1416086, 1417156, 1418239, 1411976, 1399097, 1418492, 1417701, 1392563, 1415141, 1405418, 1418537, 1417753, 1418632, 1412050, 1392812, 1405582, 1416132, 1415783, 1392838, 1405948, 1398988, 1417552, 1418061, 1406202, 1418320, 1398929, 1415891, 1416497, 1418329, 1418071, 1416006, 1417377, 1399607, 1417348, 1417394, 1415278, 1415341, 1416308, 1416828, 1417670, 1416244, 1399484, 1415431, 1392887, 1418176, 1416236, 1417263, 1393325, 1392880, 1393182, 1418383, 1416275, 1415695, 1392910, 1393332, 1392680, 1399682, 1415619, 1417150, 1416256, 1392485, 1412033, 1417075, 1399683, 1405333, 1393099, 1415125, 1418607, 1405960, 1411776, 1393377, 1418465, 1392553, 1417149, 1416970, 1418330, 1411794, 1399470, 1416945, 1415487, 1415273, 1417074, 1417305, 1415740, 1405873, 1398900, 1411867, 1416311, 1415408, 1418018, 1416367, 1405999, 1405563, 1417720, 1416147, 1405955, 1399681, 1416389, 1412099, 1399808, 1405726, 1417563, 1399535, 1393410]","{'of': 0.07603175854826857, 'PRP': 0.06512793548302465, 'sentiment': 0.055789421717807326, 'VB': 0.05045961540806379, 'NN': 0.0497449125875707, 'IN': 0.04379599730145294, 'to': 0.04084990882079104, 'DT': 0.03199795212445455, 'RB': 0.030577742760708362, 'i': 0.02950051823382827}"
0.5625,0.49201373014317956,0.6404573290634307,0.5625,0.68124,1,0.935,0.30278884462151395,0.7450980392156863,0.19,"[1398834, 1398668, 1392170, 1398606, 1404851, 1411231, 1392165, 1392283, 1392160, 1411239, 1398389, 1398581, 1392019]","[1406005, 1392645, 1415730, 1411744, 1399830, 1405339, 1417685, 1416463, 1416904, 1416420, 1405896, 1406260, 1393087, 1417430, 1412008, 1416575, 1417907, 1416351, 1392695, 1416173, 1415363, 1417136, 1415285, 1406163, 1415161, 1415297, 1415579, 1405389, 1393163, 1417138, 1416865, 1399162, 1393212, 1405797, 1399007, 1418246, 1418158, 1411719, 1399073, 1417061, 1416587, 1411827, 1411731, 1418304, 1415329, 1417626, 1415708, 1393263, 1392636, 1416799, 1399377, 1412065, 1412110, 1393128, 1399461, 1411983, 1417970, 1416193, 1415589, 1392501, 1392472, 1412083, 1398983, 1411625, 1406239, 1405829, 1411996, 1398941, 1418163, 1417418, 1416607, 1415105, 1417688, 1405360, 1411635, 1392646, 1416935, 1405806, 1411630, 1399388, 1415351, 1415797, 1393255, 1398959, 1411916, 1417075, 1411804, 1418245, 1416413, 1418456, 1416836, 1415995, 1393254, 1399642, 1417885, 1405455, 1417826, 1418363, 1392683, 1418365, 1393300, 1415148, 1417724, 1415770, 1399540, 1417604, 1406157, 1418192, 1399004, 1411590, 1406061, 1415339, 1393324, 1393171, 1415705, 1416008, 1418217, 1418429, 1417131, 1399711, 1405804, 1399516, 1411748, 1417118, 1399318, 1415751, 1417250, 1418350, 1405562, 1418395, 1416842, 1417518, 1392821, 1416892, 1392989, 1417808, 1416267, 1418308, 1416849, 1418421, 1417328, 1399751, 1417273, 1415521, 1411947, 1416962, 1399345, 1415826, 1405509, 1393398, 1416473, 1405886, 1418134, 1417855, 1392499, 1398855, 1418380, 1416407, 1415644, 1418462, 1416617, 1415818]","{'PRP': 0.07975063923033929, 'of': 0.06048821546952734, 'VB': 0.058604440425063, 'sentiment': 0.051394867468081876, 'DT': 0.04441954345730819, 'NN': 0.042039656796395215, 'IN': 0.04016542317409984, 'mean_sen_len': 0.03277659952439277, 'RB': 0.03238415234128445, 'the': 0.03198524261115498}"
0.585,0.5325392132015432,0.654236980584286,0.585,0.68914,1,0.92,0.37593984962406013,0.7575757575757576,0.25,"[1398613, 1391997, 1398593, 1392410, 1391996, 1398356, 1398399, 1398452, 1405101, 1411444, 1392307, 1411259, 1392146, 1392283, 1404895, 1405200]","[1399315, 1417737, 1415793, 1415497, 1417146, 1415753, 1399723, 1415655, 1405953, 1417941, 1411546, 1418337, 1406205, 1417649, 1415901, 1415910, 1398965, 1415084, 1416491, 1418412, 1415924, 1417895, 1418158, 1398881, 1416112, 1393208, 1415394, 1411550, 1411547, 1399306, 1399522, 1392817, 1405803, 1416473, 1416844, 1399010, 1393069, 1417469, 1399814, 1415806, 1416158, 1399675, 1416699, 1417321, 1411603, 1399613, 1416411, 1416735, 1406204, 1398899, 1415583, 1415323, 1416895, 1393105, 1399103, 1393042, 1392797, 1399472, 1416304, 1418326, 1417100, 1417807, 1416846, 1412083, 1411796, 1411858, 1415081, 1417670, 1393010, 1417461, 1392815, 1417920, 1392531, 1417891, 1411722, 1411539, 1392484, 1417778, 1399577, 1418015, 1416284, 1392911, 1412055, 1417082, 1418539, 1418485, 1412017, 1415591, 1417587, 1416578, 1399159, 1417557, 1416711, 1415894, 1417485, 1406104, 1399636, 1393301, 1416268, 1416036, 1415769, 1405892, 1418246, 1411838, 1411830, 1411642, 1417623, 1406178, 1412050, 1418217, 1399840, 1415321, 1399231, 1411725, 1399066, 1417389, 1399755, 1399238, 1418492, 1392843, 1415246, 1417036, 1417004, 1411593, 1399039, 1416801, 1411554, 1392447, 1411823, 1415176, 1411849, 1412100, 1416236, 1412025, 1415539, 1392687, 1417594, 1411613, 1416456, 1417296, 1393036, 1417029, 1399343, 1416214, 1392840, 1416751, 1399827, 1417972, 1405949, 1416878]","{'of': 0.071930516042434, 'PRP': 0.07121134252662967, 'NN': 0.05844187282995409, 'VB': 0.05371762054736713, 'sentiment': 0.04984556706673127, 'DT': 0.040841364017047445, 'IN': 0.04053806209701791, 'have': 0.03801585690993646, 'to': 0.03211787420257721, 'which': 0.029637718293111164}"
