accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.565,0.5187520743445071,0.6055880441845354,0.565,0.66794,1,0.875,0.3695652173913043,0.6710526315789473,0.255,"[1398598, 1398668, 1411481, 1391955, 1392028, 1405051, 1391989, 1398558, 1398784, 1398714, 1398727, 1405225, 1404934, 1391997, 1411500, 1398699, 1398746, 1392376, 1392144, 1392203, 1405200, 1411488, 1404949, 1398834, 1398848]","[1448299, 1401190, 1452706, 1454079, 1448773, 1453866, 1448829, 1407536, 1401203, 1452399, 1412950, 1407287, 1408103, 1449060, 1401801, 1450752, 1401532, 1453028, 1407332, 1395381, 1453987, 1407893, 1400869, 1408228, 1450276, 1453840, 1400850, 1412888, 1407519, 1412908, 1452625, 1395188, 1394589, 1412805, 1450235, 1452520, 1395302, 1448192, 1413044, 1394598, 1395215, 1450169, 1395101, 1412954, 1452427, 1408048, 1450774, 1450495, 1401594, 1401344, 1401479, 1451049, 1412915, 1394634, 1400885, 1394449, 1453712, 1448547, 1401562, 1452089, 1454027, 1454084, 1452778, 1401015, 1394854, 1407946, 1450209, 1407913, 1407545, 1413254, 1448199, 1452448, 1450918, 1407625, 1395074, 1452190, 1400939, 1452221, 1394661, 1452810, 1407331, 1453730, 1395284, 1450588, 1448927, 1450441, 1448248, 1407767, 1450801, 1413111, 1407932, 1412708, 1449082, 1452170, 1394758, 1452934, 1401664, 1394517, 1401347, 1450431, 1407782, 1448814, 1401062, 1412909, 1412931, 1450798, 1448212, 1401824, 1454216, 1395379, 1408254, 1450655, 1454043, 1408124, 1407296, 1452608, 1450486, 1453023, 1401581, 1451046, 1448318, 1401796, 1394707, 1413296, 1395257, 1407854, 1448664, 1448117, 1413158, 1448500, 1407672, 1412870, 1452823, 1448612, 1394497, 1395165, 1413074, 1395299, 1412816, 1407969, 1454113, 1453901, 1452689, 1452918, 1448952, 1453672, 1407962, 1401556, 1452947]","{'PRP': 0.07778641899148613, 'of': 0.0660295504943268, 'sentiment': 0.06565073347025299, 'NN': 0.05670576852468018, 'VB': 0.047456295449621155, 'DT': 0.04031908697371022, 'RB': 0.03681711248585859, 'IN': 0.03375341759093084, 'to': 0.03214900296205311, 'i': 0.030758219178767744}"
0.5525,0.4930291508238276,0.5989119683481701,0.5525,0.66667,1,0.895,0.3193916349809886,0.6666666666666666,0.21,"[1398714, 1411278, 1411252, 1391936, 1392171, 1392410, 1405069, 1392376, 1404873, 1411479, 1405294, 1391962, 1404934, 1404917, 1392338, 1404949, 1398828, 1398591, 1398577, 1405092, 1391955]","[1401288, 1401796, 1453857, 1394965, 1401161, 1413148, 1394957, 1454084, 1413013, 1453928, 1401350, 1407789, 1448272, 1395242, 1448465, 1408092, 1452891, 1450245, 1453988, 1448736, 1394775, 1407957, 1448403, 1407419, 1452457, 1412876, 1448644, 1413127, 1448390, 1450976, 1448549, 1401593, 1450829, 1450874, 1452807, 1450597, 1395360, 1413026, 1452228, 1453747, 1448194, 1448956, 1450419, 1394734, 1448792, 1395114, 1450371, 1413169, 1407997, 1413162, 1454013, 1401577, 1401408, 1454032, 1452741, 1394871, 1408115, 1448378, 1450299, 1401207, 1401379, 1449030, 1448233, 1407289, 1450726, 1407427, 1407561, 1395211, 1400863, 1452170, 1450297, 1449050, 1448720, 1448349, 1407412, 1448283, 1412755, 1450638, 1401275, 1450831, 1401388, 1452918, 1450797, 1394703, 1394685, 1452134, 1395094, 1413268, 1401641, 1452182, 1407809, 1408102, 1452163, 1453968, 1407498, 1453758, 1394975, 1450179, 1453766, 1401632, 1407300, 1452304, 1412743, 1453942, 1401072, 1453779, 1407306, 1394765, 1413219, 1408031, 1452722, 1450264, 1407299, 1450172, 1450954, 1407723, 1394405, 1412963, 1395140, 1450134, 1401179, 1450128, 1407950, 1395336, 1401591, 1450548, 1452077, 1452410, 1449063, 1395083, 1450463, 1401481, 1453873, 1408164, 1450122, 1452644, 1407840, 1407949, 1448670, 1407517, 1450096, 1394462, 1448665, 1448509, 1452272, 1394903, 1451008, 1452180, 1453879, 1413078, 1408173, 1451013, 1452343, 1407460, 1395020, 1401703, 1450488, 1412958]","{'PRP': 0.0798965418748548, 'of': 0.07502651570387332, 'sentiment': 0.06733103900382834, 'VB': 0.04625266665746163, 'NN': 0.046131551188676664, 'to': 0.04005172337159085, 'IN': 0.03896181235141327, 'DT': 0.03463274818324587, 'RB': 0.031449092305432184, 'NNS': 0.028113428223961245}"
0.57,0.49286472461375164,0.6787538304392237,0.57,0.69065,1,0.96,0.29508196721311475,0.8181818181818182,0.18,"[1405128, 1411231, 1392187, 1391997, 1392028, 1398515, 1398389, 1398565]","[1401607, 1452527, 1452647, 1452237, 1412850, 1452818, 1394762, 1452735, 1394685, 1401518, 1401697, 1454175, 1394660, 1401363, 1394735, 1408261, 1394895, 1412813, 1452243, 1400895, 1450556, 1407697, 1408178, 1400943, 1450906, 1452141, 1453934, 1453887, 1395285, 1448589, 1448728, 1401283, 1407821, 1407916, 1450809, 1412709, 1448278, 1452814, 1450364, 1407488, 1448903, 1454187, 1400848, 1407507, 1413040, 1407504, 1395278, 1401621, 1452855, 1408119, 1453898, 1450180, 1408132, 1395070, 1454150, 1408045, 1453853, 1452790, 1448104, 1407772, 1454220, 1450903, 1412903, 1394760, 1452221, 1395323, 1452961, 1453712, 1452664, 1452837, 1401134, 1450279, 1452806, 1395091, 1450919, 1401579, 1412889, 1448780, 1452144, 1453903, 1450955, 1452991, 1394816, 1413112, 1454194, 1454089, 1452291, 1412911, 1448219, 1450652, 1413236, 1394520, 1408176, 1448680, 1453009, 1450843, 1450650, 1448515, 1448575, 1407353, 1450539, 1407940, 1448956, 1454103, 1448349, 1452079, 1452781, 1401582, 1452326, 1407692, 1452951, 1413177, 1395215, 1401151, 1394633, 1450099, 1407539, 1412941, 1448311, 1407748, 1448556, 1448206, 1401250, 1401297, 1407491, 1451052, 1401461, 1454036, 1394806, 1454098, 1452317, 1452868, 1401058, 1448202, 1448754, 1450996, 1407287, 1453037, 1401584, 1448760, 1448451, 1454186, 1452220, 1452450, 1394937, 1401465, 1394677, 1450845, 1454128, 1408175, 1452725, 1394593, 1448173, 1407527, 1452667, 1412922, 1413087, 1395365, 1452536, 1412893, 1452371, 1394712, 1413129, 1407906]","{'PRP': 0.07190382320259953, 'of': 0.06856487451935192, 'sentiment': 0.058217938933399396, 'NN': 0.049487665527324504, 'VB': 0.04815811846423507, 'DT': 0.040204985809150974, 'have': 0.03354968769701391, 'IN': 0.03354044295743134, 'NNS': 0.03122620411540285, 'mean_sen_len': 0.028623898218310854}"
0.5225,0.46314761332574433,0.5403388463089955,0.5225,0.64165,1,0.855,0.2846441947565543,0.5671641791044776,0.19,"[1405200, 1398565, 1404880, 1404862, 1391944, 1405128, 1411321, 1392291, 1392203, 1411252, 1392171, 1411444, 1405100, 1391936, 1398714, 1391987, 1392223, 1398773, 1398566, 1411425, 1404877, 1411483, 1398841, 1398816, 1392139, 1398556, 1404851, 1392307, 1398452]","[1448235, 1412747, 1394607, 1453011, 1452710, 1448750, 1453938, 1407396, 1450551, 1395043, 1407578, 1394847, 1448504, 1452859, 1401234, 1452571, 1453763, 1452983, 1450803, 1448700, 1448224, 1454039, 1401552, 1407346, 1452372, 1450710, 1407610, 1412995, 1448420, 1449051, 1401808, 1452095, 1407376, 1448307, 1407997, 1451008, 1394741, 1407608, 1452416, 1453901, 1452482, 1407759, 1450153, 1412916, 1453972, 1408124, 1413013, 1453823, 1448112, 1450898, 1394855, 1454072, 1407543, 1450837, 1452632, 1452820, 1401820, 1452619, 1448277, 1412730, 1453789, 1412737, 1454210, 1453704, 1450222, 1394679, 1452730, 1454176, 1454091, 1448948, 1454113, 1454131, 1452634, 1448132, 1448735, 1450796, 1451015, 1401779, 1412746, 1452065, 1453828, 1453816, 1394595, 1452305, 1452970, 1408173, 1395230, 1407339, 1401772, 1401824, 1448513, 1407354, 1452270, 1452288, 1394709, 1395063, 1401719, 1450433, 1450824, 1395001, 1450613, 1413099, 1452684, 1401306, 1408134, 1401365, 1394519, 1450897, 1450458, 1408079, 1451021, 1450366, 1407534, 1454012, 1401689, 1407368, 1395362, 1448365, 1450212, 1452928, 1454199, 1453712, 1452323, 1448430, 1450663, 1450491, 1450155, 1395019, 1451039, 1407557, 1413210, 1407301, 1452192, 1448586, 1450694, 1450954, 1413051, 1453667, 1452785, 1395300, 1448391, 1394985, 1407891, 1452480, 1400944, 1448508, 1448282, 1394628, 1454079, 1452408, 1400980, 1448886, 1408015, 1451016, 1394975, 1408239, 1401224, 1407517, 1452818, 1452591, 1454049, 1448317]","{'PRP': 0.07715724095244746, 'of': 0.07503331053762485, 'sentiment': 0.06449889694487837, 'NN': 0.05747093383542272, 'DT': 0.048887837881720714, 'VB': 0.044625856634021924, 'to': 0.034572808679002566, 'RB': 0.034533705709267046, 'IN': 0.03303655123226987, 'the': 0.030515152433774177}"
0.55,0.48299632352941174,0.6038205980066446,0.55,0.66912,1,0.91,0.296875,0.6785714285714286,0.19,"[1398828, 1392376, 1398408, 1392156, 1392405, 1392173, 1411231, 1392160, 1392358, 1392375, 1392001, 1398356, 1398555, 1392170, 1405213, 1405119, 1398577, 1411426]","[1453793, 1401217, 1448818, 1400852, 1452378, 1395284, 1413273, 1452719, 1394548, 1452618, 1401172, 1412866, 1408055, 1448839, 1448615, 1407314, 1450474, 1453720, 1412758, 1401475, 1450560, 1453718, 1448371, 1452078, 1408149, 1394985, 1454090, 1401644, 1450751, 1395348, 1407534, 1448458, 1401788, 1408182, 1413036, 1407826, 1408015, 1453978, 1448405, 1401810, 1452324, 1448534, 1412756, 1401610, 1401373, 1412803, 1407403, 1412963, 1452649, 1407731, 1448359, 1452071, 1448415, 1412714, 1453798, 1448577, 1452119, 1407424, 1453943, 1448404, 1413042, 1395330, 1451011, 1448923, 1401310, 1413149, 1450616, 1448373, 1401645, 1452989, 1395190, 1452336, 1395092, 1448495, 1450194, 1401627, 1400905, 1395308, 1448815, 1450158, 1407829, 1394967, 1401431, 1448954, 1450549, 1450193, 1452829, 1401289, 1453865, 1407328, 1452343, 1448451, 1394728, 1401051, 1450143, 1394650, 1407648, 1452443, 1394575, 1451025, 1452235, 1448497, 1401278, 1448925, 1450410, 1413032, 1451017, 1394409, 1401069, 1450118, 1407768, 1452833, 1395069, 1407491, 1401022, 1408074, 1452283, 1450552, 1407402, 1407364, 1407299, 1407866, 1452363, 1401770, 1452933, 1394594, 1449034, 1454115, 1412759, 1452377, 1401396, 1454057, 1448655, 1394709, 1448321, 1448306, 1450828, 1452781, 1452622, 1448546, 1401269, 1450978, 1450354, 1448769, 1448915, 1452146, 1394471, 1450527, 1401585, 1408257, 1401502, 1412817, 1452658, 1395177, 1450636, 1448867, 1450708, 1449061, 1452520, 1408197, 1450893, 1452822]","{'of': 0.07411517251940641, 'PRP': 0.0672628808000295, 'NN': 0.0626196268178807, 'sentiment': 0.058369185504861226, 'VB': 0.05580652768674699, 'DT': 0.041364503950506115, 'IN': 0.03619119329993389, 'RB': 0.03404050017098916, 'to': 0.030776122305883006, 'mean_sen_len': 0.030733891152648095}"
0.52,0.4462230682703124,0.5428173838578463,0.52,0.64835,1,0.885,0.2440944881889764,0.5740740740740741,0.155,"[1411322, 1405167, 1398828, 1404858, 1398593, 1398448, 1411231, 1392173, 1392002, 1411426, 1405264, 1411309, 1404949, 1398486, 1411252, 1404877, 1398668, 1398389, 1392283, 1405085, 1404868, 1392099, 1405016]","[1452730, 1452266, 1448306, 1401229, 1407536, 1408011, 1407600, 1448459, 1450211, 1413251, 1448402, 1395347, 1452921, 1395077, 1452812, 1448180, 1413188, 1453956, 1407398, 1452939, 1450980, 1394747, 1452077, 1407980, 1394665, 1450975, 1448176, 1450550, 1448447, 1448272, 1413163, 1401043, 1401191, 1394969, 1394407, 1401670, 1408169, 1401035, 1407790, 1408151, 1448723, 1407657, 1394473, 1394625, 1452965, 1412720, 1452718, 1448928, 1394489, 1448207, 1452736, 1450409, 1408123, 1448491, 1401403, 1395106, 1452934, 1448674, 1450526, 1452390, 1394858, 1448383, 1401761, 1452285, 1450352, 1395076, 1452430, 1454112, 1407731, 1448424, 1401640, 1407791, 1452108, 1451049, 1448258, 1395372, 1448517, 1413033, 1395146, 1450492, 1407882, 1394879, 1413217, 1450947, 1453754, 1453957, 1450325, 1407693, 1413092, 1395011, 1450887, 1450795, 1448263, 1394968, 1394441, 1450798, 1450511, 1407774, 1401482, 1400972, 1394622, 1413228, 1412857, 1452874, 1450588, 1453933, 1450312, 1395176, 1448957, 1453807, 1401306, 1450720, 1450472, 1408241, 1413073, 1412754, 1401590, 1394970, 1395267, 1448379, 1450943, 1394853, 1453705, 1407493, 1394411, 1394606, 1394637, 1407697, 1454211, 1394615, 1413102, 1394481, 1452943, 1413025, 1401342, 1450090, 1450965, 1395081, 1450212, 1407476, 1448947, 1450291, 1395274, 1448505, 1394639, 1407913, 1412984, 1407684, 1401518, 1448462, 1394674, 1448130, 1448426, 1394586, 1401443, 1407290, 1452454, 1448283, 1394758, 1401460, 1400902, 1401717, 1452912, 1453887, 1395047, 1407550, 1453682, 1395100, 1407605]","{'PRP': 0.08424965940221116, 'of': 0.07015332921885695, 'sentiment': 0.06397989691924579, 'NN': 0.05801272672805863, 'VB': 0.0522508846969588, 'IN': 0.04194866211755076, 'have': 0.035978074774102246, 'DT': 0.03264165183191612, 'NNS': 0.029805841108827145, 'RB': 0.029022209248592497}"
0.6,0.5632710994650071,0.6506931886678723,0.6,0.68992,1,0.89,0.43661971830985913,0.7380952380952381,0.31,"[1404889, 1398452, 1392168, 1398408, 1405162, 1411297, 1411434, 1392023, 1398565, 1404968, 1392158, 1411450, 1392156, 1398727, 1405048, 1398372, 1392139, 1398613, 1411514, 1404876, 1398746, 1391936]","[1448736, 1407631, 1407509, 1448978, 1453002, 1407578, 1448480, 1408171, 1454052, 1412998, 1452745, 1448355, 1450643, 1412747, 1452070, 1407662, 1448654, 1401371, 1449060, 1401726, 1449075, 1453736, 1401692, 1448968, 1407407, 1453969, 1413242, 1394507, 1401357, 1450781, 1454093, 1407743, 1395122, 1395106, 1394831, 1407450, 1394476, 1407981, 1407297, 1407298, 1448920, 1452198, 1395141, 1448679, 1394563, 1452221, 1454036, 1448683, 1394600, 1395185, 1452071, 1452336, 1450556, 1452684, 1394569, 1448942, 1450468, 1401579, 1401360, 1401732, 1401597, 1450830, 1412907, 1450634, 1453834, 1448890, 1448525, 1450237, 1450898, 1452561, 1452359, 1395253, 1401459, 1395383, 1407600, 1452700, 1394736, 1412754, 1400932, 1453695, 1454000, 1401000, 1450441, 1448919, 1448867, 1395260, 1401352, 1450375, 1407423, 1449086, 1452843, 1401414, 1407520, 1407560, 1407973, 1401219, 1448743, 1408196, 1452653, 1452408, 1450149, 1412956, 1448267, 1452961, 1448515, 1407722, 1401087, 1452522, 1448177, 1395278, 1448730, 1452595, 1450212, 1452086, 1407398, 1401807, 1401552, 1450895, 1448799, 1407715, 1452759, 1452781, 1401066, 1407318, 1448110, 1407961, 1450316, 1448987, 1408166, 1452649, 1413252, 1394543, 1454051, 1401138, 1407306, 1453717, 1412954, 1394491]","{'PRP': 0.08828474777096348, 'of': 0.06917580581053959, 'sentiment': 0.06520485003317252, 'NN': 0.04901761361662553, 'VB': 0.04758327829583808, 'DT': 0.03967236692244356, 'have': 0.036022720938446294, 'IN': 0.03456324011609073, 'NNS': 0.02982162706362991, 'i': 0.02900734283442563}"
0.5525,0.5005545518593182,0.5899011087803416,0.5525,0.66163,1,0.875,0.33948339483394835,0.647887323943662,0.23,"[1392099, 1411283, 1411269, 1398694, 1398840, 1405301, 1404851, 1411402, 1391955, 1392019, 1398784, 1398371, 1392291, 1391936, 1405029, 1398572, 1398356, 1398566, 1411297, 1392170, 1392275, 1392151, 1392338, 1411479, 1398568]","[1401661, 1401644, 1408084, 1450787, 1452277, 1412984, 1454059, 1448180, 1394656, 1452948, 1453915, 1395206, 1412907, 1395020, 1401624, 1448808, 1452928, 1448652, 1413167, 1450669, 1448360, 1448376, 1452977, 1452769, 1451046, 1401425, 1408236, 1450433, 1401574, 1394886, 1394651, 1450377, 1448614, 1453838, 1452120, 1449058, 1448290, 1407381, 1408098, 1412979, 1395109, 1413153, 1448179, 1395282, 1450859, 1401288, 1407651, 1413062, 1401096, 1394604, 1448140, 1407998, 1407737, 1395363, 1394797, 1395297, 1452734, 1401788, 1413149, 1450276, 1395305, 1408081, 1394974, 1448890, 1407615, 1448308, 1394781, 1408193, 1394933, 1412875, 1450474, 1450820, 1448369, 1395355, 1401145, 1448948, 1453995, 1452360, 1448857, 1449084, 1451011, 1451019, 1450836, 1450194, 1448674, 1452381, 1394793, 1448931, 1395028, 1407629, 1452716, 1450723, 1395091, 1407427, 1450208, 1450529, 1408082, 1408089, 1450319, 1450800, 1450537, 1452549, 1450654, 1448238, 1408061, 1400856, 1412774, 1450422, 1453707, 1450204, 1401833, 1408045, 1452692, 1452307, 1413259, 1407364, 1450815, 1400879, 1412805, 1407731, 1448524, 1453698, 1448995, 1452965, 1450803, 1413001, 1401484, 1407727, 1453701, 1401208, 1450155, 1401012, 1408035, 1401599, 1452583, 1413180, 1448190, 1453966, 1448110, 1452289, 1452166, 1448810, 1401074, 1401543, 1412833, 1452194, 1394713, 1448235, 1454090, 1401791, 1452996, 1407657, 1454011, 1412866]","{'PRP': 0.07518830738384018, 'sentiment': 0.07058458623884337, 'of': 0.06441899818428153, 'VB': 0.05890567558508588, 'NN': 0.04401336520201136, 'DT': 0.04307377435419262, 'IN': 0.03947632068337432, 'i': 0.03343354821033491, 'have': 0.03247725788602638, 'to': 0.031819091662471655}"
0.5675,0.4978192875129719,0.6516939153885051,0.5675,0.68488,1,0.94,0.3107569721115538,0.7647058823529411,0.195,"[1398565, 1405167, 1405039, 1392417, 1404916, 1411259, 1398382, 1398558, 1404862, 1405264, 1398840, 1398581]","[1454106, 1450620, 1452369, 1408137, 1448793, 1448866, 1412959, 1452255, 1450433, 1450228, 1450521, 1448501, 1448465, 1412857, 1451033, 1452346, 1394733, 1401250, 1413229, 1401475, 1412791, 1453957, 1400858, 1454193, 1454141, 1395369, 1452645, 1412749, 1401194, 1407446, 1401651, 1413271, 1394561, 1450426, 1453855, 1395296, 1408159, 1395067, 1407893, 1407328, 1408125, 1412906, 1407402, 1453862, 1395361, 1448971, 1454208, 1448181, 1448454, 1394508, 1407339, 1450099, 1453732, 1394507, 1452776, 1448374, 1401533, 1450697, 1395005, 1394458, 1450484, 1454221, 1407901, 1453831, 1452927, 1395146, 1452582, 1400888, 1448510, 1452459, 1452701, 1452581, 1407643, 1450593, 1408147, 1452644, 1395113, 1451013, 1450669, 1450583, 1394610, 1413023, 1448802, 1452307, 1407867, 1450758, 1453003, 1450108, 1407501, 1401649, 1413236, 1408265, 1451034, 1452178, 1452242, 1395034, 1453972, 1412808, 1395142, 1452923, 1413084, 1395054, 1400961, 1395389, 1450939, 1395177, 1450846, 1448408, 1448531, 1412750, 1407981, 1452751, 1452555, 1448865, 1454055, 1407954, 1448167, 1413156, 1401219, 1401088, 1448913, 1454228, 1452076, 1401297, 1401593, 1394753, 1401810, 1452500, 1452335, 1412894, 1394520, 1450394, 1401179, 1394739, 1452299, 1452902, 1401344, 1407346, 1394471, 1407376, 1401807, 1407828, 1407620, 1400983, 1407964, 1450837, 1401628, 1453708, 1394548, 1448936, 1401753, 1400937, 1448356, 1401452, 1407470, 1450398, 1448987, 1454059, 1395071, 1408145, 1412986]","{'sentiment': 0.08063246868614819, 'PRP': 0.07048812217362274, 'VB': 0.06428926413907503, 'of': 0.05494113648372655, 'NN': 0.05018251444530182, 'to': 0.04682286873218126, 'IN': 0.04571425213681117, 'DT': 0.04272109507168184, 'the': 0.03280108516803919, 'mean_sen_len': 0.03141860596455154}"
0.6025,0.5624625926155242,0.6616782996174928,0.6025,0.69482,1,0.905,0.43010752688172044,0.759493670886076,0.3,"[1392355, 1411498, 1411431, 1398585, 1398851, 1392004, 1405115, 1398616, 1392154, 1405026, 1392002, 1405017, 1398568, 1405100, 1411393, 1398577, 1398738, 1398706, 1398356]","[1407630, 1449017, 1452339, 1453883, 1448330, 1400864, 1394844, 1453749, 1401173, 1400878, 1452273, 1400951, 1407287, 1394980, 1454097, 1395369, 1448255, 1395296, 1454146, 1407975, 1395161, 1407988, 1412722, 1407591, 1451076, 1394697, 1452175, 1395250, 1450436, 1413280, 1407506, 1394710, 1394816, 1394544, 1412891, 1400973, 1448760, 1450907, 1401765, 1394731, 1453911, 1401042, 1448186, 1452455, 1394738, 1394851, 1450526, 1412985, 1448674, 1401288, 1407853, 1450383, 1448439, 1395359, 1452087, 1401051, 1412844, 1394709, 1450113, 1449035, 1394771, 1448158, 1450791, 1450522, 1400889, 1453667, 1401724, 1401759, 1401711, 1401391, 1453928, 1450910, 1450708, 1407418, 1452712, 1395232, 1452862, 1407993, 1407596, 1395126, 1452609, 1453655, 1407469, 1401011, 1453804, 1395107, 1454031, 1408012, 1448286, 1401390, 1401832, 1450301, 1453724, 1394442, 1453796, 1452845, 1401374, 1394989, 1450590, 1450796, 1401556, 1453729, 1452919, 1450724, 1401105, 1450847, 1450618, 1395347, 1408032, 1450939, 1448595, 1448347, 1454211, 1400989, 1401220, 1394924, 1394591, 1452291, 1395055, 1452395, 1453833, 1401531, 1448430, 1448151, 1407766, 1452770, 1448701, 1448866, 1400929, 1448120, 1450615, 1394797, 1401495, 1448723, 1452679, 1453882, 1400931, 1450407, 1401050, 1450904]","{'PRP': 0.0830779461264732, 'of': 0.07427321595063223, 'VB': 0.04986139986547302, 'sentiment': 0.049735588576862846, 'NN': 0.04435793964760232, 'IN': 0.03969004200188735, 'DT': 0.03616995295392998, 'which': 0.03151170809420326, 'to': 0.031227156336366545, 'RB': 0.03002940865269063}"
