accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.6625,0.6480686135858549,0.6943838033434016,0.6625,0.71933,1,0.865,0.5768025078369906,0.773109243697479,0.46,"[1467439, 1467441, 1466990, 1454440, 1461068, 1460973, 1454341, 1473706, 1454397, 1467205, 1454471, 1460713, 1466999, 1454712, 1473618, 1460909, 1467386, 1460647, 1467095, 1467127, 1461030, 1467130, 1454635, 1467229, 1473541, 1473697, 1467355]","[1498561, 1507635, 1503979, 1493385, 1503958, 1498853, 1507561, 1499205, 1507485, 1507584, 1493578, 1493537, 1507699, 1498412, 1493598, 1503754, 1498592, 1503541, 1498634, 1493771, 1498365, 1493660, 1498319, 1493920, 1494286, 1498515, 1499210, 1507826, 1498521, 1498602, 1493629, 1503616, 1498364, 1493514, 1507923, 1503597, 1503358, 1493912, 1503385, 1494137, 1493804, 1493400, 1493424, 1499016, 1498466, 1494120, 1503527, 1504079, 1498775, 1493744, 1503456, 1503607, 1507400, 1493645, 1494091, 1498697, 1507404, 1498965, 1507552, 1494332, 1498630, 1503692, 1507903, 1503323, 1498869, 1503873, 1499139, 1507551, 1498902, 1494212, 1503367, 1493984, 1493933, 1498982, 1498502, 1498539, 1493732, 1503953, 1494302, 1503465, 1498947, 1507650, 1503231, 1498970, 1493953, 1494009, 1498616, 1498661, 1498974, 1507951, 1507599, 1503394, 1498478, 1493651, 1493837, 1494079, 1499231, 1503981, 1498927, 1498924, 1493915, 1493978, 1493464, 1494070, 1503279, 1494296, 1494136, 1503999]","{'PRP': 0.08318414056658836, 'of': 0.06417557718052157, 'NN': 0.06350003947348734, 'VB': 0.05523144055311866, 'sentiment': 0.04587262353437744, 'DT': 0.042967221847822035, 'to': 0.039247491369133, 'the': 0.0360495727421341, 'IN': 0.035518129213645555, 'mean_sen_len': 0.034306359105291416}"
0.68,0.6637242538881885,0.7232142857142857,0.68,0.7377,1,0.9,0.5897435897435898,0.8214285714285714,0.46,"[1467031, 1467133, 1473520, 1473697, 1454467, 1460843, 1454234, 1454622, 1461017, 1467009, 1473577, 1473669, 1461047, 1473512, 1460620, 1460930, 1467069, 1473627, 1454700, 1473671]","[1503847, 1503698, 1507849, 1493490, 1498435, 1493669, 1499028, 1498574, 1503513, 1503779, 1493608, 1494070, 1498456, 1507479, 1493580, 1493990, 1503431, 1493931, 1504126, 1503637, 1503592, 1493685, 1503800, 1507934, 1498830, 1494095, 1498389, 1503629, 1499236, 1503754, 1503411, 1503951, 1503760, 1493834, 1498607, 1494307, 1493810, 1507578, 1504141, 1507938, 1493998, 1507486, 1503389, 1504161, 1503763, 1503660, 1498372, 1503890, 1503866, 1503700, 1494196, 1503978, 1498896, 1503914, 1493427, 1498519, 1498798, 1498866, 1498672, 1507700, 1493420, 1503369, 1503992, 1498733, 1499193, 1498950, 1493752, 1498882, 1498856, 1507502, 1493656, 1493865, 1507430, 1503648, 1507497, 1499139, 1498954, 1498677, 1498789, 1503365, 1493516, 1493882, 1498424, 1507910, 1494281, 1499261, 1493889, 1498764, 1507448, 1499128, 1498851, 1503466, 1507793, 1503646, 1493849, 1493678, 1493855, 1503382, 1507881, 1498337, 1498881, 1507749, 1503372, 1493493, 1494123, 1503809, 1504064, 1498481]","{'of': 0.07106636391593778, 'PRP': 0.06712092959029106, 'NN': 0.056378951003185, 'sentiment': 0.051096168978697905, 'VB': 0.048503915407803286, 'have': 0.04143639043874806, 'IN': 0.040160239261078035, 'mean_sen_len': 0.039608434449065595, 'DT': 0.0359330361795648, 'RB': 0.03237599521331989}"
0.73,0.7246022031823746,0.7495659722222223,0.73,0.76316,1,0.87,0.686046511627907,0.8194444444444444,0.59,"[1467354, 1467324, 1467013, 1467143, 1473738, 1473681, 1467387, 1473556, 1467130, 1461039, 1467206, 1467236, 1460602, 1467031, 1454499, 1460620, 1467189, 1460619, 1467051, 1467107, 1467291, 1460688, 1454690, 1454330, 1454401, 1460805]","[1503297, 1503875, 1504091, 1503488, 1498377, 1503803, 1493654, 1493959, 1507849, 1498321, 1503357, 1503664, 1507418, 1493591, 1494308, 1493669, 1498698, 1503818, 1498906, 1493671, 1493472, 1494065, 1507409, 1498662, 1507608, 1503293, 1503669, 1493462, 1493837, 1494330, 1498378, 1498636, 1507583, 1498645, 1493849, 1507618, 1498405, 1493525, 1507472, 1498401, 1507616, 1498921, 1507507, 1507410, 1498537, 1499153, 1503395, 1493507, 1498886, 1503776, 1498785, 1499079, 1494112, 1503746, 1504167, 1499074, 1494051, 1507395, 1494248, 1507852, 1493497, 1498583, 1493742, 1494326, 1498366, 1494070, 1494076, 1493455, 1503647, 1494253, 1498502, 1493506, 1503243, 1507911, 1499017, 1499231, 1507531, 1494184, 1493713, 1494141, 1499133, 1493444]","{'PRP': 0.07392006465311267, 'sentiment': 0.06290725609337346, 'of': 0.06243945553775442, 'NN': 0.05665897048546064, 'VB': 0.04699789363142097, 'IN': 0.04035910114196841, 'DT': 0.038146053966375375, 'mean_sen_len': 0.03440671425549858, 'i': 0.029705488517115776, 'RB': 0.028537427640223028}"
0.7375,0.729449429589214,0.7695876727489428,0.7375,0.77612,1,0.91,0.6827794561933535,0.8625954198473282,0.565,"[1467016, 1454712, 1467206, 1473541, 1473701, 1473473, 1454350, 1473674, 1460619, 1460647, 1460940, 1473612, 1460785, 1473685, 1473708, 1460939, 1460903, 1460910]","[1494334, 1507694, 1499015, 1503984, 1503992, 1493595, 1503533, 1498844, 1507807, 1494286, 1504143, 1503648, 1507584, 1498882, 1498682, 1498333, 1493818, 1494239, 1498664, 1494184, 1493615, 1498501, 1494116, 1494218, 1494341, 1499010, 1498327, 1493860, 1498549, 1503971, 1493509, 1493531, 1493431, 1507808, 1494332, 1498437, 1498471, 1507491, 1493537, 1507604, 1498364, 1494182, 1503346, 1503580, 1504064, 1493619, 1493803, 1503650, 1498830, 1503673, 1493462, 1503792, 1498971, 1494296, 1503451, 1507908, 1498673, 1498670, 1499134, 1498517, 1499078, 1498448, 1494009, 1503414, 1507642, 1493863, 1499190, 1507487, 1494153, 1503972, 1504211, 1498707, 1494237, 1503695, 1503333, 1498640, 1493399, 1507911, 1507766, 1503368, 1493487, 1498511, 1499243, 1493838, 1507813, 1499115, 1504077]","{'PRP': 0.08870894272936697, 'of': 0.07278652498435499, 'NN': 0.05114093277548343, 'sentiment': 0.050705289196459155, 'VB': 0.04565631670817143, 'IN': 0.04262578830177384, 'DT': 0.038994137174655365, 'i': 0.037073202733752766, 'RB': 0.0316325866643134, 'have': 0.031167845770072842}"
0.735,0.7266279819471311,0.7678062678062679,0.735,0.77447,1,0.91,0.6787878787878788,0.8615384615384616,0.56,"[1460903, 1454330, 1454720, 1473706, 1473538, 1460620, 1467107, 1467236, 1467425, 1454690, 1454670, 1467472, 1461018, 1473671, 1473612, 1460973, 1460805, 1473547]","[1493650, 1507776, 1498947, 1507675, 1503875, 1498974, 1498655, 1507429, 1498363, 1503535, 1498372, 1499021, 1507384, 1507764, 1504067, 1494070, 1493574, 1503230, 1503298, 1503842, 1498433, 1494272, 1507953, 1493460, 1504037, 1507668, 1507513, 1493471, 1498763, 1498432, 1494119, 1494100, 1498786, 1498300, 1493804, 1503618, 1493518, 1504042, 1499140, 1504035, 1494215, 1493671, 1498671, 1499144, 1507772, 1498622, 1493591, 1499208, 1493649, 1507909, 1498837, 1494097, 1493494, 1499096, 1494282, 1493498, 1498480, 1507441, 1507874, 1493709, 1504079, 1493860, 1493973, 1507439, 1493539, 1503254, 1507574, 1503991, 1503239, 1498599, 1494300, 1503378, 1503866, 1498582, 1499232, 1503595, 1498435, 1507814, 1493396, 1494341, 1503255, 1494254, 1494182, 1503479, 1498906, 1494216, 1507398, 1493472]","{'PRP': 0.07430565359208806, 'of': 0.06236327605703542, 'sentiment': 0.06151739015823913, 'VB': 0.053803736268589954, 'NN': 0.05298136356018301, 'DT': 0.03956199913016917, 'IN': 0.03798495677749449, 'to': 0.03672745119809806, 'i': 0.031235129353601853, 'mean_sen_len': 0.029659840359675626}"
0.725,0.7141297850775749,0.7653614813067579,0.725,0.76987,1,0.92,0.6583850931677019,0.8688524590163934,0.53,"[1467137, 1467143, 1454350, 1460802, 1454392, 1460909, 1467329, 1473569, 1467324, 1467461, 1467189, 1454410, 1460683, 1460940, 1454719, 1460899]","[1498855, 1503436, 1503396, 1507582, 1503318, 1498454, 1494131, 1493593, 1503962, 1498997, 1493829, 1498610, 1498900, 1503423, 1499237, 1503683, 1503595, 1498471, 1493515, 1507618, 1503839, 1503380, 1503477, 1503239, 1498967, 1498537, 1498596, 1498577, 1494096, 1503379, 1503574, 1507828, 1503830, 1507929, 1493810, 1503729, 1503417, 1493912, 1498982, 1503761, 1494222, 1494071, 1503951, 1503810, 1498376, 1498514, 1507405, 1503586, 1507391, 1503971, 1499045, 1503856, 1498635, 1507688, 1498393, 1493684, 1499250, 1503272, 1498412, 1507660, 1493560, 1494072, 1493750, 1498752, 1493434, 1499206, 1493498, 1494195, 1503680, 1498845, 1498975, 1493612, 1498327, 1498965, 1493446, 1503945, 1498701, 1494238, 1507549, 1493751, 1493757, 1507403, 1493497, 1498925, 1493598, 1494306, 1494276, 1493444, 1498301, 1498957, 1498648, 1493484, 1503792, 1503541]","{'PRP': 0.07425121864456341, 'sentiment': 0.06291711762287988, 'of': 0.061966639906069675, 'NN': 0.05657986093231959, 'VB': 0.052151914395984676, 'DT': 0.038332296599971026, 'have': 0.03786831627725574, 'mean_sen_len': 0.031096660409384514, 'i': 0.030837280788431617, 'had': 0.030204844938268072}"
0.7675,0.7607886258849856,0.8013150854664752,0.7675,0.80086,1,0.935,0.7207207207207207,0.9022556390977443,0.6,"[1467461, 1460973, 1461063, 1454373, 1467117, 1454712, 1460843, 1467074, 1473598, 1467262, 1473685, 1467095, 1454552]","[1493713, 1493505, 1507840, 1503839, 1507382, 1503271, 1503372, 1504026, 1498858, 1493967, 1493498, 1498967, 1507404, 1498623, 1498540, 1493489, 1493985, 1498557, 1498329, 1507583, 1503488, 1493828, 1498365, 1503431, 1503506, 1493854, 1507435, 1503931, 1503692, 1493427, 1507408, 1494036, 1503261, 1498755, 1504163, 1493830, 1507519, 1498582, 1494158, 1498565, 1503862, 1498723, 1503487, 1503842, 1493808, 1498520, 1493493, 1503716, 1503712, 1507497, 1499024, 1504116, 1493802, 1503291, 1493936, 1499003, 1507699, 1494215, 1503634, 1507704, 1494049, 1499190, 1493696, 1507750, 1504005, 1493615, 1494103, 1493736, 1498532, 1498928, 1504101, 1507488, 1503659, 1493487, 1504029, 1493866, 1493513, 1507558, 1494351, 1503725]","{'PRP': 0.06752377971541329, 'sentiment': 0.0632149489909136, 'of': 0.06075954697895511, 'NN': 0.051683286874160926, 'VB': 0.049139723346014644, 'IN': 0.04903695608410322, 'DT': 0.03643881990782751, 'to': 0.035203783298012915, 'have': 0.032478589178767045, 'RB': 0.03112196102962761}"
0.72,0.7131074054150978,0.7433897555039275,0.72,0.75758,1,0.875,0.6686390532544378,0.8188405797101449,0.565,"[1460822, 1467236, 1461047, 1460620, 1467088, 1467009, 1467051, 1454472, 1473724, 1460619, 1473586, 1467267, 1467417, 1467125, 1460688, 1454341, 1460612, 1467472, 1460749, 1460712, 1473679, 1454350, 1467383, 1460903, 1467257]","[1503289, 1507818, 1507843, 1498520, 1503596, 1507825, 1493866, 1503727, 1499184, 1498529, 1498943, 1498412, 1507839, 1503869, 1503403, 1503812, 1507897, 1503811, 1504192, 1493894, 1494357, 1507828, 1498647, 1493444, 1494218, 1504079, 1503370, 1493610, 1507440, 1504059, 1507907, 1498870, 1498905, 1493714, 1493905, 1498749, 1493809, 1493720, 1493875, 1503475, 1498727, 1507720, 1504158, 1499229, 1498925, 1507515, 1503688, 1493768, 1498439, 1499261, 1494333, 1503555, 1507471, 1498773, 1499027, 1503857, 1498621, 1504101, 1498449, 1493923, 1498694, 1503679, 1503441, 1507504, 1493886, 1498763, 1499251, 1494230, 1493742, 1493389, 1499101, 1498372, 1493770, 1494239, 1503643, 1503988, 1493827, 1504051, 1504137, 1493782, 1507664, 1499085, 1507549, 1494315, 1493748, 1507467, 1494167]","{'PRP': 0.0906111335730249, 'of': 0.06282939500127437, 'NN': 0.05837588073702916, 'sentiment': 0.05494352512456421, 'VB': 0.048881686495532636, 'have': 0.04064646093013489, 'to': 0.03336144123716837, 'DT': 0.03306489233479156, 'IN': 0.032156453638779565, 'RB': 0.03206262391216324}"
0.7275,0.720109131760552,0.754367575122292,0.7275,0.76559,1,0.89,0.6746268656716418,0.837037037037037,0.565,"[1467133, 1473506, 1454499, 1454506, 1473701, 1467130, 1454718, 1473738, 1467315, 1454332, 1467078, 1473675, 1460804, 1460802, 1454702, 1473577, 1467426, 1467473, 1467222, 1454397, 1454712, 1454459]","[1498400, 1493769, 1507935, 1493679, 1503318, 1498513, 1498957, 1498367, 1498740, 1503527, 1503992, 1498679, 1503260, 1499165, 1494215, 1498654, 1503607, 1503575, 1503790, 1493666, 1503333, 1503440, 1493470, 1503991, 1503300, 1503386, 1498446, 1504165, 1507933, 1498691, 1498701, 1499074, 1498915, 1498537, 1503252, 1503803, 1498867, 1499128, 1493803, 1503417, 1498604, 1498897, 1503242, 1498698, 1498516, 1494241, 1503669, 1503291, 1494184, 1498937, 1499164, 1507793, 1503305, 1503359, 1493396, 1503961, 1507918, 1507485, 1499045, 1493869, 1507804, 1507440, 1494116, 1493849, 1493503, 1493955, 1503503, 1493663, 1493659, 1493509, 1503653, 1494005, 1503648, 1498730, 1504174, 1494081, 1498644, 1507719, 1507614, 1503972, 1503441, 1507504, 1493807, 1498327, 1498577, 1493581, 1498614]","{'PRP': 0.07967819538465987, 'of': 0.07726664773488003, 'sentiment': 0.058074553594395645, 'NN': 0.05375115969160303, 'VB': 0.04812110080732899, 'DT': 0.04280212429933392, 'IN': 0.04140180081410513, 'to': 0.03416897148260233, 'RB': 0.030801890501287007, 'the': 0.029836620870462894}"
0.72,0.7064297135068542,0.7699055330634278,0.72,0.76955,1,0.935,0.643312101910828,0.8859649122807017,0.505,"[1454635, 1467205, 1467315, 1454267, 1467092, 1467425, 1460991, 1473612, 1467373, 1460848, 1467278, 1454406, 1467016]","[1498513, 1498835, 1499193, 1498479, 1494032, 1493951, 1498774, 1503670, 1493668, 1498736, 1494178, 1503485, 1493751, 1503369, 1503857, 1503712, 1507400, 1499141, 1498827, 1493935, 1507547, 1498318, 1503667, 1493507, 1507656, 1503316, 1494198, 1498446, 1504006, 1503482, 1494056, 1503365, 1507450, 1494326, 1494322, 1498925, 1494271, 1493802, 1503668, 1498576, 1503456, 1493455, 1503241, 1503789, 1507582, 1494195, 1493512, 1494301, 1507579, 1507804, 1499013, 1507789, 1504126, 1493997, 1507628, 1507888, 1493592, 1507868, 1493760, 1493980, 1493781, 1503253, 1499126, 1498877, 1498775, 1493399, 1498543, 1493578, 1503700, 1498724, 1493618, 1498679, 1503527, 1507618, 1503653, 1493432, 1494120, 1507787, 1503933, 1507916, 1498969, 1498668, 1503699, 1498539, 1507385, 1503696, 1498585, 1503757, 1498647, 1493418, 1503604, 1499251, 1498392, 1503298, 1498934, 1504156, 1503242, 1494273, 1494233]","{'PRP': 0.09008212030947488, 'of': 0.06036090508962093, 'sentiment': 0.05608670059217766, 'VB': 0.04947146273007449, 'NN': 0.04941952425074044, 'IN': 0.04492993878064589, 'DT': 0.03805244207047919, 'to': 0.03733572516568783, 'the': 0.03483931292802928, 'which': 0.033281403884903214}"
