accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.88,0.8799729939236329,0.8803423080772695,0.88,0.88177,1,0.895,0.8781725888324873,0.8917525773195877,0.865,"[1454672, 1473506, 1467262, 1454702, 1467187, 1467088, 1454267, 1467052, 1473627, 1454304, 1454513, 1460825, 1473642, 1460903, 1467441, 1460807, 1467413, 1460852, 1467257, 1473547, 1454506]","[1508077, 1504309, 1504755, 1500069, 1508494, 1494648, 1504856, 1494813, 1504577, 1504405, 1505019, 1504266, 1508073, 1504645, 1494661, 1499285, 1499311, 1500109, 1499851, 1495046, 1499462, 1495086, 1494395, 1499928, 1499758, 1499977, 1499343]","{'PRP': 0.0727318067918472, 'VB': 0.06464691512389624, 'of': 0.061184812759309405, 'NN': 0.05383965103595742, 'IN': 0.047485506182510136, 'sentiment': 0.046884816149056624, 'NNS': 0.03478742074728127, 'which': 0.03344311881370921, 'to': 0.032423761873204254, 'DT': 0.030314199169483646}"
0.8725,0.8724800750117205,0.8727329580988118,0.8725,0.87407,1,0.885,0.8708860759493671,0.882051282051282,0.86,"[1454378, 1467125, 1454622, 1467330, 1460914, 1460903, 1473706, 1467174, 1467031, 1460844, 1473669, 1454556, 1467016, 1454397, 1461047, 1460939, 1460598, 1454513, 1454392, 1454406, 1467302, 1473654, 1467236]","[1508501, 1499866, 1504841, 1499342, 1508463, 1495269, 1499559, 1495226, 1504238, 1505171, 1494650, 1508204, 1504708, 1494713, 1495074, 1500204, 1494501, 1494987, 1499707, 1499451, 1505088, 1504572, 1508153, 1499820, 1508111, 1508015, 1508183, 1504499]","{'PRP': 0.07602917320507815, 'of': 0.07092910044024431, 'NN': 0.05327620088036499, 'sentiment': 0.051338950285249846, 'VB': 0.045694480261527684, 'IN': 0.04233426122554779, 'the': 0.036921846829832794, 'DT': 0.03677801219306463, 'to': 0.035613664927195275, 'RB': 0.033888363136681435}"
0.86,0.86,0.86,0.86,0.86,1,0.86,0.86,0.86,0.86,"[1454350, 1454557, 1454670, 1467090, 1473538, 1473478, 1460937, 1460619, 1467354, 1460706, 1467107, 1454406, 1461062, 1467234, 1473727, 1454702, 1467137, 1460756, 1467187, 1454477, 1460772, 1473657, 1460604, 1467413, 1460852, 1473586, 1461068, 1460715]","[1499932, 1499367, 1494920, 1508185, 1504856, 1504238, 1494522, 1505032, 1494363, 1504566, 1504530, 1495220, 1504412, 1499524, 1494803, 1508004, 1499729, 1504557, 1505161, 1504302, 1504411, 1508274, 1499451, 1508003, 1504819, 1504309, 1495211, 1499971]","{'PRP': 0.07507726322527791, 'of': 0.07222543121128434, 'sentiment': 0.057390361940333576, 'VB': 0.05451181292789777, 'NN': 0.04381459868601712, 'DT': 0.03926528978987045, 'IN': 0.03899578075590289, 'have': 0.03622541790362971, 'which': 0.03555109800877716, 'i': 0.0304612161713278}"
0.8825,0.8824640046014091,0.8829691371930615,0.8825,0.88452,1,0.9,0.8804071246819338,0.8963730569948186,0.865,"[1454690, 1461018, 1460638, 1454350, 1460798, 1454410, 1473536, 1454467, 1473577, 1473592, 1454270, 1473478, 1467257, 1460591, 1454472, 1473541, 1473520, 1467302, 1454702, 1467220]","[1499506, 1495107, 1499818, 1508329, 1494935, 1495124, 1495156, 1494727, 1495019, 1504679, 1499807, 1494719, 1504566, 1504857, 1504362, 1508403, 1495164, 1499559, 1494488, 1499306, 1494920, 1500113, 1494587, 1494452, 1505059, 1495125, 1504557]","{'PRP': 0.09361468306474276, 'sentiment': 0.0668391700639917, 'of': 0.0625391195869908, 'NN': 0.05320873159495609, 'VB': 0.046985633785482275, 'DT': 0.038734532051642435, 'IN': 0.03566230551143956, 'i': 0.03249345861564145, 'NNS': 0.03139626394474663, 'to': 0.029152595404518488}"
0.86,0.8599124452782989,0.8609022556390977,0.86,0.86341,1,0.885,0.8564102564102564,0.8789473684210526,0.835,"[1467354, 1454697, 1473727, 1467291, 1460688, 1454366, 1454467, 1473501, 1473613, 1460973, 1460628, 1460904, 1461047, 1473714, 1467267, 1473538, 1467032, 1467413, 1473671, 1460612, 1473695, 1454504, 1473647]","[1494648, 1495156, 1500000, 1494466, 1499729, 1499753, 1494447, 1508247, 1504312, 1500099, 1494756, 1494908, 1504239, 1505109, 1504308, 1495251, 1500244, 1508072, 1494511, 1494766, 1494440, 1504860, 1494727, 1508183, 1495164, 1494404, 1494939, 1495253, 1499504, 1504982, 1499796, 1505072, 1495039]","{'of': 0.07254073618862537, 'PRP': 0.06794348609645068, 'VB': 0.0595046972937656, 'NN': 0.05398127250771573, 'sentiment': 0.053813007653169216, 'IN': 0.03896561478974156, 'DT': 0.038609744447810075, 'to': 0.0357308951255207, 'mean_sen_len': 0.031984249913001285, 'have': 0.03173506101639714}"
0.9025,0.9024262098211773,0.9037212568018256,0.9025,0.90511,1,0.93,0.8997429305912596,0.9259259259259259,0.875,"[1467032, 1473456, 1467143, 1473654, 1473733, 1467222, 1467013, 1467133, 1467016, 1454373, 1454690, 1473612, 1467373, 1467324]","[1508532, 1494589, 1499653, 1499928, 1495047, 1494517, 1505019, 1499523, 1505189, 1499604, 1494580, 1500201, 1494501, 1500195, 1504302, 1505111, 1508501, 1499791, 1508194, 1508387, 1508537, 1507971, 1494936, 1508273, 1499322]","{'PRP': 0.08034363036870891, 'of': 0.07564840345284156, 'VB': 0.04995332559460922, 'sentiment': 0.04982128209664299, 'NN': 0.04842092007612789, 'IN': 0.042761134069975414, 'DT': 0.03831330061637706, 'to': 0.03637598562264585, 'have': 0.03499477545729881, 'the': 0.028285540354189367}"
0.89,0.8899972499312483,0.89003900390039,0.89,0.89055,1,0.895,0.8894472361809045,0.8939393939393939,0.885,"[1461066, 1473478, 1460756, 1467107, 1454635, 1473490, 1467302, 1473612, 1473538, 1460805, 1473674, 1467373, 1473590, 1467434, 1460852, 1460706, 1467444, 1454397, 1454719, 1454506, 1467090]","[1499420, 1505155, 1494987, 1494853, 1494465, 1495146, 1500192, 1504856, 1500073, 1504489, 1494971, 1504812, 1504412, 1499979, 1495086, 1499830, 1508074, 1499829, 1504890, 1494688, 1499368, 1499949, 1499870]","{'PRP': 0.08164249966864177, 'sentiment': 0.0732861094201953, 'VB': 0.06523554224558416, 'of': 0.06459843629591996, 'NN': 0.05546422422033553, 'to': 0.04132522695985339, 'IN': 0.03354616314142014, 'have': 0.030221430665560742, 'NNS': 0.029545110695979235, 'DT': 0.028636660842393948}"
0.8475,0.8472240484374902,0.85002895923044,0.8475,0.85372,1,0.89,0.8407310704960835,0.8797814207650273,0.805,"[1473669, 1473506, 1461068, 1473656, 1454499, 1473618, 1454507, 1467461, 1460604, 1467354, 1460743, 1467462, 1460632, 1467074, 1460914, 1467205, 1454718, 1467236, 1454635, 1473512, 1460825, 1454719]","[1499977, 1504897, 1504308, 1499395, 1504485, 1500169, 1499545, 1504994, 1494662, 1495119, 1499588, 1495043, 1508285, 1504940, 1494738, 1494727, 1499653, 1494496, 1500149, 1499503, 1494434, 1494599, 1495053, 1508286, 1494473, 1494421, 1504566, 1495109, 1494714, 1504752, 1494579, 1494868, 1507975, 1499808, 1508500, 1508247, 1499619, 1508462, 1504680]","{'of': 0.06569429681794964, 'PRP': 0.06454112088824815, 'VB': 0.057123764551565454, 'sentiment': 0.05178328357117382, 'IN': 0.04890125066320623, 'NN': 0.044292520289983026, 'DT': 0.039683175345909885, 'to': 0.03952068892575143, 'the': 0.03806282223710431, 'mean_sen_len': 0.03499841044675157}"
0.885,0.8849741191768148,0.8853468121309178,0.885,0.88325,1,0.87,0.8866995073891626,0.8737864077669902,0.9,"[1460598, 1460629, 1460991, 1467059, 1454628, 1454553, 1467030, 1454257, 1454697, 1460807, 1467452, 1461047, 1467397, 1473612, 1460903, 1460844, 1454277, 1454694, 1460993, 1460647, 1460914, 1454718, 1454637, 1461039, 1467441, 1473679]","[1494501, 1495119, 1494744, 1495310, 1494665, 1504993, 1495033, 1499285, 1504242, 1495145, 1494936, 1494409, 1495155, 1508039, 1508437, 1494765, 1504935, 1500073, 1494447, 1494505]","{'of': 0.06932372469962675, 'PRP': 0.06687006769510233, 'NN': 0.05686460160904184, 'sentiment': 0.0545227133513943, 'VB': 0.04423143807722251, 'NNS': 0.04185160773067058, 'to': 0.03883793495103552, 'IN': 0.03513259057326732, 'the': 0.03360843227284696, 'i': 0.033398110301803896}"
0.8875,0.8872455978802172,0.8910290370594618,0.8875,0.8926,1,0.935,0.8818897637795275,0.9281767955801105,0.84,"[1454556, 1460904, 1461062, 1467472, 1460595, 1460828, 1460632, 1461051, 1454635, 1460805, 1473714, 1467180, 1473478]","[1504982, 1499657, 1500007, 1499719, 1499758, 1504823, 1508445, 1499313, 1504380, 1494555, 1494755, 1508489, 1494664, 1504889, 1499499, 1499450, 1505137, 1494659, 1504301, 1495035, 1499497, 1494451, 1504812, 1499821, 1494587, 1504577, 1505149, 1499524, 1508397, 1508286, 1495008, 1499873]","{'sentiment': 0.07494166766313047, 'PRP': 0.07285777483190371, 'NN': 0.06030269400950825, 'of': 0.05358668450826699, 'VB': 0.05224126552930704, 'IN': 0.03997963873141655, 'RB': 0.034836523249573134, 'DT': 0.034534172966030924, 'have': 0.033102012325271976, 'mean_sen_len': 0.030272616793606683}"
