accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.495,0.3988095238095238,0.48611111111111116,0.495,0.63929,0,0.895,0.15833333333333333,0.475,0.095,"[1461062, 1473685, 1454552, 1454712, 1454556, 1473697, 1473714, 1461047, 1473681, 1454557, 1473577, 1454332, 1454395, 1467205, 1460593, 1460828, 1467286, 1467461, 1467291, 1454373, 1473679]","[1462587, 1511616, 1456633, 1468714, 1511405, 1455888, 1469381, 1468586, 1509504, 1515183, 1474482, 1513965, 1509456, 1474356, 1468875, 1456029, 1462316, 1513547, 1509853, 1515261, 1463044, 1511930, 1509423, 1462637, 1511823, 1509385, 1469012, 1513998, 1515433, 1509900, 1462747, 1509495, 1511459, 1462523, 1462416, 1513228, 1510046, 1513541, 1513225, 1468526, 1456667, 1509896, 1455830, 1462596, 1462957, 1509468, 1512052, 1474616, 1462978, 1456509, 1462987, 1515483, 1469180, 1509974, 1509437, 1509814, 1474512, 1462274, 1462575, 1474891, 1455743, 1462998, 1515430, 1469268, 1511223, 1512047, 1511235, 1509581, 1469355, 1509856, 1511433, 1509842, 1474489, 1513762, 1509236, 1468579, 1510082, 1509738, 1462689, 1456084, 1515506, 1462114, 1462616, 1468630, 1462154, 1469311, 1474700, 1455991, 1462181, 1474734, 1469284, 1462302, 1511512, 1456368, 1469004, 1511291, 1509613, 1513358, 1509947, 1474335, 1511553, 1515466, 1513818, 1474812, 1468828, 1513617, 1474439, 1469084, 1509786, 1512006, 1509741, 1515191, 1469137, 1509977, 1509397, 1456071, 1455900, 1511484, 1462636, 1511426, 1513955, 1511995, 1513732, 1468956, 1515308, 1513518, 1468631, 1469018, 1456107, 1509895, 1509303, 1468500, 1462283, 1515303, 1462714, 1513306, 1456252, 1469174, 1513407, 1469103, 1455725, 1514019, 1509539, 1511768, 1455865, 1468992, 1474889, 1509407, 1509482, 1511740, 1515341, 1456395, 1469167, 1462759, 1456466, 1511489, 1462175, 1462374, 1515134, 1456363, 1462939, 1474737, 1462577, 1515047, 1513565, 1509982, 1474623, 1511910, 1513305, 1456222, 1509188, 1463037, 1511581, 1513255, 1456188, 1511465, 1510028, 1509406, 1511290, 1456060, 1515204]","{'PRP': 0.07545651260000368, 'sentiment': 0.06315744416904971, 'of': 0.061499997055795584, 'NN': 0.05605833026079557, 'VB': 0.047684818377103026, 'DT': 0.043020329655525186, 'IN': 0.03950960535666478, 'the': 0.036505434704934406, 'NNS': 0.03194779741824689, 'mean_sen_len': 0.03051473430349522}"
0.4975,0.4003535229230528,0.49289722281412035,0.4975,0.64171,0,0.9,0.1589958158995816,0.48717948717948717,0.095,"[1460688, 1467402, 1467090, 1454622, 1454395, 1473592, 1460767, 1454267, 1460798, 1473656, 1467236, 1460844, 1467312, 1473483, 1467078, 1460940, 1473669, 1460836, 1467220, 1454332]","[1462720, 1511878, 1455947, 1515487, 1509302, 1511303, 1515625, 1513906, 1474332, 1456442, 1509463, 1511265, 1455861, 1455749, 1474544, 1474640, 1513618, 1511218, 1511905, 1469088, 1462564, 1462326, 1474412, 1474736, 1469288, 1515582, 1474876, 1469349, 1511330, 1509150, 1515542, 1515214, 1515168, 1462932, 1462734, 1511268, 1468702, 1474850, 1462902, 1474375, 1509674, 1456377, 1511950, 1513324, 1511267, 1462412, 1513459, 1468757, 1511227, 1469229, 1509792, 1509773, 1511673, 1509303, 1511424, 1462988, 1511216, 1513760, 1462470, 1468550, 1513394, 1456113, 1513685, 1509338, 1456055, 1513424, 1474808, 1509999, 1462345, 1455987, 1462186, 1469336, 1515498, 1513072, 1456424, 1511763, 1510034, 1463011, 1515289, 1509836, 1456041, 1515134, 1462773, 1509981, 1462176, 1515128, 1456024, 1511259, 1455806, 1511726, 1474765, 1511108, 1513338, 1456532, 1513120, 1515058, 1462656, 1513087, 1513570, 1462288, 1510068, 1511210, 1474668, 1509655, 1469124, 1509297, 1462884, 1515461, 1462922, 1462878, 1462151, 1515529, 1509686, 1513702, 1468991, 1509926, 1462650, 1515557, 1511135, 1515549, 1515455, 1474570, 1469101, 1474423, 1513938, 1513701, 1456541, 1513643, 1513341, 1511368, 1509752, 1462833, 1515573, 1513174, 1513455, 1513434, 1462934, 1513864, 1511103, 1515298, 1511749, 1510072, 1455726, 1515247, 1509573, 1513649, 1513587, 1474696, 1511499, 1509575, 1511657, 1511279, 1468480, 1463020, 1468977, 1509976, 1468791, 1510108, 1456468, 1509595, 1515623, 1509701, 1515366, 1513682, 1515476, 1474527, 1513239, 1513823, 1513534, 1469008, 1511097, 1515175, 1513223, 1511649, 1511926, 1509805, 1456574, 1468879, 1462987, 1511123, 1511438]","{'PRP': 0.07278671953139165, 'of': 0.06741187610699645, 'sentiment': 0.06313168907706682, 'NN': 0.05958719377873708, 'VB': 0.0473227556140459, 'DT': 0.042044008580590805, 'IN': 0.03947987720931665, 'have': 0.028418470530401446, 'i': 0.027854593745868673, 'to': 0.027107006965707683}"
0.495,0.39591494960973717,0.4854608897935446,0.495,0.64057,0,0.9,0.15126050420168066,0.47368421052631576,0.09,"[1473478, 1460793, 1467257, 1467315, 1460767, 1467235, 1473569, 1467206, 1460919, 1460904, 1454712, 1473541, 1473588, 1460612, 1467262, 1460843, 1467051, 1473627, 1467311, 1461063]","[1511332, 1511137, 1455991, 1456396, 1513598, 1511568, 1511392, 1468910, 1462260, 1474852, 1455848, 1468852, 1513448, 1474359, 1462277, 1513287, 1474645, 1455724, 1474908, 1513597, 1515561, 1513216, 1462587, 1469145, 1513875, 1513476, 1511274, 1511795, 1462185, 1469278, 1513899, 1462579, 1513649, 1513755, 1515073, 1462229, 1462344, 1462429, 1515389, 1513886, 1511650, 1511575, 1455793, 1468612, 1468831, 1509987, 1469004, 1462469, 1513378, 1513433, 1510082, 1513396, 1515318, 1463029, 1469336, 1509662, 1509608, 1513953, 1510051, 1509451, 1511457, 1469311, 1469364, 1513362, 1511805, 1456269, 1469158, 1456056, 1509768, 1468785, 1513296, 1469052, 1456586, 1513265, 1455912, 1513077, 1462661, 1513273, 1509548, 1509792, 1468486, 1462278, 1462630, 1511186, 1509274, 1462495, 1511365, 1469300, 1509678, 1509205, 1474618, 1509530, 1515379, 1513653, 1510076, 1462860, 1513401, 1468603, 1456512, 1515336, 1468560, 1469389, 1456403, 1511417, 1462804, 1509511, 1515050, 1456650, 1511839, 1511847, 1513627, 1515534, 1509883, 1509610, 1511935, 1509299, 1513938, 1474499, 1509273, 1509926, 1456355, 1455994, 1509764, 1463046, 1511701, 1515631, 1509762, 1462931, 1509456, 1513659, 1513285, 1462547, 1515095, 1509881, 1509567, 1511591, 1462613, 1468524, 1469328, 1455930, 1515410, 1468795, 1513437, 1456523, 1456150, 1456516, 1509448, 1513713, 1515137, 1511312, 1511696, 1474857, 1511976, 1469239, 1511816, 1509349, 1513063, 1509248, 1511619, 1455900, 1513801, 1513722, 1513590, 1511563, 1469058, 1509899, 1511734, 1509585, 1469448, 1515491, 1515259, 1509648, 1515538, 1462688, 1474492, 1510108, 1455970, 1513737, 1511182, 1456189, 1462844, 1462765]","{'PRP': 0.06483100703534385, 'of': 0.06225586226970486, 'sentiment': 0.06057716440278353, 'VB': 0.05588985456847925, 'NN': 0.04993391835585176, 'IN': 0.045998857028772246, 'DT': 0.041793704783192685, 'RB': 0.03422273674892204, 'have': 0.033606546350264915, 'i': 0.030999565223778752}"
0.4875,0.38545015775944125,0.46277269004541727,0.4875,0.63588,0,0.895,0.1350210970464135,0.43243243243243246,0.08,"[1473733, 1473537, 1467374, 1467031, 1467291, 1460828, 1460844, 1454350, 1454506, 1467032, 1467461, 1460794, 1473647, 1461051, 1467354, 1467125, 1454694, 1467425, 1454467, 1467262, 1473695]","[1511202, 1513217, 1474380, 1509734, 1474756, 1511160, 1509760, 1456097, 1511753, 1462955, 1513671, 1469209, 1474732, 1513351, 1474836, 1469348, 1513491, 1469390, 1515244, 1474822, 1456551, 1462078, 1462958, 1511234, 1462315, 1474862, 1462343, 1456301, 1468942, 1462575, 1509325, 1455912, 1462586, 1513297, 1509622, 1468686, 1468683, 1515280, 1509765, 1468850, 1468685, 1511915, 1509197, 1469267, 1462279, 1462141, 1511506, 1511939, 1514052, 1511864, 1509688, 1515386, 1511685, 1513265, 1468966, 1513425, 1462420, 1474702, 1509469, 1509186, 1511856, 1515464, 1509581, 1462346, 1468895, 1474351, 1474770, 1515204, 1469251, 1513506, 1509810, 1513528, 1513188, 1511757, 1511991, 1511879, 1462777, 1469329, 1515337, 1513211, 1462589, 1462140, 1509758, 1511421, 1509962, 1462269, 1462298, 1468977, 1468991, 1515417, 1474681, 1513196, 1511783, 1456431, 1511733, 1474527, 1513320, 1469193, 1462869, 1509306, 1462354, 1515624, 1509826, 1511756, 1474734, 1511508, 1474553, 1462614, 1468725, 1468908, 1513831, 1468768, 1515504, 1509240, 1474578, 1469297, 1512031, 1511219, 1511484, 1462668, 1456273, 1456670, 1456257, 1509465, 1513885, 1511113, 1455916, 1462433, 1513967, 1463027, 1511544, 1474753, 1462381, 1456016, 1468706, 1469364, 1510058, 1511920, 1511122, 1474855, 1474682, 1513492, 1509451, 1474458, 1462164, 1509549, 1509398, 1456468, 1515462, 1469186, 1469425, 1513177, 1513469, 1509624, 1513899, 1474816, 1513754, 1455797, 1513737, 1468718, 1474346, 1511166, 1515229, 1455776, 1515238, 1462594, 1509991, 1511957, 1456107, 1509739, 1511432, 1468969, 1462408, 1513209, 1455910, 1511171, 1515613, 1474764, 1513675, 1456391, 1513570, 1462684, 1469241, 1456328]","{'sentiment': 0.0798602191974895, 'PRP': 0.07388243395456665, 'of': 0.06265954497495452, 'NN': 0.05528548500141786, 'VB': 0.053727459312209035, 'IN': 0.03510074740633905, 'i': 0.03130141942034912, 'to': 0.03103733136823332, 'have': 0.029372359601608045, 'NNS': 0.029110268409669446}"
0.5175,0.45123294876989456,0.5338507664780695,0.5175,0.64193,1,0.865,0.26053639846743293,0.5573770491803278,0.17,"[1454712, 1454397, 1467092, 1467189, 1467031, 1454643, 1454719, 1460647, 1454392, 1467078, 1454237, 1460659, 1473610, 1454718, 1460628, 1460756, 1473675, 1467373, 1473537, 1454646, 1467206, 1467267, 1460910, 1460598, 1460683, 1467032, 1473618]","[1463030, 1511675, 1462531, 1509864, 1515123, 1509700, 1509590, 1474869, 1462130, 1510049, 1456044, 1515077, 1511811, 1513983, 1509210, 1456074, 1509935, 1515572, 1469319, 1456383, 1474830, 1513700, 1462776, 1511812, 1462247, 1509748, 1462534, 1463048, 1456026, 1474845, 1509180, 1509835, 1509885, 1509370, 1468811, 1469204, 1513835, 1456192, 1456181, 1513502, 1515589, 1511256, 1462734, 1511871, 1509843, 1462889, 1509240, 1456324, 1513455, 1462948, 1462476, 1513750, 1462462, 1515433, 1509988, 1462670, 1468783, 1474405, 1510100, 1513306, 1462459, 1509994, 1509819, 1515597, 1511860, 1509828, 1509923, 1455818, 1509327, 1474861, 1513967, 1469064, 1511117, 1468534, 1456375, 1468578, 1462451, 1513972, 1468696, 1515288, 1513998, 1474467, 1469179, 1468901, 1474608, 1462112, 1462239, 1509931, 1474371, 1469017, 1509160, 1469465, 1513628, 1468765, 1509650, 1456016, 1462418, 1511471, 1455765, 1511748, 1511823, 1474860, 1513809, 1511665, 1511587, 1513797, 1513286, 1509397, 1455831, 1510070, 1469096, 1509780, 1515414, 1513303, 1509249, 1513428, 1456418, 1455801, 1468664, 1511911, 1513453, 1462292, 1512003, 1474490, 1509949, 1509712, 1474506, 1509458, 1455958, 1456087, 1515146, 1511596, 1469329, 1513679, 1513095, 1509535, 1509670, 1511848, 1511504, 1509684, 1515100, 1511363, 1509486, 1462558, 1456124, 1511732, 1509713, 1515394, 1468808, 1513630, 1463021, 1511156, 1511501, 1456250, 1462298, 1509660, 1513537, 1469117, 1509243, 1513896, 1511278, 1509937, 1515392, 1474646, 1455716, 1474786]","{'of': 0.07020582135529448, 'PRP': 0.06888987587134954, 'NN': 0.056795341727441696, 'sentiment': 0.05436170458467173, 'VB': 0.047540437039326776, 'IN': 0.04016845258113814, 'to': 0.03767879841549618, 'have': 0.037332806303295676, 'DT': 0.03301339294581678, 'mean_sen_len': 0.02697201283304733}"
0.505,0.4312959558823529,0.5103820598006645,0.505,0.63603,1,0.865,0.2265625,0.5178571428571429,0.145,"[1467424, 1460828, 1473630, 1467257, 1454373, 1467210, 1454694, 1467472, 1454628, 1460767, 1460891, 1454712, 1467108, 1467125, 1473618, 1467425, 1467176, 1467143, 1460612, 1473511, 1467088, 1473669, 1454350, 1473612, 1467416, 1467130, 1460822]","[1469284, 1474750, 1511109, 1468827, 1509671, 1511739, 1509146, 1462276, 1456608, 1511856, 1462120, 1462705, 1511225, 1513492, 1513964, 1513628, 1509332, 1462618, 1515621, 1468998, 1468516, 1456292, 1462577, 1462731, 1462578, 1456552, 1513513, 1468664, 1474640, 1474549, 1462979, 1511432, 1511169, 1509512, 1474565, 1462494, 1456325, 1456630, 1511571, 1509217, 1462597, 1511182, 1456169, 1468713, 1511318, 1509868, 1462811, 1462894, 1513142, 1513228, 1455853, 1510098, 1468649, 1456195, 1456480, 1513251, 1462909, 1455856, 1509403, 1456230, 1456518, 1515608, 1468812, 1511276, 1513480, 1511292, 1462138, 1468702, 1456173, 1456224, 1513184, 1463009, 1513338, 1511515, 1515301, 1513689, 1509898, 1515120, 1509764, 1456044, 1474753, 1462455, 1468526, 1462709, 1513583, 1462444, 1468507, 1511481, 1509725, 1469126, 1468796, 1456349, 1468489, 1462279, 1511237, 1474788, 1509455, 1513410, 1513861, 1513676, 1510066, 1455762, 1468704, 1509469, 1515613, 1469029, 1456229, 1456070, 1512068, 1509365, 1513720, 1509301, 1515369, 1462837, 1513306, 1474562, 1515273, 1474905, 1469225, 1511966, 1456162, 1468909, 1469279, 1515475, 1468751, 1462269, 1515364, 1468890, 1474478, 1469292, 1513549, 1511886, 1511613, 1469412, 1468960, 1462396, 1455929, 1509953, 1510027, 1469201, 1511486, 1474623, 1513217, 1456348, 1456204, 1462606, 1509984, 1513920, 1509444, 1456474, 1513448, 1462971, 1462669, 1455782, 1462273, 1513430, 1474764, 1455784, 1509716, 1513731, 1469114, 1456506, 1462997, 1462560, 1511698, 1511163, 1510025, 1511187, 1515151, 1468897, 1515102]","{'PRP': 0.07484332910459521, 'of': 0.07382928107752312, 'sentiment': 0.06695691770560881, 'NN': 0.05400525308099717, 'VB': 0.05219595027731523, 'IN': 0.03776838697290776, 'to': 0.03668409733694882, 'DT': 0.032634120108374146, 'have': 0.03245191470405733, 'NNS': 0.028980844996511913}"
0.4925,0.3972639345600843,0.47961818058292005,0.4925,0.63685,0,0.89,0.15767634854771784,0.4634146341463415,0.095,"[1454557, 1460706, 1454637, 1454392, 1460620, 1467187, 1467176, 1460843, 1467315, 1473537, 1467416, 1460848, 1467311, 1460901, 1467417, 1467441, 1454646, 1460828, 1473685, 1467009, 1467235, 1460756]","[1513392, 1474395, 1455972, 1513649, 1462380, 1513882, 1456137, 1474420, 1509467, 1513617, 1515071, 1513703, 1509262, 1511581, 1462758, 1513773, 1513412, 1511833, 1462949, 1511417, 1513625, 1511724, 1511803, 1511742, 1509581, 1515457, 1462765, 1513928, 1509499, 1511979, 1513445, 1462469, 1474890, 1468971, 1513720, 1510013, 1513303, 1469231, 1509569, 1515624, 1456366, 1511316, 1462803, 1511476, 1515539, 1469421, 1515496, 1511491, 1509306, 1511462, 1456427, 1468630, 1513866, 1456563, 1468615, 1468895, 1511619, 1509625, 1509439, 1513361, 1515051, 1511761, 1469151, 1509917, 1462680, 1462147, 1468772, 1469187, 1511516, 1469459, 1509603, 1456618, 1515609, 1509934, 1456022, 1511122, 1469357, 1456634, 1509579, 1511445, 1513777, 1511754, 1456650, 1456038, 1513903, 1468728, 1512022, 1456168, 1462840, 1509704, 1474490, 1462336, 1512037, 1515194, 1515589, 1513297, 1462737, 1513074, 1509389, 1456330, 1511436, 1515299, 1456614, 1469137, 1513694, 1456655, 1455986, 1513395, 1509670, 1468643, 1462704, 1455842, 1515540, 1468807, 1456544, 1513320, 1512071, 1469328, 1511287, 1513343, 1462484, 1515328, 1513867, 1462223, 1455791, 1469356, 1509805, 1469049, 1511942, 1513799, 1515070, 1513108, 1513865, 1474874, 1515273, 1509518, 1456124, 1469035, 1515567, 1455997, 1469275, 1509973, 1474345, 1511578, 1515423, 1455962, 1515564, 1468835, 1511822, 1474504, 1515229, 1510033, 1456611, 1511172, 1515618, 1468923, 1509573, 1511927, 1509616, 1474592, 1468933, 1515594, 1469127, 1456041, 1512021, 1515054, 1515099, 1462358, 1513775, 1510055, 1515447, 1511894, 1509829, 1509807, 1509463, 1510110, 1513890, 1456363, 1469419, 1511093, 1513960]","{'PRP': 0.07412509220238529, 'of': 0.07207727592607714, 'sentiment': 0.07142440205268046, 'NN': 0.05124987731992243, 'VB': 0.04343959318650735, 'DT': 0.03809724723406854, 'IN': 0.03436040851285199, 'the': 0.03336630754616707, 'RB': 0.033084206479971554, 'to': 0.03174435135090661}"
0.475,0.38909090909090904,0.44285714285714284,0.475,0.61818,0,0.85,0.16,0.4,0.1,"[1454719, 1461047, 1467381, 1454556, 1473695, 1473537, 1460793, 1473592, 1454397, 1454350, 1460628, 1460632, 1473681, 1460635, 1454234, 1454646, 1467125, 1467286, 1467174, 1473577, 1473547, 1473627, 1473701, 1473536, 1473538, 1473598, 1454557, 1454637, 1467187, 1467016]","[1462904, 1456124, 1462156, 1514024, 1515247, 1462736, 1511667, 1513808, 1511375, 1474364, 1456424, 1511358, 1511410, 1513526, 1513176, 1462089, 1456320, 1474619, 1511628, 1510108, 1509787, 1511203, 1509678, 1511498, 1462494, 1509480, 1511345, 1513866, 1474844, 1511913, 1474376, 1462245, 1511099, 1474456, 1513703, 1513996, 1469433, 1469143, 1456395, 1468552, 1512049, 1469047, 1462351, 1511474, 1474866, 1515550, 1456434, 1515521, 1509471, 1468564, 1474564, 1462305, 1513157, 1511655, 1515228, 1509415, 1513865, 1456598, 1511984, 1509529, 1468572, 1515289, 1474796, 1511981, 1474430, 1511403, 1513177, 1462814, 1513847, 1455974, 1462796, 1513334, 1509135, 1474898, 1515067, 1510061, 1463018, 1509981, 1511668, 1456678, 1468725, 1513312, 1515225, 1515555, 1515408, 1511629, 1509535, 1462120, 1511819, 1469149, 1469027, 1509285, 1474354, 1462226, 1509356, 1515588, 1463038, 1511138, 1456632, 1510043, 1511860, 1462805, 1474544, 1509668, 1511648, 1515629, 1513480, 1474462, 1469196, 1511686, 1509320, 1468991, 1474861, 1462968, 1456324, 1511446, 1515223, 1455814, 1509499, 1511789, 1462776, 1512003, 1469067, 1509516, 1511585, 1462991, 1515570, 1456237, 1509815, 1469377, 1468754, 1515483, 1515395, 1509230, 1512017, 1513216, 1515627, 1474660, 1511971, 1513121, 1511555, 1509514, 1511892, 1514001, 1468797, 1511352, 1511494, 1474467, 1511697, 1513202, 1509646, 1509905, 1469378, 1511515, 1469018, 1474400, 1474710, 1511742, 1462483, 1509213, 1462457, 1513223, 1515111, 1462560, 1455926, 1474654, 1468990, 1511709, 1455846, 1474874, 1513600, 1468770, 1511378, 1462802, 1515601, 1456440, 1511843, 1509221, 1515117, 1456582]","{'of': 0.07880382310849071, 'PRP': 0.07699466814383699, 'sentiment': 0.05907928524054118, 'VB': 0.05451723993972022, 'DT': 0.04310011867082402, 'NN': 0.04199977113081241, 'IN': 0.04022088207222887, 'the': 0.036277921011470475, 'to': 0.0345319804251945, 'RB': 0.027979015850389758}"
0.4775,0.3703633967237808,0.4295499021526419,0.4775,0.63009,0,0.89,0.11063829787234042,0.37142857142857144,0.065,"[1460629, 1473681, 1460805, 1460628, 1460852, 1454392, 1467278, 1454401, 1454406, 1454718, 1454422, 1467235, 1473582, 1461076, 1454646, 1454440, 1467059, 1467257, 1461066, 1460919, 1454330, 1467206]","[1456011, 1509419, 1513780, 1462738, 1510071, 1468992, 1513980, 1462239, 1511671, 1474599, 1509822, 1509687, 1456463, 1474538, 1515311, 1468999, 1474766, 1456160, 1509338, 1469053, 1511783, 1456504, 1455830, 1474335, 1510009, 1515521, 1509283, 1511831, 1509799, 1513846, 1469180, 1462272, 1462093, 1469117, 1456135, 1513568, 1511538, 1468929, 1462771, 1513326, 1513768, 1474405, 1513397, 1511165, 1510069, 1510062, 1474710, 1456668, 1513173, 1511342, 1509821, 1511781, 1474664, 1474520, 1469421, 1456203, 1468862, 1513309, 1462770, 1511719, 1511693, 1509749, 1462283, 1513935, 1509537, 1462954, 1469139, 1456591, 1509898, 1456478, 1509161, 1511737, 1510100, 1509800, 1456532, 1462536, 1462497, 1513581, 1513588, 1474514, 1456410, 1469446, 1468884, 1469292, 1509524, 1456511, 1469341, 1474547, 1511602, 1455890, 1511364, 1515318, 1509948, 1456128, 1513086, 1456216, 1456649, 1462852, 1511717, 1456326, 1509408, 1509975, 1456059, 1474671, 1456280, 1511971, 1515197, 1509306, 1456381, 1515170, 1513538, 1511955, 1455809, 1511573, 1474871, 1509572, 1468785, 1462557, 1511723, 1462197, 1515342, 1509305, 1511345, 1509779, 1515571, 1513240, 1468494, 1469004, 1509233, 1513172, 1456673, 1462878, 1462378, 1456057, 1463046, 1456262, 1469320, 1509350, 1455922, 1462748, 1456662, 1463014, 1468915, 1462783, 1469183, 1456579, 1511788, 1511368, 1468683, 1511580, 1513407, 1509263, 1509788, 1474432, 1513262, 1469227, 1468559, 1468639, 1456222, 1474753, 1511778, 1513075, 1469199, 1512016, 1469465, 1469045, 1509935, 1469393, 1468499, 1513856, 1462526, 1462642, 1515593, 1513131, 1515161, 1515264, 1509707, 1515068, 1515217, 1474401, 1462754, 1474768, 1513939, 1509226, 1509421, 1513559, 1509910]","{'PRP': 0.06707030419036909, 'of': 0.06397179774858866, 'VB': 0.056299882408028704, 'sentiment': 0.050495320608863026, 'NN': 0.048018489671688556, 'IN': 0.041629217504166656, 'NNS': 0.04064751825548089, 'DT': 0.03338510563342294, 'have': 0.03091117487849471, 'had': 0.028439692577397077}"
0.4775,0.3606558630763466,0.41634910307649414,0.4775,0.63398,0,0.905,0.08733624454148471,0.3448275862068966,0.05,"[1460991, 1467125, 1473547, 1460767, 1461068, 1473538, 1473685, 1467143, 1467013, 1473733, 1460763, 1467206, 1467069, 1473627, 1454373, 1454392, 1467078, 1467009, 1454499]","[1511144, 1474827, 1515147, 1511374, 1455704, 1515442, 1515100, 1513724, 1455944, 1462083, 1468821, 1474688, 1509760, 1469285, 1509472, 1513668, 1455951, 1468812, 1515407, 1511954, 1469071, 1474556, 1513931, 1468563, 1474375, 1456272, 1468637, 1462493, 1511316, 1468710, 1509210, 1469200, 1456430, 1469022, 1511536, 1462673, 1511619, 1469340, 1513368, 1462845, 1515149, 1511171, 1509431, 1509490, 1513453, 1509252, 1469105, 1456615, 1462994, 1468488, 1515340, 1509966, 1468785, 1456064, 1509478, 1455982, 1513665, 1462900, 1515454, 1456111, 1515052, 1513703, 1509801, 1509817, 1509242, 1515075, 1515062, 1456416, 1469325, 1474823, 1511753, 1469203, 1474573, 1455836, 1474640, 1515563, 1509984, 1510085, 1513436, 1462822, 1509415, 1511779, 1462504, 1509941, 1511276, 1509259, 1513619, 1462976, 1455816, 1474429, 1469066, 1513691, 1509786, 1513752, 1456081, 1474879, 1515094, 1513835, 1456342, 1462718, 1509672, 1513091, 1462247, 1513205, 1509488, 1455984, 1455936, 1513697, 1456401, 1509300, 1456581, 1510072, 1513895, 1509333, 1509256, 1509213, 1509732, 1511237, 1509473, 1468858, 1462310, 1469195, 1474749, 1469057, 1462699, 1474700, 1462464, 1456248, 1515262, 1462532, 1474718, 1515197, 1514011, 1509546, 1509664, 1509303, 1513687, 1462535, 1511731, 1509564, 1456426, 1509527, 1468780, 1515452, 1469396, 1462458, 1511695, 1513885, 1509633, 1513175, 1509604, 1509188, 1511599, 1469080, 1509325, 1515579, 1462422, 1513622, 1462190, 1509419, 1511333, 1468867, 1462591, 1468672, 1513648, 1515464, 1468813, 1468827, 1463036, 1513505, 1462608, 1511922, 1462911, 1474345, 1468589, 1469371, 1509370, 1511458, 1474448, 1462611, 1456479, 1515109, 1515105, 1511137, 1514013, 1456579, 1462856, 1468499, 1515518, 1511714]","{'PRP': 0.0753759254963855, 'of': 0.06182524107043902, 'sentiment': 0.058777872895233924, 'IN': 0.050828401962720864, 'NN': 0.049421459571954485, 'VB': 0.04809374235901748, 'mean_sen_len': 0.03910167135830749, 'to': 0.03537020259405615, 'DT': 0.03365743794013561, 'NNS': 0.030696054861086154}"
