,Key,Count,Mean Score
0,PRP,100,0.076036629095034
1,of,100,0.06729919833475911
2,sentiment,100,0.060529254436601364
3,VB,100,0.05236608273853967
4,NN,100,0.053459838955528666
5,IN,96,0.038336708686626766
6,DT,96,0.03826640398270293
8,have,61,0.03586659037263323
10,to,48,0.03477354324550628
9,the,45,0.033687770648427325
14,NNS,39,0.033279186525066166
12,RB,38,0.032691383766585834
7,i,33,0.03330727269717135
13,mean_sen_len,27,0.032518706107620955
11,which,16,0.031941672881238614
15,had,1,0.029367349342981627
