,Key,Count,Mean Score
0,of,100,0.06777010384433994
1,PRP,100,0.07602163357164227
2,VB,100,0.05199214732393876
3,NN,100,0.05340040660598722
4,sentiment,100,0.060025920358404726
6,DT,96,0.03777292209056373
5,IN,92,0.03933820597887122
12,have,60,0.0351180261166912
7,to,57,0.03457795868933681
9,NNS,45,0.03348877048393698
8,RB,39,0.032162223754462836
10,i,32,0.032689142242130605
14,the,32,0.0328571601211254
13,mean_sen_len,27,0.0319699704106691
11,which,19,0.033374979032691515
15,had,1,0.03354562733810708
