accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.4925,0.368933170644512,0.46540191442740164,0.4925,0.64818,0,0.935,0.08968609865470852,0.43478260869565216,0.05,"[1529177, 1529056, 1516554, 1522854, 1522626, 1529457, 1535489, 1529381, 1523025, 1522639, 1522750, 1523086, 1516710]","[1555887, 1561255, 1565738, 1565301, 1565815, 1560750, 1560794, 1560510, 1565801, 1555986, 1560850, 1560528, 1556120, 1565868, 1561043, 1556358, 1566128, 1555944, 1566101, 1555633, 1556336, 1560554, 1566116, 1560601, 1565596, 1569440, 1566105, 1561139, 1560548, 1565442, 1565532, 1560951, 1555964, 1560558, 1555750, 1560739, 1556373, 1560906, 1555647, 1561145, 1565817, 1560458, 1565360, 1569414, 1566228, 1569627, 1560389, 1565308, 1569581, 1561320, 1560362, 1560390, 1555809, 1555931, 1565285, 1561091, 1565779, 1556212, 1555942, 1569503, 1560668, 1560959, 1569919, 1556128, 1556380, 1569565, 1565397, 1560954, 1556170, 1565988, 1569447, 1569669, 1565864, 1561032, 1566210, 1555410, 1560967, 1566211, 1569890, 1560828, 1555780, 1569452, 1565304, 1560762, 1565465, 1556052, 1561107, 1560766, 1565925, 1569654, 1566006, 1555442, 1565902, 1565571, 1565400, 1555860, 1555941, 1555599, 1555506, 1569605, 1561181, 1555933, 1569587, 1566247, 1565580, 1555842, 1566038, 1566245, 1560799, 1560647, 1556347, 1560775, 1569550, 1561045, 1555880, 1560810, 1565432, 1566012, 1560652, 1555544, 1560532, 1560945, 1555743, 1555474, 1566191, 1556301, 1565539, 1566209, 1556338, 1560612, 1555529, 1569451, 1555648, 1556306, 1555445, 1560430, 1561090, 1561217, 1560432, 1569663, 1556161, 1555852, 1569583, 1565788, 1565787, 1560654, 1555448, 1560351, 1560403, 1560353, 1565581, 1560486, 1560503, 1565860, 1569808, 1566075, 1565993, 1556032, 1565528, 1556027, 1561265, 1569812, 1565565, 1569436, 1555488, 1560334, 1569899, 1565568, 1569416, 1569878, 1560560, 1569619, 1561080, 1556378, 1555472, 1555605, 1555781, 1560756, 1569795, 1556036, 1555484, 1565584, 1555904, 1565655, 1565953, 1561273, 1556158, 1555638, 1560811, 1569673]","{'PRP': 0.07518204717883707, 'of': 0.06569047473348488, 'sentiment': 0.052016068177631596, 'VB': 0.050258906129372394, 'NN': 0.04512739112478934, 'IN': 0.04494015540772774, 'DT': 0.04424342098094312, 'i': 0.035861212917385574, 'have': 0.03447436309030097, 'the': 0.03283110340718635}"
0.5025,0.34740725558516083,0.550632911392405,0.5025,0.66555,1,0.99,0.02926829268292683,0.6,0.015,"[1522918, 1523048]","[1566096, 1569814, 1560867, 1569989, 1561067, 1560644, 1555805, 1556311, 1560759, 1569584, 1569451, 1565390, 1569755, 1555631, 1566068, 1555970, 1555578, 1555838, 1556081, 1560619, 1560766, 1560969, 1566193, 1569943, 1560620, 1561234, 1555750, 1566115, 1569575, 1565980, 1569845, 1565439, 1560871, 1566151, 1561270, 1556025, 1556132, 1561040, 1565288, 1569718, 1561152, 1560594, 1565292, 1561271, 1560421, 1560958, 1565651, 1560610, 1565804, 1566110, 1556351, 1569751, 1560637, 1560386, 1560872, 1565339, 1560986, 1565369, 1560885, 1556041, 1560556, 1560768, 1565849, 1555588, 1569561, 1565697, 1569907, 1569536, 1556182, 1560957, 1560343, 1560596, 1555918, 1561240, 1555698, 1565326, 1561262, 1555904, 1565739, 1566149, 1565705, 1569883, 1565356, 1569737, 1560398, 1569518, 1560551, 1565707, 1555946, 1555411, 1565736, 1569964, 1565976, 1561232, 1560807, 1560530, 1560924, 1569581, 1556364, 1569494, 1565404, 1560950, 1565781, 1561083, 1565667, 1555978, 1565428, 1566134, 1569537, 1569572, 1555870, 1565721, 1569649, 1565649, 1560544, 1566231, 1555793, 1555636, 1556293, 1560826, 1565688, 1569512, 1555840, 1556357, 1561122, 1560734, 1565465, 1565946, 1561275, 1565891, 1565494, 1569758, 1560970, 1569495, 1565682, 1560836, 1555442, 1565294, 1560912, 1560650, 1560552, 1565621, 1566114, 1560763, 1569729, 1561130, 1565622, 1560630, 1556005, 1556356, 1569765, 1565363, 1555550, 1555708, 1556063, 1565627, 1565923, 1565501, 1561293, 1565589, 1560685, 1556316, 1566223, 1556284, 1560687, 1565661, 1556087, 1569678, 1566236, 1561121, 1565532, 1560475, 1565479, 1555646, 1569595, 1560747, 1560652, 1560369, 1561035, 1560356, 1560607, 1565463, 1569895, 1566059, 1569499, 1560618, 1560983, 1560467, 1560334, 1555678, 1555452, 1560869, 1569450, 1566014, 1560374, 1569771, 1560963]","{'sentiment': 0.0770936964846738, 'of': 0.06664472308544793, 'PRP': 0.06639897997089686, 'VB': 0.054972140774369606, 'NN': 0.05057772027036757, 'have': 0.046916416643599065, 'DT': 0.04244604619656132, 'to': 0.035158962984859404, 'IN': 0.034034038429254, 'which': 0.02993471571059339}"
0.5025,0.3880265393515849,0.5099295005461225,0.5025,0.65271,1,0.935,0.12334801762114538,0.5185185185185185,0.07,"[1529431, 1535654, 1516455, 1529327, 1535527, 1522874, 1516426, 1523025, 1516414, 1535687, 1529370, 1535771, 1529177]","[1560922, 1560433, 1555727, 1555886, 1560907, 1569457, 1555917, 1555888, 1561312, 1555511, 1569703, 1556025, 1556297, 1565334, 1555867, 1556287, 1560426, 1560384, 1561166, 1561233, 1560833, 1556160, 1569980, 1565540, 1565876, 1569432, 1555844, 1556170, 1565727, 1566003, 1555993, 1555848, 1560998, 1556308, 1565978, 1555405, 1569753, 1560461, 1566157, 1556295, 1561145, 1569671, 1565658, 1569423, 1560470, 1565355, 1556077, 1560753, 1555467, 1560334, 1555738, 1561297, 1560855, 1555693, 1565330, 1565628, 1569912, 1565885, 1560588, 1565305, 1569660, 1556245, 1556168, 1561033, 1555887, 1555691, 1566192, 1569518, 1555642, 1565760, 1555988, 1569822, 1565480, 1569801, 1560747, 1555430, 1569451, 1555798, 1569691, 1560848, 1556352, 1555750, 1555499, 1566177, 1569759, 1555850, 1555579, 1560659, 1556359, 1565864, 1569570, 1565888, 1560530, 1565437, 1560959, 1555421, 1565631, 1555410, 1560522, 1555787, 1569732, 1560960, 1560794, 1560982, 1555996, 1555512, 1555623, 1565803, 1555409, 1560781, 1569845, 1560388, 1560972, 1565634, 1565512, 1561135, 1556107, 1560987, 1566083, 1560627, 1565987, 1565617, 1565856, 1565387, 1561175, 1556072, 1565386, 1561242, 1566225, 1560346, 1560467, 1555904, 1565567, 1555450, 1555699, 1569748, 1560625, 1561142, 1561014, 1561019, 1565867, 1565846, 1565807, 1565977, 1569515, 1555545, 1566133, 1565834, 1565785, 1565291, 1569749, 1555919, 1565821, 1556332, 1569566, 1569477, 1556176, 1555700, 1555460, 1569440, 1569462, 1556366, 1569695, 1569944, 1556056, 1569789, 1561122, 1560863, 1561269, 1569412, 1569761, 1565525, 1566047, 1560407, 1555514, 1560838, 1561311, 1555807, 1569710, 1569547, 1555842, 1560555, 1560746, 1565788, 1556251, 1555906]","{'PRP': 0.08087830560774886, 'of': 0.07608219021799154, 'sentiment': 0.05484002725880039, 'NN': 0.052597160341180206, 'IN': 0.047899830381764076, 'VB': 0.04526179282691646, 'DT': 0.043637026185304344, 'i': 0.03334162727445486, 'RB': 0.031805651063898176, 'to': 0.030124768067057262}"
0.485,0.33082120582120583,0.30867346938775514,0.485,0.65203,0,0.965,0.009615384615384616,0.125,0.005,"[1535756, 1529177, 1529413, 1522904, 1516294, 1522889, 1516579]","[1560934, 1569943, 1556375, 1565962, 1566175, 1565697, 1565837, 1560804, 1566193, 1565927, 1556302, 1569894, 1555537, 1560611, 1565529, 1569443, 1569752, 1565441, 1565820, 1560997, 1565660, 1556372, 1556321, 1569813, 1556114, 1560950, 1556232, 1565495, 1569618, 1555884, 1569669, 1555421, 1566093, 1560769, 1565654, 1569882, 1565597, 1565409, 1555808, 1569898, 1565768, 1555518, 1560591, 1560879, 1565823, 1566108, 1555851, 1566252, 1569817, 1560622, 1565914, 1556145, 1565985, 1556069, 1555680, 1569450, 1556194, 1556203, 1556120, 1565395, 1569812, 1565519, 1566255, 1566153, 1565888, 1560747, 1565912, 1555634, 1555676, 1565491, 1565543, 1565424, 1555426, 1565359, 1565622, 1560510, 1565889, 1561058, 1569917, 1556153, 1566124, 1560823, 1569639, 1566023, 1555897, 1555589, 1565459, 1560932, 1565335, 1565581, 1555990, 1561080, 1556314, 1569667, 1565515, 1561026, 1561179, 1565437, 1565799, 1555994, 1560443, 1565571, 1555722, 1560726, 1556026, 1560677, 1565679, 1569485, 1566139, 1569636, 1565970, 1569492, 1556236, 1565979, 1560594, 1569612, 1555901, 1561309, 1565879, 1560913, 1569679, 1560925, 1561281, 1566220, 1556279, 1560419, 1555619, 1569786, 1555566, 1556095, 1569845, 1555952, 1561286, 1560658, 1569468, 1560773, 1560484, 1566002, 1561031, 1561277, 1565762, 1556003, 1565476, 1560616, 1561139, 1569428, 1565775, 1560779, 1556229, 1566025, 1566112, 1565892, 1555606, 1556275, 1566022, 1569633, 1565673, 1556230, 1565332, 1565585, 1555639, 1560876, 1566269, 1555955, 1560985, 1569718, 1560835, 1555692, 1565323, 1556067, 1565633, 1561196, 1565339, 1565514, 1555444, 1561016, 1561305, 1556035, 1561172, 1566161, 1565659, 1555731, 1565596, 1569734, 1556166, 1555687, 1555969, 1560736, 1569644, 1566182, 1555970, 1560578, 1555507, 1560618, 1561183, 1566033, 1561098, 1565741, 1565542]","{'PRP': 0.07100005189778252, 'of': 0.06502885971304508, 'NN': 0.05308984647021929, 'sentiment': 0.046026036106111994, 'DT': 0.04556891911349191, 'VB': 0.04429836545880146, 'the': 0.043996779845067814, 'IN': 0.04000504483554731, 'mean_sen_len': 0.03296076305620054, 'to': 0.03014800406780049}"
0.5,0.3582338595815684,0.5,0.5,0.65986,0,0.97,0.05660377358490566,0.5,0.03,"[1529056, 1516391, 1535562, 1529302, 1516641, 1522763]","[1555833, 1555954, 1560967, 1566137, 1566195, 1561319, 1556091, 1555730, 1560334, 1561151, 1555415, 1569965, 1560357, 1565659, 1560770, 1556068, 1560994, 1569795, 1555944, 1565670, 1569983, 1569845, 1556119, 1556170, 1566185, 1560508, 1560562, 1569647, 1555758, 1560510, 1560858, 1565741, 1560584, 1565563, 1569562, 1556197, 1561158, 1566033, 1560533, 1566108, 1560500, 1560968, 1569482, 1555773, 1555855, 1555507, 1555671, 1569434, 1561229, 1569447, 1555406, 1561092, 1560855, 1556211, 1566062, 1565402, 1555631, 1561153, 1556241, 1556209, 1560354, 1565352, 1565353, 1565923, 1556087, 1555822, 1555444, 1556181, 1565362, 1565513, 1556056, 1560557, 1565882, 1555558, 1560481, 1561268, 1556361, 1561074, 1565773, 1560540, 1565967, 1560695, 1560546, 1560776, 1569541, 1565817, 1565502, 1560359, 1560920, 1560452, 1556163, 1565546, 1555577, 1565501, 1560638, 1556025, 1561218, 1566077, 1569956, 1561028, 1561116, 1561120, 1566219, 1569433, 1556122, 1560466, 1569818, 1566128, 1556058, 1556310, 1560699, 1569675, 1569856, 1565646, 1569691, 1565652, 1555759, 1555515, 1555826, 1561007, 1565539, 1560623, 1565478, 1556143, 1556336, 1555852, 1555851, 1560413, 1565588, 1560740, 1565618, 1569511, 1565884, 1565394, 1569719, 1555566, 1565653, 1555828, 1555473, 1556349, 1555450, 1560771, 1556103, 1556322, 1565763, 1556135, 1569742, 1569880, 1560881, 1565395, 1555823, 1556145, 1566175, 1569839, 1565314, 1555793, 1555742, 1566018, 1560611, 1566126, 1556270, 1560734, 1561101, 1560487, 1565299, 1556346, 1565434, 1569896, 1566240, 1555688, 1566014, 1556251, 1556045, 1565878, 1565514, 1560660, 1561241, 1560367, 1566228, 1566015, 1565518, 1569478, 1560671, 1555734, 1565347, 1561225, 1565881, 1569463, 1560647, 1561093, 1560749, 1565435, 1555963, 1560376]","{'PRP': 0.0746614308940598, 'sentiment': 0.06743673627841831, 'of': 0.05645562215409318, 'NN': 0.05421097069446321, 'IN': 0.048264295415198936, 'VB': 0.047385717147624476, 'DT': 0.03803866283013718, 'to': 0.03620322579434415, 'have': 0.02970739760699606, 'NNS': 0.02908909030102582}"
0.48,0.3686255463817388,0.4320652173913044,0.48,0.6338,0,0.9,0.10344827586206896,0.375,0.06,"[1516502, 1522639, 1535489, 1523081, 1522722, 1516305, 1522880, 1522735, 1516641, 1522982, 1522854, 1535645, 1535593, 1516298, 1522704, 1516551, 1535516, 1522943, 1522801, 1516269]","[1569554, 1560451, 1566250, 1561101, 1566009, 1560379, 1555491, 1569707, 1565579, 1561316, 1565537, 1569637, 1555450, 1569439, 1566127, 1560676, 1569473, 1556176, 1565635, 1555940, 1561195, 1569803, 1555474, 1560438, 1565923, 1565359, 1565362, 1561013, 1555519, 1569976, 1560496, 1556375, 1569711, 1565343, 1560351, 1565797, 1556036, 1565630, 1560334, 1555823, 1569935, 1566003, 1565815, 1565323, 1569919, 1569875, 1555570, 1555661, 1556060, 1561285, 1561186, 1555796, 1556340, 1569718, 1556363, 1566054, 1555698, 1569987, 1569689, 1566243, 1569806, 1569926, 1569435, 1560751, 1555636, 1569464, 1565435, 1555909, 1560545, 1560593, 1555771, 1560852, 1561164, 1565457, 1555430, 1555517, 1566235, 1560796, 1569850, 1556262, 1569905, 1566246, 1555704, 1556253, 1560491, 1561238, 1561305, 1556175, 1560525, 1565383, 1555737, 1569557, 1560620, 1565291, 1561085, 1555529, 1555405, 1560550, 1556084, 1560705, 1565989, 1555982, 1569512, 1565782, 1569677, 1555608, 1555711, 1561302, 1560704, 1556079, 1565365, 1565595, 1560830, 1560331, 1565558, 1555887, 1561045, 1560770, 1560863, 1569879, 1566002, 1569596, 1561073, 1560523, 1565580, 1569881, 1569949, 1569418, 1560361, 1569419, 1555920, 1561002, 1569516, 1555830, 1555995, 1565792, 1561281, 1560548, 1565931, 1566136, 1560674, 1560410, 1561247, 1556215, 1555906, 1560850, 1569861, 1569597, 1569549, 1560990, 1556316, 1555562, 1565943, 1560459, 1555774, 1556274, 1565768, 1561213, 1555611, 1565596, 1555609, 1569591, 1555670, 1561191, 1555674, 1565360, 1566022, 1556330, 1556186, 1566000, 1556338, 1556297, 1566080, 1565381, 1560889, 1565997, 1555612, 1560905, 1569988, 1565406, 1555729, 1556097, 1569588, 1566238, 1566039, 1556263, 1555937, 1565743]","{'PRP': 0.07904439422693833, 'of': 0.0613417295034576, 'VB': 0.047772733345763985, 'NN': 0.04286568374325137, 'sentiment': 0.04151552179060787, 'IN': 0.040866980305718295, 'the': 0.04016467374075443, 'DT': 0.039274317218363504, 'have': 0.03208581298585594, 'RB': 0.03199011027707539}"
0.4925,0.3544027032399125,0.44805194805194803,0.4925,0.65299,0,0.955,0.05581395348837209,0.4,0.03,"[1516637, 1523082, 1516244, 1516502, 1529416, 1522700, 1529124, 1529327, 1529056]","[1555483, 1555750, 1560795, 1565700, 1556299, 1560701, 1565619, 1569889, 1555527, 1556074, 1566067, 1555567, 1555744, 1569868, 1565467, 1561056, 1560557, 1565592, 1555947, 1555446, 1555443, 1556131, 1560634, 1560881, 1565981, 1566031, 1561232, 1556226, 1565529, 1560501, 1555773, 1555424, 1560449, 1555577, 1565638, 1555662, 1565861, 1565692, 1555924, 1569764, 1560971, 1555543, 1569750, 1565486, 1569697, 1565380, 1555525, 1555755, 1565682, 1565360, 1555811, 1561145, 1556177, 1556274, 1555969, 1569453, 1569553, 1569956, 1569717, 1569609, 1565589, 1555721, 1555608, 1565459, 1555835, 1569548, 1566217, 1569459, 1565366, 1566257, 1560496, 1560949, 1565506, 1555503, 1561164, 1569967, 1560608, 1560848, 1561067, 1560335, 1565833, 1555772, 1555784, 1565436, 1565872, 1560448, 1566111, 1565377, 1555678, 1565532, 1566083, 1569873, 1555743, 1565302, 1561026, 1555883, 1569784, 1560942, 1569779, 1565437, 1556051, 1565678, 1565449, 1565305, 1566112, 1569969, 1560627, 1561057, 1565490, 1560986, 1556211, 1566138, 1560779, 1561241, 1556234, 1569615, 1556122, 1560758, 1560948, 1566060, 1555619, 1569416, 1555569, 1560427, 1561022, 1555865, 1555579, 1555870, 1565836, 1561122, 1555890, 1565796, 1560922, 1555545, 1560785, 1561205, 1565869, 1556240, 1565624, 1566144, 1560801, 1555694, 1569810, 1555990, 1569420, 1569804, 1560481, 1565705, 1569543, 1565468, 1556305, 1565810, 1560884, 1561111, 1569988, 1566205, 1556093, 1569660, 1569811, 1556103, 1561231, 1561044, 1565646, 1560690, 1556047, 1560339, 1560619, 1569706, 1569765, 1566269, 1565880, 1561134, 1560905, 1569534, 1556013, 1561173, 1555468, 1555648, 1555732, 1555850, 1555875, 1555426, 1555712, 1555463, 1569773, 1565975, 1569958, 1556184, 1569691, 1565911, 1560980, 1560566, 1560834, 1556264]","{'PRP': 0.06999910479468617, 'sentiment': 0.06715322875868429, 'of': 0.05461623738434125, 'VB': 0.05328117215531357, 'NN': 0.04943535126769751, 'IN': 0.04182862146657811, 'DT': 0.0408039989708635, 'have': 0.0384268004039443, 'NNS': 0.035771662795497455, 'i': 0.029206161194133804}"
0.5,0.37996031746031744,0.5,0.5,0.65278,0,0.94,0.10714285714285714,0.5,0.06,"[1516495, 1516692, 1522644, 1516641, 1516702, 1516710, 1516546, 1522639, 1529302, 1522972, 1535550, 1529177]","[1566263, 1560419, 1555893, 1569610, 1560859, 1565972, 1565830, 1555982, 1569848, 1566128, 1560986, 1555443, 1565654, 1560368, 1560730, 1569726, 1569541, 1565443, 1556257, 1560632, 1566161, 1561186, 1556141, 1555749, 1560435, 1565364, 1565796, 1569758, 1555965, 1561047, 1569946, 1556132, 1569696, 1569962, 1565520, 1561129, 1555557, 1560663, 1569719, 1555742, 1565951, 1569578, 1565458, 1560664, 1556216, 1556330, 1555576, 1569505, 1566035, 1569443, 1555684, 1556124, 1555863, 1569730, 1556249, 1560505, 1569694, 1561318, 1560808, 1569544, 1569688, 1569672, 1556136, 1566096, 1561124, 1561214, 1569737, 1565604, 1565965, 1560596, 1569928, 1560912, 1565569, 1560822, 1560402, 1569716, 1561223, 1555821, 1561163, 1556151, 1560649, 1566269, 1556082, 1555673, 1565405, 1555408, 1569476, 1556008, 1569746, 1556063, 1565312, 1560680, 1565618, 1565340, 1565674, 1556168, 1556101, 1565373, 1556275, 1556062, 1566174, 1565921, 1556023, 1565883, 1555520, 1565881, 1565659, 1565617, 1561252, 1555786, 1555884, 1555733, 1560532, 1561082, 1560703, 1566195, 1560890, 1569766, 1561097, 1560792, 1569865, 1565874, 1569839, 1566004, 1565840, 1560749, 1569900, 1565668, 1566003, 1556027, 1569511, 1555842, 1560594, 1560502, 1569932, 1569625, 1565348, 1560711, 1555406, 1569667, 1555530, 1555586, 1556170, 1560451, 1561282, 1569450, 1566254, 1555764, 1556012, 1556040, 1561222, 1561309, 1556058, 1561120, 1561275, 1569761, 1560602, 1560529, 1560545, 1565482, 1565713, 1555703, 1569631, 1560337, 1555699, 1569915, 1565927, 1555607, 1556282, 1555419, 1565982, 1566164, 1555822, 1556033, 1555545, 1566121, 1556263, 1565332, 1560346, 1565549, 1561155, 1565952, 1565685, 1560504, 1556174, 1555953, 1565780, 1569473]","{'PRP': 0.07810821779162888, 'of': 0.06659398126270966, 'NN': 0.06003948601132944, 'VB': 0.055892947789604436, 'sentiment': 0.05146617299446856, 'to': 0.040361980358441976, 'DT': 0.03963923836394644, 'IN': 0.03640534930557322, 'have': 0.03203177762282973, 'i': 0.02785704510718683}"
0.495,0.3354388735359916,0.3737373737373737,0.495,0.66107,0,0.985,0.00980392156862745,0.25,0.005,"[1529147, 1522639, 1523048]","[1566123, 1561166, 1565948, 1555842, 1565744, 1565651, 1565916, 1560538, 1560645, 1565527, 1566078, 1565761, 1555742, 1565418, 1566187, 1569858, 1555688, 1569752, 1561197, 1569596, 1555773, 1569517, 1560781, 1556312, 1565595, 1565678, 1569601, 1560480, 1556057, 1555883, 1565887, 1560406, 1565772, 1560893, 1565853, 1569587, 1560826, 1560694, 1560543, 1561299, 1565480, 1556192, 1569497, 1561163, 1565285, 1569417, 1555707, 1560490, 1561008, 1560373, 1555813, 1556118, 1560332, 1569422, 1565603, 1565586, 1561242, 1555663, 1555893, 1565502, 1555778, 1555596, 1560673, 1560655, 1569736, 1556311, 1565978, 1555408, 1555772, 1560433, 1555804, 1565902, 1569572, 1565988, 1555776, 1556196, 1560973, 1560788, 1555626, 1569523, 1555816, 1556222, 1560439, 1565639, 1556271, 1560803, 1569438, 1555794, 1569843, 1565705, 1566226, 1565399, 1565322, 1561060, 1561241, 1565646, 1569612, 1560681, 1560550, 1565893, 1555717, 1569775, 1556158, 1561104, 1556326, 1569937, 1569894, 1560339, 1555416, 1555799, 1565776, 1565331, 1565395, 1555493, 1565672, 1566245, 1565972, 1555465, 1569420, 1561005, 1565549, 1560884, 1569961, 1565979, 1560895, 1555833, 1561272, 1556069, 1561269, 1565829, 1569743, 1556042, 1565293, 1560488, 1555897, 1560721, 1560925, 1561133, 1569701, 1561117, 1565426, 1560561, 1556327, 1560745, 1569658, 1561066, 1555420, 1561232, 1565411, 1565960, 1555732, 1560976, 1555443, 1560531, 1569634, 1565436, 1565769, 1565858, 1560778, 1565456, 1565454, 1555466, 1556113, 1569693, 1560949, 1565760, 1569562, 1560506, 1560853, 1560690, 1555578, 1561081, 1556065, 1565354, 1560651, 1555941, 1569653, 1561078, 1569966, 1565402, 1556329, 1566235, 1566189, 1556281, 1560844, 1569920, 1560763, 1555708, 1565353, 1565584, 1555887, 1569673, 1555926, 1556043, 1565844, 1561110, 1565424, 1569899, 1565618]","{'PRP': 0.07856298763163581, 'sentiment': 0.0627988547792868, 'of': 0.06247201159996393, 'NN': 0.05720887771265069, 'VB': 0.04837863616116109, 'DT': 0.04020347648451565, 'IN': 0.03822621650886718, 'have': 0.03748405149696981, 'to': 0.03170307130710425, 'mean_sen_len': 0.030769646243318464}"
0.5,0.3989662219016709,0.5,0.5,0.64539,0,0.91,0.15254237288135594,0.5,0.09,"[1522808, 1522801, 1516455, 1516458, 1535498, 1529109, 1516546, 1516662, 1535755, 1529125, 1516398, 1516703, 1522624, 1522717, 1535616, 1522829, 1535710, 1529361]","[1560670, 1556169, 1555961, 1565768, 1565304, 1569765, 1565324, 1561224, 1565569, 1569794, 1565660, 1565630, 1569434, 1556172, 1561041, 1566020, 1556185, 1565438, 1565581, 1555971, 1556329, 1565857, 1560331, 1561182, 1569836, 1565670, 1569960, 1569643, 1569489, 1556036, 1556102, 1565602, 1566228, 1569810, 1565674, 1556378, 1565752, 1555914, 1560390, 1560678, 1566060, 1556093, 1569654, 1556116, 1556318, 1569910, 1565901, 1569958, 1569661, 1569554, 1561162, 1566037, 1556170, 1555562, 1565337, 1569769, 1566116, 1566059, 1556210, 1560665, 1569772, 1565312, 1565294, 1569842, 1561308, 1569453, 1560689, 1565925, 1565650, 1561143, 1565576, 1555626, 1555570, 1561084, 1560831, 1556099, 1560756, 1555612, 1566158, 1555728, 1566224, 1565478, 1555594, 1555936, 1560716, 1555652, 1565562, 1569947, 1555561, 1561155, 1565800, 1569896, 1569849, 1569433, 1565386, 1560797, 1555537, 1561186, 1565394, 1560586, 1565323, 1556364, 1561296, 1556133, 1555600, 1560520, 1560969, 1565774, 1565691, 1565537, 1566044, 1555797, 1555890, 1555492, 1556336, 1569927, 1560779, 1565823, 1565997, 1565951, 1560657, 1560511, 1555937, 1555770, 1555697, 1561237, 1555603, 1560457, 1556299, 1569600, 1569870, 1569951, 1556048, 1569755, 1560481, 1569503, 1565808, 1569556, 1560883, 1565839, 1555886, 1555434, 1560417, 1555645, 1565521, 1565984, 1565858, 1556163, 1569515, 1565976, 1555769, 1569728, 1556328, 1560351, 1556187, 1555507, 1560835, 1566109, 1560984, 1566134, 1561012, 1556100, 1569980, 1565733, 1555451, 1569861, 1560673, 1560810, 1565427, 1565332, 1565930, 1560349, 1566256, 1556292, 1566223, 1566173, 1561148, 1555838, 1565616, 1569425, 1556297, 1560489]","{'PRP': 0.08825054819206007, 'of': 0.06607829959291477, 'sentiment': 0.06269300284676387, 'VB': 0.05601193472866001, 'NN': 0.05113259734052239, 'DT': 0.04383143782281512, 'IN': 0.03657223802519962, 'have': 0.03611453589265145, 'to': 0.03440519035882308, 'RB': 0.02716701168839067}"
