accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.4875,0.33613452181445763,0.3579141801648196,0.4875,0.65313,0,0.965,0.019138755980861243,0.2222222222222222,0.01,"[1522943, 1523036, 1535542, 1535588, 1516262, 1535590, 1535541]","[1529015, 1528232, 1538925, 1528155, 1539139, 1535087, 1528276, 1550819, 1538817, 1521936, 1545104, 1538748, 1545165, 1544950, 1551241, 1534633, 1522287, 1534553, 1552880, 1551075, 1522045, 1547835, 1534663, 1553213, 1548355, 1522223, 1538928, 1548687, 1553045, 1528316, 1551327, 1548566, 1553369, 1522237, 1545672, 1551514, 1545154, 1548096, 1547959, 1545479, 1548605, 1539076, 1534603, 1548170, 1534557, 1548187, 1522151, 1552913, 1545693, 1548719, 1544838, 1522133, 1534956, 1534561, 1544782, 1522205, 1522386, 1535198, 1528144, 1539230, 1521799, 1534671, 1551378, 1550920, 1521753, 1538942, 1545382, 1547836, 1535035, 1528699, 1551017, 1548325, 1545130, 1553420, 1550834, 1535156, 1548345, 1545387, 1545288, 1528918, 1522444, 1539036, 1535100, 1538859, 1545135, 1521877, 1539010, 1551340, 1528579, 1545260, 1553200, 1548415, 1553003, 1534774, 1522007, 1550990, 1535191, 1535481, 1550870, 1553055, 1545628, 1551367, 1545097, 1553325, 1548014, 1551400, 1522365, 1522317, 1551052, 1539221, 1535318, 1550984, 1545568, 1521850, 1529030, 1539086, 1545033, 1551221, 1539214, 1548513, 1528620, 1551260, 1535244, 1551460, 1522280, 1553056, 1535411, 1552884, 1522154, 1522454, 1547817, 1545345, 1548146, 1545337, 1547858, 1535284, 1552854, 1521912, 1552892, 1550729, 1545040, 1535021, 1548583, 1538987, 1548387, 1528436, 1521787, 1538870, 1534702, 1545067, 1553409, 1535448, 1547928, 1522231, 1553211, 1553365, 1545415, 1534658, 1535232, 1535145, 1538902, 1548631, 1548341, 1550742, 1534601, 1545405, 1552932, 1545483, 1548546, 1544973, 1521816, 1545503, 1522075, 1548474, 1534505, 1545027, 1539200, 1551025, 1521798, 1548222, 1522389, 1538772, 1521842, 1538737, 1528139, 1528088, 1548211, 1528962, 1535132, 1539205, 1535468, 1545403, 1544829, 1535251, 1535356, 1544930, 1528526, 1522613]","{'PRP': 0.08216198727509161, 'of': 0.07039744634883414, 'sentiment': 0.06292643208836506, 'NN': 0.062407642649018394, 'VB': 0.045875349933340956, 'IN': 0.036089058609391746, 'which': 0.03467288813806581, 'RB': 0.03404203888035515, 'DT': 0.033781201775225964, 'mean_sen_len': 0.03331764347824964}"
0.5125,0.40348274306166304,0.5464727205130587,0.5125,0.65849,1,0.94,0.14847161572052403,0.5862068965517241,0.085,"[1529269, 1535562, 1516294, 1516358, 1535755, 1529498, 1535527, 1522620, 1522767, 1516662, 1516288, 1529231]","[1538726, 1548535, 1521840, 1545377, 1528406, 1521884, 1548111, 1538850, 1548638, 1538887, 1545746, 1528094, 1551117, 1538783, 1548388, 1535476, 1534674, 1522484, 1544973, 1545216, 1553019, 1553001, 1551475, 1545624, 1548058, 1553396, 1548492, 1545110, 1547918, 1548380, 1535244, 1535153, 1545315, 1551350, 1538937, 1535146, 1539094, 1545302, 1534521, 1522597, 1550993, 1534849, 1528282, 1548694, 1544799, 1521997, 1535291, 1553212, 1545573, 1548698, 1528679, 1522035, 1545452, 1548603, 1547956, 1535480, 1544993, 1522087, 1538866, 1548117, 1529002, 1551208, 1544970, 1522359, 1550765, 1545087, 1551309, 1550994, 1535214, 1521904, 1521887, 1548303, 1521936, 1528851, 1551422, 1551149, 1550870, 1548297, 1545147, 1548588, 1528303, 1528629, 1545065, 1552890, 1534556, 1548365, 1551616, 1528403, 1528152, 1522512, 1548172, 1535221, 1539227, 1534641, 1538680, 1551163, 1551344, 1544809, 1544868, 1528483, 1551556, 1535265, 1548255, 1548389, 1551279, 1539169, 1550705, 1522354, 1521924, 1553115, 1528131, 1528719, 1521861, 1545039, 1538960, 1548679, 1548184, 1547911, 1522244, 1522040, 1547803, 1553215, 1535410, 1539199, 1545322, 1521656, 1553143, 1528127, 1545318, 1538803, 1538709, 1551511, 1545436, 1528770, 1547919, 1528290, 1528895, 1545693, 1551164, 1521822, 1551106, 1548468, 1550951, 1544783, 1528748, 1553347, 1553415, 1548295, 1528859, 1535482, 1534727, 1545545, 1534547, 1545736, 1553177, 1548178, 1548430, 1528915, 1522107, 1535315, 1551314, 1534743, 1534621, 1538784, 1548112, 1545717, 1553024, 1545160, 1545301, 1534602, 1548676, 1522333, 1521950, 1539031, 1535284, 1550778, 1548356, 1551558, 1528251, 1528644, 1544820, 1545657, 1535408]","{'PRP': 0.07124044480334424, 'of': 0.06701197240942587, 'sentiment': 0.06376821582245991, 'NN': 0.0600057845638347, 'VB': 0.05198384451175327, 'DT': 0.04486328688561093, 'have': 0.03949048786875975, 'IN': 0.03422292519164807, 'the': 0.030295719213006955, 'RB': 0.02689659219714984}"
0.495,0.35181619817738413,0.4570446735395189,0.495,0.65646,0,0.965,0.04716981132075472,0.4166666666666667,0.025,"[1523091, 1516583, 1516655, 1529494, 1516284, 1522668, 1535673]","[1544880, 1535085, 1522041, 1547815, 1534947, 1535099, 1548135, 1545588, 1545220, 1553280, 1548698, 1544877, 1539068, 1528119, 1550724, 1547962, 1545272, 1548600, 1528840, 1550791, 1521810, 1534530, 1528520, 1538909, 1545617, 1545624, 1534802, 1544842, 1553218, 1535409, 1545168, 1528158, 1535360, 1553169, 1521693, 1545732, 1550963, 1535176, 1522307, 1528297, 1535317, 1538724, 1545538, 1528423, 1551435, 1547840, 1548041, 1550949, 1550763, 1539021, 1544967, 1528900, 1528280, 1551110, 1522297, 1548673, 1535432, 1535416, 1521748, 1521813, 1544957, 1521963, 1550834, 1521634, 1534863, 1534752, 1522562, 1544909, 1545467, 1535211, 1547805, 1545748, 1538751, 1521807, 1548398, 1528522, 1528946, 1535134, 1534898, 1553231, 1544992, 1548370, 1551308, 1548235, 1547950, 1551375, 1538755, 1545326, 1535043, 1548063, 1544954, 1550845, 1551473, 1528536, 1545400, 1528864, 1534718, 1534571, 1550885, 1528501, 1522512, 1551355, 1545548, 1547903, 1553162, 1539033, 1522458, 1551417, 1553109, 1548458, 1538956, 1538718, 1528824, 1545355, 1552965, 1551561, 1535398, 1539176, 1529019, 1553263, 1551297, 1538757, 1535151, 1534846, 1522609, 1545343, 1521841, 1521893, 1547901, 1544858, 1545365, 1545435, 1534794, 1545364, 1547854, 1528454, 1550964, 1521835, 1534971, 1548277, 1553091, 1528818, 1545564, 1528655, 1534783, 1528316, 1528852, 1534969, 1550956, 1528386, 1534918, 1545368, 1547855, 1544783, 1522112, 1522405, 1522178, 1544854, 1548157, 1544847, 1538754, 1548079, 1528573, 1534887, 1529024, 1548687, 1548210, 1545464, 1550912, 1535230, 1547856, 1535455, 1534737, 1553100, 1534523, 1545094, 1545020, 1528715, 1528847, 1528390, 1551323, 1535405, 1547987, 1544996, 1551074, 1547825, 1551100, 1522434, 1535309, 1553359, 1550823, 1538942, 1522389, 1534688, 1538795]","{'PRP': 0.0801013669386948, 'of': 0.06576986569177637, 'sentiment': 0.061858272837067255, 'VB': 0.060984852301067906, 'NN': 0.05718273222311891, 'DT': 0.03963120610396489, 'have': 0.03184226969993303, 'mean_sen_len': 0.02916413917032369, 'NNS': 0.028690968398050853, 'RB': 0.028448503166169665}"
0.535,0.4464285714285714,0.5972222222222223,0.535,0.66786,1,0.935,0.225,0.675,0.135,"[1522624, 1523020, 1522719, 1529416, 1522626, 1516366, 1535542, 1522616, 1529181, 1535608, 1529519, 1516423, 1522639]","[1535149, 1522394, 1521843, 1522203, 1547977, 1528068, 1528936, 1552971, 1544849, 1528986, 1535163, 1548047, 1522120, 1538687, 1553140, 1528512, 1545692, 1545595, 1552852, 1522382, 1545743, 1534852, 1528875, 1528903, 1553204, 1528614, 1528970, 1534769, 1534573, 1548052, 1551019, 1553383, 1539081, 1545494, 1528861, 1551124, 1521973, 1544812, 1548256, 1552934, 1551095, 1528236, 1534820, 1548646, 1534733, 1545061, 1548227, 1521750, 1534915, 1553346, 1529039, 1551192, 1544843, 1545138, 1553026, 1548458, 1551208, 1550902, 1538959, 1528272, 1535232, 1553377, 1548109, 1528643, 1548331, 1534826, 1528662, 1528156, 1553112, 1548285, 1551383, 1538955, 1528366, 1551075, 1545340, 1534557, 1522485, 1551002, 1544910, 1528243, 1538688, 1552995, 1522501, 1528696, 1548471, 1551494, 1539104, 1548072, 1545295, 1528596, 1553110, 1552967, 1528805, 1522474, 1548298, 1535046, 1552993, 1545006, 1545468, 1522360, 1539019, 1538675, 1528138, 1544769, 1544801, 1547749, 1545286, 1551440, 1535342, 1545263, 1545131, 1545279, 1535392, 1528948, 1551314, 1528943, 1538696, 1539131, 1528642, 1522456, 1535164, 1528126, 1539108, 1522017, 1538726, 1522128, 1522264, 1553278, 1548631, 1548470, 1528896, 1528233, 1545702, 1548344, 1545609, 1522025, 1534779, 1553119, 1534601, 1535093, 1544975, 1551349, 1545400, 1547998, 1553126, 1538737, 1551291, 1528655, 1548514, 1538734, 1547766, 1528840, 1553052, 1522418, 1535268, 1547785, 1551430, 1548383, 1528232, 1553159, 1548472, 1539164, 1545602, 1552959, 1551310, 1551566, 1521985, 1535083, 1544884, 1521700, 1548500, 1521916, 1535227]","{'of': 0.06952530033364028, 'PRP': 0.06673839198414674, 'NN': 0.05721241761112883, 'VB': 0.05206583306600769, 'sentiment': 0.04877762799073139, 'to': 0.042359939073905555, 'DT': 0.0388309907192583, 'the': 0.03725930147028374, 'IN': 0.036573489927784975, 'have': 0.03417527214142912}"
0.4875,0.39966762085349683,0.46986317883189677,0.4875,0.62929,0,0.87,0.1700404858299595,0.44680851063829785,0.105,"[1516244, 1516358, 1535606, 1522994, 1516257, 1516637, 1535549, 1516269, 1529171, 1522917, 1523090, 1516248, 1529457, 1516431, 1516582, 1529414, 1529067, 1522652, 1516659, 1522832, 1529330, 1529094, 1516556, 1523094, 1529181, 1522723]","[1521918, 1528154, 1538883, 1551663, 1528569, 1547768, 1544896, 1551164, 1548323, 1528483, 1521650, 1521682, 1545610, 1521692, 1550973, 1553359, 1553160, 1547908, 1550975, 1551220, 1551584, 1544799, 1553292, 1521678, 1535103, 1548439, 1548302, 1550971, 1552956, 1551565, 1544877, 1548628, 1545295, 1551481, 1545661, 1528428, 1545230, 1528235, 1548630, 1545543, 1528439, 1547937, 1547930, 1548106, 1548296, 1545608, 1528373, 1534674, 1551659, 1548697, 1553357, 1545142, 1522112, 1522413, 1521644, 1529017, 1528189, 1535140, 1545011, 1521735, 1528960, 1553124, 1552996, 1551140, 1548695, 1545469, 1545736, 1521924, 1545003, 1522005, 1538719, 1548275, 1522008, 1528807, 1535146, 1547760, 1553322, 1552859, 1545407, 1551004, 1551674, 1528554, 1545196, 1522188, 1534886, 1534646, 1548546, 1553355, 1538775, 1522081, 1535318, 1551116, 1551499, 1548169, 1551444, 1548566, 1547944, 1534980, 1538936, 1539120, 1521638, 1538886, 1551373, 1522251, 1550766, 1528917, 1553220, 1551310, 1522539, 1521887, 1551169, 1528913, 1551166, 1550976, 1528738, 1528576, 1544901, 1528791, 1547893, 1539031, 1522376, 1548217, 1553249, 1550714, 1544915, 1544825, 1553296, 1545648, 1550729, 1522119, 1545150, 1534993, 1551335, 1522044, 1522038, 1551214, 1522386, 1552851, 1521799, 1522372, 1528085, 1550711, 1551574, 1522374, 1535295, 1538844, 1548541, 1534869, 1548394, 1522319, 1539038, 1534665, 1528067, 1521942, 1551374, 1553348, 1548103, 1544900, 1535338, 1522177, 1528203, 1551497, 1528773, 1545360, 1521635, 1548461, 1538772, 1522400, 1545444, 1522162, 1545655, 1553150, 1550727, 1521714, 1538846, 1545683, 1544884, 1534695, 1528565]","{'PRP': 0.07660581573837655, 'of': 0.06972624871219599, 'sentiment': 0.06862371554559646, 'NN': 0.0535058383452606, 'VB': 0.039975564788604, 'have': 0.03922070127045359, 'DT': 0.03872271377284915, 'IN': 0.03857155989677766, 'RB': 0.031433355910570254, 'i': 0.030720308483046188}"
0.51,0.39236111111111105,0.5443262411347518,0.51,0.65972,1,0.95,0.125,0.5833333333333334,0.07,"[1522994, 1535592, 1529179, 1529231, 1522882, 1535585, 1522763, 1535666, 1529494, 1535545]","[1545576, 1548591, 1552995, 1534997, 1534917, 1535044, 1522005, 1545160, 1521728, 1551617, 1522117, 1522110, 1545272, 1535167, 1522378, 1551400, 1538828, 1553240, 1534826, 1522526, 1548585, 1553339, 1548215, 1521727, 1548343, 1553364, 1521914, 1547995, 1550994, 1521838, 1522600, 1538978, 1551014, 1544776, 1544977, 1528342, 1528243, 1521906, 1528868, 1522568, 1521803, 1547754, 1528100, 1534549, 1522478, 1535226, 1528214, 1548344, 1535171, 1545700, 1548252, 1551405, 1548353, 1551209, 1534555, 1528728, 1535406, 1535105, 1544870, 1553080, 1544883, 1545434, 1522509, 1551115, 1534929, 1548320, 1545460, 1522083, 1528187, 1538900, 1535353, 1529032, 1521768, 1539151, 1522242, 1539235, 1539173, 1553413, 1528194, 1544921, 1548088, 1538905, 1548679, 1545470, 1550761, 1521835, 1528979, 1545047, 1528093, 1535206, 1550835, 1534687, 1550723, 1545717, 1528270, 1550745, 1521691, 1545073, 1535333, 1548162, 1548241, 1550860, 1534540, 1528758, 1528916, 1545021, 1544824, 1553287, 1535346, 1535134, 1522062, 1548057, 1548550, 1535221, 1551202, 1553403, 1548595, 1548676, 1553426, 1535201, 1529005, 1539012, 1522371, 1553267, 1522039, 1545499, 1550726, 1548661, 1547825, 1545225, 1547797, 1545198, 1544770, 1522550, 1522454, 1522074, 1545549, 1528506, 1552927, 1547869, 1535251, 1550878, 1545516, 1534769, 1551564, 1528896, 1553084, 1545527, 1535256, 1528861, 1521883, 1547762, 1548577, 1528401, 1538929, 1529031, 1528568, 1553293, 1547758, 1521987, 1551378, 1538693, 1553076, 1528186, 1550929, 1548066, 1535212, 1552914, 1548365, 1552890, 1528233, 1529020, 1521960, 1528089, 1534939, 1529013, 1521873, 1548207, 1539076, 1544821, 1545207, 1545735, 1553096, 1545373, 1528629, 1521825]","{'PRP': 0.06726764979518741, 'of': 0.06134856467890307, 'sentiment': 0.05837703216180132, 'NN': 0.0540184802831524, 'VB': 0.05399635519178379, 'have': 0.04027206075245326, 'IN': 0.035919716330209614, 'RB': 0.03437492683792309, 'DT': 0.03430410822693931, 'which': 0.031916017211657724}"
0.48,0.3551587301587301,0.41134751773049644,0.48,0.63889,0,0.92,0.07142857142857142,0.3333333333333333,0.04,"[1516308, 1529067, 1535541, 1535666, 1529177, 1516305, 1516274, 1522830, 1529416, 1535673, 1529050, 1522943, 1516337, 1535514, 1516474, 1523109]","[1535015, 1551106, 1534953, 1522587, 1539052, 1538940, 1522345, 1545372, 1551416, 1528960, 1538847, 1535262, 1548038, 1545385, 1551317, 1547806, 1522365, 1529015, 1551394, 1522480, 1545297, 1522039, 1553373, 1545612, 1550730, 1528753, 1534523, 1551501, 1551131, 1534644, 1551349, 1521960, 1548546, 1538949, 1550788, 1550822, 1534668, 1528427, 1528158, 1534543, 1528103, 1544864, 1548455, 1538806, 1522179, 1528316, 1534592, 1551171, 1551386, 1522513, 1522430, 1522158, 1521799, 1547840, 1551247, 1548647, 1550937, 1545497, 1529011, 1545473, 1552925, 1553321, 1528977, 1551024, 1548118, 1522388, 1545362, 1535264, 1534526, 1534963, 1550956, 1522042, 1547737, 1545660, 1545300, 1522141, 1534578, 1535313, 1548160, 1553223, 1534664, 1545541, 1545515, 1535355, 1529026, 1521929, 1552920, 1545602, 1548261, 1552861, 1521662, 1528252, 1534904, 1528214, 1538864, 1547823, 1522526, 1553190, 1521847, 1548576, 1545203, 1548674, 1553204, 1553401, 1535447, 1534529, 1522203, 1547925, 1550986, 1521768, 1528872, 1528582, 1548606, 1548567, 1548286, 1534926, 1553309, 1545075, 1535344, 1522409, 1550728, 1548060, 1528360, 1521922, 1521692, 1528870, 1521637, 1544966, 1535216, 1547939, 1522253, 1528974, 1522425, 1550703, 1551440, 1548351, 1547775, 1528584, 1551614, 1553214, 1553383, 1544884, 1551167, 1538989, 1545296, 1550883, 1551070, 1534579, 1528983, 1545033, 1528258, 1552862, 1545479, 1528704, 1551573, 1528568, 1545315, 1535004, 1528647, 1522541, 1548484, 1548411, 1547999, 1528231, 1528874, 1552874, 1535310, 1534570, 1534826, 1534988, 1534553, 1535243, 1534968, 1551203, 1528723, 1528399, 1538937, 1551246, 1547857, 1551593, 1551332, 1545058, 1550989, 1551538, 1550867, 1551093, 1535018, 1551053, 1548254, 1534606, 1528276, 1551049]","{'PRP': 0.07834311739592403, 'of': 0.06702507912218134, 'NN': 0.0652332116032902, 'sentiment': 0.05637520923619608, 'IN': 0.045604127405506505, 'VB': 0.03966489784905773, 'DT': 0.038756048844994694, 'NNS': 0.03276716545884685, 'mean_sen_len': 0.030952045378325712, 'RB': 0.030306895214696875}"
0.51,0.3820738358712443,0.558173356602676,0.51,0.66323,1,0.965,0.10091743119266056,0.6111111111111112,0.055,"[1522808, 1516655, 1523089, 1529431, 1535695, 1535516, 1529506]","[1535153, 1551301, 1547882, 1538726, 1551059, 1553269, 1528882, 1528931, 1551449, 1545472, 1534809, 1548592, 1545679, 1528114, 1548159, 1551536, 1534767, 1552999, 1547858, 1551613, 1548355, 1534743, 1538816, 1538854, 1522134, 1528435, 1553194, 1548372, 1535200, 1528098, 1528411, 1552879, 1528482, 1522346, 1534772, 1548297, 1528999, 1522192, 1528990, 1548128, 1551023, 1553116, 1528191, 1521883, 1547790, 1522254, 1550793, 1528516, 1551515, 1528329, 1535150, 1544958, 1521668, 1535390, 1548235, 1545313, 1522174, 1550950, 1528655, 1550939, 1545254, 1528279, 1545464, 1548252, 1545479, 1545363, 1528838, 1521792, 1545456, 1538961, 1552865, 1528914, 1528495, 1550934, 1547874, 1522054, 1544791, 1538864, 1528307, 1548485, 1550702, 1545345, 1548194, 1522206, 1522378, 1545560, 1553208, 1534870, 1553318, 1545288, 1539178, 1534882, 1538744, 1551044, 1528394, 1548392, 1548569, 1539049, 1552947, 1539086, 1551413, 1534571, 1528423, 1551321, 1535272, 1522555, 1528721, 1545517, 1545386, 1534588, 1539236, 1547974, 1545732, 1539169, 1547970, 1547996, 1551437, 1548675, 1545478, 1522187, 1548317, 1545019, 1522205, 1535111, 1522549, 1521746, 1534960, 1521714, 1547793, 1535019, 1534596, 1545729, 1550898, 1544962, 1551358, 1551569, 1535321, 1551474, 1521900, 1551228, 1545588, 1550761, 1545135, 1522033, 1551631, 1551568, 1522381, 1545287, 1551143, 1521663, 1553132, 1522244, 1528079, 1553403, 1528875, 1522075, 1552914, 1551186, 1553177, 1534715, 1545580, 1551253, 1547822, 1548397, 1521639, 1551211, 1521667, 1548384, 1539160, 1528881, 1521819, 1535189, 1528236, 1545075, 1545448, 1547852, 1544775, 1538917, 1528679, 1535002, 1551647, 1547960, 1528682, 1528518, 1528663, 1528298, 1528596, 1545188, 1548385]","{'of': 0.07202704470098552, 'PRP': 0.06124403114560231, 'NN': 0.059318539621621175, 'sentiment': 0.05681047266754214, 'VB': 0.05077732475723092, 'DT': 0.0409872122152791, 'the': 0.038073187269733126, 'IN': 0.03640201107291409, 'RB': 0.036115099074147505, 'to': 0.03301371615072934}"
0.4625,0.34903225318103714,0.3761456527124102,0.4625,0.62081,0,0.88,0.07725321888412018,0.2727272727272727,0.045,"[1522635, 1516502, 1516474, 1516391, 1516294, 1516662, 1529381, 1516679, 1529318, 1529149, 1535726, 1516465, 1516455, 1522861, 1535608, 1529457, 1522948, 1535542, 1516363, 1529330, 1535514, 1522647, 1523025, 1535562]","[1553027, 1548199, 1547979, 1545178, 1535089, 1548052, 1544932, 1522205, 1551214, 1535400, 1535449, 1535282, 1521892, 1529034, 1535237, 1551130, 1528330, 1545416, 1547992, 1534811, 1551090, 1550784, 1545182, 1551607, 1539105, 1548318, 1529027, 1522305, 1535437, 1528389, 1548646, 1551101, 1550893, 1548476, 1521974, 1552873, 1551016, 1539219, 1547860, 1528136, 1545345, 1535453, 1521904, 1528934, 1539094, 1551610, 1545107, 1522512, 1551353, 1551556, 1551425, 1528685, 1521755, 1548567, 1534632, 1553287, 1528171, 1534875, 1535157, 1522069, 1535417, 1528157, 1535013, 1521823, 1521942, 1544962, 1547760, 1528398, 1539124, 1545163, 1550921, 1535254, 1547763, 1539178, 1545709, 1545364, 1544877, 1551003, 1521917, 1551626, 1548685, 1545432, 1548423, 1548065, 1551061, 1551604, 1550752, 1545609, 1548291, 1544996, 1545391, 1535167, 1534732, 1548358, 1522142, 1539076, 1534822, 1544970, 1550909, 1539230, 1545376, 1534549, 1548535, 1535004, 1548500, 1551315, 1522319, 1521940, 1547917, 1545607, 1547958, 1545049, 1539048, 1535286, 1544802, 1545719, 1528504, 1528158, 1553110, 1539197, 1521718, 1534736, 1522566, 1538892, 1528947, 1528586, 1534670, 1528840, 1548022, 1545590, 1544776, 1535119, 1551623, 1545085, 1545390, 1522337, 1539050, 1534726, 1521887, 1551079, 1534997, 1551647, 1521773, 1550904, 1522583, 1550972, 1535363, 1522603, 1521704, 1553060, 1545645, 1548551, 1548170, 1528326, 1528479, 1545255, 1538804, 1534659, 1551344, 1539119, 1547927, 1545479, 1551567, 1538849, 1551365, 1528974, 1545152, 1528128, 1553311, 1553312, 1521636, 1538708, 1548102, 1545595, 1534953, 1551023, 1544941, 1528755, 1553414, 1545695, 1539247, 1528231, 1553210, 1535276, 1534853, 1545671, 1553313, 1538774, 1528309, 1552936, 1534509]","{'PRP': 0.07618830986920648, 'of': 0.06924945667449459, 'NN': 0.05831545817763926, 'sentiment': 0.056540719782574876, 'VB': 0.046078027911863655, 'IN': 0.043209768478368486, 'DT': 0.04025738944124873, 'to': 0.04010187746573997, 'mean_sen_len': 0.0342874719308831, 'RB': 0.033998085009812745}"
0.525,0.39395872539950877,0.6850481125092525,0.525,0.67577,1,0.99,0.11214953271028037,0.8571428571428571,0.06,"[1516230, 1522904]","[1522376, 1550977, 1545079, 1522074, 1545582, 1548415, 1528170, 1553415, 1521821, 1548562, 1528975, 1548019, 1535483, 1552911, 1551656, 1551472, 1548309, 1534629, 1535109, 1545149, 1528090, 1522598, 1528312, 1548389, 1534926, 1551406, 1548698, 1545066, 1539086, 1548676, 1550739, 1553266, 1551378, 1548626, 1552996, 1522434, 1544885, 1535088, 1528574, 1551039, 1547781, 1545544, 1548285, 1522318, 1529012, 1545072, 1551178, 1534990, 1551333, 1528481, 1547880, 1535410, 1539182, 1548535, 1528322, 1521970, 1551166, 1548042, 1528871, 1521658, 1548051, 1545092, 1545195, 1551316, 1548504, 1547848, 1550835, 1548240, 1528429, 1545564, 1548172, 1534935, 1522353, 1545035, 1545299, 1538943, 1545517, 1534967, 1528903, 1551110, 1545731, 1545667, 1550790, 1545364, 1538745, 1548388, 1538811, 1551027, 1534937, 1538758, 1553159, 1539030, 1547935, 1534837, 1539061, 1548456, 1535145, 1551654, 1528770, 1547787, 1535254, 1548552, 1538946, 1548233, 1539045, 1521706, 1521730, 1548534, 1548300, 1545032, 1528292, 1551045, 1528249, 1522538, 1534904, 1522158, 1528171, 1538802, 1522498, 1528977, 1553430, 1521945, 1547760, 1521962, 1550844, 1522331, 1550938, 1545393, 1550851, 1545507, 1528259, 1521848, 1528543, 1528684, 1548616, 1528470, 1551249, 1521854, 1548132, 1521881, 1552880, 1547910, 1529017, 1528648, 1528436, 1548281, 1548258, 1522385, 1521891, 1545687, 1551329, 1528275, 1553002, 1551501, 1553171, 1548015, 1548152, 1548336, 1545535, 1548330, 1548187, 1551397, 1545716, 1528164, 1535034, 1553142, 1528926, 1521779, 1534502, 1550784, 1545154, 1522606, 1548254, 1545493, 1538827, 1528255, 1544966, 1548071, 1539238, 1548108, 1551678, 1535244, 1534901, 1534947, 1528096, 1545268, 1553409, 1545349]","{'of': 0.07379744889746619, 'PRP': 0.07204847978272967, 'sentiment': 0.06461591917764216, 'VB': 0.050347465953825506, 'NN': 0.04967264046299239, 'have': 0.043840836965059075, 'DT': 0.040686345885846194, 'to': 0.03599431995757608, 'IN': 0.031210437475196664, 'the': 0.03087003540504463}"
