,Key,Count,Mean Score
0,PRP,100,0.07722414504742363
1,sentiment,100,0.06048054263142884
2,of,100,0.06715494994940467
3,VB,100,0.05289030674280116
4,NN,100,0.052927227518733445
7,IN,98,0.039149649726129776
5,DT,95,0.03768260492682955
8,have,58,0.036373477512881044
9,to,57,0.03573999092802074
11,NNS,46,0.034078721954310845
10,the,34,0.03192996506711049
12,RB,32,0.0312149484978311
13,i,32,0.0326754428534898
14,mean_sen_len,24,0.031314617116541786
6,which,23,0.03212470497368643
15,VBD,1,0.02761004940437177
