accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.4875,0.4708277673449106,0.48569753139391864,0.4875,0.3769,0,0.31,0.564755838641189,0.4907749077490775,0.665,"[1693073, 1680181, 1686552, 1673813, 1693098, 1673762, 1686813, 1679911, 1686592, 1686830, 1692864, 1680194, 1692919, 1673697, 1680013, 1673723, 1673823, 1673609, 1673615, 1673821, 1692972, 1673699, 1680085, 1680268, 1680166, 1680218, 1686486, 1680151, 1686729, 1679960, 1673701, 1686623, 1692970, 1680118, 1692943, 1673574, 1673683, 1680324, 1686505, 1673766, 1673820, 1673539, 1673734, 1686581, 1673644, 1680332, 1692974, 1686536, 1673519, 1686381, 1692958, 1673579, 1686787, 1686767, 1686620, 1673532, 1686366, 1673769, 1673752, 1686586, 1686765, 1673546, 1680384, 1673890, 1673587, 1686414, 1693095, 1680358, 1680060, 1692867, 1693026, 1686400, 1686392, 1686484, 1680083, 1673933, 1673797, 1686670, 1686836, 1692942, 1679949, 1686529, 1673788, 1692831, 1680308, 1680174, 1693044, 1673825, 1679912, 1692983, 1686403, 1686459, 1679931, 1680146, 1686607, 1686500, 1680261, 1679918, 1680320, 1680369, 1673803, 1693049, 1692910, 1673655, 1686477, 1673862, 1686601, 1686700, 1673776, 1686472, 1680236, 1673596, 1680206, 1680225, 1686658, 1693027, 1686565, 1693088, 1686847, 1680078, 1686379, 1679994, 1686640, 1692873, 1686538, 1686638, 1686516, 1686501, 1686784, 1686537, 1673662, 1673968, 1679984, 1680277, 1673549, 1692874, 1680391, 1680328]","[1717280, 1712601, 1717558, 1712061, 1717181, 1716900, 1712815, 1726881, 1722036, 1721976, 1717683, 1712078, 1716932, 1717552, 1716865, 1726335, 1712315, 1717300, 1726659, 1712231, 1716973, 1726779, 1722607, 1712630, 1716892, 1712175, 1712345, 1711920, 1722623, 1711901, 1716914, 1721947, 1712229, 1721771, 1712116, 1712174, 1717382, 1711873, 1712219, 1712821, 1717000, 1726437, 1726386, 1711928, 1722697, 1726606, 1722564, 1721838, 1722388, 1726486, 1717223, 1717064, 1722238, 1712451, 1712641, 1716903, 1712774, 1722629, 1717704, 1717440, 1722668, 1721929, 1722324, 1712514, 1717712, 1721858, 1717560]","{'of': 0.0757106345394911, 'PRP': 0.07165738670096307, 'sentiment': 0.06490769400865687, 'VB': 0.055125015531523845, 'NN': 0.053796687444095895, 'to': 0.039399101475607226, 'DT': 0.03892624678377546, 'IN': 0.03153681548829795, 'the': 0.0265017367499899, 'i': 0.02629673356108962}"
0.4575,0.4570894238768068,0.45737104741844076,0.4575,0.47202,0,0.485,0.442159383033419,0.455026455026455,0.43,"[1673892, 1680231, 1686371, 1686694, 1680127, 1680174, 1673861, 1692832, 1693006, 1686835, 1673819, 1680068, 1686720, 1679907, 1686460, 1673868, 1692943, 1686606, 1680253, 1692858, 1686563, 1692972, 1673653, 1693023, 1692922, 1686789, 1686635, 1686389, 1686627, 1680196, 1679950, 1673509, 1686391, 1686847, 1686524, 1673573, 1680160, 1686404, 1680112, 1679990, 1673544, 1679971, 1673734, 1680102, 1673777, 1686813, 1686410, 1673702, 1686826, 1673966, 1673574, 1680054, 1693079, 1673696, 1680047, 1686667, 1686644, 1692904, 1679951, 1692961, 1692909, 1673765, 1673925, 1686605, 1692911, 1673647, 1673813, 1673561, 1686378, 1680072, 1680237, 1680241, 1673762, 1686619, 1686589, 1679936, 1680086, 1673732, 1673648, 1686433, 1673808, 1686731, 1692916, 1680179, 1686617, 1673912, 1680306, 1673826, 1686413, 1686786, 1686377, 1673565, 1686729, 1686839, 1679912, 1673630, 1673729, 1679995, 1680033, 1686670, 1680158, 1673851, 1673753]","[1712645, 1712503, 1717048, 1711900, 1712360, 1726606, 1711983, 1726365, 1712745, 1712823, 1722513, 1712834, 1717073, 1721999, 1717069, 1717569, 1717585, 1712388, 1712033, 1716786, 1726698, 1726571, 1712721, 1712333, 1716827, 1712035, 1721818, 1712488, 1717159, 1722547, 1721777, 1716865, 1721848, 1716878, 1712528, 1716856, 1712768, 1717284, 1712394, 1722173, 1717396, 1712520, 1721827, 1717212, 1722156, 1717538, 1722490, 1726725, 1712395, 1722675, 1712573, 1717056, 1712751, 1716903, 1712288, 1722532, 1712232, 1722225, 1726361, 1717137, 1722514, 1726547, 1721785, 1726804, 1717558, 1712691, 1712478, 1722592, 1717403, 1712742, 1722421, 1722669, 1717022, 1721773, 1712322, 1712563, 1712710, 1712578, 1717220, 1717295, 1717037, 1722496, 1716897, 1722136, 1717261, 1711974, 1712193, 1712140, 1722022, 1726679, 1722216, 1722229, 1722713, 1716907, 1726673, 1722648, 1712093, 1712517, 1711854, 1726682, 1717606, 1711987, 1726692, 1717129, 1722105, 1721791, 1712718, 1717498, 1726476, 1726685, 1717301, 1721809, 1726697, 1722636]","{'of': 0.07784967174511062, 'PRP': 0.06710199512281244, 'sentiment': 0.06122537459491515, 'IN': 0.0455946234719995, 'NN': 0.043892522558883255, 'VB': 0.03945205059605578, 'NNS': 0.03690391357332016, 'DT': 0.03481920093419978, 'to': 0.03431347741260661, 'have': 0.029290406043726853}"
0.475,0.4746716697936211,0.4749373433583959,0.475,0.46154,0,0.45,0.4878048780487805,0.47619047619047616,0.5,"[1680120, 1680023, 1680215, 1673831, 1686363, 1680281, 1686485, 1686500, 1680348, 1673572, 1679994, 1686723, 1673637, 1686612, 1673732, 1686546, 1679949, 1680375, 1679933, 1679971, 1680308, 1679919, 1680335, 1679914, 1673685, 1680382, 1679977, 1673654, 1686534, 1679909, 1692854, 1686602, 1693036, 1680392, 1686404, 1686718, 1673711, 1686749, 1693024, 1686519, 1673889, 1680109, 1673595, 1686812, 1686808, 1673846, 1686731, 1692970, 1686813, 1686388, 1673573, 1673968, 1680030, 1673827, 1680049, 1686684, 1693044, 1680099, 1673665, 1673516, 1673715, 1680231, 1673531, 1680210, 1673644, 1693069, 1693027, 1673921, 1673800, 1693070, 1686608, 1673591, 1686520, 1673588, 1673642, 1692871, 1673693, 1686679, 1673874, 1673981, 1692974, 1686434, 1680372, 1686558, 1680322, 1686431, 1680360, 1686472, 1680340, 1680383, 1686605, 1673943, 1673826, 1686694, 1686641, 1680393, 1673858, 1679930, 1673835, 1673547, 1686544, 1692938, 1680066, 1673969, 1692920, 1679911, 1686793, 1686619, 1680358, 1673964]","[1712628, 1722109, 1712120, 1712323, 1712098, 1717189, 1726628, 1712078, 1712222, 1712401, 1712328, 1712332, 1712191, 1722314, 1726895, 1712533, 1717222, 1717285, 1722382, 1721788, 1712275, 1726633, 1712352, 1721776, 1712197, 1717169, 1717077, 1722625, 1717389, 1712517, 1726843, 1722718, 1726822, 1717015, 1722264, 1712634, 1722305, 1717321, 1722339, 1712320, 1726430, 1717586, 1726431, 1712190, 1721872, 1726732, 1726858, 1722486, 1726771, 1722238, 1712233, 1722639, 1726669, 1726651, 1717668, 1717461, 1711987, 1717683, 1717276, 1716797, 1722388, 1717243, 1712695, 1712656, 1721851, 1712418, 1722410, 1726683, 1722245, 1712600, 1722695, 1717246, 1712822, 1712471, 1722457, 1711956, 1722257, 1712830, 1712696, 1711961, 1726541, 1722136, 1717430, 1716983, 1726654, 1721867, 1726629, 1717337, 1711894, 1722475, 1712146, 1717576, 1712360, 1716787, 1722401, 1726650, 1721766, 1726499, 1722411, 1712301]","{'PRP': 0.08804908148648932, 'of': 0.05633534015065758, 'sentiment': 0.05515304696033935, 'NN': 0.04460848827261506, 'VB': 0.044499838720093006, 'DT': 0.042168790093787635, 'IN': 0.04205390235175449, 'to': 0.03293545038454361, 'have': 0.0313129610719896, 'NNS': 0.030234219901009607}"
0.47,0.43760611205432937,0.46101871101871095,0.47,0.30263,0,0.23,0.5725806451612904,0.4797297297297297,0.71,"[1686634, 1686703, 1673525, 1680149, 1686623, 1673837, 1693087, 1686757, 1680378, 1673701, 1680343, 1686369, 1686372, 1692920, 1686392, 1686771, 1686688, 1686481, 1692885, 1686510, 1693095, 1686502, 1673856, 1686621, 1680293, 1692958, 1673674, 1680084, 1680282, 1692842, 1679984, 1673707, 1686355, 1686561, 1693023, 1693020, 1673778, 1680381, 1686387, 1673720, 1686718, 1673699, 1673661, 1673857, 1673545, 1692947, 1673865, 1680062, 1693004, 1673756, 1673798, 1686788, 1680377, 1680090, 1680151, 1673817, 1692904, 1692988, 1673825, 1673642, 1686384, 1673922, 1686505, 1679943, 1686467, 1686497, 1673912, 1686490, 1680042, 1686371, 1673546, 1693118, 1679998, 1686659, 1686747, 1693006, 1686425, 1686772, 1686474, 1686370, 1680117, 1680210, 1686438, 1686816, 1673662, 1686488, 1673532, 1680198, 1679997, 1680357, 1680057, 1680125, 1680082, 1693036, 1673609, 1673956, 1692840, 1679911, 1673908, 1692957, 1686599, 1686777, 1693005, 1679985, 1692843, 1686395, 1673767, 1673638, 1673952, 1673555, 1686495, 1673829, 1673914, 1673708, 1680147, 1693094, 1686479, 1679919, 1673583, 1692956, 1673890, 1680326, 1673710, 1673698, 1679926, 1680127, 1680166, 1680126, 1680105, 1686745, 1673846, 1686682, 1686821, 1680200, 1692974, 1692903, 1680223, 1680247, 1686674, 1686412, 1673562, 1686568, 1686801, 1692877, 1686587, 1680136, 1673873, 1680131, 1686672, 1673863, 1686460, 1680092, 1693055, 1679983]","[1717382, 1726694, 1726397, 1712357, 1726327, 1712149, 1712034, 1712246, 1722102, 1726547, 1717428, 1726627, 1717449, 1722625, 1721911, 1712480, 1722020, 1711979, 1712646, 1722400, 1722244, 1717243, 1712617, 1721873, 1712722, 1717100, 1712176, 1721803, 1712168, 1717214, 1716999, 1712394, 1722554, 1722490, 1712340, 1717290, 1711854, 1717040, 1717280, 1716822, 1716797, 1726542, 1726896, 1716959, 1717399, 1712724, 1712773, 1717668, 1717579, 1717226, 1711877, 1722225, 1712815, 1712057, 1712435, 1721815, 1717407, 1726374]","{'PRP': 0.08181609784144235, 'VB': 0.0691241721665484, 'of': 0.06819032579688501, 'NN': 0.06489534026545438, 'sentiment': 0.05394874751861444, 'IN': 0.0417840843254525, 'DT': 0.040988931027006216, 'RB': 0.031360349055270575, 'i': 0.030739898415477227, 'the': 0.028475764832530653}"
0.4325,0.41987873676678233,0.426065883512692,0.43249999999999994,0.33431,0,0.285,0.5054466230936819,0.44787644787644787,0.58,"[1693022, 1680205, 1673996, 1692856, 1680125, 1686788, 1680060, 1692901, 1686370, 1686830, 1692906, 1673713, 1680288, 1680366, 1686611, 1692988, 1673758, 1686598, 1673567, 1686485, 1686483, 1680260, 1693054, 1673648, 1693085, 1686453, 1686360, 1686445, 1680077, 1686824, 1680392, 1692885, 1679966, 1680010, 1686839, 1680225, 1686482, 1673859, 1673708, 1692847, 1673760, 1680150, 1686540, 1686717, 1686507, 1673711, 1680156, 1686654, 1673862, 1680090, 1686812, 1686690, 1679912, 1680138, 1680289, 1673820, 1686395, 1673925, 1686511, 1680186, 1673835, 1680094, 1673602, 1673780, 1692868, 1686613, 1686789, 1686803, 1680053, 1673833, 1673587, 1680204, 1693084, 1686781, 1686834, 1692959, 1673696, 1680369, 1680247, 1679933, 1692910, 1680284, 1686355, 1686742, 1673666, 1686501, 1686569, 1673958, 1686767, 1673595, 1679978, 1680050, 1693066, 1680157, 1673837, 1679951, 1673831, 1680082, 1673734, 1680349, 1673928, 1693107, 1686536, 1686411, 1680058, 1686434, 1680030, 1673889, 1680342, 1680027, 1680127, 1680253, 1686792, 1686599, 1673571, 1686777, 1679937, 1673854, 1673823, 1673884, 1686525, 1680364, 1679985, 1686607, 1673745, 1686651, 1680317, 1679942, 1680319, 1673808, 1673974, 1679920, 1673962, 1673649, 1673975, 1686575, 1686648, 1693007, 1679973, 1680049, 1680309, 1673841, 1686493]","[1716938, 1717665, 1717280, 1712709, 1722279, 1717737, 1721855, 1726703, 1726665, 1726841, 1722533, 1712782, 1712766, 1712324, 1726633, 1726825, 1722290, 1722326, 1721946, 1721941, 1712447, 1726488, 1717048, 1712443, 1721871, 1721937, 1721831, 1721799, 1717504, 1722235, 1722719, 1721934, 1717599, 1712435, 1712493, 1722013, 1716811, 1726615, 1717752, 1717243, 1717674, 1722635, 1726779, 1712662, 1726890, 1711868, 1717161, 1716910, 1712322, 1721829, 1722302, 1722405, 1722675, 1717271, 1722303, 1717199, 1722284, 1712110, 1722106, 1717530, 1717489, 1716848, 1716880, 1722695, 1711961, 1717415, 1712503, 1711956, 1717647, 1712704, 1716992, 1726482, 1726812, 1717677, 1721781, 1717122, 1726335, 1712258, 1722360, 1717190, 1722384, 1711921, 1712321, 1722107]","{'PRP': 0.08726385928668023, 'of': 0.07557708399127348, 'sentiment': 0.06128983118232487, 'NN': 0.05218416315860413, 'VB': 0.04912140706387216, 'IN': 0.03628284567509312, 'RB': 0.03459754738961695, 'DT': 0.03423845053551068, 'i': 0.032839093302787205, 'have': 0.03045418940988887}"
0.455,0.45433155615629145,0.4547784142297256,0.455,0.43523,0,0.42,0.47342995169082125,0.45794392523364486,0.49,"[1680057, 1686369, 1680050, 1693079, 1693028, 1680045, 1673638, 1673799, 1673887, 1673660, 1680177, 1680162, 1673962, 1693023, 1686437, 1673940, 1680361, 1686575, 1680343, 1679968, 1692839, 1673617, 1680184, 1679912, 1686709, 1673983, 1686485, 1680181, 1693043, 1693061, 1673600, 1686821, 1680108, 1673752, 1680179, 1673635, 1673914, 1673926, 1673591, 1686544, 1686629, 1686526, 1673902, 1686527, 1680349, 1680109, 1692990, 1673946, 1686534, 1673992, 1680395, 1673787, 1673981, 1686693, 1680253, 1693000, 1673758, 1680236, 1686427, 1680073, 1686506, 1686433, 1673917, 1679945, 1686658, 1673921, 1686507, 1673899, 1679949, 1692844, 1673855, 1686450, 1686363, 1680075, 1692829, 1686358, 1673587, 1680359, 1673633, 1679920, 1673767, 1680373, 1673846, 1673702, 1693105, 1686571, 1680084, 1680047, 1673734, 1693007, 1686357, 1673829, 1686608, 1680206, 1680337, 1692854, 1686688, 1692888, 1692958, 1673764, 1679940, 1686383, 1686563, 1686518, 1692868, 1686603, 1673730, 1693104, 1693054, 1673875, 1680113, 1673808, 1680010, 1686850, 1680372, 1686841]","[1721816, 1712773, 1726420, 1717214, 1712220, 1722694, 1712167, 1726689, 1712395, 1712066, 1712710, 1716977, 1712657, 1717507, 1712043, 1712189, 1717207, 1722516, 1717463, 1711961, 1722173, 1726790, 1722097, 1726669, 1717246, 1711865, 1722716, 1726342, 1712669, 1722525, 1712068, 1722334, 1717488, 1717563, 1726381, 1726650, 1722427, 1721965, 1721955, 1726405, 1711864, 1717286, 1717163, 1712606, 1722733, 1722386, 1717697, 1722609, 1726753, 1722225, 1722415, 1726885, 1726695, 1722465, 1712287, 1726714, 1722229, 1717742, 1726658, 1711920, 1722508, 1722302, 1717072, 1722117, 1712625, 1712777, 1712296, 1717579, 1722580, 1712598, 1711965, 1726780, 1711936, 1711870, 1726636, 1722303, 1717034, 1712077, 1712699, 1712343, 1722502, 1722696, 1722437, 1726761, 1721752, 1722193, 1711968, 1717652, 1717169, 1712519, 1711934, 1717415, 1712404, 1711868, 1726476, 1726602, 1726710, 1712471, 1712640, 1712126, 1712230, 1712377]","{'sentiment': 0.07165984988605345, 'of': 0.0711021355119375, 'PRP': 0.06825175936392062, 'VB': 0.05556274809642149, 'NN': 0.042568215122758754, 'IN': 0.042169304180520555, 'NNS': 0.038700588405548866, 'DT': 0.037153898034823725, 'i': 0.03431567719343771, 'have': 0.031074094917144003}"
0.485,0.47470420236638106,0.48372395833333337,0.485,0.40116,0,0.345,0.5482456140350878,0.48828125,0.625,"[1686846, 1680341, 1686652, 1693116, 1693075, 1686770, 1680241, 1673573, 1692938, 1686642, 1680062, 1693056, 1673934, 1680174, 1673696, 1692904, 1686802, 1673848, 1686634, 1686431, 1680244, 1686406, 1686808, 1686419, 1680004, 1673855, 1686599, 1673651, 1680063, 1680177, 1673660, 1680100, 1686801, 1680210, 1686377, 1673909, 1673650, 1686375, 1686452, 1679963, 1693104, 1680272, 1680252, 1680253, 1673763, 1680030, 1693098, 1680162, 1686693, 1673708, 1686415, 1673866, 1686543, 1686742, 1686482, 1673887, 1673632, 1673841, 1686627, 1680218, 1686540, 1686537, 1692830, 1673780, 1686729, 1686803, 1679911, 1679981, 1680340, 1680150, 1673852, 1680068, 1673800, 1693025, 1673559, 1693015, 1686455, 1686785, 1679942, 1692961, 1693113, 1686662, 1680198, 1673609, 1686443, 1680289, 1680333, 1686754, 1673991, 1693003, 1686739, 1673821, 1673983, 1692907, 1686736, 1692894, 1673971, 1673546, 1679959, 1673560, 1679995, 1693095, 1679930, 1686614, 1680231, 1680225, 1673669, 1680019, 1680051, 1686663, 1686449, 1673714, 1680127, 1673654, 1680311, 1686678, 1686493, 1679992, 1692873, 1680323, 1686421, 1686645, 1673509, 1680278, 1692840, 1680178, 1686583, 1692921, 1692934, 1680042, 1686456]","[1721761, 1726822, 1712744, 1712766, 1717563, 1726473, 1722652, 1726544, 1717647, 1711899, 1712359, 1717484, 1716949, 1717551, 1722093, 1712686, 1726643, 1726366, 1722032, 1717376, 1711947, 1712170, 1717764, 1711992, 1726387, 1717428, 1712722, 1717540, 1726529, 1712045, 1721867, 1722519, 1726315, 1717375, 1717530, 1722642, 1712146, 1712329, 1712438, 1712135, 1722474, 1722625, 1726558, 1717515, 1726592, 1717171, 1721971, 1726560, 1717740, 1726637, 1712389, 1712231, 1712572, 1722624, 1712182, 1712547, 1712544, 1712267, 1712666, 1712748, 1726672, 1722430, 1717199, 1712279, 1712654, 1711941, 1721791, 1722305, 1712235, 1726325, 1726698, 1717031, 1717660, 1712205, 1722634]","{'PRP': 0.08160370984633017, 'of': 0.06668916319889048, 'sentiment': 0.06251502011776489, 'NN': 0.061782999498501745, 'VB': 0.05058751790632066, 'IN': 0.04567126448246917, 'DT': 0.04292759841960759, 'to': 0.03182946248698181, 'the': 0.029494248936829743, 'which': 0.02945480748926025}"
0.4025,0.39840539673150377,0.3997712729048341,0.4025,0.34877,0,0.32,0.44803695150115475,0.41630901287553645,0.485,"[1686608, 1679947, 1686830, 1692835, 1686360, 1679978, 1679966, 1686537, 1673821, 1686644, 1673762, 1680391, 1673562, 1673988, 1686823, 1693064, 1673959, 1686469, 1679973, 1680020, 1686404, 1680209, 1680073, 1673991, 1680018, 1673602, 1673659, 1686803, 1673936, 1692859, 1680192, 1680196, 1686419, 1692952, 1686368, 1693080, 1673547, 1673922, 1680062, 1686836, 1693107, 1686733, 1680215, 1686406, 1673866, 1673576, 1680333, 1673720, 1673835, 1686749, 1673789, 1673992, 1686694, 1693113, 1673901, 1680149, 1680173, 1680357, 1673692, 1680076, 1680120, 1692964, 1680039, 1673519, 1686790, 1680353, 1679980, 1673817, 1692948, 1686788, 1686589, 1686631, 1686395, 1693025, 1692868, 1673578, 1673585, 1686752, 1686671, 1686747, 1686843, 1673544, 1673871, 1673686, 1680341, 1673814, 1673893, 1673795, 1680119, 1673732, 1673529, 1686739, 1680390, 1686673, 1673926, 1680318, 1673775, 1673882, 1680189, 1673583, 1680366, 1686535, 1673687, 1686690, 1673752, 1680241, 1673858, 1686458, 1693003, 1673609, 1680098, 1673943, 1673839, 1680217, 1673940, 1673958, 1686781, 1679949, 1693040, 1680118, 1673997, 1686786, 1680000, 1686757, 1686640, 1680244, 1686515, 1673716, 1673533, 1693026, 1693053, 1686716, 1686412, 1686373, 1673890, 1680261]","[1726854, 1722632, 1716878, 1722615, 1712213, 1711903, 1717430, 1722341, 1726587, 1726482, 1712480, 1721913, 1726586, 1716853, 1721996, 1717286, 1721840, 1712576, 1711986, 1712815, 1717179, 1712574, 1717696, 1717436, 1712262, 1722677, 1722389, 1721796, 1717333, 1712630, 1726459, 1722031, 1712799, 1717149, 1712450, 1712517, 1722238, 1722559, 1717548, 1722481, 1717306, 1717682, 1711893, 1722568, 1716976, 1726505, 1717016, 1712068, 1712747, 1726334, 1722585, 1726423, 1716827, 1717536, 1717637, 1712131, 1722705, 1717079, 1726807, 1726843, 1722353, 1717425, 1726356, 1712675, 1722631, 1712564, 1726574, 1721871, 1712346, 1712261, 1721997, 1717234, 1722691, 1717316, 1711875, 1712142, 1712287, 1722715, 1711872, 1712645, 1717102, 1721761, 1716938, 1722020, 1726763, 1716894, 1712807, 1721753, 1721833, 1711995, 1722066, 1722466, 1712787, 1712325, 1722036, 1717556, 1712297, 1712438, 1717579, 1712114, 1717680, 1721852, 1726598]","{'PRP': 0.08284572887698012, 'of': 0.06369336208795777, 'sentiment': 0.06239370145410184, 'NN': 0.05708510859740353, 'VB': 0.04989764189037803, 'DT': 0.03945999033343686, 'IN': 0.037578951792281226, 'have': 0.03629345316459209, 'mean_sen_len': 0.03249691599788819, 'to': 0.03065692261590401}"
0.4175,0.41732155472613486,0.4173988135465946,0.4175,0.40712,0,0.4,0.4275184275184275,0.42028985507246375,0.435,"[1686414, 1692882, 1686458, 1686537, 1680312, 1673726, 1686451, 1686787, 1693075, 1680125, 1680094, 1680013, 1673769, 1686558, 1686592, 1686637, 1692999, 1680375, 1686393, 1686596, 1686710, 1686847, 1686830, 1680002, 1673690, 1679950, 1680200, 1686459, 1686594, 1692958, 1679943, 1673896, 1673556, 1686474, 1693071, 1679912, 1686629, 1680340, 1686467, 1673662, 1686371, 1680105, 1680213, 1686749, 1673546, 1686831, 1686550, 1673595, 1686518, 1686630, 1686672, 1686415, 1686746, 1686394, 1692850, 1680069, 1673732, 1686552, 1673814, 1679919, 1673835, 1686612, 1686529, 1673928, 1680064, 1692928, 1686843, 1686597, 1680272, 1673647, 1680051, 1673777, 1693003, 1692916, 1680096, 1680141, 1692831, 1673760, 1679940, 1680184, 1693104, 1673626, 1673790, 1680237, 1686368, 1680218, 1680347, 1692874, 1680209, 1673864, 1673565, 1680246, 1692896, 1680192, 1673745, 1686723, 1686611, 1673718, 1673716, 1673888, 1673887, 1686673, 1692964, 1680244, 1673797, 1680249, 1693078, 1686644, 1680062, 1680023, 1673832, 1673566, 1686482, 1680311, 1673767, 1680111, 1692876, 1680142, 1692884, 1673858]","[1717643, 1726431, 1717417, 1717444, 1726539, 1722462, 1717218, 1726474, 1716878, 1722729, 1717733, 1712016, 1712175, 1717334, 1726854, 1722019, 1716856, 1717412, 1722011, 1712034, 1716885, 1721875, 1717128, 1711902, 1712594, 1717696, 1722627, 1722079, 1712626, 1722280, 1712570, 1717276, 1717446, 1717513, 1717356, 1712327, 1716968, 1726472, 1711957, 1726451, 1726634, 1712377, 1712826, 1726890, 1712775, 1722649, 1722354, 1716993, 1722066, 1712066, 1712400, 1717237, 1717597, 1712233, 1726540, 1712589, 1717171, 1712199, 1712340, 1721842, 1717697, 1712429, 1717178, 1717321, 1712588, 1717341, 1726627, 1726752, 1726833, 1712399, 1717388, 1717722, 1712765, 1711955, 1726555, 1722525, 1712478, 1726325, 1712003, 1721804, 1711864, 1712407, 1712438, 1722499, 1722111, 1712785, 1722572, 1726651, 1712442, 1717308, 1722357, 1712714, 1711937, 1712131, 1721865, 1717071, 1712197, 1717753, 1722563, 1726789, 1717044, 1717295, 1717418, 1722136, 1721998, 1721937, 1722514, 1712170, 1712713, 1712140, 1726469, 1726796, 1721908]","{'PRP': 0.07436783938637828, 'of': 0.06465405344993033, 'sentiment': 0.059438982062226885, 'NN': 0.05884252445812178, 'VB': 0.051041395386194094, 'IN': 0.03798297822576479, 'to': 0.0357199082699116, 'DT': 0.03271615600882341, 'i': 0.032395444497494465, 'the': 0.03020473053495116}"
0.46,0.44294003868471954,0.4544159544159544,0.46,0.34545,0,0.285,0.5404255319148936,0.4703703703703704,0.635,"[1673531, 1673893, 1680004, 1693066, 1692914, 1673767, 1679917, 1680377, 1680092, 1680366, 1686405, 1686513, 1692969, 1692966, 1673844, 1686808, 1679907, 1693088, 1686567, 1680013, 1673964, 1680014, 1680028, 1680075, 1680162, 1686389, 1692854, 1673950, 1680215, 1686586, 1686463, 1692955, 1686617, 1686422, 1680336, 1686601, 1679951, 1673698, 1686600, 1673761, 1692971, 1680324, 1673772, 1680246, 1692850, 1686510, 1686412, 1686646, 1673598, 1686571, 1679948, 1692919, 1680129, 1679950, 1673952, 1693040, 1686549, 1673827, 1679959, 1692887, 1680308, 1673575, 1686353, 1679930, 1686598, 1673855, 1686832, 1673542, 1680322, 1673718, 1680339, 1692859, 1680261, 1686562, 1673847, 1680070, 1692921, 1693111, 1686525, 1693096, 1686386, 1673949, 1680176, 1673831, 1673669, 1680244, 1673740, 1686803, 1686559, 1680236, 1686411, 1680287, 1686839, 1686668, 1686506, 1673648, 1686418, 1673733, 1686835, 1673712, 1680298, 1686635, 1679996, 1680240, 1673972, 1673667, 1686735, 1673912, 1679984, 1686578, 1673958, 1686517, 1686611, 1673737, 1673848, 1673624, 1686824, 1673622, 1673768, 1673692, 1679947, 1680017, 1673512, 1686472, 1686844, 1680138, 1680194, 1679995, 1680371, 1693044, 1686780, 1686782, 1686563, 1673693, 1686515, 1686653, 1693057, 1673649, 1679910, 1692831, 1673564, 1680318, 1686365]","[1712674, 1717375, 1726334, 1726710, 1717130, 1717732, 1717246, 1726411, 1712297, 1712042, 1717612, 1712204, 1717282, 1717030, 1726699, 1721826, 1726661, 1722484, 1717219, 1722141, 1717522, 1726314, 1712730, 1726574, 1722107, 1726780, 1717145, 1726839, 1726484, 1716856, 1722282, 1712067, 1712292, 1716791, 1711979, 1722411, 1712804, 1726782, 1712192, 1717500, 1712439, 1717697, 1717734, 1717198, 1726787, 1712079, 1717746, 1721762, 1712359, 1722090, 1712662, 1717484, 1717098, 1717444, 1711951, 1712465, 1717553, 1717364, 1712788, 1722516, 1726472, 1712319, 1722154, 1721956, 1722621, 1722704, 1716881, 1726524, 1711978, 1722414, 1712080, 1722105, 1716808]","{'PRP': 0.0872366359396353, 'of': 0.07284878562459766, 'sentiment': 0.05679259162343442, 'VB': 0.054618483835071924, 'NN': 0.05347154827925734, 'IN': 0.03897713619382065, 'DT': 0.037647488349255444, 'have': 0.03732807155678174, 'NNS': 0.03621164741534624, 'RB': 0.03012698587608349}"
