,Key,Count,Mean Score
0,sentiment,100,0.12643992797171805
1,PRP$,100,0.062302731518714134
2,TTR,100,0.0593076368416403
3,our,100,0.051800693867245035
4,and,100,0.052501601516562114
5,RB,100,0.04039852823679344
6,is,97,0.02974891794892166
7,VBN,90,0.028783712968348526
8,this,70,0.026836579057608282
10,VBG,58,0.025444914182452098
11,that,39,0.02500671372188429
9,into,31,0.02538391310650425
14,with,10,0.023872632217056156
12,an,2,0.023583046197568007
13,one,2,0.022409314669363623
15,its,1,0.026332046226526597
