,Key,Count,Mean Score
0,is,100,0.07739772719413796
1,sentiment,100,0.06095195864734764
2,mean_sen_len,100,0.05891214709775586
3,an,100,0.05040489254726681
4,this,100,0.03958532288854829
5,VBD,100,0.029241989050997414
6,at,100,0.02908198477824596
9,a,74,0.023533732212912446
7,VBZ,65,0.02215991021526954
8,from,59,0.02293926004269334
10,VBG,46,0.02192178723052881
13,had,20,0.021188978218029494
12,for,17,0.021846114388957276
15,be,8,0.02137069140381035
11,after,7,0.022637781540941166
16,who,2,0.01850839084720724
14,while,1,0.01710956771284697
17,male_pronouns,1,0.019563365789626516
