,Key,Count,Mean Score
0,lex_density,100,0.029177828241062017
1,mean_sen_len,100,0.02892313291631421
2,DT,100,0.02536521937346993
3,the,100,0.02102199086755655
4,who,100,0.02001353377291482
8,VBN,95,0.01763083402061058
10,a,76,0.017145741474684322
7,TTR,75,0.016311068821221
13,VBP,66,0.01649599573069082
9,JJ,61,0.015931234440503077
12,RB,39,0.016015718304597866
5,been,31,0.016294172829772482
6,has,31,0.015988012716211256
15,that,10,0.015541196015054045
11,IN,4,0.01515330991269086
14,it,4,0.015437826250044369
16,with,2,0.014845779938641944
20,and,2,0.014681458172618983
17,be,1,0.015581860453750106
18,if,1,0.013810596787645594
19,out,1,0.014039107827697336
21,VB,1,0.014708168324168559
