,Key,Count,Mean Score
0,mean_sen_len,100,0.1068503472789002
1,of,100,0.04901778257568262
2,here,100,0.03637290897498305
3,VB,100,0.037399643609266425
6,IN,94,0.024030635279898998
4,when,79,0.02438221471852092
5,RB,75,0.023445616609117342
7,if,68,0.02402914639828782
11,for,55,0.022743228183915797
12,DT,55,0.022041765413212056
9,is,49,0.02311500903178216
10,a,41,0.022005563693700644
13,from,33,0.02256891237667663
8,on,17,0.02312287333576398
15,VBG,17,0.0218724221655501
17,the,5,0.02138102358350364
16,TTR,5,0.021013217705436345
14,you,4,0.02241946661249489
18,be,3,0.020751904813037823
