,Key,Count,Mean Score
0,TTR,100,0.10530881407927778
1,an,100,0.051834404670489144
2,and,100,0.038866124810440564
3,mean_sen_len,100,0.03595120769245184
4,the,100,0.031767251088605515
5,DT,100,0.028116958513092892
6,is,100,0.025311741661630277
8,this,99,0.020245491748068847
11,from,69,0.01855725032808123
7,was,38,0.017029484824823166
10,PRP,33,0.01701891786296251
13,VBG,16,0.017063259255599105
15,RB,15,0.016731878056102788
14,of,10,0.016052529599350496
18,a,7,0.016874432753775984
9,been,5,0.016680651694460102
12,JJ,3,0.01740372696706328
19,has,2,0.01733273281018076
16,sentiment,1,0.01745712825038577
17,VBZ,1,0.016953908161341007
20,where,1,0.015888392171718405
