,Key,Count,Mean Score
0,sentiment,100,0.16796174616213438
1,this,100,0.08744153777710141
2,we,100,0.08024060903517789
3,PRP,100,0.06646133733032338
4,VBP,100,0.04282348248651118
5,TTR,100,0.04311845982707319
6,is,100,0.039970936281628296
7,VBZ,98,0.0320121077720272
8,mean_sen_len,72,0.026316744864425028
10,VBN,44,0.024043655442210286
12,VBG,33,0.024778753738490956
13,RB,24,0.022557933441435658
9,be,16,0.023985728856561788
11,and,5,0.023647343598444948
14,are,5,0.022895537612421153
15,into,3,0.021764483907151494
