accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.845,0.844937975190076,0.8455528846153847,0.845,0.84804,1,0.865,0.8418367346938775,0.859375,0.825,"[1274660, 1268003, 1274506, 1274623, 1280811, 1268069, 1274418, 1280982, 1268055, 1267941, 1280983, 1280986, 1268124, 1274667, 1268066, 1280957, 1267822, 1274604, 1268098, 1287223, 1274218, 1268212, 1267813, 1268042, 1274547, 1274573, 1274591]","[1314196, 1322022, 1308862, 1309696, 1321981, 1318700, 1314453, 1313784, 1309001, 1313855, 1314493, 1318732, 1309095, 1322252, 1318769, 1314052, 1322033, 1321960, 1309070, 1322397, 1314543, 1318827, 1313997, 1309546, 1314198, 1309530, 1321978, 1319370, 1314263, 1309706, 1319147, 1309589, 1314019, 1309602, 1308938]","{'RB': 0.06727884067838658, 'sentiment': 0.06571125199822675, 'DT': 0.05365408280186673, 'TTR': 0.035118868952686615, 'VBZ': 0.03240711776928044, 'a': 0.03216953697474395, 'lex_density': 0.030326342202262338, 'the': 0.030134744813234537, 'we': 0.025364893972767057, 'VBP': 0.024599424753349832}"
0.865,0.8647836538461539,0.8673510466988728,0.865,0.87019,1,0.905,0.859375,0.8967391304347826,0.825,"[1274435, 1287216, 1280902, 1274516, 1281021, 1268089, 1268152, 1268194, 1274561, 1280986, 1280875, 1280987, 1267931, 1280911, 1280829, 1274306, 1274287, 1280989, 1268170]","[1314592, 1314652, 1309617, 1314387, 1318706, 1314591, 1313939, 1322178, 1319050, 1319018, 1309662, 1319080, 1322043, 1308846, 1314271, 1322219, 1309118, 1322395, 1319502, 1309414, 1318651, 1314352, 1314280, 1314031, 1314165, 1318994, 1319055, 1308959, 1321960, 1319266, 1318794, 1309002, 1321978, 1314646, 1309618]","{'sentiment': 0.07870350545950565, 'DT': 0.04859797353777017, 'RB': 0.03942751329803504, 'VBZ': 0.038795679920858354, 'a': 0.03326854570379937, 'TTR': 0.03218028163309083, 'the': 0.029798011080221, 'lex_density': 0.025951419114518273, 'VBP': 0.024888575375299288, 'our': 0.02376645275747619}"
0.87,0.87,0.87,0.87,0.87,1,0.87,0.87,0.87,0.87,"[1287003, 1281031, 1274340, 1280655, 1268261, 1280980, 1280829, 1274679, 1287078, 1280986, 1280750, 1274579, 1274621, 1274297, 1280712, 1267878, 1280788, 1280816, 1287230, 1274615, 1281053, 1274641, 1274596, 1268254, 1268162, 1274675]","[1309798, 1309779, 1313998, 1322042, 1309486, 1314054, 1314337, 1308972, 1322063, 1313864, 1319049, 1314284, 1309378, 1318745, 1318844, 1322035, 1322084, 1313840, 1314612, 1321979, 1319055, 1322149, 1322505, 1322362, 1314466, 1319079]","{'sentiment': 0.08523495784009205, 'DT': 0.046307290965892686, 'RB': 0.04329276757186084, 'TTR': 0.040310253354980834, 'the': 0.03525297582291546, 'VBZ': 0.03257575575595458, 'a': 0.0290578062759019, 'lex_density': 0.02530944464718692, 'PRP$': 0.02299091463476678, 'VBP': 0.022327594997801813}"
0.87,0.869996749918748,0.87003700370037,0.87,0.87065,1,0.875,0.8693467336683417,0.8737373737373737,0.865,"[1268098, 1274409, 1280960, 1281032, 1274495, 1268082, 1268212, 1268259, 1274340, 1274634, 1274596, 1280840, 1280816, 1280710, 1268023, 1268128, 1274643, 1267878, 1287235, 1274623, 1280950, 1268095, 1281011, 1281021, 1268186]","[1313842, 1322282, 1319038, 1309137, 1318844, 1314023, 1322398, 1319329, 1308961, 1322362, 1322267, 1319018, 1322281, 1309517, 1314423, 1319000, 1322158, 1319474, 1319522, 1309571, 1318650, 1314696, 1308909, 1319166, 1313796, 1322223, 1318758]","{'sentiment': 0.07939931095218336, 'RB': 0.053531241973989944, 'DT': 0.041970427068786904, 'lex_density': 0.03250079294274581, 'the': 0.029839765606484287, 'TTR': 0.028964193417642944, 'VBZ': 0.028540072780890977, 'a': 0.02760553618581491, 'PRP$': 0.02462220603825429, 'one': 0.022183483614387677}"
0.8375,0.8374746054070948,0.8377110694183864,0.8375,0.83951,1,0.85,0.8354430379746836,0.8461538461538461,0.825,"[1274478, 1274514, 1274445, 1268023, 1267975, 1274596, 1274586, 1274306, 1280921, 1274579, 1274570, 1274289, 1280897, 1268186, 1268162, 1280983, 1287100, 1268096, 1280829, 1268256, 1280906, 1281021, 1274537, 1268259, 1280948, 1280674, 1274476, 1280981, 1274472, 1274451]","[1314592, 1314633, 1322357, 1313796, 1313748, 1308978, 1319165, 1319404, 1314692, 1319036, 1309481, 1319382, 1322349, 1314332, 1322395, 1309323, 1318988, 1313742, 1319183, 1321982, 1314075, 1314214, 1308971, 1322084, 1322149, 1322178, 1321987, 1309157, 1322398, 1308953, 1314280, 1322281, 1309516, 1319358, 1313840]","{'sentiment': 0.07195385332509911, 'RB': 0.06016902478893221, 'DT': 0.05007111408442949, 'a': 0.03672078649420741, 'the': 0.03569981131333634, 'lex_density': 0.031719400089826384, 'TTR': 0.03164690549450133, 'VBZ': 0.03006940496762077, 'our': 0.024755611823443043, 'PRP$': 0.02325192677731576}"
0.8725,0.8724992031200195,0.8725093127328182,0.8725,0.87282,1,0.875,0.8721804511278195,0.8743718592964824,0.87,"[1274677, 1268022, 1268095, 1287221, 1268008, 1280825, 1274494, 1280819, 1280933, 1274478, 1268084, 1274225, 1274596, 1268212, 1274315, 1268110, 1274570, 1280591, 1268281, 1268163, 1274546, 1268013, 1268252, 1268216, 1268126]","[1318709, 1314661, 1319237, 1321992, 1322028, 1322123, 1309131, 1322043, 1319157, 1308915, 1314352, 1314634, 1322362, 1313842, 1308910, 1319421, 1321981, 1309530, 1309018, 1318966, 1322259, 1319147, 1313936, 1313861, 1309115, 1321958]","{'sentiment': 0.07294547246961221, 'RB': 0.047704496376307116, 'DT': 0.0441798817852598, 'VBZ': 0.03967192091354433, 'a': 0.032423868319465844, 'TTR': 0.031168785450925447, 'our': 0.028818669793348108, 'VBP': 0.02780740987215259, 'PRP$': 0.024986510209729845, 'the': 0.023426721275931605}"
0.8525,0.8522922860272257,0.8544940289126336,0.8525,0.85783,1,0.89,0.8467532467532467,0.8810810810810811,0.815,"[1268137, 1274381, 1274340, 1274677, 1280984, 1268090, 1274586, 1268192, 1287208, 1274314, 1287220, 1274409, 1281041, 1287100, 1281055, 1268216, 1274524, 1281031, 1274435, 1274596, 1274315, 1267920]","[1309517, 1319027, 1308942, 1309286, 1314648, 1318827, 1314329, 1314691, 1319080, 1322223, 1309543, 1314591, 1319147, 1322203, 1321987, 1322094, 1309140, 1309432, 1309478, 1314543, 1308972, 1322261, 1309323, 1314244, 1314263, 1314023, 1314449, 1313824, 1322195, 1309023, 1314287, 1318710, 1319055, 1318870, 1319585, 1309431, 1319329]","{'sentiment': 0.08475242834765119, 'DT': 0.04821347588398396, 'RB': 0.04615445171862386, 'a': 0.033600904793262824, 'VBZ': 0.03351401196263598, 'the': 0.03176844232716636, 'TTR': 0.031128492843878752, 'lex_density': 0.02890052550439307, 'and': 0.024606666758611003, 'PRP$': 0.023720356536727914}"
0.865,0.865,0.865,0.865,0.865,1,0.865,0.865,0.865,0.865,"[1280966, 1268244, 1280773, 1267920, 1280833, 1280648, 1274591, 1280811, 1274379, 1267854, 1280864, 1280973, 1280595, 1274570, 1281032, 1280819, 1287220, 1267941, 1287136, 1287017, 1274550, 1280906, 1268152, 1287146, 1267975, 1268194, 1280661]","[1322256, 1314699, 1313817, 1322397, 1314608, 1314528, 1314449, 1318657, 1314222, 1309732, 1319330, 1319380, 1319192, 1318656, 1308942, 1309054, 1322449, 1314645, 1314331, 1308972, 1309506, 1308950, 1309641, 1309255, 1319193, 1313917, 1313728]","{'sentiment': 0.07582722625611353, 'RB': 0.04465490490999823, 'DT': 0.039954871215531845, 'a': 0.035035181987462825, 'our': 0.03327425521885486, 'the': 0.03326963358765348, 'VBZ': 0.03308492291169355, 'TTR': 0.028651462704844186, 'PRP$': 0.025874937418752644, 'lex_density': 0.02298329671102009}"
0.8675,0.8674925464557381,0.8675827061088746,0.8675,0.86849,1,0.875,0.8664987405541562,0.8730964467005076,0.86,"[1280980, 1268244, 1280897, 1274586, 1268242, 1268137, 1274478, 1281005, 1267931, 1280816, 1274644, 1280712, 1274398, 1280860, 1274677, 1267878, 1274499, 1280807, 1280917, 1267975, 1268194, 1274342, 1287136, 1280648, 1268111]","[1322223, 1322043, 1322326, 1309696, 1313755, 1314448, 1313890, 1322421, 1308922, 1313745, 1309706, 1319061, 1313874, 1314466, 1321989, 1314053, 1319433, 1308918, 1322349, 1309486, 1308928, 1321995, 1319404, 1314098, 1309401, 1308910, 1318759, 1313796]","{'sentiment': 0.07205336302201439, 'DT': 0.048972892790046414, 'RB': 0.045942776294192154, 'TTR': 0.03215032534009696, 'the': 0.030279087422336756, 'VBZ': 0.030243606156550976, 'PRP$': 0.028873352652937286, 'a': 0.027537846616418008, 'our': 0.02727583995810426, 'lex_density': 0.0225691504892901}"
0.875,0.8749218261413384,0.8759398496240601,0.875,0.87805,1,0.9,0.8717948717948718,0.8947368421052632,0.85,"[1274648, 1280829, 1281045, 1268244, 1274574, 1287072, 1281002, 1268261, 1267973, 1280986, 1274494, 1274537, 1280980, 1280837, 1274634, 1280948, 1281058, 1268023, 1280833, 1280827]","[1309388, 1308978, 1318802, 1314284, 1308841, 1308935, 1308910, 1314019, 1309638, 1308954, 1314611, 1319166, 1314182, 1313830, 1309729, 1309131, 1319085, 1308880, 1318693, 1309571, 1322201, 1309070, 1314453, 1309426, 1322259, 1314185, 1322480, 1319205, 1322150, 1318863]","{'sentiment': 0.085748433430416, 'RB': 0.04838933805350237, 'DT': 0.042339786505892804, 'TTR': 0.035073526198443485, 'a': 0.03401651265568742, 'lex_density': 0.028996756277754762, 'the': 0.028491190811184244, 'our': 0.026492241471168926, 'VBP': 0.02467444094364973, 'VBZ': 0.0245789784773079}"
0.84,0.8397435897435898,0.8421900161030595,0.84,0.84615,1,0.88,0.8333333333333334,0.8695652173913043,0.8,"[1274476, 1274340, 1268095, 1274502, 1280759, 1274469, 1281053, 1268131, 1280960, 1274332, 1268170, 1281056, 1267882, 1287146, 1268244, 1268101, 1274218, 1274297, 1274565, 1268219, 1274460, 1268099, 1274640, 1280718]","[1319216, 1309327, 1319050, 1318850, 1319502, 1319494, 1319118, 1308825, 1318700, 1322129, 1314696, 1314343, 1318877, 1319085, 1314198, 1309376, 1318732, 1309654, 1313890, 1314177, 1308961, 1322150, 1322432, 1319338, 1313880, 1314284, 1309751, 1313940, 1318727, 1308972, 1314090, 1322084, 1322222, 1313861, 1321977, 1318689, 1309367, 1322416, 1319183, 1309070]","{'sentiment': 0.08528904251101738, 'RB': 0.05427244094533759, 'DT': 0.042026787462277344, 'the': 0.03428280316826475, 'VBZ': 0.03297430481501082, 'a': 0.028637783275113824, 'TTR': 0.027788376016572622, 'our': 0.027247174420191603, 'PRP$': 0.026272666768105118, 'VBP': 0.02588770720305849}"
0.85,0.8499662424045411,0.8503152837553799,0.85,0.85222,1,0.865,0.8477157360406091,0.8608247422680413,0.835,"[1274623, 1268023, 1274677, 1280948, 1280595, 1281031, 1267821, 1268244, 1280779, 1267941, 1268281, 1268260, 1274283, 1268256, 1280973, 1280816, 1274551, 1274388, 1280966, 1280833, 1268216, 1280811, 1280784, 1274506, 1280942, 1274342, 1268147]","[1313874, 1314554, 1322160, 1308978, 1318877, 1309751, 1314683, 1319436, 1322201, 1309551, 1321964, 1322407, 1309001, 1308962, 1314277, 1314118, 1319147, 1314081, 1308977, 1319290, 1319384, 1318816, 1308880, 1314031, 1309287, 1309002, 1319282, 1319377, 1318941, 1318936, 1318987, 1313854, 1309377]","{'sentiment': 0.08231683508844134, 'DT': 0.04589252262467379, 'RB': 0.03810665639029343, 'TTR': 0.03520937348348506, 'the': 0.03332308763519451, 'VBZ': 0.032075990080977265, 'our': 0.032044526243288365, 'a': 0.028777678354247233, 'lex_density': 0.02699803167238791, 'and': 0.02317270872395297}"
0.895,0.8949054148733862,0.8964271376957045,0.895,0.89806,1,0.925,0.8917525773195877,0.9202127659574468,0.865,"[1268000, 1274398, 1281058, 1274445, 1280855, 1280653, 1287060, 1267920, 1287003, 1268134, 1274469, 1280773, 1268110, 1281002, 1267822]","[1309072, 1322505, 1322420, 1322484, 1309255, 1308930, 1322210, 1309662, 1309217, 1314365, 1318774, 1322109, 1314555, 1322534, 1322276, 1319364, 1313856, 1309113, 1321989, 1318756, 1309465, 1319044, 1314694, 1313748, 1319035, 1314592, 1322211]","{'sentiment': 0.084841145857737, 'RB': 0.04548193693948968, 'DT': 0.03963377466616513, 'TTR': 0.03421035486636803, 'lex_density': 0.028809113053842674, 'a': 0.028111861825832998, 'the': 0.028009738662826918, 'PRP$': 0.02754417115907316, 'VBZ': 0.025761584875323457, 'JJ': 0.020853702104208637}"
