accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.95,0.949954959463517,0.9516258530710558,0.95,0.95146,1,0.98,0.9484536082474226,0.9787234042553191,0.92,"[1268259, 1274499, 1268061, 1274511]","[1326616, 1288305, 1327308, 1326562, 1276602, 1322822, 1324980, 1327318, 1328590, 1325078, 1326540, 1328714, 1322804, 1328578, 1327256, 1327252]","{'TTR': 0.15154745311622608, 'of': 0.061349541198027734, 'the': 0.05250863427109936, 'and': 0.038417684297218924, 'DT': 0.03826848209729484, 'a': 0.0379801511427659, 'mean_sen_len': 0.03419561578934873, 'RB': 0.03361738088436446, 'is': 0.03207215316198123, 'to': 0.025408979731219316}"
0.94,0.9399939993999399,0.9401760704281713,0.94,0.94059,1,0.95,0.9393939393939394,0.9489795918367347,0.93,"[1268058, 1268229, 1274515, 1268023, 1274547, 1280626, 1274591, 1268223, 1268089, 1274573]","[1275874, 1326556, 1282130, 1328554, 1325250, 1323082, 1322606, 1326582, 1326800, 1328892, 1322584, 1328566, 1328654, 1324524]","{'TTR': 0.1479019671147699, 'the': 0.058781158230436746, 'of': 0.048508382882737504, 'DT': 0.047283461155196604, 'is': 0.042558007356002486, 'and': 0.03772743540934617, 'mean_sen_len': 0.0355493542328735, 'a': 0.03548699583368667, 'for': 0.024081542834315788, 'to': 0.022809633923622234}"
0.945,0.9449325423643964,0.9471912370616019,0.945,0.94686,1,0.98,0.9430051813471503,0.978494623655914,0.91,"[1267882, 1268248, 1268186, 1268245]","[1328698, 1324956, 1324848, 1327214, 1328998, 1325300, 1327256, 1322858, 1328868, 1326538, 1326710, 1328476, 1328964, 1325100, 1324538, 1325330, 1328900, 1322882]","{'TTR': 0.15549070396829368, 'the': 0.05787038099582378, 'DT': 0.047576385184592056, 'of': 0.04561608543685819, 'a': 0.03528594048542912, 'and': 0.03508828183688202, 'mean_sen_len': 0.034794886746760505, 'is': 0.032759620752116685, 'in': 0.02535090585454346, 'to': 0.024881255158690968}"
0.955,0.9549448073890516,0.957240478343885,0.955,0.95652,1,0.99,0.9533678756476683,0.989247311827957,0.92,"[1268249, 1274283]","[1328670, 1326554, 1322938, 1324864, 1324734, 1325416, 1324874, 1322806, 1328884, 1328964, 1327400, 1326970, 1323304, 1323500, 1322772, 1328708]","{'TTR': 0.14830113299552228, 'the': 0.05812324835369417, 'of': 0.05637350662589921, 'is': 0.042133819845463306, 'DT': 0.038072202618937616, 'mean_sen_len': 0.03672420837099783, 'and': 0.033881025967165086, 'a': 0.032475893776673315, 'RB': 0.025200932996013933, 'to': 0.022040768871962005}"
0.9325,0.9324286277380484,0.9343350656523813,0.9325,0.93462,1,0.965,0.9302325581395349,0.9625668449197861,0.9,"[1268023, 1274615, 1274656, 1267922, 1280840, 1274677, 1267915]","[1324880, 1328584, 1324538, 1326750, 1322886, 1327428, 1325262, 1327044, 1328614, 1325464, 1324632, 1323066, 1323094, 1325386, 1326800, 1324972, 1328846, 1327268, 1325010, 1323512]","{'TTR': 0.1779751410383577, 'the': 0.05083181821527835, 'of': 0.049344120610108684, 'and': 0.03880750126888211, 'DT': 0.037887546995643444, 'mean_sen_len': 0.03662529153083409, 'a': 0.036127802591537084, 'is': 0.029402836228718865, 'RB': 0.025576839224618467, 'to': 0.025487039910497028}"
0.94,0.9399038461538461,0.9428341384863124,0.94,0.94231,1,0.98,0.9375,0.9782608695652174,0.9,"[1287214, 1268158, 1274472, 1280655]","[1327228, 1288053, 1322714, 1269820, 1322822, 1324526, 1324604, 1328866, 1323446, 1325482, 1326704, 1328976, 1328748, 1322744, 1324880, 1323266, 1325262, 1323178, 1324588, 1325086]","{'TTR': 0.1653361645840472, 'the': 0.06380467360750866, 'DT': 0.05166760634056241, 'of': 0.04714864659388041, 'mean_sen_len': 0.037139961994694076, 'a': 0.03449989066623763, 'is': 0.030475168015574115, 'and': 0.030170243577191957, 'to': 0.023470238157887346, 'RB': 0.022360912534002908}"
0.9425,0.9424910142209719,0.9427767354596622,0.9425,0.94321,1,0.955,0.9417721518987342,0.9538461538461539,0.93,"[1281027, 1287010, 1268249, 1287214, 1274547, 1280947, 1280626, 1287203, 1268059]","[1327272, 1275874, 1326520, 1324632, 1322806, 1326840, 1322540, 1326600, 1327320, 1326728, 1326522, 1323474, 1327428, 1328464]","{'TTR': 0.16587438415925593, 'the': 0.05054565876426361, 'of': 0.048284319985340975, 'and': 0.039357448123696605, 'is': 0.0357229475313955, 'a': 0.035261520452165365, 'mean_sen_len': 0.033530294244226364, 'DT': 0.03087470600127752, 'RB': 0.025040353080355682, 'lex_density': 0.021359621663183045}"
0.945,0.9449656035021888,0.9461152882205514,0.945,0.94634,1,0.97,0.9435897435897436,0.968421052631579,0.92,"[1267915, 1268136, 1274499, 1281015, 1287216, 1287231]","[1322850, 1326968, 1328854, 1324734, 1269268, 1328894, 1322642, 1327218, 1322806, 1326636, 1326892, 1329006, 1328606, 1328882, 1322606, 1324712]","{'TTR': 0.162182591172802, 'the': 0.05903457133407652, 'of': 0.04900630215369754, 'and': 0.04132106832296031, 'DT': 0.03950777653146183, 'a': 0.038329007042253053, 'mean_sen_len': 0.036588724458743525, 'is': 0.033974257494541166, 'RB': 0.023426743288154778, 'to': 0.021373403954117357}"
0.94,0.9399038461538461,0.9428341384863124,0.94,0.94231,1,0.98,0.9375,0.9782608695652174,0.9,"[1268229, 1268023, 1280645, 1280834]","[1269294, 1322574, 1324908, 1324786, 1326938, 1328630, 1323172, 1324780, 1269558, 1324806, 1324668, 1325062, 1327448, 1325202, 1323212, 1328580, 1326728, 1322540, 1328512, 1328498]","{'TTR': 0.1489345846424841, 'of': 0.05224869833002251, 'the': 0.051193082018170195, 'is': 0.046410662722695485, 'a': 0.041193729770193366, 'DT': 0.03465968019313179, 'mean_sen_len': 0.031594750466332894, 'and': 0.02946694110111048, 'to': 0.02617300726521264, 'RB': 0.02422697238725232}"
0.945,0.9449876222149984,0.9454008607746972,0.945,0.94581,1,0.96,0.9441624365482234,0.9587628865979382,0.93,"[1268249, 1274634, 1287214, 1280626, 1274296, 1274560, 1274687, 1268158]","[1327256, 1282130, 1322660, 1323334, 1328802, 1269558, 1328636, 1325058, 1327160, 1328732, 1328944, 1324612, 1323002, 1326702]","{'TTR': 0.1679602201171443, 'the': 0.05482198483565244, 'of': 0.04770464705474033, 'mean_sen_len': 0.042563844420286816, 'DT': 0.03960783326658937, 'a': 0.036832084343238196, 'and': 0.03202996922314038, 'is': 0.026638285874809237, 'RB': 0.02658652688921589, 'to': 0.024436543526459048}"
