accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9275,0.9274233409038297,0.929313851020562,0.9275,0.92978,1,0.96,0.9250645994832042,0.9572192513368984,0.895,"[1348916, 1336434, 1330047, 1329865, 1342636, 1329836, 1336086, 1349137]","[1365437, 1356959, 1359621, 1359375, 1359725, 1365769, 1362741, 1362511, 1356389, 1356967, 1362483, 1362787, 1357029, 1356803, 1351249, 1363025, 1356957, 1359965, 1356459, 1333786, 1333404]","{'this': 0.0664018596170058, 'TTR': 0.06144553526431637, 'i': 0.06019110457616208, 'and': 0.038336968345765145, 'is': 0.028170140836249954, 'you': 0.028096946857626773, 'to': 0.023820043799921337, 'what': 0.023242978434147764, 'NNS': 0.02174259570737826, 'RB': 0.02101668013559055}"
0.935,0.9349414473025723,0.9365716579686872,0.935,0.93689,1,0.965,0.9329896907216495,0.9627659574468085,0.905,"[1329961, 1336434, 1329664, 1342953, 1329846, 1336431, 1342859]","[1365807, 1365525, 1359663, 1357253, 1346277, 1360017, 1360268, 1360210, 1356873, 1362983, 1356869, 1357193, 1339826, 1339554, 1345951, 1345943, 1365677, 1356647, 1357007]","{'this': 0.05768014019613811, 'i': 0.05676354976241961, 'TTR': 0.055551162286759936, 'and': 0.02990876782135433, 'you': 0.028181665571606788, 'what': 0.0251772602727967, 'is': 0.024737851654606305, 'to': 0.02306590319540631, 'from': 0.022885856804481405, 'RB': 0.021823429785753204}"
0.965,0.9649781113195747,0.9661654135338346,0.965,0.96585,1,0.99,0.9641025641025641,0.9894736842105263,0.94,"[1342923, 1342858]","[1356833, 1362683, 1362967, 1356461, 1363179, 1359831, 1359355, 1359919, 1362939, 1365651, 1362581, 1356953]","{'TTR': 0.07024090769061306, 'this': 0.05478520086231556, 'i': 0.048591053136847584, 'is': 0.03783793653413426, 'and': 0.0338544762699575, 'you': 0.027551886888460313, 'what': 0.02257701166079126, 'with': 0.022201123247324435, 'VBG': 0.02148097741145835, 'NN': 0.01884090336082718}"
0.94,0.9398782534632631,0.9435931041435629,0.94,0.94258,1,0.985,0.93717277486911,0.9835164835164835,0.895,"[1329761, 1329958, 1330049]","[1363201, 1357099, 1363051, 1357253, 1359449, 1333476, 1359925, 1365432, 1356719, 1359817, 1359417, 1356545, 1333542, 1362409, 1357281, 1359939, 1333484, 1362387, 1362291, 1362435, 1365477]","{'i': 0.06044384292728808, 'TTR': 0.058669059783129696, 'this': 0.05088099721627433, 'and': 0.041341491200648825, 'is': 0.031597458641924224, 'you': 0.026535842990809036, 'NN': 0.025428262352841107, 'from': 0.023043893825022553, 'with': 0.02293827148375135, 'if': 0.022732350368899742}"
0.9375,0.9374119856047567,0.9399748585795098,0.9375,0.93976,1,0.975,0.935064935064935,0.972972972972973,0.9,"[1349166, 1342794, 1329836, 1336434, 1336363]","[1356869, 1356361, 1362697, 1359593, 1356995, 1365371, 1356971, 1362741, 1339822, 1357195, 1359611, 1359851, 1362787, 1362329, 1359655, 1359707, 1359538, 1365428, 1365684, 1360017]","{'i': 0.0588985604840484, 'TTR': 0.05592573079068565, 'this': 0.04509443755369687, 'is': 0.03773994903174791, 'and': 0.03744727435267204, 'you': 0.02856796323289614, 'it': 0.024515796528243462, 'PRP$': 0.022382076115313, 'with': 0.02083185099249064, 'from': 0.020802252541426477}"
0.9275,0.9274233409038297,0.929313851020562,0.9275,0.92978,1,0.96,0.9250645994832042,0.9572192513368984,0.895,"[1336491, 1342794, 1329771, 1342539, 1329958, 1342958, 1330049, 1342859]","[1357266, 1362861, 1362775, 1360017, 1362879, 1363003, 1333686, 1362735, 1362275, 1360075, 1357301, 1339738, 1362665, 1356489, 1340282, 1365325, 1365591, 1365735, 1359479, 1339580, 1359965]","{'i': 0.0651772221749092, 'TTR': 0.0631058928904126, 'this': 0.04519594333470946, 'and': 0.029190468174471997, 'PRP$': 0.02689703036733127, 'you': 0.02600281243850525, 'is': 0.025618293039334224, 'VBG': 0.025003649602586466, 'from': 0.023918852766258457, 'NN': 0.021176824168459788}"
0.935,0.935,0.935,0.935,0.935,1,0.935,0.935,0.935,0.935,"[1330024, 1329900, 1336111, 1329836, 1329870, 1336434, 1329701, 1342953, 1330025, 1349055, 1330047, 1329865, 1336406]","[1359527, 1339594, 1345951, 1362697, 1359321, 1362390, 1362823, 1362411, 1340004, 1333786, 1333710, 1346151, 1340160]","{'i': 0.0625433510870527, 'TTR': 0.048901202606522046, 'this': 0.04411090687676012, 'and': 0.036988493187683116, 'you': 0.026840045051777933, 'is': 0.02479082220346128, 'from': 0.024706980461901448, 'with': 0.023896907506794962, 'to': 0.02242900713379008, 'it': 0.022095000939668253}"
0.9475,0.9474839169495658,0.9480488598533203,0.9475,0.9484,1,0.965,0.9465648854961832,0.9637305699481865,0.93,"[1329862, 1336445, 1348986, 1336151, 1336242, 1329870, 1330025]","[1357275, 1357253, 1359893, 1356335, 1362507, 1356344, 1356593, 1362585, 1333316, 1359511, 1356725, 1359301, 1356963, 1356399]","{'TTR': 0.06258452303114993, 'i': 0.060707665751197064, 'and': 0.04805540968909806, 'this': 0.04347584843562235, 'with': 0.031741431604105204, 'is': 0.03108569493714643, 'from': 0.023485548325298426, 'you': 0.022546972483824704, 'to': 0.021268668003041044, 'NN': 0.019885609498830392}"
0.9475,0.9474602668267877,0.9488577948293587,0.9475,0.94891,1,0.975,0.9460154241645244,0.9735449735449735,0.92,"[1329714, 1342745, 1342588, 1329961, 1349040]","[1359921, 1356533, 1362631, 1357179, 1363061, 1359959, 1356601, 1362945, 1363215, 1359745, 1360099, 1357027, 1356663, 1360025, 1363065, 1362971]","{'i': 0.061044811067535835, 'TTR': 0.058669211484030086, 'this': 0.043899030290936406, 'is': 0.035860378480545775, 'you': 0.02950086140499152, 'from': 0.02901474624706957, 'what': 0.027847722585059152, 'and': 0.026159742570290603, 'VBZ': 0.022045504437680618, 'NN': 0.02124216345522695}"
0.945,0.9449656035021888,0.9461152882205514,0.945,0.94634,1,0.97,0.9435897435897436,0.968421052631579,0.92,"[1330014, 1342864, 1342745, 1348986, 1330022, 1342746]","[1365521, 1365417, 1359727, 1365533, 1360099, 1360277, 1340400, 1362835, 1365541, 1359750, 1351433, 1359551, 1356981, 1356773, 1356383, 1356963]","{'TTR': 0.06393562820660895, 'i': 0.060871880508374755, 'this': 0.05859510531536633, 'and': 0.03558324729734205, 'is': 0.03372323381622012, 'with': 0.0246600764473591, 'RB': 0.020507111837598735, 'you': 0.019393377773897436, 'what': 0.019018185294964955, 'DT': 0.018850154683796718}"
