,Key,Count,Mean Score
0,said,100,0.15084624338000083
1,and,100,0.05787312790592755
2,VBD,100,0.07075801051397995
3,but,100,0.030293399312520387
4,PRP,100,0.03907885763447966
7,was,100,0.034746310568522405
5,PRP$,94,0.027325957491401865
10,sentiment,84,0.026174754976293752
8,as,76,0.025447350960290376
9,i,73,0.024926452132231904
6,we,39,0.024594810132471296
14,at,11,0.02223073635541327
12,VBG,8,0.022768017157715568
11,TTR,6,0.023282869481206666
15,than,5,0.02325539288860927
13,because,3,0.02149028422231826
16,do,1,0.022667629289114134
