accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9225,0.9224995156219726,0.9225105627640692,0.9225,0.92269,1,0.925,0.9223057644110275,0.9246231155778895,0.92,"[1398613, 1405288, 1398439, 1405193, 1392184, 1411272, 1398845, 1405121, 1398820, 1392378, 1392367, 1405042, 1398679, 1398698, 1398548]","[1400899, 1394496, 1453028, 1394984, 1452901, 1450899, 1401695, 1401539, 1407286, 1408132, 1451057, 1450125, 1452507, 1448317, 1401207, 1448629]","{'mean_sen_len': 0.11882437672791185, 'TTR': 0.0763767668166813, 'VBD': 0.04546558049934291, 'said': 0.039963339688062156, 'VBG': 0.030718191985723876, 'not': 0.028667158985943294, 'a': 0.02765901451490463, 'the': 0.02259704396610493, 'has': 0.020576364975157847, 'sentiment': 0.01847674662678085}"
0.9225,0.9224956403797714,0.922595083893876,0.9225,0.92308,1,0.93,0.9219143576826196,0.9289340101522843,0.915,"[1411498, 1392186, 1398838, 1404821, 1392169, 1411471, 1392071, 1398561, 1405211, 1405269, 1392184, 1392319, 1398655, 1405094]","[1452340, 1395182, 1407912, 1452775, 1449081, 1412868, 1394454, 1448317, 1407286, 1448831, 1452730, 1407282, 1394984, 1407974, 1407796, 1453028, 1448387]","{'mean_sen_len': 0.12259195242453254, 'TTR': 0.0794320285094095, 'VBD': 0.04923487948571878, 'said': 0.04745961962729307, 'not': 0.03054601577575048, 'VBG': 0.029234067449881388, 'sentiment': 0.023120906570003822, 'a': 0.020749141967290857, 'was': 0.01626190513824257, 'has': 0.015919214510183383}"
0.9175,0.9174871073605252,0.91776110068793,0.9175,0.91852,1,0.93,0.9164556962025316,0.9282051282051282,0.905,"[1411488, 1392160, 1398815, 1391943, 1398846, 1392164, 1392039, 1392186, 1411437, 1398613, 1398838, 1392090, 1398844, 1411300]","[1452065, 1450387, 1401493, 1453034, 1407758, 1448627, 1450544, 1448735, 1401729, 1451017, 1412981, 1395026, 1394482, 1453929, 1394870, 1412938, 1450729, 1413222, 1452475]","{'mean_sen_len': 0.1218994095036409, 'TTR': 0.07394632335007617, 'VBD': 0.04577197724067696, 'said': 0.033771270269364405, 'not': 0.028775041307275526, 'a': 0.025922928632085653, 'VBG': 0.02400958643571965, 'but': 0.021805750168593055, 'sentiment': 0.020925999843912513, 'DT': 0.017823641585246942}"
0.935,0.9349414473025723,0.9365716579686872,0.935,0.93689,1,0.965,0.9329896907216495,0.9627659574468085,0.905,"[1392319, 1398820, 1405102, 1392318, 1405086, 1391965, 1405035]","[1448989, 1401353, 1451007, 1394984, 1454151, 1400911, 1400905, 1454045, 1448692, 1452867, 1401057, 1450387, 1412744, 1448767, 1453697, 1400917, 1450663, 1407296, 1450747]","{'mean_sen_len': 0.1092512453156481, 'TTR': 0.07608345463587174, 'VBD': 0.056369302478739794, 'said': 0.04026208958473674, 'VBG': 0.03415332094546288, 'not': 0.026347427682760282, 'a': 0.018314784021246314, 'was': 0.017457652710791062, 'has': 0.01732519072228156, 'the': 0.017203593299520245}"
0.95,0.9499987499687492,0.95004500450045,0.95,0.95025,1,0.955,0.949748743718593,0.9545454545454546,0.945,"[1405233, 1405102, 1392034, 1398655, 1398581, 1405220, 1405086, 1392158, 1392018]","[1401637, 1451057, 1448326, 1400903, 1449069, 1401795, 1450747, 1400895, 1453848, 1401765, 1412938]","{'mean_sen_len': 0.13493437765100486, 'TTR': 0.06887261149787913, 'VBD': 0.050440913713153374, 'said': 0.03967599422712334, 'VBG': 0.028615296995554193, 'not': 0.025611875677334535, 'but': 0.02282388521275125, 'a': 0.02033888451734989, 'sentiment': 0.018631861109983116, 'the': 0.01699814666052288}"
0.92,0.9199979999499988,0.9200420042004199,0.92,0.9204,1,0.925,0.9195979899497487,0.9242424242424242,0.915,"[1398715, 1411389, 1392139, 1392184, 1398644, 1392003, 1392164, 1405077, 1392319, 1404870, 1391965, 1398577, 1392397, 1398840, 1404833]","[1448129, 1395342, 1407988, 1407476, 1450550, 1448425, 1407536, 1448593, 1451022, 1400861, 1450751, 1401591, 1408262, 1395164, 1401353, 1401609, 1448305]","{'mean_sen_len': 0.12555423275201744, 'TTR': 0.08006818216107994, 'said': 0.03925860364745477, 'VBD': 0.038192531792102115, 'VBG': 0.028778924675112942, 'a': 0.02530556339497922, 'not': 0.020994838823861387, 'the': 0.019731516909830736, 'sentiment': 0.019441142338750664, 'has': 0.019120493618543972}"
0.9425,0.9424708758809146,0.9433978807084347,0.9425,0.94377,1,0.965,0.9411764705882353,0.9633507853403142,0.92,"[1398644, 1405290, 1411432, 1391987, 1404996, 1411471, 1398826]","[1412732, 1412746, 1400903, 1401037, 1394928, 1453983, 1450142, 1448957, 1407294, 1450831, 1448169, 1450858, 1450751, 1453711, 1450143, 1407318]","{'mean_sen_len': 0.10125515894716017, 'TTR': 0.07888607790753581, 'said': 0.05104909220903596, 'VBD': 0.03823534860366964, 'VBG': 0.037409502385140604, 'a': 0.028781977615218106, 'not': 0.022941114491752644, 'sentiment': 0.022187795873975572, 'DT': 0.01997216108878938, 'but': 0.019795901166806924}"
0.955,0.9549819927971188,0.9557291666666667,0.955,0.95408,1,0.935,0.9558823529411765,0.9375,0.975,"[1392230, 1405181, 1391973, 1404833, 1391965, 1398835, 1398535, 1405089, 1398826, 1411481, 1392186, 1398613, 1411501]","[1401333, 1408246, 1413268, 1401235, 1413050]","{'mean_sen_len': 0.10981727371936145, 'TTR': 0.08170409488908362, 'VBD': 0.048217233252004485, 'said': 0.04068883479507207, 'VBG': 0.029138288579840105, 'not': 0.028791911842103824, 'a': 0.021934733679713655, 'sentiment': 0.01889909160823835, 'has': 0.018015468762197184, 'PRP': 0.015458461587900138}"
0.925,0.924992499249925,0.9251700680272108,0.925,0.92574,1,0.935,0.9242424242424242,0.9336734693877551,0.915,"[1392193, 1398815, 1398644, 1398442, 1405091, 1398679, 1392184, 1405059, 1392400, 1404912, 1398835, 1411447, 1398820]","[1448242, 1452711, 1454191, 1413180, 1394408, 1452719, 1407748, 1401493, 1394894, 1413126, 1395306, 1395064, 1448597, 1408262, 1451052, 1448989, 1413260]","{'mean_sen_len': 0.11131788603621615, 'TTR': 0.07346214537612028, 'said': 0.0464669699172158, 'VBD': 0.044156891871859505, 'VBG': 0.03310353116728971, 'a': 0.027089165389076464, 'not': 0.024682387290885236, 'has': 0.019242141289628048, 'sentiment': 0.018806643045796826, 'VBN': 0.01748774943149349}"
0.935,0.935,0.935,0.935,0.935,1,0.935,0.935,0.935,0.935,"[1405290, 1398448, 1411389, 1405029, 1411519, 1405111, 1392001, 1411331, 1398590, 1405050, 1411287, 1392151, 1411425]","[1454063, 1407988, 1453697, 1412866, 1448499, 1452157, 1412792, 1448835, 1394670, 1453656, 1412814, 1394906, 1450179]","{'mean_sen_len': 0.11499814845607556, 'TTR': 0.07183678013646583, 'VBD': 0.046138126604859775, 'said': 0.041634040806918945, 'not': 0.027848223466657617, 'VBG': 0.026504608927094386, 'sentiment': 0.02477824267257399, 'a': 0.02216774575646247, 'was': 0.018232568851938684, 'the': 0.017861178129925107}"
