,Key,Count,Mean Score
0,sentiment,100,0.07921311760550423
1,lex_density,100,0.03907461754943628
2,a,100,0.03399452387835249
6,TTR,98,0.025466678569319334
3,i,97,0.030676415747610403
4,VBD,85,0.02531526465168495
10,at,76,0.024305466867835135
15,JJ,75,0.0230441935064469
11,then,64,0.02478593759061331
9,male_pronouns,55,0.02270262048780054
13,or,53,0.024109142601629892
14,not,46,0.023568252104984762
5,have,12,0.02241081559597924
8,on,11,0.02123585328485971
12,by,10,0.019681126938761645
7,DT,8,0.020834974127343687
16,from,3,0.02141467922624787
18,me,3,0.018243413991116512
19,but,2,0.018494359157215194
17,one,1,0.02328148110743814
20,what,1,0.01967786681243506
