,Key,Count,Mean Score
0,TTR,100,0.0417316799006902
1,NNS,100,0.03070704477868992
4,NN,99,0.033700313583839375
2,the,98,0.030595315059533456
6,about,94,0.028242810192638527
3,RB,89,0.0260931260884374
5,of,83,0.02546271810982595
7,been,80,0.02858484449764314
8,VB,53,0.02330647939690342
10,in,29,0.02244418093656981
11,lex_density,28,0.023006687790577185
16,with,24,0.02226857081849923
14,VBG,19,0.02226339946904937
17,and,18,0.021971373696397272
13,PRP,18,0.0226944034413401
21,to,13,0.02283019307811468
12,JJ,11,0.022664513963829767
9,because,9,0.02208772698890323
15,PRP$,8,0.02116248237576484
18,it,6,0.02149997839314598
19,VBD,4,0.020522398191195584
20,this,4,0.022965307529941265
22,just,4,0.021003444795241057
25,mean_sen_len,4,0.020597179989704097
24,from,2,0.021480003923117587
23,if,1,0.023260405233093622
26,VBN,1,0.021682907999642884
27,i,1,0.021355275464091997
