,Key,Count,Mean Score
0,mean_sen_len,100,0.19589867603085692
1,your,100,0.08096455759714839
2,PRP$,100,0.06497024050857365
3,DT,100,0.04142353888705192
4,the,100,0.04225755595123352
5,sentiment,100,0.03236342949232162
6,for,99,0.0307160536526791
7,i,98,0.02597163749986523
8,this,74,0.021365230573704683
10,TTR,44,0.02019520533426918
9,lex_density,41,0.019797136702486895
12,once,11,0.0202052259725394
11,PRP,10,0.019452142732905665
13,when,8,0.019668770767820025
14,until,6,0.019026938834718215
16,of,5,0.019101971763932937
15,it,4,0.017713308354306706
