accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.94,0.9399038461538461,0.9428341384863124,0.94,0.94231,1,0.98,0.9375,0.9782608695652174,0.9,"[1529163, 1529293, 1516391, 1529094]","[1528148, 1545531, 1522328, 1548570, 1521684, 1544982, 1522280, 1535092, 1534823, 1545179, 1553207, 1534846, 1534618, 1535012, 1553306, 1535334, 1539136, 1551446, 1534932, 1551294]","{'mean_sen_len': 0.10111327228606191, 'your': 0.040906046524062385, 'the': 0.0342379600512749, 'sentiment': 0.0322969093594261, 'when': 0.03212250912618002, 'DT': 0.02925192869668976, 'be': 0.02901626691403327, 'for': 0.028162761954341805, 'TTR': 0.026229406073052918, 'PRP$': 0.024994774542204504}"
0.9725,0.9724957024535084,0.9727954971857412,0.9725,0.97284,1,0.985,0.9721518987341772,0.9846153846153847,0.96,"[1516595, 1535762, 1529437]","[1539098, 1551564, 1544979, 1551089, 1545505, 1534617, 1551294, 1528271]","{'mean_sen_len': 0.10172295146102184, 'sentiment': 0.047666489422696245, 'your': 0.03867943254524023, 'PRP$': 0.036231647915552126, 'the': 0.03208957714871814, 'TTR': 0.03080267893116006, 'when': 0.02948490300074674, 'DT': 0.023514839430718498, 'for': 0.022722148354885004, 'i': 0.022484015697814465}"
0.925,0.9249530956848031,0.9260651629072681,0.925,0.92683,1,0.95,0.9230769230769231,0.9473684210526315,0.9,"[1516306, 1529200, 1516596, 1516628, 1535517, 1529213, 1523000, 1529057, 1523064, 1529442]","[1528365, 1535404, 1535270, 1534524, 1528422, 1538764, 1528262, 1551564, 1528965, 1548557, 1522038, 1521923, 1552893, 1535394, 1521640, 1551427, 1545170, 1548407, 1522276, 1545112]","{'mean_sen_len': 0.1156007550152667, 'your': 0.0485051116151139, 'sentiment': 0.04100813816601862, 'the': 0.036817250971408484, 'DT': 0.027942180435718788, 'when': 0.026886234827358156, 'PRP$': 0.02562124311324632, 'TTR': 0.023580703566240504, 'be': 0.022032436873147973, 'for': 0.020217860494045364}"
0.9575,0.9574869803877438,0.9580611248779755,0.9575,0.95823,1,0.975,0.9567430025445293,0.9740932642487047,0.94,"[1522827, 1516675, 1522770, 1529517, 1535762]","[1528525, 1528571, 1528431, 1528348, 1534888, 1535014, 1551294, 1535034, 1551586, 1548557, 1534552, 1538998]","{'mean_sen_len': 0.08948001388277901, 'sentiment': 0.04772738336404021, 'your': 0.04531320806494972, 'when': 0.04398986454082619, 'PRP$': 0.03880323130757534, 'the': 0.03279117681722721, 'DT': 0.030541511585120737, 'TTR': 0.028530214105471723, 'for': 0.027273207297175136, 'of': 0.02219517677885528}"
0.9525,0.9524925769651508,0.9527829893683551,0.9525,0.95309,1,0.965,0.9518987341772152,0.9641025641025641,0.94,"[1529293, 1529163, 1535631, 1529325, 1529465, 1535760, 1529517]","[1548012, 1538864, 1521708, 1538936, 1545532, 1550959, 1535314, 1539224, 1522370, 1521714, 1535270, 1547839]","{'mean_sen_len': 0.108408151149901, 'sentiment': 0.05435923668135974, 'your': 0.047723821028173026, 'PRP$': 0.03352493855125941, 'the': 0.030731177146172284, 'TTR': 0.030172235264193107, 'when': 0.027969178273938328, 'DT': 0.024090551625524648, 'be': 0.02311236230963525, 'of': 0.02275171013015611}"
0.95,0.9499799919967987,0.9507211538461539,0.95,0.95098,1,0.97,0.9489795918367347,0.96875,0.93,"[1529517, 1516703, 1516675, 1523065, 1516260, 1516332]","[1539220, 1545022, 1534564, 1539116, 1521810, 1528889, 1550959, 1545417, 1535040, 1521824, 1534628, 1529022, 1521848, 1551497]","{'mean_sen_len': 0.09557491530818109, 'your': 0.04535758909745345, 'sentiment': 0.03747168795250187, 'the': 0.03351190470620988, 'TTR': 0.03171573472656682, 'PRP$': 0.029829972924731853, 'DT': 0.027943145055965967, 'for': 0.027351006821034494, 'when': 0.024558587098465624, 'be': 0.024244401110397416}"
0.9525,0.9524854486686547,0.953054992365648,0.9525,0.95332,1,0.97,0.9516539440203562,0.9689119170984456,0.935,"[1516391, 1522827, 1535558, 1535546, 1522859, 1516279]","[1548391, 1538988, 1528205, 1545638, 1535014, 1534522, 1548392, 1538898, 1551352, 1528608, 1548458, 1522280, 1545590]","{'mean_sen_len': 0.10212484084360528, 'your': 0.047443875659968306, 'sentiment': 0.04200958219174401, 'PRP$': 0.03596598361814412, 'TTR': 0.03305210344781221, 'the': 0.032677934932775515, 'DT': 0.028013417048403745, 'when': 0.02629462080226766, 'for': 0.025224681990352354, 'then': 0.021616794147033533}"
0.9525,0.9524997031231445,0.9525113127828196,0.9525,0.95262,1,0.955,0.9523809523809523,0.9547738693467337,0.95,"[1523100, 1516675, 1535736, 1529057, 1529517, 1516590, 1535758, 1522886, 1522976]","[1535096, 1535052, 1534524, 1551647, 1528535, 1528415, 1545170, 1528525, 1528861, 1552910]","{'mean_sen_len': 0.11874549741860657, 'your': 0.054525784168019384, 'sentiment': 0.052490558478384484, 'PRP$': 0.0368443846063378, 'the': 0.0357135428443421, 'for': 0.02937673279519171, 'DT': 0.028103809483619444, 'TTR': 0.024369894270088267, 'i': 0.022310053825885853, 'when': 0.018995170102823436}"
0.93,0.92999299929993,0.930172068827531,0.93,0.93069,1,0.94,0.9292929292929293,0.9387755102040817,0.92,"[1516254, 1535709, 1529094, 1516548, 1529272, 1516230, 1523107, 1535762, 1529188, 1529231, 1522880, 1516553]","[1551580, 1521860, 1535302, 1528797, 1521992, 1528539, 1534880, 1521856, 1522542, 1551136, 1528981, 1535116, 1535414, 1535214, 1544918, 1528069]","{'mean_sen_len': 0.09413682326575414, 'sentiment': 0.04855366619408274, 'your': 0.03893208441722163, 'the': 0.03806785600532059, 'be': 0.03291298112705096, 'when': 0.031387146407989626, 'PRP$': 0.030472225220581507, 'DT': 0.029730154724636623, 'TTR': 0.02619207005413785, 'for': 0.023186204684504684}"
0.9375,0.9374683433488203,0.9383877351637065,0.9375,0.93888,1,0.96,0.9360613810741688,0.9581151832460733,0.915,"[1516703, 1522801, 1522770, 1535725, 1529264, 1529213, 1516230, 1516517]","[1535034, 1544934, 1551452, 1528315, 1528797, 1535082, 1528685, 1535332, 1528525, 1547840, 1522448, 1528861, 1547855, 1544877, 1535296, 1545018, 1539224]","{'mean_sen_len': 0.10045966648090411, 'your': 0.05644519548120742, 'sentiment': 0.04701685832165113, 'PRP$': 0.03924700914996079, 'the': 0.03327141215595611, 'for': 0.026929068346468382, 'TTR': 0.025446996285332778, 'when': 0.025302988716328915, 'of': 0.023761612012483672, 'DT': 0.023152345712882053}"
0.9675,0.9674949210814191,0.9677923702313946,0.9675,0.9679,1,0.98,0.9670886075949368,0.9794871794871794,0.955,"[1522801, 1535709, 1523005, 1529231]","[1534706, 1521772, 1535402, 1528736, 1544995, 1535242, 1522484, 1528335, 1538928]","{'mean_sen_len': 0.10621124244151067, 'your': 0.04460083058153019, 'sentiment': 0.04090563049166853, 'DT': 0.03320811212179489, 'the': 0.03197750429718588, 'TTR': 0.027989023644555595, 'PRP$': 0.026977628489518186, 'be': 0.022433198920913302, 'for': 0.021940300420778495, 'JJ': 0.02151373147339418}"
0.9475,0.9474839169495658,0.9480488598533203,0.9475,0.9484,1,0.965,0.9465648854961832,0.9637305699481865,0.93,"[1522801, 1535736, 1529518, 1523100, 1535631, 1535498, 1516260]","[1528793, 1545112, 1548570, 1553132, 1528989, 1544925, 1539120, 1534918, 1521916, 1553057, 1521762, 1538912, 1528297, 1548050]","{'mean_sen_len': 0.10421723474430573, 'sentiment': 0.049505380446178894, 'your': 0.039711086309061644, 'the': 0.03676553636188973, 'DT': 0.03168259339896493, 'when': 0.03013430248211319, 'PRP$': 0.026883336112077903, 'be': 0.026266965724500314, 'TTR': 0.025227370602594418, 'i': 0.023433517743085986}"
0.9625,0.9624885121068327,0.9630672573903031,0.9625,0.96314,1,0.98,0.9618320610687023,0.9792746113989638,0.945,"[1529211, 1522801, 1529527, 1529391]","[1547840, 1528737, 1550863, 1528379, 1545590, 1545383, 1521882, 1539012, 1548511, 1528507, 1534823]","{'mean_sen_len': 0.09401302404710708, 'your': 0.04904853951849506, 'sentiment': 0.044918387765531656, 'when': 0.03241291499540273, 'PRP$': 0.031653999560080234, 'the': 0.031599765902791906, 'DT': 0.02801108505757371, 'TTR': 0.026700521857385907, 'VB': 0.024318443053269922, 'for': 0.021815294308699166}"
0.95,0.9499799919967987,0.9507211538461539,0.95,0.95098,1,0.97,0.9489795918367347,0.96875,0.93,"[1522886, 1535558, 1523089, 1522758, 1516584, 1522801]","[1528634, 1534562, 1545620, 1539082, 1528271, 1544995, 1528981, 1551283, 1553120, 1534764, 1521722, 1545003, 1535248, 1521824]","{'mean_sen_len': 0.11038190189766289, 'sentiment': 0.04672684799391651, 'your': 0.041290181193546174, 'the': 0.03588868552915216, 'DT': 0.029169063850019838, 'PRP$': 0.028126476756682072, 'when': 0.027364791815579173, 'TTR': 0.023327199723783842, 'for': 0.02175315553183386, 'i': 0.021059036398970638}"
0.93,0.929857962373807,0.9335114426857547,0.93,0.93301,1,0.975,0.9267015706806283,0.9725274725274725,0.885,"[1529508, 1522976, 1529111, 1529387, 1523100]","[1553355, 1535466, 1528207, 1535074, 1539198, 1534498, 1535136, 1522574, 1534778, 1535332, 1545298, 1538920, 1539098, 1522010, 1539127, 1538878, 1535146, 1539184, 1548639, 1538998, 1545414, 1528965, 1528271]","{'mean_sen_len': 0.09005106270139969, 'your': 0.05224145648321135, 'sentiment': 0.05212217322382302, 'PRP$': 0.03541630483681407, 'the': 0.03384752026268644, 'of': 0.02850082166993238, 'when': 0.027417039814031048, 'DT': 0.025200376916759044, 'TTR': 0.022701154332045875, 'be': 0.02094626504072091}"
0.9475,0.9474917955930615,0.9477798624140088,0.9475,0.94815,1,0.96,0.9468354430379747,0.958974358974359,0.935,"[1529528, 1516423, 1535603, 1516511, 1535762, 1516675, 1516248, 1516318]","[1535012, 1521860, 1545427, 1535242, 1528245, 1545104, 1535482, 1548039, 1522064, 1528348, 1528648, 1551292, 1528997]","{'mean_sen_len': 0.09799128071816832, 'the': 0.04461444035741163, 'sentiment': 0.04444213137579549, 'your': 0.04326453942269387, 'TTR': 0.031066861000064755, 'PRP$': 0.02928640485703574, 'for': 0.027729740526458137, 'when': 0.02648837407694585, 'DT': 0.02553780091304198, 'i': 0.02122735002869203}"
0.94,0.9399864969618165,0.940396356721049,0.94,0.94089,1,0.955,0.9390862944162437,0.9536082474226805,0.925,"[1535605, 1516594, 1522886, 1529264, 1516650, 1529325, 1535558, 1529057, 1522852]","[1521748, 1528899, 1534510, 1552914, 1535324, 1528271, 1522392, 1539220, 1547819, 1528368, 1535019, 1553076, 1553306, 1548172, 1522578]","{'mean_sen_len': 0.10894953941787337, 'your': 0.041886575749681694, 'the': 0.03225111146965994, 'PRP$': 0.031551747936342585, 'sentiment': 0.030456857855159978, 'when': 0.029802428800268132, 'for': 0.026696350226800548, 'of': 0.02209792280738977, 'be': 0.021202095932813424, 'very': 0.020532132349430438}"
0.9625,0.9624941397093295,0.9627892432770482,0.9625,0.96296,1,0.975,0.9620253164556962,0.9743589743589743,0.95,"[1516560, 1529517, 1529200, 1535736, 1516230]","[1553057, 1534522, 1528583, 1535248, 1553293, 1534629, 1551580, 1551297, 1534824, 1545458]","{'mean_sen_len': 0.09947866634462268, 'your': 0.047770954300114424, 'PRP$': 0.045117385203846894, 'sentiment': 0.04445026466784561, 'the': 0.039427771160212614, 'DT': 0.027684101537179394, 'when': 0.026990836660940033, 'TTR': 0.022909382295722657, 'i': 0.021533086594658992, 'be': 0.02152115374543694}"
