,Key,Count,Mean Score
0,i,100,0.037905023102102045
1,a,100,0.03309720761628261
2,VBZ,100,0.0299025811618909
3,VBD,100,0.027864884173323827
4,mean_sen_len,100,0.025130277695498006
6,TTR,99,0.02282475930816154
7,sentiment,99,0.023724998414172176
9,DT,93,0.022351748933000536
5,was,87,0.02097863312644081
10,is,67,0.0198191547439309
8,and,31,0.019431649614751814
11,my,11,0.01969473796243432
12,what,8,0.01900989379992844
15,RB,3,0.017237941015019107
13,the,1,0.01738847044985409
14,in,1,0.017979577332996915
