accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9365079365079365,0.9365008259372287,0.9367035429211594,0.9365079365079365,0.93583,1,0.9259259259259259,0.93717277486911,0.927461139896373,0.9470899470899471,"[1640705, 1640755, 1644489, 1644495, 1640767, 1644355, 1640768, 1648192, 1648099, 1640771, 1644457, 1644502, 1644481, 1648097]","[1663662, 1660656, 1663404, 1660748, 1666316, 1660726, 1660354, 1663334, 1666532, 1663248]","{'sentiment': 0.1027320650312593, 'this': 0.09363273760461772, 'is': 0.0662609626429223, 'VBZ': 0.04713337503035644, 'i': 0.04446532979147097, 'so': 0.03002506061427909, 'have': 0.027810954239417544, 'do': 0.026149513733836977, 'mean_sen_len': 0.022354425934023914, 'there': 0.02130389646748895}"
0.9444444444444444,0.9444440556259317,0.9444568868980963,0.9444444444444444,0.9443,1,0.9417989417989417,0.9445910290237467,0.9421052631578948,0.9470899470899471,"[1644451, 1647948, 1640642, 1648188, 1640765, 1648151, 1648213, 1647950, 1644496, 1640755, 1648120]","[1660645, 1663650, 1663190, 1660580, 1666334, 1660878, 1663437, 1663404, 1666282, 1660656]","{'sentiment': 0.09978913659649732, 'this': 0.09000009516367827, 'is': 0.0664302092762484, 'i': 0.04200816514235862, 'VBZ': 0.04041437190844361, 'have': 0.03821511727023942, 'so': 0.03566881478564217, 'mean_sen_len': 0.02432664309460911, 'there': 0.024250469071905072, 'what': 0.022413032032649854}"
0.9312169312169312,0.9311475409836066,0.9329623071085252,0.9312169312169312,0.92896,1,0.8994708994708994,0.9333333333333333,0.9054726368159204,0.9629629629629629,"[1644495, 1644497, 1648151, 1644489, 1648018, 1647950, 1640767, 1640592, 1651727, 1640768, 1644484, 1644506, 1644471, 1644477, 1648102, 1640784, 1640657, 1644481, 1647963]","[1663400, 1668890, 1663190, 1663697, 1660475, 1663463, 1660748]","{'sentiment': 0.0946080761466553, 'this': 0.08396399204955901, 'is': 0.06515044305831376, 'i': 0.05447616185844815, 'VBZ': 0.041575423140441166, 'so': 0.026152083955936732, 'RB': 0.02462879400613833, 'there': 0.024182533900302738, 'what': 0.023500741414509564, 'have': 0.02186788628722098}"
0.9470899470899471,0.9470884658454648,0.9471400173586808,0.9470899470899471,0.94681,1,0.9417989417989417,0.9473684210526315,0.9424083769633508,0.9523809523809523,"[1644481, 1640590, 1644497, 1648018, 1648188, 1644496, 1648201, 1644485, 1640582, 1644495, 1644487]","[1666108, 1666574, 1663662, 1660656, 1666072, 1663437, 1666140, 1666084, 1666408]","{'sentiment': 0.10184379875385359, 'is': 0.07805966430540077, 'this': 0.07718061568956862, 'i': 0.051404701552445704, 'VBZ': 0.04373605111329017, 'so': 0.03408224205816193, 'do': 0.025501302241781477, 'there': 0.023891175794791254, 'mean_sen_len': 0.022894838226382788, 'have': 0.020375352009699203}"
0.9285714285714286,0.9285589287339264,0.928871582250112,0.9285714285714286,0.92761,1,0.9153439153439153,0.9295039164490861,0.9175257731958762,0.9417989417989417,"[1648184, 1640582, 1644495, 1640775, 1640784, 1644502, 1648099, 1640765, 1640763, 1648204, 1640759, 1648045, 1640768, 1640753, 1648194, 1648060]","[1666314, 1660878, 1660656, 1660847, 1663390, 1666321, 1666184, 1660745, 1663650, 1666539, 1666050]","{'sentiment': 0.10968776989264391, 'this': 0.07470272660695305, 'is': 0.06158086225108578, 'VBZ': 0.046137503808651344, 'i': 0.044952314400342204, 'have': 0.031672775802371156, 'there': 0.029121901328475457, 'so': 0.0239711314363022, 'mean_sen_len': 0.021981943883849987, 'what': 0.019287239379459965}"
0.9285714285714286,0.9285469247733398,0.929160125588697,0.9285714285714286,0.92722,1,0.91005291005291,0.9298701298701298,0.9132653061224489,0.9470899470899471,"[1644253, 1644495, 1647950, 1640650, 1640620, 1644506, 1640759, 1644497, 1644477, 1648194, 1648184, 1644501, 1640767, 1640590, 1640592, 1644355, 1640582]","[1663546, 1666322, 1663376, 1666551, 1666574, 1660835, 1663669, 1666050, 1660645, 1666458]","{'sentiment': 0.09508965191764127, 'this': 0.08009063647180842, 'is': 0.06934950301283781, 'i': 0.055968669396318296, 'VBZ': 0.042664970971323726, 'so': 0.030164546856330507, 'have': 0.02897358333459337, 'do': 0.026412613172372777, 'RB': 0.023034390766794085, 'what': 0.02198651076290338}"
0.9629629629629629,0.9629619260918253,0.9630148108743736,0.9629629629629629,0.96277,1,0.9576719576719577,0.9631578947368421,0.9581151832460733,0.9682539682539683,"[1644495, 1644497, 1644502, 1640582, 1640771, 1640768, 1644506, 1640755]","[1666408, 1666574, 1666184, 1663248, 1663390, 1666409]","{'sentiment': 0.08732677179402158, 'this': 0.08073083157742098, 'is': 0.07013075265332652, 'i': 0.057751859388976125, 'VBZ': 0.046935118955467446, 'do': 0.029691742885512525, 'have': 0.0270775014144264, 'RB': 0.022588120334298138, 'mean_sen_len': 0.0220499282158483, 'so': 0.0183064462199133}"
0.955026455026455,0.9550261402686113,0.9550391937290034,0.955026455026455,0.95491,1,0.9523809523809523,0.9551451187335093,0.9526315789473684,0.9576719576719577,"[1644493, 1648205, 1648180, 1640767, 1644441, 1640650, 1644496, 1640592, 1648201]","[1666072, 1663697, 1666222, 1663437, 1660422, 1666458, 1668890, 1663535]","{'sentiment': 0.09490511906588615, 'this': 0.08257657617926212, 'is': 0.07068925573880681, 'i': 0.047572145139747855, 'VBZ': 0.044940451702503104, 'RB': 0.023842190044980834, 'what': 0.02330886383794035, 'so': 0.022602005983849136, 'be': 0.021963315195948595, 'mean_sen_len': 0.0215270259832555}"
0.9338624338624338,0.9337841151946186,0.9359248424842486,0.9338624338624338,0.93151,1,0.8994708994708994,0.9360613810741688,0.905940594059406,0.9682539682539683,"[1644479, 1640771, 1640784, 1640545, 1640761, 1644487, 1648184, 1644457, 1644495, 1648196, 1648120, 1648045, 1640767, 1644471, 1640590, 1644467, 1648099, 1644502, 1640765]","[1663639, 1663334, 1663390, 1660426, 1666409, 1663552]","{'sentiment': 0.09552460438259157, 'this': 0.08619165843147164, 'is': 0.06633666852686082, 'i': 0.05133521214468586, 'VBZ': 0.04959268490200869, 'so': 0.029927497963684116, 'there': 0.023738252026488115, 'not': 0.02168989717968476, 'what': 0.020682013820278598, 'mean_sen_len': 0.020085657770713652}"
0.9523809523809523,0.9523689516129032,0.9528373266078185,0.9523809523809523,0.95161,1,0.9365079365079365,0.953125,0.9384615384615385,0.9682539682539683,"[1640759, 1644490, 1644457, 1640755, 1644484, 1648102, 1644495, 1647963, 1644451, 1644355, 1640767, 1648215]","[1666129, 1660744, 1666282, 1663334, 1663697, 1666370]","{'sentiment': 0.08770530490095343, 'is': 0.08205058144115691, 'this': 0.07233505860960215, 'i': 0.05584854127553035, 'VBZ': 0.0539289147379329, 'so': 0.031221377233833204, 'have': 0.021743677563795635, 'not': 0.02112168594032566, 'what': 0.021056996372190277, 'be': 0.020352807172159922}"
