,Key,Count,Mean Score
0,TTR,100,0.11726753891989378
1,mean_sen_len,100,0.06285908523233956
2,sentiment,100,0.03437398245360228
3,has,100,0.03558651185545474
4,and,100,0.03299797400763339
5,lex_density,100,0.02678827031896575
6,VBZ,99,0.025717802046516712
8,a,94,0.025119034356712266
9,DT,90,0.022735834984780275
10,the,52,0.021137321809445567
12,JJ,19,0.020178145371818664
7,PRP,14,0.01990325798033213
11,RB,13,0.02051339273116671
14,VBN,11,0.020576248942072037
13,NN,5,0.019460733921910795
16,VBD,2,0.018966968873210536
15,is,1,0.017637267823972708
