,Key,Count,Mean Score
0,TTR,100,0.09861328343603605
1,an,100,0.049631808102085714
2,mean_sen_len,100,0.03568430313529609
3,and,100,0.03897201960895349
5,the,100,0.03218886569761257
6,DT,100,0.027635430483004732
4,is,99,0.02440919765526384
7,this,66,0.021182422149885062
13,from,52,0.020076309785276057
8,PRP,39,0.01841617075457606
14,RB,34,0.017533692673985884
9,was,23,0.01765010086933424
11,of,21,0.017479450790497696
10,VBG,18,0.017730934110273166
12,a,13,0.01761120486128752
16,in,12,0.016968721480801904
15,JJ,8,0.017362627379014034
20,has,4,0.017763785086209252
19,VBZ,3,0.017466156152796116
17,been,3,0.01792709844042485
21,where,2,0.020174649167301086
18,with,1,0.018370580879673592
22,as,1,0.015764948803206568
23,sentiment,1,0.017861549608910787
