,Key,Count,Mean Score
0,sentiment,100,0.08249339447130591
1,TTR,100,0.07676712715049364
2,has,100,0.03424215645638168
3,the,100,0.032064040750399606
4,NNS,100,0.0410032480523339
5,and,100,0.0343462194401291
7,VBG,100,0.03684431647944983
6,DT,99,0.028701622062058837
10,NN,62,0.024883273913321107
8,such,58,0.026689961080982167
12,lex_density,36,0.02430885995019195
11,PRP$,32,0.024347080089670948
9,for,4,0.026111403274745645
13,was,4,0.0240018606028973
14,a,4,0.022143436043598242
15,been,1,0.020993359445855373
