accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.9393511988716502,0.9392954045397022,0.9408935688982504,0.9393511988716502,0.94118,1,0.9690140845070423,0.9374090247452693,0.9669669669669669,0.9096045197740112,"[1473708, 1454410, 1460616, 1473696, 1467230, 1454344, 1467461, 1467216, 1461030, 1460910, 1473735]","[1456987, 1463257, 1457649, 1456939, 1457643, 1512256, 1515894, 1475195, 1463865, 1516160, 1515940, 1475271, 1463317, 1510562, 1512520, 1510616, 1470314, 1510736, 1516178, 1512811, 1457571, 1469822, 1514312, 1457045, 1514754, 1514414, 1515990, 1512608, 1463087, 1510376, 1469516, 1516102]","{'sentiment': 0.10557431305808976, 'TTR': 0.09789763806241272, 'so': 0.04553300471929169, 'not': 0.04121261695906528, 'the': 0.03968577930805351, 'have': 0.032671937484984426, 'through': 0.028026008445576026, 'i': 0.02505937728919079, 'male_pronouns': 0.02138584977237403, 'then': 0.020664980416821067}"
0.9464033850493653,0.9463867464975848,0.9469129736829631,0.9464033850493653,0.94737,1,0.9633802816901409,0.9454022988505747,0.9619883040935673,0.9293785310734464,"[1473696, 1467180, 1454344, 1467293, 1454355, 1454244, 1454366, 1454343, 1460655, 1461076, 1473491, 1460899, 1460593]","[1514056, 1457355, 1469834, 1512769, 1463307, 1469996, 1457255, 1511054, 1512459, 1463219, 1510528, 1516022, 1510208, 1470162, 1514404, 1510680, 1469582, 1510144, 1469510, 1514910, 1470406, 1463771, 1457293, 1456987, 1512872]","{'sentiment': 0.0967113418409766, 'TTR': 0.08897423178805727, 'not': 0.04204143031024355, 'so': 0.03941081515369738, 'the': 0.03491986728970068, 'have': 0.030361374575900858, 'i': 0.03007664746395415, 'through': 0.024603605684222665, 'a': 0.0219337853987802, 'male_pronouns': 0.021923501958262554}"
0.9449929478138223,0.9449513323041162,0.9462709419647125,0.9449929478138223,0.9465,1,0.971830985915493,0.9433962264150944,0.9701492537313433,0.9180790960451978,"[1473460, 1473705, 1467461, 1473469, 1454697, 1467230, 1460911, 1454355, 1467329, 1467291]","[1463959, 1463497, 1470190, 1469826, 1469508, 1463977, 1512732, 1514300, 1514212, 1469952, 1514670, 1510492, 1512278, 1515820, 1510272, 1457593, 1463341, 1515904, 1514474, 1510222, 1514848, 1463503, 1515943, 1475080, 1457243, 1457085, 1474971, 1510528, 1463967]","{'sentiment': 0.1015831541599461, 'TTR': 0.08704332797411075, 'so': 0.04593330870713976, 'not': 0.041769519431262496, 'the': 0.03782654621323068, 'through': 0.032966648211294705, 'have': 0.032790545812685847, 'i': 0.02318576594895551, 'DT': 0.01914045455575678, 'a': 0.018790012333371863}"
0.9520451339915373,0.95203024686626,0.9525614649992237,0.9520451339915373,0.95291,1,0.9690140845070423,0.9511494252873564,0.9678362573099415,0.9350282485875706,"[1473672, 1454406, 1467044, 1454410, 1467310, 1460659, 1467264, 1473696, 1467230, 1460653, 1473602]","[1515796, 1469760, 1456987, 1457527, 1457443, 1469528, 1516128, 1514754, 1469692, 1510276, 1514322, 1470154, 1513050, 1457255, 1475491, 1510210, 1463951, 1516111, 1512170, 1514253, 1515990, 1470094, 1512502]","{'TTR': 0.10002243694503099, 'sentiment': 0.09477995299435416, 'not': 0.045076864073304766, 'so': 0.04496640131403623, 'have': 0.033571653688630014, 'through': 0.03199247673570573, 'the': 0.030958085353456042, 'of': 0.02006344302295386, 'i': 0.018709846710876367, 'then': 0.018128089936887207}"
0.9661495063469676,0.9661466777949983,0.9662822779484221,0.9661495063469676,0.96648,1,0.9746478873239437,0.9658119658119658,0.9741379310344828,0.9576271186440678,"[1473602, 1460595, 1460653, 1473496, 1454244, 1461076, 1467310, 1454471, 1473735]","[1514312, 1470322, 1514088, 1469752, 1514754, 1470094, 1514188, 1514212, 1457355, 1516090, 1510718, 1514322, 1510644, 1463219, 1512720]","{'sentiment': 0.10766271456358287, 'TTR': 0.09190886171966663, 'so': 0.04684799037557671, 'not': 0.03983630440814225, 'through': 0.03852640692583422, 'the': 0.03098204177960441, 'have': 0.03039768747750603, 'i': 0.02520433078635553, 'a': 0.021548985363165265, 'male_pronouns': 0.019860832817028152}"
0.9534555712270804,0.9534433455310659,0.9538905959188887,0.9534555712270804,0.95423,1,0.9690140845070423,0.9526542324246772,0.967930029154519,0.9378531073446328,"[1461076, 1454406, 1454700, 1473514, 1467430, 1467293, 1460860, 1461030, 1460616, 1454712, 1454343]","[1516118, 1514188, 1463835, 1512606, 1510616, 1513013, 1463077, 1457221, 1512934, 1512736, 1514368, 1514290, 1510290, 1463717, 1511006, 1456869, 1515642, 1456987, 1475157, 1516172, 1457643, 1512708]","{'sentiment': 0.10836454255279589, 'TTR': 0.09782829094302406, 'not': 0.04406158256564544, 'so': 0.03658856556386296, 'the': 0.03433568642856923, 'through': 0.029172484674001627, 'have': 0.028605392623391478, 'i': 0.025320536996007593, 'male_pronouns': 0.021607485545786752, 'DT': 0.01925786982231828}"
0.9520451339915373,0.9520346376622215,0.9524032475553245,0.9520451339915373,0.95278,1,0.9661971830985916,0.9512893982808023,0.9651162790697675,0.9378531073446328,"[1460653, 1473602, 1467355, 1473520, 1454583, 1467180, 1460684, 1461048, 1454697, 1461030, 1467461, 1460595]","[1510578, 1510376, 1512332, 1514402, 1516172, 1512898, 1512280, 1515956, 1469672, 1475219, 1512434, 1514894, 1514334, 1457301, 1463435, 1514570, 1456839, 1512598, 1516156, 1475285, 1457519, 1510830]","{'sentiment': 0.10083695928421157, 'TTR': 0.09459052820039889, 'not': 0.04849087674892728, 'so': 0.04043821693056613, 'the': 0.03373064588879971, 'i': 0.02851456462175768, 'have': 0.02783911369087353, 'through': 0.022395672048337464, 'male_pronouns': 0.022165168649663065, 'lex_density': 0.019354132773564854}"
0.9478138222849083,0.947774340903905,0.9491001581549423,0.9478138222849083,0.94925,1,0.9746478873239437,0.9462989840348331,0.9731343283582089,0.9209039548022598,"[1460616, 1473514, 1460897, 1473520, 1473607, 1460966, 1467291, 1473696, 1467180]","[1512170, 1469534, 1470322, 1512946, 1512332, 1514848, 1463167, 1463149, 1516112, 1469594, 1516160, 1515796, 1457025, 1510434, 1516194, 1512126, 1456813, 1514996, 1457613, 1514164, 1456745, 1469500, 1516036, 1511066, 1463745, 1512616, 1512242, 1475135]","{'sentiment': 0.10290920819762216, 'TTR': 0.09459934430091523, 'not': 0.04497115335781533, 'so': 0.03484522998870808, 'the': 0.03207051858400002, 'male_pronouns': 0.027026387298051152, 'have': 0.02677042464407483, 'through': 0.026304642590996696, 'DT': 0.02097195249486845, 'i': 0.020946555078887215}"
0.9562764456981664,0.9562606090326282,0.95688866771318,0.9562764456981664,0.95712,1,0.9746478873239437,0.9553956834532374,0.9736070381231672,0.9378531073446328,"[1460659, 1460961, 1454712, 1454366, 1461008, 1473708, 1467396, 1467419, 1467150]","[1514438, 1513050, 1463307, 1510954, 1515852, 1463167, 1456839, 1514926, 1512940, 1512272, 1514504, 1514832, 1463967, 1457045, 1475113, 1463695, 1510830, 1470172, 1463285, 1514322, 1515930, 1512736]","{'TTR': 0.10297489373395434, 'sentiment': 0.09779860611229277, 'not': 0.0482356659807542, 'so': 0.042936574435674536, 'have': 0.03379450052320035, 'the': 0.03030380997771522, 'through': 0.02928009737682762, 'male_pronouns': 0.023881399732612687, 'i': 0.01982897524399912, 'a': 0.019818760625948628}"
0.9506346967559943,0.9506168166497416,0.9512390285588813,0.9506346967559943,0.95159,1,0.9690140845070423,0.9496402877697842,0.967741935483871,0.9322033898305084,"[1454366, 1467043, 1467180, 1467430, 1454343, 1467396, 1460659, 1461076, 1460684, 1473724, 1467464]","[1456839, 1475319, 1474949, 1469678, 1510286, 1514972, 1512896, 1512467, 1514472, 1514726, 1463135, 1512762, 1469760, 1510506, 1510452, 1463351, 1511052, 1463407, 1470378, 1515020, 1516210, 1463747, 1512890, 1457093]","{'TTR': 0.09583827879476228, 'sentiment': 0.09119160599322158, 'not': 0.044278987862022195, 'so': 0.04315358565808042, 'the': 0.03955458351328356, 'through': 0.02876326284995046, 'have': 0.027754475081486527, 'i': 0.0248228816501778, 'a': 0.021004953348347323, 'DT': 0.020063246546759814}"
