,Key,Count,Mean Score
0,mean_sen_len,100,0.10068181591233584
1,TTR,100,0.0578818363805122
2,of,100,0.03954461463642579
3,to,100,0.029441142475328443
6,here,100,0.027941097674666154
4,sentiment,95,0.025542270555614945
9,and,83,0.02346104522072635
5,with,76,0.02403757231417265
8,VBG,62,0.02300849212989463
14,for,49,0.02248314660386386
13,RB,44,0.02291476310148319
11,on,41,0.023168683650377223
7,VB,27,0.02214878076830624
10,IN,11,0.022310182725310147
16,lex_density,8,0.022008237501645787
12,the,2,0.021546803513205433
15,JJ,2,0.01979648941845826
