,Key,Count,Mean Score
0,said,100,0.03732684536682979
1,mean_sen_len,100,0.04376726775838354
2,TTR,100,0.04087694119410459
3,VBD,100,0.03727766193189104
4,DT,96,0.02379783812245448
5,the,96,0.022303586142825387
7,sentiment,80,0.020336155394031146
10,VBG,77,0.02057714916260443
8,PRP$,75,0.021279552635345478
14,but,27,0.01937471224859489
13,and,25,0.018892443776895973
20,has,24,0.019622370328238718
19,lex_density,23,0.018589117110389474
21,a,23,0.018611307747795302
16,was,15,0.018412403177784326
17,at,11,0.018832485334679096
15,up,10,0.01885213714155355
12,VBN,7,0.01795727774669326
6,been,6,0.018130913802900522
18,that,2,0.01875763064481259
9,male_pronouns,1,0.018639625055504105
11,to,1,0.01672969805466253
22,this,1,0.020028388519198123
