accuracy,Overall F1,Overall Precision,Overall Recall,Authentic F1,Authentic Precision,Authentic Recall,Synthetic F1,Synthetic Precision,Synthetic Recall,authentic_mislabeled,synthetic_mislabeled,top_10_features
0.8204488778054863,0.8199315878425663,0.8244015759584379,0.8204488778054863,0.82938,1,0.875,0.8105263157894737,0.8603351955307262,0.7661691542288557,"[1461008, 1454253, 1467297, 1461026, 1454648, 1454265, 1467426, 1467430, 1460633, 1454340, 1454712, 1454491, 1467419, 1467267, 1473481, 1467305, 1454599, 1460808, 1461047, 1467354, 1460933, 1473735, 1460860, 1460890, 1473724]","[1491587, 1464562, 1502283, 1455745, 1485344, 1511172, 1493346, 1464780, 1471215, 1511632, 1501317, 1489672, 1515616, 1484692, 1487274, 1497933, 1493094, 1497328, 1480836, 1490659, 1488618, 1482556, 1490730, 1490238, 1499528, 1501516, 1482076, 1495497, 1500866, 1471933, 1492926, 1495050, 1500298, 1484872, 1478264, 1475790, 1499123, 1505903, 1483795, 1482521, 1513610, 1515506, 1502555, 1484295, 1509188, 1498881, 1500202]","{'sentiment': 0.07290465667433225, 'TTR': 0.03709100746640856, 'a': 0.026924423158329915, 'DT': 0.024941067766831502, 'the': 0.02304993435168626, 'male_pronouns': 0.021153017112819753, 'VBD': 0.019578033946800882, 'is': 0.019412012221116118, 'JJ': 0.018303871598648217, 'in': 0.0174742943022577}"
0.8254364089775561,0.8253755975344808,0.8259726331838796,0.8254364089775561,0.82843,1,0.845,0.8223350253807107,0.8393782383419689,0.8059701492537313,"[1460848, 1454314, 1460659, 1454343, 1467043, 1467055, 1473714, 1467354, 1467236, 1473469, 1454471, 1473613, 1460927, 1461076, 1467044, 1467267, 1461047, 1467141, 1460635, 1467464, 1454519, 1467051, 1467264, 1460879, 1460911, 1467291, 1460688, 1467396, 1473496, 1473491, 1454628]","[1505805, 1497351, 1507177, 1457790, 1464240, 1513972, 1471243, 1480937, 1497448, 1496034, 1477395, 1481115, 1475473, 1503113, 1500946, 1515470, 1464306, 1499932, 1455519, 1482342, 1481176, 1459424, 1481728, 1496054, 1505655, 1493275, 1497237, 1497492, 1465213, 1493462, 1513138, 1509954, 1497466, 1487774, 1495620, 1487288, 1507877, 1492630, 1490239]","{'sentiment': 0.07547899107102751, 'TTR': 0.034556023224846466, 'not': 0.026196748273948293, 'male_pronouns': 0.025645539147063082, 'a': 0.02485233117747992, 'JJ': 0.02141951918473803, 'the': 0.020455387845120444, 'of': 0.019795118340093988, 'VBD': 0.01937120755596601, 'in': 0.01912603089323286}"
0.8778054862842892,0.8776868338499748,0.8794197953323662,0.8778054862842892,0.88136,1,0.91,0.8740359897172236,0.9042553191489362,0.845771144278607,"[1467278, 1473491, 1461048, 1473602, 1467232, 1454343, 1467347, 1454384, 1467291, 1473708, 1467310, 1473563, 1461047, 1460911, 1454718, 1467286, 1473663, 1460677]","[1475818, 1492916, 1484694, 1468423, 1516160, 1458302, 1464766, 1507938, 1498113, 1477267, 1502905, 1481901, 1485500, 1491302, 1502633, 1485606, 1501842, 1505924, 1493143, 1458060, 1487329, 1471189, 1511236, 1515412, 1493345, 1511656, 1512040, 1495794, 1513086, 1479932, 1508551]","{'sentiment': 0.07886384537571046, 'TTR': 0.03576601505840724, 'a': 0.030845945937511138, 'not': 0.02143646031689831, 'DT': 0.021007369422418654, 'the': 0.01993206482054593, 'of': 0.019888300624463656, 'RB': 0.019695074636976284, 'VBD': 0.01891013854841804, 'lex_density': 0.018834586265163846}"
0.8902743142144638,0.8901841736212122,0.8916933482406592,0.8902743142144638,0.8932,1,0.92,0.8871794871794871,0.9153439153439153,0.8606965174129353,"[1467471, 1460754, 1467118, 1467466, 1473693, 1454492, 1461012, 1454562, 1454570, 1461043, 1467315, 1467262, 1460940, 1460726, 1454569, 1473722]","[1457960, 1503162, 1515054, 1515340, 1486969, 1509262, 1481845, 1476845, 1515170, 1502535, 1498091, 1467518, 1470555, 1491667, 1508957, 1493291, 1490026, 1504512, 1515344, 1507193, 1505537, 1492855, 1509574, 1470643, 1489680, 1506868, 1487314, 1511398]","{'sentiment': 0.07039451892436582, 'TTR': 0.040242512183908896, 'a': 0.037347010947735765, 'DT': 0.023510405368685202, 'male_pronouns': 0.022400241365852717, 'the': 0.02125508765995507, 'of': 0.020767153905611315, 'lex_density': 0.01967232761700043, 'VBD': 0.019014808151926587, 'at': 0.018652348974143036}"
0.8478802992518704,0.8475561098810828,0.8510673614523578,0.8478802992518704,0.85442,1,0.895,0.8407310704960835,0.8846153846153846,0.8009950248756219,"[1467434, 1454378, 1467055, 1461009, 1460688, 1467208, 1473663, 1460976, 1454556, 1461076, 1473514, 1461021, 1454349, 1467154, 1460933, 1473520, 1467168, 1454493, 1460960, 1454333, 1461026]","[1493200, 1486849, 1486890, 1498017, 1511500, 1509894, 1511750, 1505448, 1498117, 1504636, 1498240, 1497797, 1478977, 1495406, 1498693, 1465012, 1492660, 1499554, 1482550, 1508756, 1505579, 1481047, 1482741, 1495605, 1493046, 1487750, 1507937, 1509418, 1497436, 1481592, 1470813, 1471121, 1481590, 1515384, 1503543, 1499009, 1494190, 1497566, 1482172, 1505559]","{'sentiment': 0.07124225132354582, 'TTR': 0.03972902333913368, 'a': 0.03410829759397703, 'DT': 0.028207073939612127, 'of': 0.026459072384921102, 'the': 0.018858414803087854, 'JJ': 0.018806119520771554, 'VBG': 0.01807183382634626, 'in': 0.018043173549350405, 'have': 0.016619783051083806}"
0.830423940149626,0.8298398956188445,0.8352756124217301,0.830423940149626,0.83962,1,0.89,0.8201058201058201,0.8757062146892656,0.7711442786069652,"[1473454, 1454679, 1473510, 1461030, 1454340, 1467286, 1467302, 1467102, 1461009, 1460750, 1467461, 1460601, 1467425, 1454388, 1460894, 1460593, 1467264, 1467236, 1467315, 1473496, 1473455, 1467016]","[1515484, 1485064, 1479799, 1497582, 1509218, 1492788, 1481534, 1458298, 1511146, 1487634, 1470479, 1457778, 1495167, 1481684, 1502841, 1458474, 1497366, 1507223, 1511250, 1501610, 1503762, 1506813, 1481944, 1490684, 1502535, 1497858, 1511774, 1467519, 1480799, 1490057, 1508218, 1481506, 1461747, 1488436, 1509850, 1493038, 1483821, 1502433, 1510004, 1507328, 1455374, 1508723, 1492920, 1484278, 1494442, 1464732]","{'sentiment': 0.08003271908103962, 'TTR': 0.0396499244164824, 'a': 0.033580993251526706, 'male_pronouns': 0.025659026682863885, 'JJ': 0.025113321670962772, 'lex_density': 0.020004202416462023, 'DT': 0.01980208604026795, 'VBD': 0.01909797236553349, 'i': 0.01805329036588342, 'of': 0.017614667884472843}"
0.827930174563591,0.827285818843436,0.8331601551676365,0.827930174563591,0.83765,1,0.89,0.8169761273209549,0.875,0.7661691542288557,"[1460992, 1460655, 1454491, 1467398, 1473473, 1454406, 1467396, 1454333, 1460754, 1454638, 1461076, 1467125, 1460998, 1454380, 1460860, 1467044, 1460802, 1467359, 1467297, 1454697, 1473496, 1454349]","[1495652, 1503858, 1508947, 1465255, 1464970, 1510250, 1464334, 1475824, 1509316, 1500030, 1507341, 1507648, 1464568, 1500320, 1488140, 1458224, 1477973, 1497188, 1515098, 1505092, 1492739, 1501915, 1491980, 1471237, 1484578, 1497530, 1487152, 1504634, 1459226, 1458148, 1502628, 1515486, 1504240, 1475550, 1505713, 1515180, 1497591, 1458278, 1511292, 1484954, 1491888, 1493343, 1493720, 1511218, 1485140, 1494190, 1502698]","{'sentiment': 0.07471485024064128, 'TTR': 0.03589042989486125, 'a': 0.03376502340781999, 'DT': 0.026805928728618516, 'in': 0.022309311814451994, 'of': 0.021901632525428365, 'is': 0.02100865563391481, 'the': 0.01920902267074315, 'lex_density': 0.018241746856945053, 'JJ': 0.01801251859303317}"
0.8054862842892768,0.8053264896012398,0.8066132960500814,0.8054862842892768,0.81068,1,0.835,0.8,0.8253968253968254,0.7761194029850746,"[1461051, 1467396, 1460756, 1467354, 1460595, 1460785, 1454457, 1460743, 1460983, 1460877, 1473696, 1467154, 1460929, 1460616, 1454638, 1454265, 1473602, 1473496, 1473510, 1460899, 1454680, 1461012, 1454672, 1467080, 1461048, 1467398, 1467016, 1467264, 1454575, 1461030, 1454292, 1473454, 1454532]","[1482339, 1491704, 1493720, 1500684, 1508448, 1511310, 1498151, 1489846, 1485300, 1464246, 1471087, 1498228, 1454734, 1488460, 1513130, 1502444, 1493305, 1478945, 1492488, 1482430, 1458218, 1477696, 1488338, 1506800, 1493751, 1483806, 1515126, 1484221, 1464302, 1490310, 1487081, 1482172, 1493518, 1501138, 1484181, 1507418, 1490282, 1497611, 1458634, 1511874, 1511782, 1485685, 1484224, 1496044, 1511390]","{'sentiment': 0.07136412219620045, 'TTR': 0.03817469537226186, 'a': 0.033354887229579105, 'of': 0.02574867866934262, 'VBD': 0.02299078325347663, 'the': 0.019814332049754767, 'not': 0.018710962139948974, 'through': 0.017516763100048197, 'JJ': 0.017160329558497424, 'at': 0.016977445298566964}"
0.8478802992518704,0.8468749079628236,0.8576225744651249,0.8478802992518704,0.85912,1,0.93,0.8346883468834688,0.9166666666666666,0.7661691542288557,"[1473535, 1454250, 1467118, 1454471, 1473577, 1460937, 1467390, 1460677, 1467452, 1467328, 1473613, 1460961, 1473681, 1467187]","[1461144, 1464322, 1481846, 1482170, 1500615, 1495093, 1487432, 1502230, 1464288, 1513344, 1472063, 1484560, 1485186, 1497501, 1464736, 1486772, 1492927, 1481864, 1484080, 1507276, 1502692, 1480946, 1497661, 1498226, 1515488, 1487512, 1515438, 1486950, 1486723, 1481593, 1484806, 1485540, 1487068, 1500738, 1509308, 1501070, 1505234, 1490114, 1501417, 1493441, 1496146, 1469066, 1482008, 1502664, 1511308, 1507600, 1506890]","{'sentiment': 0.0731808445341295, 'a': 0.039195160077473874, 'TTR': 0.03867130508431056, 'of': 0.023989556693255438, 'DT': 0.02248702502393959, 'the': 0.022120027591071262, 'VBD': 0.020680751893627107, 'is': 0.01883907672416338, 'not': 0.017552854344632343, 'then': 0.01713544813725262}"
0.8728179551122195,0.8724849368713553,0.8769845747621896,0.8728179551122195,0.87886,1,0.925,0.8661417322834646,0.9166666666666666,0.8208955223880597,"[1473665, 1454401, 1454378, 1473503, 1473708, 1454377, 1454488, 1467297, 1467234, 1454471, 1467278, 1467347, 1467125, 1460593, 1460966]","[1488640, 1477497, 1513876, 1497888, 1464426, 1513180, 1493197, 1483571, 1484008, 1493378, 1497394, 1481594, 1502946, 1507164, 1502894, 1509992, 1484138, 1494584, 1488338, 1464054, 1481544, 1490470, 1482554, 1479242, 1497917, 1497208, 1474136, 1509696, 1470629, 1505791, 1487708, 1497778, 1476592, 1492544, 1493298, 1483821]","{'sentiment': 0.07859757549963137, 'TTR': 0.0431470853212957, 'a': 0.03256282623616809, 'VBD': 0.020262017429427622, 'of': 0.020232120027269526, 'not': 0.01902190691214263, 'DT': 0.018420867130893612, 'JJ': 0.018089890107773662, 'RB': 0.016432636930488468, 'male_pronouns': 0.01603827672355332}"
